County,State,FIPS Code,Formatted FIPS,"Estimated number of people 65 or older, between 2015-2019."
Autauga,AL,1001,01001,8283
Baldwin,AL,1003,01003,42531
Barbour,AL,1005,01005,4710
Bibb,AL,1007,01007,3584
Blount,AL,1009,01009,10326
Bullock,AL,1011,01011,1640
Butler,AL,1013,01013,3900
Calhoun,AL,1015,01015,19738
Chambers,AL,1017,01017,6470
Cherokee,AL,1019,01019,5811
Chilton,AL,1021,01021,7052
Choctaw,AL,1023,01023,2922
Clarke,AL,1025,01025,4679
Clay,AL,1027,01027,2698
Cleburne,AL,1029,01029,2899
Coffee,AL,1031,01031,8550
Colbert,AL,1033,01033,10644
Conecuh,AL,1035,01035,2746
Coosa,AL,1037,01037,2430
Covington,AL,1039,01039,7726
Crenshaw,AL,1041,01041,2609
Cullman,AL,1043,01043,15116
Dale,AL,1045,01045,8081
Dallas,AL,1047,01047,6809
DeKalb,AL,1049,01049,11883
Elmore,AL,1051,01051,12053
Escambia,AL,1053,01053,6566
Etowah,AL,1055,01055,19257
Fayette,AL,1057,01057,3438
Franklin,AL,1059,01059,5304
Geneva,AL,1061,01061,5275
Greene,AL,1063,01063,1773
Hale,AL,1065,01065,2777
Henry,AL,1067,01067,3785
Houston,AL,1069,01069,18052
Jackson,AL,1071,01071,10113
Jefferson,AL,1073,01073,101785
Lamar,AL,1075,01075,2983
Lauderdale,AL,1077,01077,18228
Lawrence,AL,1079,01079,5998
Lee,AL,1081,01081,18696
Limestone,AL,1083,01083,14328
Lowndes,AL,1085,01085,1856
Macon,AL,1087,01087,3614
Madison,AL,1089,01089,53151
Marengo,AL,1091,01091,3729
Marion,AL,1093,01093,6288
Marshall,AL,1095,01095,16093
Mobile,AL,1097,01097,65339
Monroe,AL,1099,01099,4100
Montgomery,AL,1101,01101,33107
Morgan,AL,1103,01103,20412
Perry,AL,1105,01105,1772
Pickens,AL,1107,01107,3739
Pike,AL,1109,01109,4946
Randolph,AL,1111,01111,4622
Russell,AL,1113,01113,8029
St. Clair,AL,1115,01115,14317
Shelby,AL,1117,01117,31716
Sumter,AL,1119,01119,2234
Talladega,AL,1121,01121,14052
Tallapoosa,AL,1123,01123,8505
Tuscaloosa,AL,1125,01125,26673
Walker,AL,1127,01127,12191
Washington,AL,1129,01129,3047
Wilcox,AL,1131,01131,2026
Winston,AL,1133,01133,5075
Aleutians East,AK,2013,02013,318
Aleutians West,AK,2016,02016,347
Anchorage,AK,2020,02020,30873
Bethel,AK,2050,02050,1301
Bristol Bay,AK,2060,02060,87
Denali,AK,2068,02068,209
Dillingham,AK,2070,02070,499
Fairbanks North Star,AK,2090,02090,9699
Haines,AK,2100,02100,633
Hoonah-Angoon,AK,2105,02105,439
Juneau,AK,2110,02110,4039
Kenai Peninsula,AK,2122,02122,9631
Ketchikan Gateway,AK,2130,02130,2050
Kodiak Island,AK,2150,02150,1319
Lake and Peninsula,AK,2164,02164,109
Matanuska-Susitna,AK,2170,02170,11939
Nome,AK,2180,02180,702
North Slope,AK,2185,02185,671
Northwest Arctic,AK,2188,02188,575
Petersburg,AK,2195,02195,717
Prince of Wales-Hyder,AK,2198,02198,1027
Sitka,AK,2220,02220,1310
Skagway,AK,2230,02230,130
Southeast Fairbanks,AK,2240,02240,938
Valdez-Cordova,AK,2261,02261,1134
Wade Hampton,AK,2270,02270,454
Wrangell,AK,2275,02275,569
Yakutat,AK,2282,02282,94
Yukon-Koyukuk,AK,2290,02290,770
Apache,AZ,4001,04001,10694
Cochise,AZ,4003,04003,27278
Coconino,AZ,4005,04005,16983
Gila,AZ,4007,04007,15199
Graham,AZ,4009,04009,5202
Greenlee,AZ,4011,04011,1178
La Paz,AZ,4012,04012,8025
Maricopa,AZ,4013,04013,641814
Mohave,AZ,4015,04015,61383
Navajo,AZ,4017,04017,19062
Pima,AZ,4019,04019,197361
Pinal,AZ,4021,04021,85974
Santa Cruz,AZ,4023,04023,8037
Yavapai,AZ,4025,04025,69858
Yuma,AZ,4027,04027,38700
Arkansas,AR,5001,05001,3405
Ashley,AR,5003,05003,4036
Baxter,AR,5005,05005,12779
Benton,AR,5007,05007,35271
Boone,AR,5009,05009,7591
Bradley,AR,5011,05011,1994
Calhoun,AR,5013,05013,1102
Carroll,AR,5015,05015,6307
Chicot,AR,5017,05017,2120
Clark,AR,5019,05019,3634
Clay,AR,5021,05021,3141
Cleburne,AR,5023,05023,6719
