County,State,FIPS Code,Formatted FIPS,"Estimated percent of all people 65 or older, between 2015-2019."
Autauga,AL,1001,01001,14.96
Baldwin,AL,1003,01003,19.98
Barbour,AL,1005,01005,18.57
Bibb,AL,1007,01007,15.93
Blount,AL,1009,01009,17.9
Bullock,AL,1011,01011,16
Butler,AL,1013,01013,19.67
Calhoun,AL,1015,01015,17.22
Chambers,AL,1017,01017,19.22
Cherokee,AL,1019,01019,22.43
Chilton,AL,1021,01021,16.01
Choctaw,AL,1023,01023,22.61
Clarke,AL,1025,01025,19.39
Clay,AL,1027,01027,20.23
Cleburne,AL,1029,01029,19.44
Coffee,AL,1031,01031,16.55
Colbert,AL,1033,01033,19.43
Conecuh,AL,1035,01035,22.16
Coosa,AL,1037,01037,22.59
Covington,AL,1039,01039,20.77
Crenshaw,AL,1041,01041,18.85
Cullman,AL,1043,01043,18.24
Dale,AL,1045,01045,16.4
Dallas,AL,1047,01047,17.39
DeKalb,AL,1049,01049,16.66
Elmore,AL,1051,01051,14.85
Escambia,AL,1053,01053,17.72
Etowah,AL,1055,01055,18.74
Fayette,AL,1057,01057,20.84
Franklin,AL,1059,01059,16.86
Geneva,AL,1061,01061,19.97
Greene,AL,1063,01063,21.3
Hale,AL,1065,01065,18.75
Henry,AL,1067,01067,22.09
Houston,AL,1069,01069,17.24
Jackson,AL,1071,01071,19.5
Jefferson,AL,1073,01073,15.43
Lamar,AL,1075,01075,21.48
Lauderdale,AL,1077,01077,19.69
Lawrence,AL,1079,01079,18.14
Lee,AL,1081,01081,11.6
Limestone,AL,1083,01083,15.13
Lowndes,AL,1085,01085,18.41
Macon,AL,1087,01087,19.32
Madison,AL,1089,01089,14.67
Marengo,AL,1091,01091,19.3
Marion,AL,1093,01093,21.05
Marshall,AL,1095,01095,16.83
Mobile,AL,1097,01097,15.78
Monroe,AL,1099,01099,19.28
Montgomery,AL,1101,01101,14.59
Morgan,AL,1103,01103,17.12
Perry,AL,1105,01105,19.07
Pickens,AL,1107,01107,18.47
Pike,AL,1109,01109,14.84
Randolph,AL,1111,01111,20.41
Russell,AL,1113,01113,13.85
St. Clair,AL,1115,01115,16.27
Shelby,AL,1117,01117,14.86
Sumter,AL,1119,01119,17.46
Talladega,AL,1121,01121,17.48
Tallapoosa,AL,1123,01123,20.98
Tuscaloosa,AL,1125,01125,12.87
Walker,AL,1127,01127,19.02
Washington,AL,1129,01129,18.42
Wilcox,AL,1131,01131,18.97
Winston,AL,1133,01133,21.34
Aleutians East,AK,2013,02013,9.39
Aleutians West,AK,2016,02016,6.09
Anchorage,AK,2020,02020,10.52
Bethel,AK,2050,02050,7.17
Bristol Bay,AK,2060,02060,9.94
Denali,AK,2068,02068,9.31
Dillingham,AK,2070,02070,10.06
Fairbanks North Star,AK,2090,02090,9.79
Haines,AK,2100,02100,25.14
Hoonah-Angoon,AK,2105,02105,20.52
Juneau,AK,2110,02110,12.53
Kenai Peninsula,AK,2122,02122,16.47
Ketchikan Gateway,AK,2130,02130,14.86
Kodiak Island,AK,2150,02150,9.81
Lake and Peninsula,AK,2164,02164,7.82
Matanuska-Susitna,AK,2170,02170,11.33
Nome,AK,2180,02180,7.03
North Slope,AK,2185,02185,6.85
Northwest Arctic,AK,2188,02188,7.45
Petersburg,AK,2195,02195,22.01
Prince of Wales-Hyder,AK,2198,02198,16.03
Sitka,AK,2220,02220,15.16
Skagway,AK,2230,02230,11.74
Southeast Fairbanks,AK,2240,02240,13.64
Valdez-Cordova,AK,2261,02261,12.27
Wade Hampton,AK,2270,02270,5.5
Wrangell,AK,2275,02275,22.74
Yakutat,AK,2282,02282,14.48
Yukon-Koyukuk,AK,2290,02290,14.32
Apache,AZ,4001,04001,14.95
Cochise,AZ,4003,04003,21.67
Coconino,AZ,4005,04005,12.02
Gila,AZ,4007,04007,28.38
Graham,AZ,4009,04009,13.69
Greenlee,AZ,4011,04011,12.37
La Paz,AZ,4012,04012,38.59
Maricopa,AZ,4013,04013,14.83
Mohave,AZ,4015,04015,29.55
Navajo,AZ,4017,04017,17.44
Pima,AZ,4019,04019,19.21
Pinal,AZ,4021,04021,19.86
Santa Cruz,AZ,4023,04023,17.29
Yavapai,AZ,4025,04025,30.63
Yuma,AZ,4027,04027,18.48
Arkansas,AR,5001,05001,19.01
Ashley,AR,5003,05003,19.91
Baxter,AR,5005,05005,30.85
Benton,AR,5007,05007,13.27
Boone,AR,5009,05009,20.33
Bradley,AR,5011,05011,18.34
Calhoun,AR,5013,05013,21.22
Carroll,AR,5015,05015,22.55
Chicot,AR,5017,05017,19.97
Clark,AR,5019,05019,16.23
Clay,AR,5021,05021,21.1
Cleburne,AR,5023,05023,26.77
Cleveland,AR,5025,05025,20.47
Columbia,AR,5027,05027,17.1
Conway,AR,5029,05029,18.88
Craighead,AR,5031,05031,13.52
Crawford,AR,5033,05033,16.38
Crittenden,AR,5035,05035,13.6
Cross,AR,5037,05037,18.33
Dallas,AR,5039,05039,22.21
Desha,AR,5041,05041,18.68
Drew,AR,5043,05043,16.98
Faulkner,AR,5045,05045,12.18
Franklin,AR,5047,05047,19.15
Fulton,AR,5049,05049,25.53
Garland,AR,5051,05051,23.34
Grant,AR,5053,05053,17.81
Greene,AR,5055,05055,15.75
Hempstead,AR,5057,05057,17.88
