County,State,FIPS Code,Formatted FIPS,Estimated percent of all people who were Black or African Americ
Autauga,AL,1001,01001,19.03
Baldwin,AL,1003,01003,9.26
Barbour,AL,1005,01005,47.58
Bibb,AL,1007,01007,22.29
Blount,AL,1009,01009,1.61
Bullock,AL,1011,01011,74.8
Butler,AL,1013,01013,45.4
Calhoun,AL,1015,01015,20.79
Chambers,AL,1017,01017,39.56
Cherokee,AL,1019,01019,4.6
Chilton,AL,1021,01021,9.17
Choctaw,AL,1023,01023,42.55
Clarke,AL,1025,01025,45.77
Clay,AL,1027,01027,15.56
Cleburne,AL,1029,01029,2.75
Coffee,AL,1031,01031,16.9
Colbert,AL,1033,01033,16.2
Conecuh,AL,1035,01035,47.76
Coosa,AL,1037,01037,33.61
Covington,AL,1039,01039,13.49
Crenshaw,AL,1041,01041,23.32
Cullman,AL,1043,01043,1.3
Dale,AL,1045,01045,20.29
Dallas,AL,1047,01047,70.74
DeKalb,AL,1049,01049,1.46
Elmore,AL,1051,01051,21.5
Escambia,AL,1053,01053,32.05
Etowah,AL,1055,01055,15.89
Fayette,AL,1057,01057,11.81
Franklin,AL,1059,01059,4.4
Geneva,AL,1061,01061,9.61
Greene,AL,1063,01063,79.51
Hale,AL,1065,01065,59.4
Henry,AL,1067,01067,26.64
Houston,AL,1069,01069,26.89
Jackson,AL,1071,01071,3.49
Jefferson,AL,1073,01073,42.95
Lamar,AL,1075,01075,10.65
Lauderdale,AL,1077,01077,10.37
Lawrence,AL,1079,01079,10.59
Lee,AL,1081,01081,22.91
Limestone,AL,1083,01083,13.75
Lowndes,AL,1085,01085,74.63
Macon,AL,1087,01087,83.17
Madison,AL,1089,01089,24.29
Marengo,AL,1091,01091,53.56
Marion,AL,1093,01093,3.58
Marshall,AL,1095,01095,2.67
Mobile,AL,1097,01097,35.75
Monroe,AL,1099,01099,42.44
Montgomery,AL,1101,01101,57.9
Morgan,AL,1103,01103,12.78
Perry,AL,1105,01105,69.85
Pickens,AL,1107,01107,40.18
Pike,AL,1109,01109,36.83
Randolph,AL,1111,01111,20.41
Russell,AL,1113,01113,43.66
St. Clair,AL,1115,01115,9.6
Shelby,AL,1117,01117,12.12
Sumter,AL,1119,01119,71.92
Talladega,AL,1121,01121,32.61
Tallapoosa,AL,1123,01123,27.44
Tuscaloosa,AL,1125,01125,31.99
Walker,AL,1127,01127,6.18
Washington,AL,1129,01129,23.54
Wilcox,AL,1131,01131,69.38
Winston,AL,1133,01133,0.73
Aleutians East,AK,2013,02013,4.19
Aleutians West,AK,2016,02016,3.35
Anchorage,AK,2020,02020,5.57
Bethel,AK,2050,02050,0.74
Bristol Bay,AK,2060,02060,0.57
Denali,AK,2068,02068,1.16
Dillingham,AK,2070,02070,1.59
Fairbanks North Star,AK,2090,02090,4.45
Haines,AK,2100,02100,0
Hoonah-Angoon,AK,2105,02105,3.18
Juneau,AK,2110,02110,0.99
Kenai Peninsula,AK,2122,02122,0.62
Ketchikan Gateway,AK,2130,02130,0.75
Kodiak Island,AK,2150,02150,0.34
Lake and Peninsula,AK,2164,02164,1.15
Matanuska-Susitna,AK,2170,02170,1.23
Nome,AK,2180,02180,0.95
North Slope,AK,2185,02185,1.54
Northwest Arctic,AK,2188,02188,1.22
Petersburg,AK,2195,02195,1.01
Prince of Wales-Hyder,AK,2198,02198,0.45
Sitka,AK,2220,02220,0.93
Skagway,AK,2230,02230,3.97
Southeast Fairbanks,AK,2240,02240,0.65
Valdez-Cordova,AK,2261,02261,0.38
Wade Hampton,AK,2270,02270,0.48
Wrangell,AK,2275,02275,0.04
Yakutat,AK,2282,02282,0.77
Yukon-Koyukuk,AK,2290,02290,0.07
Apache,AZ,4001,04001,0.52
Cochise,AZ,4003,04003,4.08
Coconino,AZ,4005,04005,1.23
Gila,AZ,4007,04007,0.7
Graham,AZ,4009,04009,1.96
Greenlee,AZ,4011,04011,2.19
La Paz,AZ,4012,04012,0.96
Maricopa,AZ,4013,04013,5.63
Mohave,AZ,4015,04015,1.07
Navajo,AZ,4017,04017,0.92
Pima,AZ,4019,04019,3.56
Pinal,AZ,4021,04021,4.37
Santa Cruz,AZ,4023,04023,0.65
Yavapai,AZ,4025,04025,0.66
Yuma,AZ,4027,04027,2.16
Arkansas,AR,5001,05001,25.88
Ashley,AR,5003,05003,25.41
Baxter,AR,5005,05005,0.16
Benton,AR,5007,05007,1.71
Boone,AR,5009,05009,0.33
Bradley,AR,5011,05011,28.83
Calhoun,AR,5013,05013,21.67
Carroll,AR,5015,05015,1.03
Chicot,AR,5017,05017,53.92
Clark,AR,5019,05019,24.27
Clay,AR,5021,05021,0.67
Cleburne,AR,5023,05023,0.39
Cleveland,AR,5025,05025,12.8
Columbia,AR,5027,05027,36.14
Conway,AR,5029,05029,10.39
Craighead,AR,5031,05031,14.55
Crawford,AR,5033,05033,1.58
Crittenden,AR,5035,05035,47.98
Cross,AR,5037,05037,18.67
Dallas,AR,5039,05039,43.25
Desha,AR,5041,05041,46.6
Drew,AR,5043,05043,28.72
Faulkner,AR,5045,05045,11.4
Franklin,AR,5047,05047,0.98
Fulton,AR,5049,05049,0.47
Garland,AR,5051,05051,8.21
Grant,AR,5053,05053,2.66
Greene,AR,5055,05055,1.92
Hempstead,AR,5057,05057,30.13
Hot Spring,AR,5059,05059,11.41
Howard,AR,5061,05061,20.88
Independence,AR,5063,05063,1.92
Izard,AR,5065,05065,1.83
Jackson,AR,5067,05067,12.28
Jefferson,AR,5069,05069,56.53
Johnson,AR,5071,05071,1.6
Lafayette,AR,5073,05073,36
Lawrence,AR,5075,05075,1.12
Lee,AR,5077,05077,55.56
Lincoln,AR,5079,05079,30.52
Little River,AR,5081,05081,21.95
Logan,AR,5083,05083,1.38
Lonoke,AR,5085,05085,5.67
Madison,AR,5087,05087,0.3
Marion,AR,5089,05089,0.49
Miller,AR,5091,05091,24.76
Mississippi,AR,5093,05093,33.74
Monroe,AR,5095,05095,42.98
Montgomery,AR,5097,05097,0.34
Nevada,AR,5099,05099,34.53
Newton,AR,5101,05101,0.03
Ouachita,AR,5103,05103,41.64
Perry,AR,5105,05105,0.67
Phillips,AR,5107,05107,63.15
Pike,AR,5109,05109,4.08
Poinsett,AR,5111,05111,4.57
Polk,AR,5113,05113,0.47
Pope,AR,5115,05115,2.99
Prairie,AR,5117,05117,12.42
Pulaski,AR,5119,05119,36.85
Randolph,AR,5121,05121,1.09
St. Francis,AR,5123,05123,53.46
Saline,AR,5125,05125,7.13
Scott,AR,5127,05127,0.24
Searcy,AR,5129,05129,0.61
Sebastian,AR,5131,05131,6.77
Sevier,AR,5133,05133,4.84
Sharp,AR,5135,05135,0.83
Stone,AR,5137,05137,0.09
Union,AR,5139,05139,32.67
Van Buren,AR,5141,05141,0.61
