County,State,FIPS Code,Formatted FIPS,Estimated ratio of men to women (number of males per hundred fem
Autauga,AL,1001,01001,95
Baldwin,AL,1003,01003,95
Barbour,AL,1005,01005,112
Bibb,AL,1007,01007,117
Blount,AL,1009,01009,98
Bullock,AL,1011,01011,119
Butler,AL,1013,01013,84
Calhoun,AL,1015,01015,93
Chambers,AL,1017,01017,92
Cherokee,AL,1019,01019,97
Chilton,AL,1021,01021,95
Choctaw,AL,1023,01023,91
Clarke,AL,1025,01025,90
Clay,AL,1027,01027,93
Cleburne,AL,1029,01029,96
Coffee,AL,1031,01031,97
Colbert,AL,1033,01033,92
Conecuh,AL,1035,01035,96
Coosa,AL,1037,01037,103
Covington,AL,1039,01039,94
Crenshaw,AL,1041,01041,95
Cullman,AL,1043,01043,97
Dale,AL,1045,01045,97
Dallas,AL,1047,01047,85
DeKalb,AL,1049,01049,98
Elmore,AL,1051,01051,94
Escambia,AL,1053,01053,104
Etowah,AL,1055,01055,93
Fayette,AL,1057,01057,97
Franklin,AL,1059,01059,99
Geneva,AL,1061,01061,95
Greene,AL,1063,01063,86
Hale,AL,1065,01065,90
Henry,AL,1067,01067,94
Houston,AL,1069,01069,92
Jackson,AL,1071,01071,96
Jefferson,AL,1073,01073,90
Lamar,AL,1075,01075,96
Lauderdale,AL,1077,01077,93
Lawrence,AL,1079,01079,93
Lee,AL,1081,01081,97
Limestone,AL,1083,01083,100
Lowndes,AL,1085,01085,92
Macon,AL,1087,01087,85
Madison,AL,1089,01089,95
Marengo,AL,1091,01091,93
Marion,AL,1093,01093,98
Marshall,AL,1095,01095,98
Mobile,AL,1097,01097,91
Monroe,AL,1099,01099,91
Montgomery,AL,1101,01101,89
Morgan,AL,1103,01103,97
Perry,AL,1105,01105,85
Pickens,AL,1107,01107,91
Pike,AL,1109,01109,92
Randolph,AL,1111,01111,95
Russell,AL,1113,01113,93
St. Clair,AL,1115,01115,100
Shelby,AL,1117,01117,94
Sumter,AL,1119,01119,86
Talladega,AL,1121,01121,93
Tallapoosa,AL,1123,01123,93
Tuscaloosa,AL,1125,01125,93
Walker,AL,1127,01127,96
Washington,AL,1129,01129,97
Wilcox,AL,1131,01131,88
Winston,AL,1133,01133,98
Aleutians East,AK,2013,02013,150
Aleutians West,AK,2016,02016,146
Anchorage,AK,2020,02020,104
Bethel,AK,2050,02050,109
Bristol Bay,AK,2060,02060,149
Denali,AK,2068,02068,115
Dillingham,AK,2070,02070,105
Fairbanks North Star,AK,2090,02090,117
Haines,AK,2100,02100,106
Hoonah-Angoon,AK,2105,02105,115
Juneau,AK,2110,02110,105
Kenai Peninsula,AK,2122,02122,109
Ketchikan Gateway,AK,2130,02130,105
Kodiak Island,AK,2150,02150,116
Lake and Peninsula,AK,2164,02164,116
Matanuska-Susitna,AK,2170,02170,109
Nome,AK,2180,02180,111
North Slope,AK,2185,02185,157
Northwest Arctic,AK,2188,02188,119
Petersburg,AK,2195,02195,112
Prince of Wales-Hyder,AK,2198,02198,119
Sitka,AK,2220,02220,106
Skagway,AK,2230,02230,121
Southeast Fairbanks,AK,2240,02240,121
Valdez-Cordova,AK,2261,02261,110
Wade Hampton,AK,2270,02270,118
Wrangell,AK,2275,02275,119
Yakutat,AK,2282,02282,122
Yukon-Koyukuk,AK,2290,02290,115
Apache,AZ,4001,04001,97
Cochise,AZ,4003,04003,103
Coconino,AZ,4005,04005,98
Gila,AZ,4007,04007,98
Graham,AZ,4009,04009,115
Greenlee,AZ,4011,04011,110
La Paz,AZ,4012,04012,106
Maricopa,AZ,4013,04013,98
Mohave,AZ,4015,04015,102
Navajo,AZ,4017,04017,100
Pima,AZ,4019,04019,97
Pinal,AZ,4021,04021,109
Santa Cruz,AZ,4023,04023,92
Yavapai,AZ,4025,04025,96
Yuma,AZ,4027,04027,106
Arkansas,AR,5001,05001,92
Ashley,AR,5003,05003,94
Baxter,AR,5005,05005,94
Benton,AR,5007,05007,99
Boone,AR,5009,05009,98
Bradley,AR,5011,05011,90
Calhoun,AR,5013,05013,101
Carroll,AR,5015,05015,99
Chicot,AR,5017,05017,97
Clark,AR,5019,05019,88
Clay,AR,5021,05021,97
Cleburne,AR,5023,05023,98
Cleveland,AR,5025,05025,97
Columbia,AR,5027,05027,92
Conway,AR,5029,05029,95
Craighead,AR,5031,05031,95
Crawford,AR,5033,05033,97
Crittenden,AR,5035,05035,91
Cross,AR,5037,05037,93
Dallas,AR,5039,05039,97
Desha,AR,5041,05041,90
Drew,AR,5043,05043,96
Faulkner,AR,5045,05045,96
Franklin,AR,5047,05047,97
Fulton,AR,5049,05049,100
Garland,AR,5051,05051,92
Grant,AR,5053,05053,96
Greene,AR,5055,05055,97
Hempstead,AR,5057,05057,90
Hot Spring,AR,5059,05059,109
Howard,AR,5061,05061,92
Independence,AR,5063,05063,96
Izard,AR,5065,05065,109
Jackson,AR,5067,05067,98
Jefferson,AR,5069,05069,98
Johnson,AR,5071,05071,97
Lafayette,AR,5073,05073,102
