County,State,FIPS Code,Formatted FIPS,"Estimated percent of all people who were Hispanic or Latino, bet"
Autauga,AL,1001,01001,2.83
Baldwin,AL,1003,01003,4.56
Barbour,AL,1005,01005,4.36
Bibb,AL,1007,01007,2.57
Blount,AL,1009,01009,9.26
Bullock,AL,1011,01011,2.56
Butler,AL,1013,01013,1.4
Calhoun,AL,1015,01015,3.8
Chambers,AL,1017,01017,2.38
Cherokee,AL,1019,01019,1.59
Chilton,AL,1021,01021,7.85
Choctaw,AL,1023,01023,0.41
Clarke,AL,1025,01025,0.33
Clay,AL,1027,01027,3.14
Cleburne,AL,1029,01029,2.46
Coffee,AL,1031,01031,7.28
Colbert,AL,1033,01033,2.84
Conecuh,AL,1035,01035,0.68
Coosa,AL,1037,01037,1.01
Covington,AL,1039,01039,1.69
Crenshaw,AL,1041,01041,0.79
Cullman,AL,1043,01043,4.36
Dale,AL,1045,01045,6.51
Dallas,AL,1047,01047,1.07
DeKalb,AL,1049,01049,14.55
Elmore,AL,1051,01051,2.96
Escambia,AL,1053,01053,2.33
Etowah,AL,1055,01055,3.88
Fayette,AL,1057,01057,1.8
Franklin,AL,1059,01059,17.16
Geneva,AL,1061,01061,3.98
Greene,AL,1063,01063,1.74
Hale,AL,1065,01065,0.03
Henry,AL,1067,01067,2.62
Houston,AL,1069,01069,3.32
Jackson,AL,1071,01071,2.93
Jefferson,AL,1073,01073,3.87
Lamar,AL,1075,01075,1.65
Lauderdale,AL,1077,01077,2.68
Lawrence,AL,1079,01079,2.19
Lee,AL,1081,01081,3.68
Limestone,AL,1083,01083,6.02
Lowndes,AL,1085,01085,0.5
Macon,AL,1087,01087,0.81
Madison,AL,1089,01089,4.95
Marengo,AL,1091,01091,1.01
Marion,AL,1093,01093,2.6
Marshall,AL,1095,01095,13.97
Mobile,AL,1097,01097,2.9
Monroe,AL,1099,01099,0.38
Montgomery,AL,1101,01101,3.52
Morgan,AL,1103,01103,8.36
Perry,AL,1105,01105,1.18
Pickens,AL,1107,01107,4.87
Pike,AL,1109,01109,2.25
Randolph,AL,1111,01111,2.95
Russell,AL,1113,01113,5.49
St. Clair,AL,1115,01115,2.42
Shelby,AL,1117,01117,5.72
Sumter,AL,1119,01119,0.53
Talladega,AL,1121,01121,2.29
Tallapoosa,AL,1123,01123,2.42
Tuscaloosa,AL,1125,01125,3.72
Walker,AL,1127,01127,2.49
Washington,AL,1129,01129,1.46
Wilcox,AL,1131,01131,0.53
Winston,AL,1133,01133,3.15
Aleutians East,AK,2013,02013,9.01
Aleutians West,AK,2016,02016,14.06
Anchorage,AK,2020,02020,9.17
