County,State,FIPS Code,Formatted FIPS,"Estimated percent of all households that own a home, between 201"
Autauga,AL,1001,01001,73.29
Baldwin,AL,1003,01003,75.25
Barbour,AL,1005,01005,60.9
Bibb,AL,1007,01007,74.42
Blount,AL,1009,01009,78.78
Bullock,AL,1011,01011,71.12
Butler,AL,1013,01013,69.95
Calhoun,AL,1015,01015,70.07
Chambers,AL,1017,01017,67.46
Cherokee,AL,1019,01019,77.34
Chilton,AL,1021,01021,74.5
Choctaw,AL,1023,01023,80.91
Clarke,AL,1025,01025,70.1
Clay,AL,1027,01027,75.45
Cleburne,AL,1029,01029,76.13
Coffee,AL,1031,01031,65.74
Colbert,AL,1033,01033,72.19
Conecuh,AL,1035,01035,76.1
Coosa,AL,1037,01037,79.24
Covington,AL,1039,01039,74.47
Crenshaw,AL,1041,01041,75.48
Cullman,AL,1043,01043,74.81
Dale,AL,1045,01045,60.09
Dallas,AL,1047,01047,59.34
DeKalb,AL,1049,01049,71.53
Elmore,AL,1051,01051,73.26
Escambia,AL,1053,01053,68.32
Etowah,AL,1055,01055,72.59
Fayette,AL,1057,01057,77.26
Franklin,AL,1059,01059,70.79
Geneva,AL,1061,01061,72
Greene,AL,1063,01063,67.06
Hale,AL,1065,01065,75.84
Henry,AL,1067,01067,83.33
Houston,AL,1069,01069,65.7
Jackson,AL,1071,01071,75.52
Jefferson,AL,1073,01073,62.7
Lamar,AL,1075,01075,75.63
Lauderdale,AL,1077,01077,68.14
Lawrence,AL,1079,01079,77.66
Lee,AL,1081,01081,61.61
Limestone,AL,1083,01083,77.62
Lowndes,AL,1085,01085,74.26
Macon,AL,1087,01087,65.48
Madison,AL,1089,01089,66.84
Marengo,AL,1091,01091,71.48
Marion,AL,1093,01093,75.14
Marshall,AL,1095,01095,70.18
Mobile,AL,1097,01097,64.55
Monroe,AL,1099,01099,63.64
Montgomery,AL,1101,01101,58.38
Morgan,AL,1103,01103,72.72
Perry,AL,1105,01105,71.86
Pickens,AL,1107,01107,75.25
Pike,AL,1109,01109,62.28
Randolph,AL,1111,01111,76.65
Russell,AL,1113,01113,60.18
St. Clair,AL,1115,01115,79.89
Shelby,AL,1117,01117,80.53
Sumter,AL,1119,01119,64.07
Talladega,AL,1121,01121,71.29
Tallapoosa,AL,1123,01123,74.86
Tuscaloosa,AL,1125,01125,63.75
Walker,AL,1127,01127,77.25
Washington,AL,1129,01129,82.65
Wilcox,AL,1131,01131,67.9
Winston,AL,1133,01133,79.41
Aleutians East,AK,2013,02013,63.82
Aleutians West,AK,2016,02016,28.22
Anchorage,AK,2020,02020,61.34
Bethel,AK,2050,02050,58.16
Bristol Bay,AK,2060,02060,53.82
Denali,AK,2068,02068,81.57
Dillingham,AK,2070,02070,62.02
Fairbanks North Star,AK,2090,02090,58.92
Haines,AK,2100,02100,66.43
Hoonah-Angoon,AK,2105,02105,75.47
Juneau,AK,2110,02110,64.78
Kenai Peninsula,AK,2122,02122,72.82
Ketchikan Gateway,AK,2130,02130,61.55
Kodiak Island,AK,2150,02150,54.59
Lake and Peninsula,AK,2164,02164,71.5
Matanuska-Susitna,AK,2170,02170,77.07
Nome,AK,2180,02180,60.48
North Slope,AK,2185,02185,52.65
Northwest Arctic,AK,2188,02188,56.21
Petersburg,AK,2195,02195,68.83
Prince of Wales-Hyder,AK,2198,02198,72.75
Sitka,AK,2220,02220,59.26
Skagway,AK,2230,02230,53.33
Southeast Fairbanks,AK,2240,02240,73.5
Valdez-Cordova,AK,2261,02261,74.63
Wade Hampton,AK,2270,02270,71.69
Wrangell,AK,2275,02275,67.87
Yakutat,AK,2282,02282,66.21
Yukon-Koyukuk,AK,2290,02290,72.41
Apache,AZ,4001,04001,78.89
Cochise,AZ,4003,04003,68.93
Coconino,AZ,4005,04005,61.04
Gila,AZ,4007,04007,75.56
Graham,AZ,4009,04009,70.26
Greenlee,AZ,4011,04011,48.63
La Paz,AZ,4012,04012,71.54
Maricopa,AZ,4013,04013,62.19
Mohave,AZ,4015,04015,69.27
Navajo,AZ,4017,04017,68.78
Pima,AZ,4019,04019,63.17
Pinal,AZ,4021,04021,76.72
Santa Cruz,AZ,4023,04023,67.65
Yavapai,AZ,4025,04025,71.98
Yuma,AZ,4027,04027,67.1
Arkansas,AR,5001,05001,65.18
Ashley,AR,5003,05003,77.48
Baxter,AR,5005,05005,76.15
Benton,AR,5007,05007,66.57
Boone,AR,5009,05009,71.79
Bradley,AR,5011,05011,65.17
Calhoun,AR,5013,05013,84.81
Carroll,AR,5015,05015,75.73
Chicot,AR,5017,05017,61.77
Clark,AR,5019,05019,57.53
Clay,AR,5021,05021,67.41
Cleburne,AR,5023,05023,75.21
Cleveland,AR,5025,05025,76.03
Columbia,AR,5027,05027,70.42
Conway,AR,5029,05029,67.28
Craighead,AR,5031,05031,57.09
Crawford,AR,5033,05033,76.01
Crittenden,AR,5035,05035,57.44
Cross,AR,5037,05037,66.84
Dallas,AR,5039,05039,67.7
Desha,AR,5041,05041,61.47
Drew,AR,5043,05043,67.7
Faulkner,AR,5045,05045,62.31
Franklin,AR,5047,05047,70.5
Fulton,AR,5049,05049,79.73
Garland,AR,5051,05051,67.82
Grant,AR,5053,05053,80.13
Greene,AR,5055,05055,67
Hempstead,AR,5057,05057,69.27
Hot Spring,AR,5059,05059,77.86
Howard,AR,5061,05061,68.94
Independence,AR,5063,05063,71.65
Izard,AR,5065,05065,76.07
Jackson,AR,5067,05067,69.37
Jefferson,AR,5069,05069,62.1
Johnson,AR,5071,05071,70.42
Lafayette,AR,5073,05073,79.09
Lawrence,AR,5075,05075,67.32
Lee,AR,5077,05077,59.79
Lincoln,AR,5079,05079,77.13
Little River,AR,5081,05081,71.53
Logan,AR,5083,05083,73.68
Lonoke,AR,5085,05085,69.25
Madison,AR,5087,05087,78.02
Marion,AR,5089,05089,78.86
Miller,AR,5091,05091,64.65
Mississippi,AR,5093,05093,56.36
Monroe,AR,5095,05095,59.89
Montgomery,AR,5097,05097,81.33
Nevada,AR,5099,05099,66.94
Newton,AR,5101,05101,84.2
Ouachita,AR,5103,05103,69.12
Perry,AR,5105,05105,76.44
Phillips,AR,5107,05107,48.19
Pike,AR,5109,05109,78.79
Poinsett,AR,5111,05111,62.92
Polk,AR,5113,05113,76.68
Pope,AR,5115,05115,68.93
Prairie,AR,5117,05117,73.94
Pulaski,AR,5119,05119,58.8
Randolph,AR,5121,05121,71.72
St. Francis,AR,5123,05123,54.74
Saline,AR,5125,05125,78.09
Scott,AR,5127,05127,73.78
Searcy,AR,5129,05129,73.94
Sebastian,AR,5131,05131,58.82
Sevier,AR,5133,05133,71.38
Sharp,AR,5135,05135,77.16
Stone,AR,5137,05137,74.64
Union,AR,5139,05139,75.45
Van Buren,AR,5141,05141,78.56
Washington,AR,5143,05143,52.59
White,AR,5145,05145,66.06
Woodruff,AR,5147,05147,65.38
Yell,AR,5149,05149,71.48
Alameda,CA,6001,06001,53.52
Alpine,CA,6003,06003,84
Amador,CA,6005,06005,76.5
Butte,CA,6007,06007,58.99
Calaveras,CA,6009,06009,77.75
Colusa,CA,6011,06011,61.02
Contra Costa,CA,6013,06013,65.92
Del Norte,CA,6015,06015,63.08
El Dorado,CA,6017,06017,75.73
Fresno,CA,6019,06019,53.3
Glenn,CA,6021,06021,59.38
Humboldt,CA,6023,06023,56.84
Imperial,CA,6025,06025,58.35
Inyo,CA,6027,06027,65.46
Kern,CA,6029,06029,58.29
Kings,CA,6031,06031,52.32
Lake,CA,6033,06033,66.38
Lassen,CA,6035,06035,67.56
Los Angeles,CA,6037,06037,45.81
Madera,CA,6039,06039,64.11
Marin,CA,6041,06041,63.66
Mariposa,CA,6043,06043,68.43
Mendocino,CA,6045,06045,59.9
Merced,CA,6047,06047,52.24
Modoc,CA,6049,06049,74.89
Mono,CA,6051,06051,64.39
Monterey,CA,6053,06053,51.04
Napa,CA,6055,06055,64.22
Nevada,CA,6057,06057,74.2
Orange,CA,6059,06059,57.38
Placer,CA,6061,06061,71.86
Plumas,CA,6063,06063,72.85
Riverside,CA,6065,06065,66.35
Sacramento,CA,6067,06067,56.41
San Benito,CA,6069,06069,63.71
San Bernardino,CA,6071,06071,59.79
San Diego,CA,6073,06073,53.33
San Francisco,CA,6075,06075,37.6
San Joaquin,CA,6077,06077,56.62
San Luis Obispo,CA,6079,06079,61.57
