County,State,FIPS Code,Formatted FIPS,Estimated percent of people with less than a high school diploma
Autauga,AL,1001,01001,11.48
Baldwin,AL,1003,01003,9.19
Barbour,AL,1005,01005,26.79
Bibb,AL,1007,01007,20.94
Blount,AL,1009,01009,19.51
Bullock,AL,1011,01011,25.32
Butler,AL,1013,01013,14.95
Calhoun,AL,1015,01015,15.57
Chambers,AL,1017,01017,18.38
Cherokee,AL,1019,01019,18.43
Chilton,AL,1021,01021,18.22
Choctaw,AL,1023,01023,18.62
Clarke,AL,1025,01025,19.43
Clay,AL,1027,01027,23.31
Cleburne,AL,1029,01029,20.97
Coffee,AL,1031,01031,14.07
Colbert,AL,1033,01033,14.84
Conecuh,AL,1035,01035,15.67
Coosa,AL,1037,01037,20
Covington,AL,1039,01039,16.59
Crenshaw,AL,1041,01041,20.8
Cullman,AL,1043,01043,18.45
Dale,AL,1045,01045,13.88
Dallas,AL,1047,01047,18.16
DeKalb,AL,1049,01049,25.16
Elmore,AL,1051,01051,13.38
Escambia,AL,1053,01053,18.86
Etowah,AL,1055,01055,15.45
Fayette,AL,1057,01057,17.4
Franklin,AL,1059,01059,22.8
Geneva,AL,1061,01061,19.68
Greene,AL,1063,01063,20.78
Hale,AL,1065,01065,16
Henry,AL,1067,01067,20.62
Houston,AL,1069,01069,13.96
Jackson,AL,1071,01071,16.81
Jefferson,AL,1073,01073,9.94
Lamar,AL,1075,01075,17.66
Lauderdale,AL,1077,01077,12.62
Lawrence,AL,1079,01079,20.7
Lee,AL,1081,01081,9.12
Limestone,AL,1083,01083,15.31
Lowndes,AL,1085,01085,21.65
Macon,AL,1087,01087,18.2
Madison,AL,1089,01089,8.3
Marengo,AL,1091,01091,16.18
Marion,AL,1093,01093,20.43
Marshall,AL,1095,01095,18.39
Mobile,AL,1097,01097,13.53
Monroe,AL,1099,01099,14.36
Montgomery,AL,1101,01101,13.27
Morgan,AL,1103,01103,15.93
Perry,AL,1105,01105,17.17
Pickens,AL,1107,01107,18.49
Pike,AL,1109,01109,15.03
Randolph,AL,1111,01111,20.37
Russell,AL,1113,01113,16.18
St. Clair,AL,1115,01115,15.45
Shelby,AL,1117,01117,7.33
Sumter,AL,1119,01119,13.3
Talladega,AL,1121,01121,19.67
Tallapoosa,AL,1123,01123,19.35
Tuscaloosa,AL,1125,01125,11.65
Walker,AL,1127,01127,18.18
Washington,AL,1129,01129,17.37
Wilcox,AL,1131,01131,23.55
Winston,AL,1133,01133,21.19
Aleutians East,AK,2013,02013,14.53
Aleutians West,AK,2016,02016,10.54
Anchorage,AK,2020,02020,6.1
Bethel,AK,2050,02050,19.09
Bristol Bay,AK,2060,02060,5.98
Denali,AK,2068,02068,1.54
Dillingham,AK,2070,02070,13.68
Fairbanks North Star,AK,2090,02090,5.51
Haines,AK,2100,02100,2.49
Hoonah-Angoon,AK,2105,02105,6.25
Juneau,AK,2110,02110,3.63
Kenai Peninsula,AK,2122,02122,7.32
Ketchikan Gateway,AK,2130,02130,7.23
Kodiak Island,AK,2150,02150,10.21
Lake and Peninsula,AK,2164,02164,11.98
Matanuska-Susitna,AK,2170,02170,7.05
Nome,AK,2180,02180,15.43
North Slope,AK,2185,02185,10.27
Northwest Arctic,AK,2188,02188,17.46
Petersburg,AK,2195,02195,10.34
Prince of Wales-Hyder,AK,2198,02198,9.2
Sitka,AK,2220,02220,5.29
Skagway,AK,2230,02230,5.31
Southeast Fairbanks,AK,2240,02240,10.14
Valdez-Cordova,AK,2261,02261,4.63
Wade Hampton,AK,2270,02270,21.12
Wrangell,AK,2275,02275,13.45
Yakutat,AK,2282,02282,8.82
Yukon-Koyukuk,AK,2290,02290,14.03
Apache,AZ,4001,04001,19.6
Cochise,AZ,4003,04003,12.62
Coconino,AZ,4005,04005,9.48
Gila,AZ,4007,04007,13.67
Graham,AZ,4009,04009,14.74
Greenlee,AZ,4011,04011,11.94
La Paz,AZ,4012,04012,23.06
Maricopa,AZ,4013,04013,12.27
Mohave,AZ,4015,04015,13.93
Navajo,AZ,4017,04017,16.62
Pima,AZ,4019,04019,11.62
Pinal,AZ,4021,04021,14.23
Santa Cruz,AZ,4023,04023,23.4
Yavapai,AZ,4025,04025,8.95
Yuma,AZ,4027,04027,26.75
Arkansas,AR,5001,05001,16.09
Ashley,AR,5003,05003,16.71
Baxter,AR,5005,05005,11.27
Benton,AR,5007,05007,11.42
Boone,AR,5009,05009,12.59
Bradley,AR,5011,05011,18.96
Calhoun,AR,5013,05013,15.77
Carroll,AR,5015,05015,13.72
Chicot,AR,5017,05017,19.23
Clark,AR,5019,05019,10.04
Clay,AR,5021,05021,17.53
Cleburne,AR,5023,05023,14.05
Cleveland,AR,5025,05025,10.42
Columbia,AR,5027,05027,14.13
Conway,AR,5029,05029,12.95
Craighead,AR,5031,05031,10.68
Crawford,AR,5033,05033,15.02
Crittenden,AR,5035,05035,17.39
Cross,AR,5037,05037,16.36
Dallas,AR,5039,05039,16.05
Desha,AR,5041,05041,18.94
Drew,AR,5043,05043,13.09
Faulkner,AR,5045,05045,8.17
Franklin,AR,5047,05047,16.28
Fulton,AR,5049,05049,14.41
Garland,AR,5051,05051,10.88
Grant,AR,5053,05053,9.2
Greene,AR,5055,05055,11.76
Hempstead,AR,5057,05057,17.38
Hot Spring,AR,5059,05059,14.17
Howard,AR,5061,05061,14.77
Independence,AR,5063,05063,13.98
Izard,AR,5065,05065,16.21
Jackson,AR,5067,05067,19.83
Jefferson,AR,5069,05069,13.86
Johnson,AR,5071,05071,21.11
Lafayette,AR,5073,05073,20.29
Lawrence,AR,5075,05075,15.87
Lee,AR,5077,05077,24.16
Lincoln,AR,5079,05079,18.92
Little River,AR,5081,05081,11.04
Logan,AR,5083,05083,13.77
Lonoke,AR,5085,05085,10.87
Madison,AR,5087,05087,19.36
Marion,AR,5089,05089,13.49
Miller,AR,5091,05091,13.55
Mississippi,AR,5093,05093,18.85
Monroe,AR,5095,05095,21.14
Montgomery,AR,5097,05097,20.2
Nevada,AR,5099,05099,9.62
Newton,AR,5101,05101,13.52
Ouachita,AR,5103,05103,13.96
Perry,AR,5105,05105,15.15
Phillips,AR,5107,05107,19.73
Pike,AR,5109,05109,12.61
Poinsett,AR,5111,05111,19.67
Polk,AR,5113,05113,15.08
Pope,AR,5115,05115,15.52
Prairie,AR,5117,05117,16.79
Pulaski,AR,5119,05119,9.65
Randolph,AR,5121,05121,17.11
St. Francis,AR,5123,05123,18.08
Saline,AR,5125,05125,9.38
