County,State,FIPS Code,Formatted FIPS,"Estimated median age of all people, between 2015-2019."
Autauga,AL,1001,01001,38
Baldwin,AL,1003,01003,43
Barbour,AL,1005,01005,40
Bibb,AL,1007,01007,41
Blount,AL,1009,01009,41
Bullock,AL,1011,01011,40
Butler,AL,1013,01013,41
Calhoun,AL,1015,01015,40
Chambers,AL,1017,01017,42
Cherokee,AL,1019,01019,47
Chilton,AL,1021,01021,39
Choctaw,AL,1023,01023,46
Clarke,AL,1025,01025,43
Clay,AL,1027,01027,43
Cleburne,AL,1029,01029,43
Coffee,AL,1031,01031,39
Colbert,AL,1033,01033,42
Conecuh,AL,1035,01035,45
Coosa,AL,1037,01037,48
Covington,AL,1039,01039,43
Crenshaw,AL,1041,01041,42
Cullman,AL,1043,01043,41
Dale,AL,1045,01045,37
Dallas,AL,1047,01047,40
DeKalb,AL,1049,01049,40
Elmore,AL,1051,01051,39
Escambia,AL,1053,01053,40
Etowah,AL,1055,01055,41
Fayette,AL,1057,01057,44
Franklin,AL,1059,01059,39
Geneva,AL,1061,01061,43
Greene,AL,1063,01063,41
Hale,AL,1065,01065,41
Henry,AL,1067,01067,44
Houston,AL,1069,01069,40
Jackson,AL,1071,01071,43
Jefferson,AL,1073,01073,38
Lamar,AL,1075,01075,45
Lauderdale,AL,1077,01077,41
Lawrence,AL,1079,01079,42
Lee,AL,1081,01081,32
Limestone,AL,1083,01083,40
Lowndes,AL,1085,01085,42
Macon,AL,1087,01087,39
Madison,AL,1089,01089,39
Marengo,AL,1091,01091,42
Marion,AL,1093,01093,44
Marshall,AL,1095,01095,39
Mobile,AL,1097,01097,38
Monroe,AL,1099,01099,43
Montgomery,AL,1101,01101,36
Morgan,AL,1103,01103,41
Perry,AL,1105,01105,37
Pickens,AL,1107,01107,42
Pike,AL,1109,01109,31
Randolph,AL,1111,01111,43
Russell,AL,1113,01113,36
St. Clair,AL,1115,01115,40
Shelby,AL,1117,01117,39
Sumter,AL,1119,01119,36
Talladega,AL,1121,01121,41
Tallapoosa,AL,1123,01123,45
Tuscaloosa,AL,1125,01125,33
Walker,AL,1127,01127,42
Washington,AL,1129,01129,44
Wilcox,AL,1131,01131,41
Winston,AL,1133,01133,45
Aleutians East,AK,2013,02013,43
Aleutians West,AK,2016,02016,39
Anchorage,AK,2020,02020,34
Bethel,AK,2050,02050,27
Bristol Bay,AK,2060,02060,43
Denali,AK,2068,02068,42
Dillingham,AK,2070,02070,30
Fairbanks North Star,AK,2090,02090,31
Haines,AK,2100,02100,45
Hoonah-Angoon,AK,2105,02105,50
Juneau,AK,2110,02110,38
Kenai Peninsula,AK,2122,02122,41
Ketchikan Gateway,AK,2130,02130,40
Kodiak Island,AK,2150,02150,34
Lake and Peninsula,AK,2164,02164,35
Matanuska-Susitna,AK,2170,02170,35
Nome,AK,2180,02180,28
North Slope,AK,2185,02185,35
Northwest Arctic,AK,2188,02188,28
Petersburg,AK,2195,02195,43
Prince of Wales-Hyder,AK,2198,02198,41
Sitka,AK,2220,02220,40
Skagway,AK,2230,02230,40
Southeast Fairbanks,AK,2240,02240,37
Valdez-Cordova,AK,2261,02261,38
Wade Hampton,AK,2270,02270,24
Wrangell,AK,2275,02275,49
Yakutat,AK,2282,02282,37
Yukon-Koyukuk,AK,2290,02290,35
Apache,AZ,4001,04001,35
Cochise,AZ,4003,04003,41
Coconino,AZ,4005,04005,31
Gila,AZ,4007,04007,50
Graham,AZ,4009,04009,34
Greenlee,AZ,4011,04011,35
La Paz,AZ,4012,04012,57
Maricopa,AZ,4013,04013,36
Mohave,AZ,4015,04015,52
Navajo,AZ,4017,04017,37
Pima,AZ,4019,04019,39
Pinal,AZ,4021,04021,39
Santa Cruz,AZ,4023,04023,37
Yavapai,AZ,4025,04025,53
Yuma,AZ,4027,04027,35
Arkansas,AR,5001,05001,41
Ashley,AR,5003,05003,42
Baxter,AR,5005,05005,52
Benton,AR,5007,05007,35
Boone,AR,5009,05009,42
Bradley,AR,5011,05011,41
Calhoun,AR,5013,05013,45
Carroll,AR,5015,05015,45
Chicot,AR,5017,05017,43
Clark,AR,5019,05019,34
Clay,AR,5021,05021,43
Cleburne,AR,5023,05023,49
Cleveland,AR,5025,05025,43
Columbia,AR,5027,05027,36
Conway,AR,5029,05029,43
Craighead,AR,5031,05031,34
Crawford,AR,5033,05033,39
Crittenden,AR,5035,05035,35
Cross,AR,5037,05037,41
Dallas,AR,5039,05039,44
Desha,AR,5041,05041,40
Drew,AR,5043,05043,37
Faulkner,AR,5045,05045,33
Franklin,AR,5047,05047,41
Fulton,AR,5049,05049,48
Garland,AR,5051,05051,45
Grant,AR,5053,05053,41
Greene,AR,5055,05055,38
Hempstead,AR,5057,05057,40
Hot Spring,AR,5059,05059,41
Howard,AR,5061,05061,39
Independence,AR,5063,05063,39
Izard,AR,5065,05065,48
Jackson,AR,5067,05067,40
Jefferson,AR,5069,05069,39
Johnson,AR,5071,05071,38
Lafayette,AR,5073,05073,47
Lawrence,AR,5075,05075,41
Lee,AR,5077,05077,43
Lincoln,AR,5079,05079,39
Little River,AR,5081,05081,43
Logan,AR,5083,05083,42
Lonoke,AR,5085,05085,36
Madison,AR,5087,05087,43
Marion,AR,5089,05089,52
Miller,AR,5091,05091,40
Mississippi,AR,5093,05093,37
Monroe,AR,5095,05095,47
Montgomery,AR,5097,05097,50
Nevada,AR,5099,05099,44
Newton,AR,5101,05101,49
Ouachita,AR,5103,05103,43
Perry,AR,5105,05105,44
Phillips,AR,5107,05107,39
Pike,AR,5109,05109,43
Poinsett,AR,5111,05111,40
Polk,AR,5113,05113,44
Pope,AR,5115,05115,35
Prairie,AR,5117,05117,47
Pulaski,AR,5119,05119,37
Randolph,AR,5121,05121,41
St. Francis,AR,5123,05123,39
Saline,AR,5125,05125,40
Scott,AR,5127,05127,41
Searcy,AR,5129,05129,48
Sebastian,AR,5131,05131,38
Sevier,AR,5133,05133,35
Sharp,AR,5135,05135,48
Stone,AR,5137,05137,50
Union,AR,5139,05139,40
