County,State,FIPS Code,Formatted FIPS,"Estimated median value of an owner-occupied home, between 2015-2"
Autauga,AL,1001,01001,154500
Baldwin,AL,1003,01003,197900
Barbour,AL,1005,01005,90700
Bibb,AL,1007,01007,92800
Blount,AL,1009,01009,127800
Bullock,AL,1011,01011,70300
Butler,AL,1013,01013,95900
Calhoun,AL,1015,01015,118000
Chambers,AL,1017,01017,97100
Cherokee,AL,1019,01019,123400
Chilton,AL,1021,01021,107300
Choctaw,AL,1023,01023,74100
Clarke,AL,1025,01025,112500
Clay,AL,1027,01027,107800
Cleburne,AL,1029,01029,116500
Coffee,AL,1031,01031,147400
Colbert,AL,1033,01033,120800
Conecuh,AL,1035,01035,81000
Coosa,AL,1037,01037,84000
Covington,AL,1039,01039,97600
Crenshaw,AL,1041,01041,81000
Cullman,AL,1043,01043,128600
Dale,AL,1045,01045,112000
Dallas,AL,1047,01047,83300
DeKalb,AL,1049,01049,106100
Elmore,AL,1051,01051,166600
Escambia,AL,1053,01053,99400
Etowah,AL,1055,01055,113700
Fayette,AL,1057,01057,88500
Franklin,AL,1059,01059,95000
Geneva,AL,1061,01061,100900
Greene,AL,1063,01063,80400
Hale,AL,1065,01065,89300
Henry,AL,1067,01067,118800
Houston,AL,1069,01069,137600
Jackson,AL,1071,01071,104900
Jefferson,AL,1073,01073,159100
Lamar,AL,1075,01075,80900
Lauderdale,AL,1077,01077,145000
Lawrence,AL,1079,01079,110500
Lee,AL,1081,01081,169300
Limestone,AL,1083,01083,158800
Lowndes,AL,1085,01085,70000
Macon,AL,1087,01087,80800
Madison,AL,1089,01089,186100
Marengo,AL,1091,01091,84400
Marion,AL,1093,01093,92800
Marshall,AL,1095,01095,128800
Mobile,AL,1097,01097,130200
Monroe,AL,1099,01099,102200
Montgomery,AL,1101,01101,129800
Morgan,AL,1103,01103,137000
Perry,AL,1105,01105,65000
Pickens,AL,1107,01107,96000
Pike,AL,1109,01109,120000
Randolph,AL,1111,01111,96100
Russell,AL,1113,01113,122000
St. Clair,AL,1115,01115,154900
Shelby,AL,1117,01117,211900
Sumter,AL,1119,01119,74400
Talladega,AL,1121,01121,105300
Tallapoosa,AL,1123,01123,109300
Tuscaloosa,AL,1125,01125,170400
Walker,AL,1127,01127,104300
Washington,AL,1129,01129,89100
Wilcox,AL,1131,01131,79400
Winston,AL,1133,01133,86100
Aleutians East,AK,2013,02013,119900
Aleutians West,AK,2016,02016,279200
Anchorage,AK,2020,02020,314800
Bethel,AK,2050,02050,83600
Bristol Bay,AK,2060,02060,188800
Denali,AK,2068,02068,223000
Dillingham,AK,2070,02070,183500
Fairbanks North Star,AK,2090,02090,240000
