County,State,FIPS Code,Formatted FIPS,"Estimated median income of a household, between 2015-2019."
Autauga,AL,1001,01001,58731
Baldwin,AL,1003,01003,58320
Barbour,AL,1005,01005,32525
Bibb,AL,1007,01007,47542
Blount,AL,1009,01009,49358
Bullock,AL,1011,01011,37785
Butler,AL,1013,01013,40688
Calhoun,AL,1015,01015,47255
Chambers,AL,1017,01017,42289
Cherokee,AL,1019,01019,41919
Chilton,AL,1021,01021,47468
Choctaw,AL,1023,01023,35892
Clarke,AL,1025,01025,37404
Clay,AL,1027,01027,40845
Cleburne,AL,1029,01029,44741
Coffee,AL,1031,01031,55637
Colbert,AL,1033,01033,48065
Conecuh,AL,1035,01035,37837
Coosa,AL,1037,01037,38990
Covington,AL,1039,01039,42189
Crenshaw,AL,1041,01041,43163
Cullman,AL,1043,01043,44918
Dale,AL,1045,01045,47214
Dallas,AL,1047,01047,33845
DeKalb,AL,1049,01049,40440
Elmore,AL,1051,01051,60891
Escambia,AL,1053,01053,36275
Etowah,AL,1055,01055,44637
Fayette,AL,1057,01057,39856
Franklin,AL,1059,01059,43514
Geneva,AL,1061,01061,41732
Greene,AL,1063,01063,24145
Hale,AL,1065,01065,34046
Henry,AL,1067,01067,50017
Houston,AL,1069,01069,47580
Jackson,AL,1071,01071,41769
Jefferson,AL,1073,01073,53901
Lamar,AL,1075,01075,38364
Lauderdale,AL,1077,01077,48094
Lawrence,AL,1079,01079,44886
Lee,AL,1081,01081,51463
Limestone,AL,1083,01083,59686
Lowndes,AL,1085,01085,30036
Macon,AL,1087,01087,33370
Madison,AL,1089,01089,65449
Marengo,AL,1091,01091,33241
Marion,AL,1093,01093,35930
Marshall,AL,1095,01095,45983
Mobile,AL,1097,01097,47583
Monroe,AL,1099,01099,30441
Montgomery,AL,1101,01101,50124
Morgan,AL,1103,01103,52156
Perry,AL,1105,01105,23447
Pickens,AL,1107,01107,39848
Pike,AL,1109,01109,37446
Randolph,AL,1111,01111,43395
Russell,AL,1113,01113,42443
St. Clair,AL,1115,01115,58308
Shelby,AL,1117,01117,77799
Sumter,AL,1119,01119,24320
Talladega,AL,1121,01121,41325
Tallapoosa,AL,1123,01123,45828
Tuscaloosa,AL,1125,01125,53326
Walker,AL,1127,01127,43629
Washington,AL,1129,01129,41370
Wilcox,AL,1131,01131,31014
Winston,AL,1133,01133,35788
Aleutians East,AK,2013,02013,69250
Aleutians West,AK,2016,02016,87466
Anchorage,AK,2020,02020,84928
Bethel,AK,2050,02050,53553
Bristol Bay,AK,2060,02060,79808
Denali,AK,2068,02068,81719
Dillingham,AK,2070,02070,56898
Fairbanks North Star,AK,2090,02090,76992
Haines,AK,2100,02100,58059
Hoonah-Angoon,AK,2105,02105,59803
Juneau,AK,2110,02110,88390
Kenai Peninsula,AK,2122,02122,66064
Ketchikan Gateway,AK,2130,02130,72728
Kodiak Island,AK,2150,02150,85839
Lake and Peninsula,AK,2164,02164,44135
Matanuska-Susitna,AK,2170,02170,75493
Nome,AK,2180,02180,61048
North Slope,AK,2185,02185,79306
Northwest Arctic,AK,2188,02188,60906
Petersburg,AK,2195,02195,69948
Prince of Wales-Hyder,AK,2198,02198,52379
Sitka,AK,2220,02220,73682
Skagway,AK,2230,02230,73906
Southeast Fairbanks,AK,2240,02240,70056
Valdez-Cordova,AK,2261,02261,79867
Wade Hampton,AK,2270,02270,36754
Wrangell,AK,2275,02275,53894
Yakutat,AK,2282,02282,71607
Yukon-Koyukuk,AK,2290,02290,41413
Apache,AZ,4001,04001,32508
Cochise,AZ,4003,04003,49260
Coconino,AZ,4005,04005,59460
Gila,AZ,4007,04007,43524
Graham,AZ,4009,04009,51353
Greenlee,AZ,4011,04011,63473
La Paz,AZ,4012,04012,34643
Maricopa,AZ,4013,04013,64468
Mohave,AZ,4015,04015,45587
Navajo,AZ,4017,04017,40067
Pima,AZ,4019,04019,53379
Pinal,AZ,4021,04021,58174
Santa Cruz,AZ,4023,04023,41259
Yavapai,AZ,4025,04025,52451
Yuma,AZ,4027,04027,45243
Arkansas,AR,5001,05001,46696
Ashley,AR,5003,05003,44744
Baxter,AR,5005,05005,42260
Benton,AR,5007,05007,66362
Boone,AR,5009,05009,45374
Bradley,AR,5011,05011,43184
Calhoun,AR,5013,05013,46417
Carroll,AR,5015,05015,46110
Chicot,AR,5017,05017,34147
Clark,AR,5019,05019,41620
Clay,AR,5021,05021,37233
Cleburne,AR,5023,05023,44483
Cleveland,AR,5025,05025,46684
Columbia,AR,5027,05027,36193
Conway,AR,5029,05029,42802
Craighead,AR,5031,05031,47286
Crawford,AR,5033,05033,46828
Crittenden,AR,5035,05035,40161
Cross,AR,5037,05037,46787
Dallas,AR,5039,05039,38072
Desha,AR,5041,05041,31893
Drew,AR,5043,05043,46997
Faulkner,AR,5045,05045,52827
Franklin,AR,5047,05047,38923
Fulton,AR,5049,05049,35405
Garland,AR,5051,05051,44777
Grant,AR,5053,05053,55388
Greene,AR,5055,05055,47056
Hempstead,AR,5057,05057,42860
Hot Spring,AR,5059,05059,43889
Howard,AR,5061,05061,36059
Independence,AR,5063,05063,44319
Izard,AR,5065,05065,42876
Jackson,AR,5067,05067,34109
Jefferson,AR,5069,05069,40726
Johnson,AR,5071,05071,38511
Lafayette,AR,5073,05073,32397
Lawrence,AR,5075,05075,39993
Lee,AR,5077,05077,29681
Lincoln,AR,5079,05079,46596
Little River,AR,5081,05081,45113
Logan,AR,5083,05083,41466
Lonoke,AR,5085,05085,59094
Madison,AR,5087,05087,41682
Marion,AR,5089,05089,36719
Miller,AR,5091,05091,43371
Mississippi,AR,5093,05093,39962
Monroe,AR,5095,05095,38468
Montgomery,AR,5097,05097,35741
Nevada,AR,5099,05099,38042
Newton,AR,5101,05101,38082
Ouachita,AR,5103,05103,35425
Perry,AR,5105,05105,48667
Phillips,AR,5107,05107,29320
Pike,AR,5109,05109,40401
Poinsett,AR,5111,05111,40921
Polk,AR,5113,05113,37974
Pope,AR,5115,05115,43462
Prairie,AR,5117,05117,42660
Pulaski,AR,5119,05119,51749
Randolph,AR,5121,05121,37218
St. Francis,AR,5123,05123,35348
Saline,AR,5125,05125,64412
Scott,AR,5127,05127,36092
Searcy,AR,5129,05129,36438
Sebastian,AR,5131,05131,46228
Sevier,AR,5133,05133,47704
Sharp,AR,5135,05135,34671
Stone,AR,5137,05137,38188
Union,AR,5139,05139,44663
Van Buren,AR,5141,05141,38499
Washington,AR,5143,05143,50451
White,AR,5145,05145,44029
Woodruff,AR,5147,05147,32845
Yell,AR,5149,05149,43923
Alameda,CA,6001,06001,99406
Alpine,CA,6003,06003,63750
Amador,CA,6005,06005,62772
Butte,CA,6007,06007,52537
Calaveras,CA,6009,06009,63158
Colusa,CA,6011,06011,59401
Contra Costa,CA,6013,06013,99716
Del Norte,CA,6015,06015,45283
El Dorado,CA,6017,06017,83377
Fresno,CA,6019,06019,53969
Glenn,CA,6021,06021,49633
Humboldt,CA,6023,06023,48041
Imperial,CA,6025,06025,47622
Inyo,CA,6027,06027,57316
Kern,CA,6029,06029,53350
Kings,CA,6031,06031,57848
Lake,CA,6033,06033,47040
Lassen,CA,6035,06035,56352
Los Angeles,CA,6037,06037,68044
Madera,CA,6039,06039,57585
Marin,CA,6041,06041,115246
Mariposa,CA,6043,06043,48820
Mendocino,CA,6045,06045,51416
Merced,CA,6047,06047,53672
Modoc,CA,6049,06049,45507
Mono,CA,6051,06051,62260
Monterey,CA,6053,06053,71015
Napa,CA,6055,06055,88596
Nevada,CA,6057,06057,66096
Orange,CA,6059,06059,90234
Placer,CA,6061,06061,89691
Plumas,CA,6063,06063,55359
Riverside,CA,6065,06065,67005
Sacramento,CA,6067,06067,67151
San Benito,CA,6069,06069,86958
San Bernardino,CA,6071,06071,63362
San Diego,CA,6073,06073,78980
San Francisco,CA,6075,06075,112449
San Joaquin,CA,6077,06077,64432
San Luis Obispo,CA,6079,06079,73518
San Mateo,CA,6081,06081,122641
Santa Barbara,CA,6083,06083,74624
Santa Clara,CA,6085,06085,124055
Santa Cruz,CA,6087,06087,82234
Shasta,CA,6089,06089,54667
Sierra,CA,6091,06091,52148
Siskiyou,CA,6093,06093,45241
Solano,CA,6095,06095,81472
Sonoma,CA,6097,06097,81018
Stanislaus,CA,6099,06099,60704
Sutter,CA,6101,06101,59050
Tehama,CA,6103,06103,44514
Trinity,CA,6105,06105,40846
Tulare,CA,6107,06107,49687
Tuolumne,CA,6109,06109,60108
Ventura,CA,6111,06111,88131
Yolo,CA,6113,06113,70228
Yuba,CA,6115,06115,58054
Adams,CO,8001,08001,71202
Alamosa,CO,8003,08003,37515
Arapahoe,CO,8005,08005,77469
Archuleta,CO,8007,08007,52221
Baca,CO,8009,08009,35878
Bent,CO,8011,08011,30900
Boulder,CO,8013,08013,83019
Broomfield,CO,8014,08014,96416
Chaffee,CO,8015,08015,55771
Cheyenne,CO,8017,08017,53977
Clear Creek,CO,8019,08019,67060
Conejos,CO,8021,08021,36084
Costilla,CO,8023,08023,30965
Crowley,CO,8025,08025,42135
Custer,CO,8027,08027,53119
Delta,CO,8029,08029,45269
Denver,CO,8031,08031,68592
Dolores,CO,8033,08033,45972
Douglas,CO,8035,08035,119730
Eagle,CO,8037,08037,84790
Elbert,CO,8039,08039,99199
El Paso,CO,8041,08041,68779
Fremont,CO,8043,08043,49409
Garfield,CO,8045,08045,75937
Gilpin,CO,8047,08047,76429
Grand,CO,8049,08049,71198
Gunnison,CO,8051,08051,56577
Hinsdale,CO,8053,08053,56339
Huerfano,CO,8055,08055,38137
Jackson,CO,8057,08057,53300
Jefferson,CO,8059,08059,82986
Kiowa,CO,8061,08061,41731
Kit Carson,CO,8063,08063,49349
Lake,CO,8065,08065,50565
La Plata,CO,8067,08067,68685
Larimer,CO,8069,08069,71881
Las Animas,CO,8071,08071,41817
Lincoln,CO,8073,08073,47258
Logan,CO,8075,08075,53318
Mesa,CO,8077,08077,55379
Mineral,CO,8079,08079,62188
Moffat,CO,8081,08081,57229
Montezuma,CO,8083,08083,49470
Montrose,CO,8085,08085,50489
Morgan,CO,8087,08087,53682
Otero,CO,8089,08089,38169
Ouray,CO,8091,08091,66417
Park,CO,8093,08093,73622
Phillips,CO,8095,08095,51155
Pitkin,CO,8097,08097,78935
Prowers,CO,8099,08099,41929
Pueblo,CO,8101,08101,46783
Rio Blanco,CO,8103,08103,54357
Rio Grande,CO,8105,08105,39123
Routt,CO,8107,08107,77443
Saguache,CO,8109,08109,38571
San Juan,CO,8111,08111,54625
San Miguel,CO,8113,08113,67038
Sedgwick,CO,8115,08115,43150
Summit,CO,8117,08117,79277
Teller,CO,8119,08119,66592
Washington,CO,8121,08121,50094
Weld,CO,8123,08123,74150
Yuma,CO,8125,08125,52022
Fairfield,CT,9001,09001,95645
Hartford,CT,9003,09003,75148
Litchfield,CT,9005,09005,79906
Middlesex,CT,9007,09007,85898
New Haven,CT,9009,09009,69905
New London,CT,9011,09011,73490
Tolland,CT,9013,09013,87069
Windham,CT,9015,09015,66550
Kent,DE,10001,10001,60910
New Castle,DE,10003,10003,73892
Sussex,DE,10005,10005,63162
District of Columbia,DC,11001,11001,86420
Alachua,FL,12001,12001,49689
Baker,FL,12003,12003,63275
Bay,FL,12005,12005,54316
Bradford,FL,12007,12007,45921
Brevard,FL,12009,12009,56775
Broward,FL,12011,12011,59547
Calhoun,FL,12013,12013,38568
Charlotte,FL,12015,12015,51499
Citrus,FL,12017,12017,44237
Clay,FL,12019,12019,65740
Collier,FL,12021,12021,69653
Columbia,FL,12023,12023,46494
DeSoto,FL,12027,12027,35438
Dixie,FL,12029,12029,39828
Duval,FL,12031,12031,55807
Escambia,FL,12033,12033,50915
Flagler,FL,12035,12035,54514
Franklin,FL,12037,12037,46643
Gadsden,FL,12039,12039,41401
Gilchrist,FL,12041,12041,43640
Glades,FL,12043,12043,40977
Gulf,FL,12045,12045,47712
Hamilton,FL,12047,12047,38569
Hardee,FL,12049,12049,38682
Hendry,FL,12051,12051,40820
Hernando,FL,12053,12053,48812
Highlands,FL,12055,12055,40942
Hillsborough,FL,12057,12057,58884
Holmes,FL,12059,12059,39102
Indian River,FL,12061,12061,54740
Jackson,FL,12063,12063,39872
Jefferson,FL,12065,12065,47240
Lafayette,FL,12067,12067,50165
Lake,FL,12069,12069,54513
Lee,FL,12071,12071,57832
Leon,FL,12073,12073,53106
Levy,FL,12075,12075,37326
Liberty,FL,12077,12077,38015
Madison,FL,12079,12079,37037
Manatee,FL,12081,12081,59009
Marion,FL,12083,12083,45371
Martin,FL,12085,12085,61133
Miami-Dade,FL,12086,12086,51347
Monroe,FL,12087,12087,70033
Nassau,FL,12089,12089,69943
Okaloosa,FL,12091,12091,63412
Okeechobee,FL,12093,12093,41760
Orange,FL,12095,12095,58254
Osceola,FL,12097,12097,52279
Palm Beach,FL,12099,12099,63299
Pasco,FL,12101,12101,52828
Pinellas,FL,12103,12103,54090
Polk,FL,12105,12105,50584
Putnam,FL,12107,12107,37670
St. Johns,FL,12109,12109,82252
St. Lucie,FL,12111,12111,52322
Santa Rosa,FL,12113,12113,67949
Sarasota,FL,12115,12115,62236
Seminole,FL,12117,12117,66768
Sumter,FL,12119,12119,57226
Suwannee,FL,12121,12121,47839
Taylor,FL,12123,12123,40306
Union,FL,12125,12125,44270
