County,State,FIPS Code,Formatted FIPS,Estimated percent of all people that are living in poverty as of
Autauga,AL,1001,01001,15.19
Baldwin,AL,1003,01003,10.35
Barbour,AL,1005,01005,30.67
Bibb,AL,1007,01007,18.13
Blount,AL,1009,01009,13.55
Bullock,AL,1011,01011,28.87
Butler,AL,1013,01013,22.5
Calhoun,AL,1015,01015,17.9
Chambers,AL,1017,01017,17.25
Cherokee,AL,1019,01019,13.92
Chilton,AL,1021,01021,19.12
Choctaw,AL,1023,01023,23.35
Clarke,AL,1025,01025,23.21
Clay,AL,1027,01027,17.95
Cleburne,AL,1029,01029,17.28
Coffee,AL,1031,01031,15.07
Colbert,AL,1033,01033,15.47
Conecuh,AL,1035,01035,17.59
Coosa,AL,1037,01037,13.51
Covington,AL,1039,01039,18.59
Crenshaw,AL,1041,01041,15.16
Cullman,AL,1043,01043,14.87
Dale,AL,1045,01045,17.65
Dallas,AL,1047,01047,29.07
DeKalb,AL,1049,01049,21.08
Elmore,AL,1051,01051,11.51
Escambia,AL,1053,01053,22.15
Etowah,AL,1055,01055,17.39
Fayette,AL,1057,01057,19.44
Franklin,AL,1059,01059,19.41
Geneva,AL,1061,01061,22.01
Greene,AL,1063,01063,38.1
Hale,AL,1065,01065,24.18
Henry,AL,1067,01067,13.83
Houston,AL,1069,01069,18.23
Jackson,AL,1071,01071,18.58
Jefferson,AL,1073,01073,16.02
Lamar,AL,1075,01075,20.65
Lauderdale,AL,1077,01077,14.58
Lawrence,AL,1079,01079,18.03
Lee,AL,1081,01081,19.59
Limestone,AL,1083,01083,13.57
Lowndes,AL,1085,01085,26.81
Macon,AL,1087,01087,24.42
Madison,AL,1089,01089,12.48
Marengo,AL,1091,01091,21.9
Marion,AL,1093,01093,17.48
Marshall,AL,1095,01095,20.31
Mobile,AL,1097,01097,18.78
Monroe,AL,1099,01099,27.94
Montgomery,AL,1101,01101,19.35
Morgan,AL,1103,01103,14.64
Perry,AL,1105,01105,30.85
Pickens,AL,1107,01107,22.72
Pike,AL,1109,01109,24.43
Randolph,AL,1111,01111,16.93
Russell,AL,1113,01113,20.7
