County,State,FIPS Code,Formatted FIPS,Unemployment rate in 2020.
Autauga,AL,1001,01001,4.9
Baldwin,AL,1003,01003,5.6
Barbour,AL,1005,01005,7
Bibb,AL,1007,01007,6.6
Blount,AL,1009,01009,4.1
Bullock,AL,1011,01011,5.5
Butler,AL,1013,01013,8.8
Calhoun,AL,1015,01015,7.1
Chambers,AL,1017,01017,6.8
Cherokee,AL,1019,01019,4.6
Chilton,AL,1021,01021,5
Choctaw,AL,1023,01023,6.7
Clarke,AL,1025,01025,9
Clay,AL,1027,01027,4
Cleburne,AL,1029,01029,4.6
Coffee,AL,1031,01031,4.4
Colbert,AL,1033,01033,6.6
Conecuh,AL,1035,01035,7.3
Coosa,AL,1037,01037,5.5
Covington,AL,1039,01039,4.9
Crenshaw,AL,1041,01041,5.7
Cullman,AL,1043,01043,4.3
Dale,AL,1045,01045,4.9
Dallas,AL,1047,01047,10.7
DeKalb,AL,1049,01049,4.5
Elmore,AL,1051,01051,4.9
Escambia,AL,1053,01053,6
Etowah,AL,1055,01055,7.7
Fayette,AL,1057,01057,5
Franklin,AL,1059,01059,4.4
Geneva,AL,1061,01061,4.1
Greene,AL,1063,01063,10.9
Hale,AL,1065,01065,9.4
Henry,AL,1067,01067,4.8
Houston,AL,1069,01069,5.4
Jackson,AL,1071,01071,5.3
Jefferson,AL,1073,01073,6.2
Lamar,AL,1075,01075,4.9
Lauderdale,AL,1077,01077,5.5
Lawrence,AL,1079,01079,4.9
Lee,AL,1081,01081,5.2
Limestone,AL,1083,01083,4.3
Lowndes,AL,1085,01085,13.3
Macon,AL,1087,01087,9.6
Madison,AL,1089,01089,4.6
Marengo,AL,1091,01091,6.2
Marion,AL,1093,01093,5.1
Marshall,AL,1095,01095,4.2
Mobile,AL,1097,01097,7.9
Monroe,AL,1099,01099,8.2
Montgomery,AL,1101,01101,7.8
Morgan,AL,1103,01103,4.5
Perry,AL,1105,01105,10.9
Pickens,AL,1107,01107,6.5
Pike,AL,1109,01109,4.9
Randolph,AL,1111,01111,4.7
Russell,AL,1113,01113,5.1
St. Clair,AL,1115,01115,4.9
Shelby,AL,1117,01117,3.9
Sumter,AL,1119,01119,7
Talladega,AL,1121,01121,7
Tallapoosa,AL,1123,01123,6.9
Tuscaloosa,AL,1125,01125,6.6
Walker,AL,1127,01127,5.8
Washington,AL,1129,01129,8
Wilcox,AL,1131,01131,14.7
Winston,AL,1133,01133,4.7
Aleutians East,AK,2013,02013,4
Aleutians West,AK,2016,02016,4.5
Anchorage,AK,2020,02020,7.4
Bethel,AK,2050,02050,11.6
Bristol Bay,AK,2060,02060,7.4
Denali,AK,2068,02068,15.7
Dillingham,AK,2070,02070,8.2
Fairbanks North Star,AK,2090,02090,6.4
Haines,AK,2100,02100,15.6
Hoonah-Angoon,AK,2105,02105,13.5
Juneau,AK,2110,02110,6.6
Kenai Peninsula,AK,2122,02122,9.1
Ketchikan Gateway,AK,2130,02130,9.6
Kodiak Island,AK,2150,02150,6.2
Lake and Peninsula,AK,2164,02164,9.4
Matanuska-Susitna,AK,2170,02170,8.3
Nome,AK,2180,02180,10.5
North Slope,AK,2185,02185,5.9
Northwest Arctic,AK,2188,02188,12
Petersburg,AK,2195,02195,8.7
Prince of Wales-Hyder,AK,2198,02198,9.2
Sitka,AK,2220,02220,6.9
Skagway,AK,2230,02230,21.5
Southeast Fairbanks,AK,2240,02240,7.4
Valdez-Cordova,AK,2261,02261,8.7
Wade Hampton,AK,2270,02270,19.4
Wrangell,AK,2275,02275,8.4
Yakutat,AK,2282,02282,8.5
Yukon-Koyukuk,AK,2290,02290,12.1
Apache,AZ,4001,04001,12.8
Cochise,AZ,4003,04003,7
Coconino,AZ,4005,04005,9.7
Gila,AZ,4007,04007,7.7
Graham,AZ,4009,04009,6.3
Greenlee,AZ,4011,04011,5.5
La Paz,AZ,4012,04012,7.1
Maricopa,AZ,4013,04013,7.4
Mohave,AZ,4015,04015,10
Navajo,AZ,4017,04017,10.1
Pima,AZ,4019,04019,7.7
Pinal,AZ,4021,04021,7.5
Santa Cruz,AZ,4023,04023,11.4
Yavapai,AZ,4025,04025,7.5
Yuma,AZ,4027,04027,17.1
Arkansas,AR,5001,05001,4
Ashley,AR,5003,05003,9.3
Baxter,AR,5005,05005,5.9
Benton,AR,5007,05007,4.5
Boone,AR,5009,05009,5.3
Bradley,AR,5011,05011,5.8
Calhoun,AR,5013,05013,5.2
Carroll,AR,5015,05015,5.7
Chicot,AR,5017,05017,10.3
Clark,AR,5019,05019,5.9
Clay,AR,5021,05021,6
Cleburne,AR,5023,05023,7.6
Cleveland,AR,5025,05025,6.1
Columbia,AR,5027,05027,6.8
Conway,AR,5029,05029,6
Craighead,AR,5031,05031,5.3
Crawford,AR,5033,05033,5.4
Crittenden,AR,5035,05035,8.3
Cross,AR,5037,05037,6.1
Dallas,AR,5039,05039,5.3
Desha,AR,5041,05041,7
Drew,AR,5043,05043,6.9
Faulkner,AR,5045,05045,5.4
Franklin,AR,5047,05047,5.6
Fulton,AR,5049,05049,5.1
Garland,AR,5051,05051,8
Grant,AR,5053,05053,5.2
Greene,AR,5055,05055,6
Hempstead,AR,5057,05057,5.2
Hot Spring,AR,5059,05059,5.8
Howard,AR,5061,05061,5
Independence,AR,5063,05063,5.8
Izard,AR,5065,05065,8.4
Jackson,AR,5067,05067,7.1
Jefferson,AR,5069,05069,8
Johnson,AR,5071,05071,6.3
Lafayette,AR,5073,05073,7.6
Lawrence,AR,5075,05075,6.1
Lee,AR,5077,05077,7.5
Lincoln,AR,5079,05079,6
Little River,AR,5081,05081,6.4
Logan,AR,5083,05083,6.6
Lonoke,AR,5085,05085,5.5
Madison,AR,5087,05087,3.9
Marion,AR,5089,05089,6.4
Miller,AR,5091,05091,6.9
Mississippi,AR,5093,05093,9
Monroe,AR,5095,05095,6.7
Montgomery,AR,5097,05097,6.8
Nevada,AR,5099,05099,5.9
Newton,AR,5101,05101,5
Ouachita,AR,5103,05103,6
Perry,AR,5105,05105,5.5
Phillips,AR,5107,05107,9.1
Pike,AR,5109,05109,5.9
Poinsett,AR,5111,05111,5.5
Polk,AR,5113,05113,6.6
Pope,AR,5115,05115,5.9
Prairie,AR,5117,05117,5.3
Pulaski,AR,5119,05119,7.4
Randolph,AR,5121,05121,5.9
St. Francis,AR,5123,05123,7.9
Saline,AR,5125,05125,5.1
Scott,AR,5127,05127,4.5
Searcy,AR,5129,05129,6.4
Sebastian,AR,5131,05131,6
Sevier,AR,5133,05133,5.8
Sharp,AR,5135,05135,7.1
Stone,AR,5137,05137,7.1
Union,AR,5139,05139,8.3
Van Buren,AR,5141,05141,7.1
Washington,AR,5143,05143,4.6
White,AR,5145,05145,6.2
Woodruff,AR,5147,05147,5.8
Yell,AR,5149,05149,5.1
Alameda,CA,6001,06001,8.8
Alpine,CA,6003,06003,11.2
Amador,CA,6005,06005,9.1
Butte,CA,6007,06007,9.2
Calaveras,CA,6009,06009,7.6
Colusa,CA,6011,06011,16
Contra Costa,CA,6013,06013,8.9
Del Norte,CA,6015,06015,9.5
El Dorado,CA,6017,06017,8.3
Fresno,CA,6019,06019,11.3
Glenn,CA,6021,06021,8.9
Humboldt,CA,6023,06023,8.4
Imperial,CA,6025,06025,22.5
Inyo,CA,6027,06027,7.8
Kern,CA,6029,06029,12.5
Kings,CA,6031,06031,11.6
Lake,CA,6033,06033,9.6
Lassen,CA,6035,06035,7.1
Los Angeles,CA,6037,06037,12.8
Madera,CA,6039,06039,10.8
Marin,CA,6041,06041,6.7
Mariposa,CA,6043,06043,10.9
Mendocino,CA,6045,06045,8.9
Merced,CA,6047,06047,12.2
Modoc,CA,6049,06049,8.5
Mono,CA,6051,06051,11.8
