County,State,FIPS Code,Formatted FIPS,"Estimated percent of all people who were White, between 2015-201"
Autauga,AL,1001,01001,76.79
Baldwin,AL,1003,01003,86.21
Barbour,AL,1005,01005,46.8
Bibb,AL,1007,01007,76.79
Blount,AL,1009,01009,95.46
Bullock,AL,1011,01011,21.9
Butler,AL,1013,01013,51.85
Calhoun,AL,1015,01015,73.67
Chambers,AL,1017,01017,57.7
Cherokee,AL,1019,01019,92.85
Chilton,AL,1021,01021,83.61
Choctaw,AL,1023,01023,56.77
Clarke,AL,1025,01025,52.97
Clay,AL,1027,01027,83.17
Cleburne,AL,1029,01029,93.86
Coffee,AL,1031,01031,75.72
Colbert,AL,1033,01033,79.04
Conecuh,AL,1035,01035,50.73
Coosa,AL,1037,01037,65.8
Covington,AL,1039,01039,84.57
Crenshaw,AL,1041,01041,71.36
Cullman,AL,1043,01043,95.11
Dale,AL,1045,01045,72.36
Dallas,AL,1047,01047,27.86
DeKalb,AL,1049,01049,85.44
Elmore,AL,1051,01051,75.3
Escambia,AL,1053,01053,62.21
Etowah,AL,1055,01055,79.83
Fayette,AL,1057,01057,85.29
Franklin,AL,1059,01059,83
Geneva,AL,1061,01061,86.57
Greene,AL,1063,01063,17.29
Hale,AL,1065,01065,39.53
Henry,AL,1067,01067,70.73
Houston,AL,1069,01069,69.1
Jackson,AL,1071,01071,91.52
Jefferson,AL,1073,01073,51.81
Lamar,AL,1075,01075,87.53
Lauderdale,AL,1077,01077,86.91
Lawrence,AL,1079,01079,78.04
Lee,AL,1081,01081,70.34
Limestone,AL,1083,01083,80.23
Lowndes,AL,1085,01085,24.77
Macon,AL,1087,01087,16.04
Madison,AL,1089,01089,67.94
Marengo,AL,1091,01091,45.75
Marion,AL,1093,01093,92.88
Marshall,AL,1095,01095,93.02
Mobile,AL,1097,01097,58.61
Monroe,AL,1099,01099,54.48
Montgomery,AL,1101,01101,35.81
Morgan,AL,1103,01103,79.91
Perry,AL,1105,01105,29.45
Pickens,AL,1107,01107,56.7
Pike,AL,1109,01109,57.9
Randolph,AL,1111,01111,77.06
Russell,AL,1113,01113,49.21
St. Clair,AL,1115,01115,87.25
Shelby,AL,1117,01117,80.12
Sumter,AL,1119,01119,25.23
Talladega,AL,1121,01121,63.94
Tallapoosa,AL,1123,01123,69.95
Tuscaloosa,AL,1125,01125,64.22
Walker,AL,1127,01127,90.59
Washington,AL,1129,01129,66.33
Wilcox,AL,1131,01131,27.29
Winston,AL,1133,01133,96.05
Aleutians East,AK,2013,02013,15.07
Aleutians West,AK,2016,02016,29.13
Anchorage,AK,2020,02020,62.6
Bethel,AK,2050,02050,11.15
Bristol Bay,AK,2060,02060,52.69
Denali,AK,2068,02068,84.24
Dillingham,AK,2070,02070,17.46
Fairbanks North Star,AK,2090,02090,75.42
Haines,AK,2100,02100,81.61
Hoonah-Angoon,AK,2105,02105,46.1
Juneau,AK,2110,02110,68.01
