State,FIPS,County,Population (2010),Latitude,Longitude
AL,1001,Autauga,"54,571",+32.536382°,–86.644490°
AL,1003,Baldwin,"182,265",+30.659218°,–87.746067°
AL,1005,Barbour,"27,457",+31.870670°,–85.405456°
AL,1007,Bibb,"22,915",+33.015893°,–87.127148°
AL,1009,Blount,"57,322",+33.977448°,–86.567246°
AL,1011,Bullock,"10,914",+32.101759°,–85.717261°
AL,1013,Butler,"20,947",+31.751667°,–86.681969°
AL,1015,Calhoun,"118,572",+33.771706°,–85.822513°
AL,1017,Chambers,"34,215",+32.917943°,–85.391812°
AL,1019,Cherokee,"25,989",+34.069515°,–85.654242°
AL,1021,Chilton,"43,643",+32.854060°,–86.726628°
AL,1023,Choctaw,"13,859",+31.991008°,–88.248887°
AL,1025,Clarke,"25,833",+31.685521°,–87.818624°
AL,1027,Clay,"13,932",+33.267809°,–85.862051°
AL,1029,Cleburne,"14,972",+33.671981°,–85.516109°
AL,1031,Coffee,"49,948",+31.402183°,–85.989201°
AL,1033,Colbert,"54,428",+34.703112°,–87.801457°
AL,1035,Conecuh,"13,228",+31.428293°,–86.992029°
AL,1037,Coosa,"11,539",+32.931445°,–86.243482°
AL,1039,Covington,"37,765",+31.243987°,–86.448721°
AL,1041,Crenshaw,"13,906",+31.732826°,–86.319222°
AL,1043,Cullman,"80,406",+34.131923°,–86.869267°
AL,1045,Dale,"50,251",+31.430654°,–85.609476°
AL,1047,Dallas,"43,820",+32.333540°,–87.114356°
AL,1049,DeKalb,"71,109",+34.460929°,–85.803992°
AL,1051,Elmore,"79,303",+32.597229°,–86.142739°
AL,1053,Escambia,"38,319",+31.121748°,–87.168429°
AL,1055,Etowah,"104,430",+34.047638°,–86.034420°
AL,1057,Fayette,"17,241",+33.732249°,–87.752049°
AL,1059,Franklin,"31,704",+34.441988°,–87.842815°
AL,1061,Geneva,"26,790",+31.090866°,–85.824346°
AL,1063,Greene,"9,045",+32.844497°,–87.964201°
AL,1065,Hale,"15,760",+32.752796°,–87.623061°
AL,1067,Henry,"17,302",+31.516978°,–85.239971°
AL,1069,Houston,"101,547",+31.158193°,–85.296398°
AL,1071,Jackson,"53,227",+34.763522°,–85.977400°
AL,1073,Jefferson,"658,466",+33.553444°,–86.896536°
AL,1075,Lamar,"14,564",+33.787085°,–88.087431°
AL,1077,Lauderdale,"92,709",+34.904122°,–87.650997°
AL,1079,Lawrence,"34,339",+34.529776°,–87.321865°
AL,1081,Lee,"140,247",+32.604064°,–85.353048°
AL,1083,Limestone,"82,782",+34.810239°,–86.981400°
AL,1085,Lowndes,"11,299",+32.147888°,–86.650586°
AL,1087,Macon,"21,452",+32.387027°,–85.692887°
AL,1089,Madison,"334,811",+34.764238°,–86.551080°
AL,1091,Marengo,"21,027",+32.247591°,–87.791091°
AL,1093,Marion,"30,776",+34.138219°,–87.881551°
AL,1095,Marshall,"93,019",+34.309564°,–86.321668°
AL,1097,Mobile,"412,992",+30.684573°,–88.196568°
AL,1099,Monroe,"23,068",+31.580332°,–87.383266°
AL,1101,Montgomery,"229,363",+32.203651°,–86.203831°
AL,1103,Morgan,"119,490",+34.454484°,–86.846402°
AL,1105,Perry,"10,591",+32.639005°,–87.293827°
AL,1107,Pickens,"19,746",+33.296809°,–88.096878°
AL,1109,Pike,"32,899",+31.798726°,–85.941997°
AL,1111,Randolph,"22,913",+33.296475°,–85.464068°
AL,1113,Russell,"52,947",+32.289811°,–85.186980°
AL,1115,St. Clair,"83,593",+33.712963°,–86.315663°
AL,1117,Shelby,"195,085",+33.262937°,–86.678104°
AL,1119,Sumter,"13,763",+32.597481°,–88.200057°
AL,1121,Talladega,"82,291",+33.369277°,–86.175805°
AL,1123,Tallapoosa,"41,616",+32.863369°,–85.799553°
AL,1125,Tuscaloosa,"194,656",+33.290202°,–87.522860°
AL,1127,Walker,"67,023",+33.791571°,–87.301092°
AL,1129,Washington,"17,581",+31.406974°,–88.202078°
AL,1131,Wilcox,"11,670",+31.990330°,–87.302205°
AL,1133,Winston,"24,484",+34.155888°,–87.364147°
AK,2013,Aleutians East,"3,141",+55.243722°,–161.950749°
AK,2016,Aleutians West [4],"5,561",+51.959447°,–178.338813°
AK,2020,Anchorage,"291,826",+61.177549°,–149.274354°
AK,2050,Bethel [4],"17,013",+60.928916°,–160.153350°
AK,2060,Bristol Bay,997,+58.731373°,–156.986612°
AK,2068,Denali,"1,826",+63.682732°,–150.026719°
AK,2070,Dillingham [4],"4,847",+59.824816°,–158.602233°
AK,2090,Fairbanks North Star,"97,581",+64.690832°,–146.599867°
AK,2100,Haines,"2,508",+59.099905°,–135.578102°
AK,2105,Hoonah-Angoon [4],"2,150",+58.076434°,–135.185100°
AK,2110,Juneau,"31,275",+58.372700°,–134.178781°
AK,2122,Kenai Peninsula,"55,400",+60.366373°,–152.321973°
AK,2130,Ketchikan Gateway,"13,477",+55.449938°,–131.106685°
AK,2150,Kodiak Island,"13,592",+57.553611°,–153.630911°
AK,2164,Lake and Peninsula,"1,631",+58.205065°,–156.705188°
AK,2170,Matanuska-Susitna,"88,995",+62.182174°,–149.407974°
AK,2180,Nome [4],"9,492",+64.783686°,–164.188912°
AK,2185,North Slope,"9,430",+69.449343°,–153.472830°
AK,2188,Northwest Arctic,"7,523",+67.005066°,–160.021086°
AK,2195,Petersburg [4],"3,815",+56.639612°,–133.527996°
AK,2198,Prince of Wales-Hyder [4],"5,559",+55.415683°,–132.875734°
AK,2220,Sitka,"8,881",+57.142509°,–135.332624°
AK,2230,Skagway,968,+59.575097°,–135.335418°
AK,2240,Southeast Fairbanks [4],"7,029",+63.864997°,–143.218628°
AK,2261,Valdez-Cordova [4],"9,636",+61.349840°,–145.023141°
AK,2270,Wade Hampton [4],"7,459",+62.283174°,–163.190950°
AK,2275,Wrangell,"2,369",+56.279121°,–132.040326°
AK,2282,Yakutat,662,+59.999083°,–140.239593°
AK,2290,Yukon-Koyukuk [4],"5,588",+65.376131°,–151.576855°
AZ,4001,Apache,"71,518",+35.385845°,–109.493747°
AZ,4003,Cochise,"131,346",+31.881793°,–109.754120°
AZ,4005,Coconino,"134,421",+35.829692°,–111.773728°
AZ,4007,Gila,"53,597",+33.789618°,–110.811870°
AZ,4009,Graham,"37,220",+32.931828°,–109.878310°
AZ,4011,Greenlee,"8,437",+33.238872°,–109.242323°
AZ,4012,La Paz,"20,489",+33.727625°,–114.038793°
AZ,4013,Maricopa,"3,817,117",+33.346541°,–112.495534°
AZ,4015,Mohave,"200,186",+35.717705°,–113.749689°
AZ,4017,Navajo,"107,449",+35.390934°,–110.320908°
AZ,4019,Pima,"980,263",+32.128237°,–111.783018°
AZ,4021,Pinal,"375,770",+32.918910°,–111.367257°
AZ,4023,Santa Cruz,"47,420",+31.525904°,–110.845190°
AZ,4025,Yavapai,"211,033",+34.630044°,–112.573745°
AZ,4027,Yuma,"195,751",+32.773942°,–113.910905°
AR,5001,Arkansas,"19,019",+34.289574°,–91.376547°
AR,5003,Ashley,"21,853",+33.190835°,–91.772267°
AR,5005,Baxter,"41,513",+36.280710°,–92.330438°
AR,5007,Benton,"221,339",+36.337825°,–94.256187°
AR,5009,Boone,"36,903",+36.304308°,–93.079204°
AR,5011,Bradley,"11,508",+33.463819°,–92.168164°
AR,5013,Calhoun,"5,368",+33.560460°,–92.513879°
AR,5015,Carroll,"27,446",+36.337774°,–93.541663°
AR,5017,Chicot,"11,800",+33.267139°,–91.297158°
AR,5019,Clark,"22,995",+34.053312°,–93.176205°
AR,5021,Clay,"16,083",+36.367302°,–90.418704°
AR,5023,Cleburne,"25,970",+35.566288°,–92.059974°
AR,5025,Cleveland,"8,689",+33.893201°,–92.188714°
AR,5027,Columbia,"24,552",+33.215070°,–93.226901°
AR,5029,Conway,"21,273",+35.265702°,–92.689248°
AR,5031,Craighead,"96,443",+35.828268°,–90.630411°
AR,5033,Crawford,"61,948",+35.583041°,–94.236224°
AR,5035,Crittenden,"50,902",+35.211878°,–90.315331°
AR,5037,Cross,"17,870",+35.291259°,–90.773894°
AR,5039,Dallas,"8,116",+33.967823°,–92.653999°
AR,5041,Desha,"13,008",+33.828748°,–91.244427°
AR,5043,Drew,"18,509",+33.587242°,–91.722778°
AR,5045,Faulkner,"113,237",+35.146356°,–92.324654°
AR,5047,Franklin,"18,125",+35.508573°,–93.887672°
AR,5049,Fulton,"12,245",+36.383443°,–91.819239°
AR,5051,Garland,"96,024",+34.578861°,–93.146915°
AR,5053,Grant,"17,853",+34.288063°,–92.423984°
AR,5055,Greene,"42,090",+36.119922°,–90.565241°
AR,5057,Hempstead,"22,609",+33.728611°,–93.665809°
AR,5059,Hot Spring,"32,923",+34.315177°,–92.944147°
AR,5061,Howard,"13,789",+34.083179°,–93.990988°
AR,5063,Independence,"36,647",+35.737499°,–91.559942°
AR,5065,Izard,"13,696",+36.094879°,–91.913625°
AR,5067,Jackson,"17,997",+35.596605°,–91.223178°
AR,5069,Jefferson,"77,435",+34.277696°,–91.930701°
AR,5071,Johnson,"25,540",+35.573359°,–93.466322°
AR,5073,Lafayette,"7,645",+33.240660°,–93.611643°
AR,5075,Lawrence,"17,415",+36.041098°,–91.101153°
AR,5077,Lee,"10,424",+34.779750°,–90.779288°
