,0,1,2,3,4,5,6,7,8,9,,,,
"Estimated percent of all people 65 or older, between 2015-2019.",19.3,4.7,19.4,4.3,18.7,4.5,18.3,4.9,17.6,4.3,,,,
"Estimated median age of all people, between 2015-2019.",42.1,5.4,42.4,5.1,41.2,5.2,40.8,5.3,39.9,5.3,,,,
"Estimated percent of all households that own a home, between 201",73,8.3,72.6,7.8,71.3,7.5,70.1,7.9,68.8,9.2,,,,
"Estimated percent of people with at least a Bachelor's degree, b",19.8,8.2,19.8,8.6,21.1,8,24.6,9.5,27.5,11.6,,,,
Estimated percent of all people who were Black or African Americ,7.7,14.5,10.7,16,11,15.1,10.2,14.1,8,12.8,,,,
"Estimated median value of an owner-occupied home, between 2015-2",127.0,71.8,149.4,94.5,148.7,69.4,172.6,92.1,199.2,135.6,,,,
"Estimated percent of all people who were Hispanic or Latino, bet",15.1,26.8,10.4,15.9,9.2,12.8,9.2,10.8,9.3,10.9,,,,
"Estimated percent of all people 85 or older, between 2015-2019.",2.3,1,2.2,0.7,2.1,0.7,2.2,1,2.3,1,,,,
"Estimated median income of a household, between 2015-2019.",48.79,14.73,51.27,13.18,52.24,12.61,56.57,14.67,59.59,16.42,,,,
Unemployment rate in 2020.,6.4,2.6,7.1,2.1,7.3,2.2,6.9,2,6.5,2.1,,,,
Estimated percent of people with less than a high school diploma,14.7,8,14.1,6,13.5,5.2,12,5,10.6,4.8,,,,
"Estimated percent of all people who were White, between 2015-201",83.4,18.5,82,17.3,81,17.3,81.6,16.2,83.1,14.7,,,,
Estimated ratio of men to women (number of males per hundred fem,101.8,13.1,101.4,10.8,100.1,10.7,98.6,7.9,99.8,9.4,,,,
Estimated percent of all people that are living in poverty as of,17.8,10.8,15.9,5.9,15.6,5.5,14.5,5.5,13.2,5.2,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1000
