Facility Name,License Number,Capacity,Licensee,Phone Number,Email Address,Address,City,Zip Code,Date Accessed,State Facility Type 1 Literal,State
"1Love Assist Living Home, Llc.",101417,5,"1LOVE ASSISTED LIVING HOME, LLC.",830-1902,1lovealhalaska@gmail.com,1141 W 68TH CT,Anchorage,99518,8/2/21,ASSISTED LIVING HOME,AK
3 Angels' Assisted Living Home Ii,101352,5,"3 ANGELS' ASSISTED LIVING HOME II, LLC",350-9715,threeangels907@yahoo.com,3907 BARBARA DRIVE,Anchorage,99517,8/2/21,ASSISTED LIVING HOME,AK
3 Angels' Assisted Living Home Iii,101413,5,3 ANGELS' ASSISTED LIVING HOME LLC,350-9715,threeangels907@yahoo.com,6300 E. NINTH AVENUE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
3 Angels' Assisted Living Home Llc,101295,5,3 ANGELS' ASSISTED LIVING HOME LLC,350-5350,threeangels907@yahoo.com,1302 GARDEN STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
3707 Oregon Alh,101032,5,3707 OREGON LLC,244-9504,scott@aofalaska.com,3707 OREGON ST.,Anchorage,99517,8/2/21,ASSISTED LIVING HOME,AK
4Everhome Alh,101358,5,ERISH AND ERWIN DURANO,,4everhome1@gmail.com,2565 WEST 69TH COURT,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
7Th Son Assisted Living,101228,3,ANDREW CORBIN,354-4757,andrewcorbin@gci.net / judycorbin29@gmail.com,12114 EAST SCOTT ROAD UNIT C,Palmer,99645,8/2/21,ASSISTED LIVING HOME,AK
A Fine Place,101258,3,JUSTINE FINE,9078413463,afineplaceak@gmail.com,1414 N. PIONEER PEAK DRIVE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
A Fine Place Ii,101440,2,JUSTINE FINE AND JAMES SCRUGGS,841-3463,afineplaceak@gmail.com,1420 N. PIONEER PEAK DRIVE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
A Happy Home (Yale),101275,2,A HAPPY HOME LLC,444-3648,seth@akhappyhome.com,2939 YALE DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
A Legacy Home,101354,2,"A LEGACY HOME CARE, LLC",561-0380,alegacyhomecare@gmail.com,6347 ROSE HIP CT.,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Aaron Assisted Living I,100582,5,"AARON ASSISTED LIVING, LLC.",230-0358,aaronalrf@aol.com,3800 GARDNER ST.,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Aaron Assisted Living Ii,100704,5,"AARON ASSISTED LIVING, LLC.",230-0358,aaronalrf@aol.com,4201 RESURRECTION DR.,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
"Abba Assisted Living Home, Llc",101361,5,MARIAN GRACE I. ASPIRAS,,abbaalh1616@gmail.com,1616 PARKWAY DR.,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Abby Assisted Living Home,101374,2,JESSICA FULTON,,abbyassisted.ak@gmail.com,1781 SOUTH ABBY BLVD.,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Abc Assisted Living,100430,4,CAROLYN ALLEN,373-5512,cmallen@gci.net,7481 TERRITORIAL  DRIVE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Abra Assisted Living Home,100875,3,"MERLO LLANEZA, SR.",522-0564,aga-pita@hotmail.com,1609 BETULA CIRCLE,Anchorage,99505,8/2/21,ASSISTED LIVING HOME,AK
"Abuelita Alh, Llc",100900,5,"ABUELITA ALH, LLC",677-0230,pegris@hotmail.com,1105 SAN ANTONIO STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Abuelitos Alh,101356,5,"ABUELITA ALH, LLC",,dammbro@hotmail.com,2120 E. 72ND AVE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Abundant Care Castle,101433,1,SHARON STRONG,223-6377,strongs95@yahoo.com,1533 LATOUCHE STREET UNIT C,Anchorage,99501,8/2/21,ASSISTED LIVING HOME,AK
Adl Unlimited Llc,101086,4,ADL UNLIMITED LLC,222-1794,nathanrobinsonak.gmail.com,1722 WEST 99TH AVENUE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Advantage Senior Care Llc,100853,2,ADVANTAGE SENIOR CARE LLC,345-3416,nursemate43@yahoo.com,9650 MUSKETBALL CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Affinity Alaska,101315,2,AFFINITY ALASKA LLC,350-7286,,610 BOUNTY DR,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Agape Living Alh,101304,2,"WATKINS BUSINESS ESSENTIALS, LLC",301-9879,agapeliving@yahoo.com,5613 ALORA LOOP,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Agape Living Ii,101362,2,"WATKINS BUSINESS ESSENTIALS, LLC.",,agapeliving@yahoo.com,5601 ALORA LOOP,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Agape Love Assisted Living Home,101262,5,"AGAPE LOVE ASSISTED LIVING HOME, LLC",339-9198,aga-pita@hotmail.com,3836 WILLIAMS STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
"Agewise A New Vision, Llc",101443,5,AGEWISE A NEW VISION LLC,907-328-0557,anuvision00@gmail.com,1744 FARMERS LOOP ROAD,Fairbanks,99709,8/2/21,ASSISTED LIVING HOME,AK
