Facility Name,License Number,Capacity,Licensee,Phone Number,Email Address,Address,City,Zip Code
"1Love Assist Living Home, LLC.",101417,5,"1Love Assisted Living Home, LLC.",830-1902,1lovealhalaska@gmail.com,1141 W 68th Ct,Anchorage,99518
3 Angels' Assisted Living Home II,101352,5,"3 Angels' Assisted Living Home II, LLC",350-9715,threeangels907@yahoo.com,3907 Barbara Drive,Anchorage,99517
3 Angels' Assisted Living Home III,101413,5,3 Angels' Assisted Living Home LLC,350-9715,threeangels907@yahoo.com,6300 E. Ninth Avenue,Anchorage,99504
3 Angels' Assisted Living Home LLC,101295,5,3 Angels' Assisted Living Home LLC,350-5350,threeangels907@yahoo.com,1302 Garden Street,Anchorage,99508
3707 Oregon ALH,101032,5,3707 Oregon LLC,244-9504,scott@aofalaska.com,3707 Oregon St.,Anchorage,99517
4EverHome ALH,101358,5,Erish and Erwin Durano,,4everhome1@gmail.com,2565 West 69th Court,Anchorage,99502
7th Son Assisted Living,101228,3,Andrew Corbin,354-4757,andrewcorbin@gci.net / judycorbin29@gmail.com,12114 East Scott Road Unit C,Palmer,99645
A Fine Place,101258,3,Justine Fine,9078413463,afineplaceak@gmail.com,1414 N. Pioneer Peak Drive,Wasilla,99654
A Fine Place II,101440,2,Justine Fine and James Scruggs,841-3463,afineplaceak@gmail.com,1420 N. Pioneer Peak Drive,Wasilla,99654
A Happy Home (Yale),101275,2,A Happy Home LLC,444-3648,seth@akhappyhome.com,2939 Yale Drive,Anchorage,99508
A Legacy Home,101354,2,"A Legacy Home Care, LLC",561-0380,alegacyhomecare@gmail.com,6347 Rose Hip Ct.,Anchorage,99507
Aaron Assisted Living I,100582,5,"Aaron Assisted Living, LLC.",230-0358,aaronalrf@aol.com,3800 Gardner St.,Anchorage,99508
Aaron Assisted Living II,100704,5,"Aaron Assisted Living, LLC.",230-0358,Aaronalrf@aol.com,4201 Resurrection Dr.,Anchorage,99504
"ABBA Assisted Living Home, LLC",101361,5,Marian Grace I. Aspiras,,abbaalh1616@gmail.com,1616 Parkway Dr.,Anchorage,99504
