Facility Name,Address 1,Address 2,City,State,Zip Code,County,Facility ID,Phone Number,State Facility Type 1 Literal,Capacity,State Facility Type 2 Literal,Ownership Type
Assisted Living of Arab,8895 Alabama Highway 69,,Arab,AL,35016,Marshall,D4805,(256) 753-6324,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Atria Regency,4720 Morrison Drive,,Mobile,AL,36609,Mobile,D4946,(251) 380-0053,Assisted Living Facility,83,Congregate Assisted Living Facility,Limited Liability Company
Auburn Assisted Living,350 Samford Village Court,,Auburn ,AL,36830,Lee,D4113,(706) 429-5635,Assisted Living Facility,65,Congregate Assisted Living Facility,Limited Liability Company
Autumn Cove,4425 Greenbrier Dear Road,,Anniston,AL,36207,Calhoun,D0804,(256) 831-7474,Assisted Living Facility,38,Congregate Assisted Living Facility,Limited Liability Company
Autumn Place,5930 Main Street,,Millbrook,AL,36054,Elmore,D2603,(334) 285-1996,Assisted Living Facility,16,Group Assisted Living Facility,Individual
Autumn Woods Assisted Living,"655 Gardner Drive, Southeast",,Jacksonville,AL,36265,Calhoun,D0803,(256) 782-2801,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Ava Hills Assisted Living,1330 Old Highway 431,P.O. Box 810,Wedowee,AL,36278,Randolph,D5604,(256) 357-2895,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Azalea Court Assisted Living,508 East Church Street,,Headland,AL,36345,Henry,D3405,(334) 693-0358,Assisted Living Facility,16,Group Assisted Living Facility,Healthcare Authority
Azalea Manor of Haleyville,13074 Pounders & Sims Road,,Haleyville,AL,35565,Winston,D6702,(205) 485-9343,Assisted Living Facility,17,Group Assisted Living Facility,Corporation
Baldwin House,10171 Papa George Street,,Daphne,AL,36526,Baldwin,D0220,(251) 621-1717,Assisted Living Facility,44,Congregate Assisted Living Facility,Limited Liability Company
"Belmont II, The",7295 Copperfield Drive,,Montgomery,AL,36117,Montgomery,D5126,(334) 273-0110,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
"Belmont,The",7295 Copperfield Drive,,Montgomery,AL,36117,Montgomery,D5112,(334) 273-0110,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
"Blake at Malbis, The",11626 US Highway 90,,Daphne,AL,36526,Baldwin,D0221,(251) 625-6400,Assisted Living Facility,80,Congregate Assisted Living Facility,Limited Liability Company
"Bluffs at Greystone I, The",6328 Farley Lane,,Birmingham,AL,35242,Shelby,D3785,(205) 379-0322,Assisted Living Facility,87,Congregate Assisted Living Facility,Limited Liability Company
"Branchwater Village, LLC",763 Medical Center Parkway,,Boaz,AL,35957,Marshall,D4806,(256) 593-5055,Assisted Living Facility,60,Congregate Assisted Living Facility,Limited Liability Company
"Brennity at Daphne AL, The",27440 County Road 13,,Daphne,AL,36526,Baldwin,D0217,(251) 626-9000,Assisted Living Facility,92,Congregate Assisted Living Facility,Limited Liability Company
"Brennity at Fairhope, The",50 Spring Run Drive,,Fairhope,AL,36532,Baldwin,D0204,(251) 928-5555,Assisted Living Facility,143,Congregate Assisted Living Facility,Limited Liability Company
"Bridgewood Gardens, Assisted Living",151 Woodham Drive,,Albertville,AL,35951,Marshall,D4807,(256) 878-3132,Assisted Living Facility,60,Congregate Assisted Living Facility,Limited Liability Company
