Facility Name,Address Line 1,Address Line 2,City,State,ZIP,County,Fac ID,Medicare #,Medicaid #,Administrator Name,Phone,Facility Type,Licensed Beds,ESRD Stations,Hospital Authorized Bed Capacity,Class 1,Class 1 Beds/Stations,Class 2,Class 2 Beds/Stations,Class 3,Class 3 Beds/Stations,Class 4,Class 4 Beds/Stations,Class 5,Class 5 Beds/Stations,Licensee Type,License Status,Deemed Status
Assisted Living of Arab,8895 Alabama Highway 69,,Arab,AL,35016,Marshall,D4805,,,Teresa Huff,(256) 753-6324,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Atria Regency,4720 Morrison Drive,,Mobile,AL,36609,Mobile,D4946,,,Susan Stanfield,(251) 380-0053,Assisted Living Facility,83,,,Congregate Assisted Living Facility,83,,0,,0,,0,,0,Limited Liability Company,Regular,
Auburn Assisted Living,350 Samford Village Court,,Auburn ,AL,36830,Lee,D4113,,,Dawn Cotter,(706) 429-5635,Assisted Living Facility,65,,,Congregate Assisted Living Facility,65,,0,,0,,0,,0,Limited Liability Company,Regular,
Autumn Cove,4425 Greenbrier Dear Road,,Anniston,AL,36207,Calhoun,D0804,,,Karen Williams,(256) 831-7474,Assisted Living Facility,38,,,Congregate Assisted Living Facility,38,,0,,0,,0,,0,Limited Liability Company,Regular,
Autumn Place,5930 Main Street,,Millbrook,AL,36054,Elmore,D2603,,,Crystal Roberson,(334) 285-1996,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Individual,Regular,
Autumn Woods Assisted Living,"655 Gardner Drive, Southeast",,Jacksonville,AL,36265,Calhoun,D0803,,,Jessica Bradley,(256) 782-2801,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Ava Hills Assisted Living,1330 Old Highway 431,P.O. Box 810,Wedowee,AL,36278,Randolph,D5604,,,Carla Albright Robinson,(256) 357-2895,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Azalea Court Assisted Living,508 East Church Street,,Headland,AL,36345,Henry,D3405,,,Jeri Grant,(334) 693-0358,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Healthcare Authority,Regular,
Azalea Manor of Haleyville,13074 Pounders & Sims Road,,Haleyville,AL,35565,Winston,D6702,,,DeAnna Thomas,(205) 485-9343,Assisted Living Facility,17,,,Group Assisted Living Facility,17,,0,,0,,0,,0,Corporation,Regular,
Baldwin House,10171 Papa George Street,,Daphne,AL,36526,Baldwin,D0220,,,Jayne Carter,(251) 621-1717,Assisted Living Facility,44,,,Congregate Assisted Living Facility,44,,0,,0,,0,,0,Limited Liability Company,Regular,
"Belmont II, The",7295 Copperfield Drive,,Montgomery,AL,36117,Montgomery,D5126,,,John White,(334) 273-0110,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
"Belmont,The",7295 Copperfield Drive,,Montgomery,AL,36117,Montgomery,D5112,,,John White,(334) 273-0110,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
"Blake at Malbis, The",11626 US Highway 90,,Daphne,AL,36526,Baldwin,D0221,,,Tammy Robinson,(251) 625-6400,Assisted Living Facility,80,,,Congregate Assisted Living Facility,80,,0,,0,,0,,0,Limited Liability Company,Regular,
"Bluffs at Greystone I, The",6328 Farley Lane,,Birmingham,AL,35242,Shelby,D3785,,,Thomas E.Cummings,(205) 379-0322,Assisted Living Facility,87,,,Congregate Assisted Living Facility,87,,0,,0,,0,,0,Limited Liability Company,Probational,
"Branchwater Village, LLC",763 Medical Center Parkway,,Boaz,AL,35957,Marshall,D4806,,,Lily Deleon,(256) 593-5055,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Limited Liability Company,Regular,
"Brennity at Daphne AL, The",27440 County Road 13,,Daphne,AL,36526,Baldwin,D0217,,,Erin Thompson,(251) 626-9000,Assisted Living Facility,92,,,Congregate Assisted Living Facility,92,,0,,0,,0,,0,Limited Liability Company,Regular,
"Brennity at Fairhope, The",50 Spring Run Drive,,Fairhope,AL,36532,Baldwin,D0204,,,Kendrick Wells,(251) 928-5555,Assisted Living Facility,143,,,Congregate Assisted Living Facility,143,,0,,0,,0,,0,Limited Liability Company,Regular,
"Bridgewood Gardens, Assisted Living",151 Woodham Drive,,Albertville,AL,35951,Marshall,D4807,,,Patricia Roberts,(256) 878-3132,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Limited Liability Company,Regular,
Brookdale Jones Farm,"2815 Carl T. Jones Drive, S. E.",,Huntsville,AL,35802,Madison,D4524,,,Lori Fisher,(256) 881-6111,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Limited Liability Company,Regular,
Brookdale University Park ALF (AL),400 University Park Drive,,Birmingham,AL,35209,Jefferson,D3768,,,Undrea Wright,(205) 870-0786,Assisted Living Facility,90,,,Congregate Assisted Living Facility,90,,0,,0,,0,,0,Limited Liability Company,Regular,
Brookside Assisted Living Community,"2260 Pesnell Court, Building #1",,Mobile,AL,36695,Mobile,D4945,,,Shannon Clay,(251) 633-9299,Assisted Living Facility,32,,,Congregate Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Regular,
Carillon Oaks Heflin Assisted Living,91 Willoughby Street,,Heflin,AL,36264,Cleburne,D4991,,,Jimmie Thompson III,(256) 297-3801,Assisted Living Facility,39,,,Congregate Assisted Living Facility,39,,0,,0,,0,,0,Limited Liability Company,Regular,
Cedar Hill Assisted Living Facility,1300 Old Orrville Road,,Selma,AL,36701,Dallas,D2402,,,Trease J. Dawson,(334) 875-1225,Assisted Living Facility,30,,,Congregate Assisted Living Facility,30,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Cedar View Assisted Living,2001 County Road 394,,Killen,AL,35645,Lauderdale,D3912,,,Tim Morrow,(256) 757-2104,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Chelsea's Hidden Acres,245 Hidden Acres Circle,,Chelsea,AL,35043,Shelby,D5908,,,Paula Elizabeth Thomas,(205) 678-8906,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Individual,Regular,
Col. Robert L. Howard State Veterans Home Freedom Court,7054 Veterans Parkway,,Pell City,AL,35125,St. Clair,D5809,,,Cheryl Newton,(205) 227-7985,Assisted Living Facility,80,,,Congregate Assisted Living Facility,80,,0,,0,,0,,0,Corporation,Regular,
Columbia Cottage - Hartselle,1109 Sparkman Street Northwest,,Hartselle,AL,35640,Morgan,D5208,,,Beverly Susan Abercrombie,(256) 751-4809,Assisted Living Facility,36,,,Congregate Assisted Living Facility,36,,0,,0,,0,,0,Limited Liability Company,Regular,
Columbia Cottage-Florence,2373 Roberts Lane,,Florence,AL,35630,Lauderdale,D3901,,,Heather Bradford,(256) 760-0442,Assisted Living Facility,51,,,Congregate Assisted Living Facility,51,,0,,0,,0,,0,Corporation,Regular,
"Columbia Cottage-Mountain Brook, LLC",3776 Crosshaven Drive,,Birmingham,AL,35223,Jefferson,D3769,,,Christina Tatum,(205) 968-0000,Assisted Living Facility,48,,,Congregate Assisted Living Facility,48,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Cottage - Montgomery - Ivy,"235 Sylvest Drive, Building 400",,Montgomery,AL,36117,Montgomery,D5130,,,Kacee Sorrells,(334) 260-8373,Assisted Living Facility,26,,,Congregate Assisted Living Facility,26,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Cottage - Montgomery - Oakleaf,"235 Sylvest Drive, Bldg. 300",,Montgomery,AL,36117,Montgomery,D5129,,,Kacee Sorrells,(334) 260-8373,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Country Cottage-Decatur, Oakleaf","2515 Old Moulton Road, SW",,Decatur,AL,35603,Morgan,D5206,,,Kelly Clemons,(256) 301-1800,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Cottage-Decatur-Magnolia,"2515 Old Moulton Road, SW",,Decatur,AL,35603,Morgan,D5204,,,Kelly Clemons,(256) 301-1800,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Country Cottage-Huntsville-Ivy,4200 Chris Drive,,Huntsville,AL,35802,Madison,D4519,,,Angie Tate,(256) 880-1101,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Cottage-Huntsville-Magnolia,4200 Chris Drive,,Huntsville,AL,35802,Madison,D4511,,,Angie Tate,(256) 880-1101,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Cottage-Huntsville-Oakleaf,4200 Chris Drive,,Huntsville,AL,35802,Madison,D4512,,,Angie Tate,(256) 880-1101,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Cottage-Oakleaf,4000 Greenwood Drive,,Hoover,AL,35216,Jefferson,D3709,,,Patricia Tinsley,(205) 987-0847,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Cottage-Russellville,900 North Jackson,,Russellville,AL,35653,Franklin,D3002,,,Regina Lawler,(256) 332-4707,Assisted Living Facility,29,,,Congregate Assisted Living Facility,29,,0,,0,,0,,0,Limited Liability Company,Regular,
