Facility Name,City,State,Zip Code,County,Facility ID,Phone Number,State Facility Type 1 Literal,Capacity,State Facility Type 2 Literal,Ownership Type,Date Accessed,Address
Assisted Living Of Arab,Arab,AL,35016,Marshall,D4805,(256) 753-6324,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,8895 ALABAMA HIGHWAY 69
Atria Regency,Mobile,AL,36609,Mobile,D4946,(251) 380-0053,ASSISTED LIVING FACILITY,83,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4720 MORRISON DRIVE
Auburn Assisted Living,Auburn ,AL,36830,Lee,D4113,(706) 429-5635,ASSISTED LIVING FACILITY,65,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,350 SAMFORD VILLAGE COURT
Autumn Cove,Anniston,AL,36207,Calhoun,D0804,(256) 831-7474,ASSISTED LIVING FACILITY,38,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4425 GREENBRIER DEAR ROAD
Autumn Place,Millbrook,AL,36054,Elmore,D2603,(334) 285-1996,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,INDIVIDUAL,6/24/21,5930 MAIN STREET
Autumn Woods Assisted Living,Jacksonville,AL,36265,Calhoun,D0803,(256) 782-2801,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"655 GARDNER DRIVE, SOUTHEAST"
Ava Hills Assisted Living,Wedowee,AL,36278,Randolph,D5604,(256) 357-2895,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"1330 OLD HIGHWAY 431, P.O. BOX 810"
Azalea Court Assisted Living,Headland,AL,36345,Henry,D3405,(334) 693-0358,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,HEALTHCARE AUTHORITY,6/24/21,508 EAST CHURCH STREET
Azalea Manor Of Haleyville,Haleyville,AL,35565,Winston,D6702,(205) 485-9343,ASSISTED LIVING FACILITY,17,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,13074 POUNDERS & SIMS ROAD
Baldwin House,Daphne,AL,36526,Baldwin,D0220,(251) 621-1717,ASSISTED LIVING FACILITY,44,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,10171 PAPA GEORGE STREET
"Belmont Ii, The",Montgomery,AL,36117,Montgomery,D5126,(334) 273-0110,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,7295 COPPERFIELD DRIVE
