Facility Name,Address 1,Address 2,City,State,Zip Code,County,Facility ID,Phone Number,State Facility Type 1 Literal,Capacity,State Facility Type 2 Literal,Ownership Type
Angels for the Elderly I,52 Angels Court,,Montgomery,AL,36109,Montgomery,P5115,(334) 270-8050,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Angels for the Elderly II,44 Angels Court,,Montgomery,AL,36109,Montgomery,P5101,(334) 270-8050,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Angels for the Elderly III,48 Angels Court,,Montgomery,AL,36109,Montgomery,P5102,(334) 270-9122,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Angels for the Elderly IV,40 Angels Court,,Montgomery,AL,36109,Montgomery,P5112,(334) 270-9122,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
"Arbors Specialty Care at Somerby of West Mobile, The",901 Somerby Drive,,Mobile,AL,36695,Mobile,P4910,(251) 776-1455,Assisted Living Facility (Specialty Care),24,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Ashbury Manor,6562 Old Shell Road,,Mobile,AL,36608,Mobile,P4908,(251) 340-7528,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
Atria Regency Specialty Care,4720 Morrison Drive,,Mobile,AL,36609,Mobile,P4903,(251) 380-0053,Assisted Living Facility (Specialty Care),20,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Autumn Cove Memory Care,4425 Greenbrier Dear Road,,Anniston,AL,36207,Calhoun,P0801,(256) 831-7474,Assisted Living Facility (Specialty Care),27,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
"Blake Memory Care Community, The",11626 US Highway 90,,Daphne,AL,36526,Baldwin,P0205,(251) 625-6400,Assisted Living Facility (Specialty Care),45,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
"Bluffs at Greystone II, The",6328 Farley Lane,,Birmingham,AL,35242,Shelby,P5927,(205) 379-0322,Assisted Living Facility (Specialty Care),32,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
"Brennity at Daphne MC , The",27296 County Road 13,,Daphne,AL,36526,Baldwin,P0203,(251) 626-9000,Assisted Living Facility (Specialty Care),64,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Brentwood Retirement Community I,2505 Alabama Avenue,,Muscle Shoals,AL,35661,Colbert,P1702,(256) 381-7443,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Brentwood Retirement Community II,2505 Alabama Avenue,,Muscle Shoals,AL,35661,Colbert,P1703,(256) 381-7443,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Briar Glen Alzheimer's Special Care Center,570 Southland Drive,,Hoover,AL,35226,Jefferson,P3701,(205) 823-2393,Assisted Living Facility (Specialty Care),90,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
"Bridgewood Gardens, Memory Care",151 Woodham Drive,,Albertville,AL,35951,Marshall,P4801,(256) 878-3132,Assisted Living Facility (Specialty Care),22,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
