Facility Name,Address Line 1,Address Line 2,City,State,ZIP,County,Fac ID,Medicare #,Medicaid #,Administrator Name,Phone,Facility Type,Licensed Beds,ESRD Stations,Hospital Authorized Bed Capacity,Class 1,Class 1 Beds/Stations,Class 2,Class 2 Beds/Stations,Class 3,Class 3 Beds/Stations,Class 4,Class 4 Beds/Stations,Class 5,Class 5 Beds/Stations,Licensee Type,License Status,Deemed Status
Angels for the Elderly I,52 Angels Court,,Montgomery,AL,36109,Montgomery,P5115,,,Michelle Kelley,(334) 270-8050,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Probational,
Angels for the Elderly II,44 Angels Court,,Montgomery,AL,36109,Montgomery,P5101,,,Michelle Kelley,(334) 270-8050,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Probational,
Angels for the Elderly III,48 Angels Court,,Montgomery,AL,36109,Montgomery,P5102,,,Michelle Kelley,(334) 270-9122,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Angels for the Elderly IV,40 Angels Court,,Montgomery,AL,36109,Montgomery,P5112,,,Michelle Kelley,(334) 270-9122,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Probational,
"Arbors Specialty Care at Somerby of West Mobile, The",901 Somerby Drive,,Mobile,AL,36695,Mobile,P4910,,,Ingrid B. Martone,(251) 776-1455,Assisted Living Facility (Specialty Care),24,,,Congregate Specialty Care Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
Ashbury Manor,6562 Old Shell Road,,Mobile,AL,36608,Mobile,P4908,,,Cindy Johnson,(251) 340-7528,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Atria Regency Specialty Care,4720 Morrison Drive,,Mobile,AL,36609,Mobile,P4903,,,Susan Stanfield,(251) 380-0053,Assisted Living Facility (Specialty Care),20,,,Congregate Specialty Care Assisted Living Facility,20,,0,,0,,0,,0,Limited Liability Company,Regular,
Autumn Cove Memory Care,4425 Greenbrier Dear Road,,Anniston,AL,36207,Calhoun,P0801,,,Karen Williams,(256) 831-7474,Assisted Living Facility (Specialty Care),27,,,Congregate Specialty Care Assisted Living Facility,27,,0,,0,,0,,0,Limited Liability Company,Regular,
"Blake Memory Care Community, The",11626 US Highway 90,,Daphne,AL,36526,Baldwin,P0205,,,Tammy Robinson,(251) 625-6400,Assisted Living Facility (Specialty Care),45,,,Congregate Specialty Care Assisted Living Facility,45,,0,,0,,0,,0,Limited Liability Company,Regular,
"Bluffs at Greystone II, The",6328 Farley Lane,,Birmingham,AL,35242,Shelby,P5927,,,Thomas E. Cummings,(205) 379-0322,Assisted Living Facility (Specialty Care),32,,,Congregate Specialty Care Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Probational,
"Brennity at Daphne MC , The",27296 County Road 13,,Daphne,AL,36526,Baldwin,P0203,,,Erin Thompson,(251) 626-9000,Assisted Living Facility (Specialty Care),64,,,Congregate Specialty Care Assisted Living Facility,64,,0,,0,,0,,0,Limited Liability Company,Regular,
Brentwood Retirement Community I,2505 Alabama Avenue,,Muscle Shoals,AL,35661,Colbert,P1702,,,Margaret Deaton,(256) 381-7443,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Brentwood Retirement Community II,2505 Alabama Avenue,,Muscle Shoals,AL,35661,Colbert,P1703,,,Margaret Deaton,(256) 381-7443,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Briar Glen Alzheimer's Special Care Center,570 Southland Drive,,Hoover,AL,35226,Jefferson,P3701,,,Maria Lewis,(205) 823-2393,Assisted Living Facility (Specialty Care),90,,,Congregate Specialty Care Assisted Living Facility,90,,0,,0,,0,,0,Limited Liability Company,Probational,
"Bridgewood Gardens, Memory Care",151 Woodham Drive,,Albertville,AL,35951,Marshall,P4801,,,Patricia Roberts,(256) 878-3132,Assisted Living Facility (Specialty Care),22,,,Congregate Specialty Care Assisted Living Facility,22,,0,,0,,0,,0,Limited Liability Company,Regular,
Brookdale Hampton Cove,6379 Highway 431 South,,Hampton Cove,AL,35763,Madison,P4505,,,Lashwana Springer,(256) 564-8383,Assisted Living Facility (Specialty Care),50,,,Congregate Specialty Care Assisted Living Facility,50,,0,,0,,0,,0,Limited Liability Company,Regular,
Brookdale University Park SCALF (AL),400 University Park Drive,,Birmingham,AL,35209,Jefferson,P3707,,,Undrea Wright,(205) 870-0786,Assisted Living Facility (Specialty Care),30,,,Congregate Specialty Care Assisted Living Facility,30,,0,,0,,0,,0,Limited Liability Company,Regular,
Brookside Memory and Specialty Care on Cody,680 Cody Road,,Mobile,AL,36695,Mobile,P4913,,,Shannon Clay,(251) 639-0494,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Carillon Oaks Mobile,5461 Kooiman Road,,Theodore,AL,36582,Mobile,P4917,,,Larry Sweet,(251) 287-6300,Assisted Living Facility (Specialty Care),48,,,Congregate Specialty Care Assisted Living Facility,48,,0,,0,,0,,0,Limited Liability Company,Regular,
Carrington Place,300 Baker Road,,Satsuma,AL,36572,Mobile,P4905,,,Duane Carr,(251) 776-1683,Assisted Living Facility (Specialty Care),40,,,Congregate Specialty Care Assisted Living Facility,40,,0,,0,,0,,0,Limited Liability Company,Regular,
Cedar Hill Specialty Care Assisted Living,1300 Old Orrville Road,,Selma,AL,36701,Dallas,P2402,,,Trease Dawson,(334) 875-1225,Assisted Living Facility (Specialty Care),16,,,Congregate Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Chapman Specialty Care Assisted Living Facility,3701 Dadeville Road,,Alexander City,AL,35010,Tallapoosa,P6201,,,Archie J. Chapman,(256) 234-6366,Assisted Living Facility (Specialty Care),46,,,Congregate Specialty Care Assisted Living Facility,46,,0,,0,,0,,0,Corporation,Regular,
Cherokee Village Specialty Care Assisted Living Facility,201 Dean Buttram Senior Avenue,,Centre,AL,35960,Cherokee,P1001,,,John Boggs,(256) 927-4307,Assisted Living Facility (Specialty Care),36,,,Congregate Specialty Care Assisted Living Facility,36,,0,,0,,0,,0,Healthcare Authority,Regular,
Country Cottage - Montgomery - Holly,"235 Sylvest Drive, Bldg. 100",,Montgomery,AL,36117,Montgomery,P5107,,,Kacee Sorrells,(334) 260-8373,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Cottage Magnolia Cottage,4000 Greenwood Drive,,Hoover,AL,35216,Jefferson,P3721,,,Patricia Tinsley,(205) 987-0847,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Cottage Montgomery-Magnolia,235 Sylvest Drive,,Montgomery,AL,36117,Montgomery,P5116,,,Kacee Sorrells,(256) 361-0084,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Place Memory Care of Greenville,3108 Luverne Highway,,Greenville,AL,36037,Butler,P0702,,,Angela Patricia Wilson,(334) 382-6507,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Covenant Woods of Gardendale,1411 Thompson Circle,,Gardendale,AL,35071,Jefferson,P3720,,,Paul Roberts,(205) 608-2200,Assisted Living Facility (Specialty Care),32,,,Congregate Specialty Care Assisted Living Facility,32,,0,,0,,0,,0,Partnership,Regular,
Dugger Mountain Specialty Care Assisted Living,1100 Daily Street,,Piedmont,AL,36272,Calhoun,P0806,,,Sandra Keener,(256) 447-9444,Assisted Living Facility (Specialty Care),9,,,Group Specialty Care Assisted Living Facility,9,,0,,0,,0,,0,Healthcare Authority,Regular,
