Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,State Facility Type 1 Literal,Capacity,Date Accessed
32053,The Langford Of Fayetteville,3434 BLESSING CIRCLE,Fayetteville,AR,72703,Washington,4792498858,mitch@springhousevillage.net,ASSISTED LIVING FACILITY #2,100.0,8/27/21
32116,Legacy Village Greenhouse Corporation,1303 NORTHEAST LEGACY PARKWAY,Bentonville,AR,72712,Benton,4792712387,administrator@legacyvillagearkansas.org,ASSISTED LIVING FACILITY #2,64.0,8/27/21
32139,Eldercare Of Arkansas Ii Dba Stonebridge Of Pocaho,311 CAMP ROAD,Pocahontas ,AR,72455,Randolph,8708928556,eugenia.franks@sbseniorliving.com,ASSISTED LIVING FACILITY #2,60.0,8/27/21
32177,Mercy Crest Housing Inc Dba Mercy Crest Retirement,1300 STROZIER LANE,Barling,AR,72923,Sebastian,4794783000,administrator@mercycrest.com,ASSISTED LIVING FACILITY #2,102.0,8/27/21
32178,Providence Pcc Of Springdale Llc,2175 ORCHARD ST,Springdale,AR,72764,Washington,4797501511,ljackson@provmanage.com,ASSISTED LIVING FACILITY #2,90.0,8/27/21
32219,Benton Senior Living Llc Dba Four Season Assisted ,2408 MILITARY ROAD,Benton,AR,72015,Saline,5017782838,kwilkey@shepardgroup.net,ASSISTED LIVING FACILITY #2,50.0,8/27/21
32232,Hightower & Shepard Group Llc Dba Daltons Place At,520 WEST SECOND STREET,Waldron,AR,72958,Scott,4796370061,morena@daltonsplace.com,ASSISTED LIVING FACILITY #2,58.0,8/27/21
32235,Butterfield Trail Village Inc,2073 EAST FARGO ROAD,Fayetteville,AR,72703,Washington,4796958057,jgreen@btvillage.org,ASSISTED LIVING FACILITY #2,32.0,8/27/21
32236,Van Buren Legacy Llc,1012 FAYETTEVILLE ROAD,Van Buren,AR,72956,Crawford,4794747233,ladonna@memorylanevb.com,ASSISTED LIVING FACILITY #2,40.0,8/27/21
32237,Parkway Village Inc Dba Parkway Heights,14328 CHENAL PARKWAY,Little Rock,AR,72211,Pulaski,5012021669,tina.to@baptist-health.org,ASSISTED LIVING FACILITY #2,64.0,8/27/21
