Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,State Facility Type 1 Literal,Capacity
32053,THE LANGFORD OF FAYETTEVILLE,3434 BLESSING CIRCLE,FAYETTEVILLE,AR,72703,Washington,4792498858,mitch@springhousevillage.net,Assisted Living Facility #2,100
32116,LEGACY VILLAGE GREENHOUSE CORPORATION,1303 NORTHEAST LEGACY PARKWAY,BENTONVILLE,AR,72712,Benton,4792712387,administrator@legacyvillagearkansas.org,Assisted Living Facility #2,64
32139,ELDERCARE OF ARKANSAS II dba STONEBRIDGE OF POCAHO,311 CAMP ROAD,POCAHONTAS ,AR,72455,Randolph,8708928556,Eugenia.Franks@sbseniorliving.com,Assisted Living Facility #2,60
32177,MERCY CREST HOUSING INC DBA MERCY CREST RETIREMENT,1300 STROZIER LANE,BARLING,AR,72923,Sebastian,4794783000,administrator@mercycrest.com,Assisted Living Facility #2,102
32178,PROVIDENCE PCC OF SPRINGDALE LLC,2175 ORCHARD ST,SPRINGDALE,AR,72764,Washington,4797501511,ljackson@provmanage.com,Assisted Living Facility #2,90
32219,BENTON SENIOR LIVING LLC dba FOUR SEASON ASSISTED ,2408 MILITARY ROAD,BENTON,AR,72015,Saline,5017782838,kwilkey@shepardgroup.net,Assisted Living Facility #2,50
32232,HIGHTOWER & SHEPARD GROUP LLC DBA DALTONS PLACE AT,520 WEST SECOND STREET,WALDRON,AR,72958,Scott,4796370061,morena@daltonsplace.com,Assisted Living Facility #2,58
32235,BUTTERFIELD TRAIL VILLAGE INC,2073 EAST FARGO ROAD,FAYETTEVILLE,AR,72703,Washington,4796958057,jgreen@btvillage.org,Assisted Living Facility #2,32
32236,VAN BUREN LEGACY LLC,1012 FAYETTEVILLE ROAD,VAN BUREN,AR,72956,Crawford,4794747233,ladonna@memorylanevb.com,Assisted Living Facility #2,40
32237,PARKWAY VILLAGE INC DBA PARKWAY HEIGHTS,14328 CHENAL PARKWAY,LITTLE ROCK,AR,72211,Pulaski,5012021669,tina.to@baptist-health.org,Assisted Living Facility #2,64
32263,"INDIAN ROCK VILLAGE, LLC DBA VILLAGE GARDENS",265 DAVE CREEK PARKWAY,FAIRFIELD BAY,AR,72088,Van Buren,5018843210,kcrabtrey@indianrockvillage.net,Assisted Living Facility #1,46
32277,THE PLAZA AT TWIN RIVERS LLC,3007 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,Clark,8704036201,tbell50@live.com,Assisted Living Facility #2,55
32278,PEACHTREE MENA LLC DBA PEACHTREE ASSISTED LIVING,1803 CORDIE DRIVE,MENA,AR,71953,Polk,4793942600,ctenbrook@peachtreemena.com,Assisted Living Facility #2,70
32301,ABBY CONWAY SR LLC DBA RIDGEMERE,4550 PRINCE STREET,CONWAY,AR,72034,Faulkner,5012732010,amy.roberts@abbysl.com,Assisted Living Facility #2,76
32302,METHODIST VILLAGE SENIOR LIVING,7811 EUPER LANE,FORT SMITH,AR,72903,Sebastian,4797556405,mwalters@methodistvillage.com,Assisted Living Facility #2,71
32317, OAK PARK VILLAGE,507 MOUNTAIN VIEW ROAD,GLENWOOD,AR,71943,Pike,8703564426,oakpark_village@yahoo.com,Assisted Living Facility #2,32
32330,SHN AL AIMO TENANT INC D/B/A MORNINGSIDE OF FAYETT,4461 NORTH CROSSOVER ROAD,FAYETTEVILLE,AR,72703,Washington,4794431908,pmoore@5SSL.com,Assisted Living Facility #2,85
32334,FORDYCE ASSISTED LIVING INC  DBA DALTONS PLACE AT ,1718 INDUSTRIAL DRIVE,FORDYCE,AR,71742,Dallas,4792343759,john@daltonsplaceatfordyce.com,Assisted Living Facility #2,50
32346,EC OPCO MOUNTAIN HOME LLC DBA  ELMCROFT OF MOUNTAI,715 WEST 6TH STREET,MOUNTAIN HOME,AR,72653,Baxter,8704256868,randy.sutterfield@elmcroft.com,Assisted Living Facility #1,64
32371,WINDSOR COTTAGE LTD,4110 JEFFERSON AVENUE,TEXARKANA,AR,71854,Miller,8707730417,business@windsorcottage.org,Assisted Living Facility #2,42
32373,DUDNEYWOOD LLC,2600 NORTH DUDNEY ROAD,MAGNOLIA,AR,71753,Columbia,8702342800,bonnieriggins@suddenlinkmail.com,Assisted Living Facility #2,80
32386,SNH AL AIMO TENANT INC D/B/A MORNINGSIDE OF SPRING,672 JONES ROAD,SPRINGDALE,AR,72762,Washington,4793064191,Mgross@5ssl.com,Assisted Living Facility #1,113
32426,"ARHC FRLTRAR01 TRS, LLC",23101 Chenal Valley Drive,Little Rock,AR,72223,Pulaski,5014829200,kpazdera@foxridgeliving.net,Assisted Living Facility #2,130
32435,HOLIDAY ISLAND OPERATIONS LLC DBA PRESTIGE ASSISTE,89 HILLSIDE DRIVE,HOLIDAY ISLAND,AR,72631,Carroll,4792536553,executivedirector@prestigeassistedliving.com,Assisted Living Facility #2,60
32437,SNH AL AIMO TENANT INC DBA MORNINGSIDE OF JONESBOR,4210 SOUTH CARAWAY ROAD,JONESBORO,AR,72404,Craighead,8709749700,sadams1@5ssl.com,Assisted Living Facility #1,81
32461,MEMORY CARE AT GOOD SHEPARD,2501 ALDERSGATE ROAD,LITTLE ROCK,AR,72205,Pulaski,5012607407,mmanning@memorycarelittlerock.com,Assisted Living Facility #2,74
32462,LINCOLN COUNTY ASSISTED LIVING LLC DBA DALTONS PLA,142 TEVA STREET,STAR CITY,AR,71667,Lincoln,8706283033,gena@daltonsplaceatstarcity.com,Assisted Living Facility #2,53
32475,MAGNOLIA MANOR,1200 GORDON DUCKWORTH DRIVE,PIGGOTT,AR,72454,Clay,8705982190,jcole@gb-healthcare.com,Assisted Living Facility #2,36
32476,ELDERCARE OF ARKANSAS III INC DBA STONEBRIDGE OF C,1306 SOUTH DONAGHEY,CONWAY,AR,72034,Faulkner,5013273030,duchess.esser@sbseniorliving.com,Assisted Living Facility #2,80
