FacilityNumber,FacilityName,PhysicalAddr1,PhysicalAddr2,PhysicalCity,PhysicalState,PhysicalZip,PhysicalCounty,MailingAddr1,MailingAddr2,MailingCity,MailingState,MailingZip,SitePhoneNumber,FacilityEmail,FacilityTypeDesc,FacilityCapacity
32053,THE LANGFORD OF FAYETTEVILLE,3434 BLESSING CIRCLE,,FAYETTEVILLE,AR,72703,Washington,3434 BLESSING CIRCLE,,FAYETTEVILLE,AR,72703,4792498858,mitch@springhousevillage.net,Assisted Living Facility #2,100
32116,LEGACY VILLAGE GREENHOUSE CORPORATION,1303 NORTHEAST LEGACY PARKWAY,,BENTONVILLE,AR,72712,Benton,1303 NORTHEAST LEGACY PARKWAY,,BENTONVILLE,AR,72712,4792712387,administrator@legacyvillagearkansas.org,Assisted Living Facility #2,64
32139,ELDERCARE OF ARKANSAS II dba STONEBRIDGE OF POCAHO,311 CAMP ROAD,,POCAHONTAS ,AR,72455,Randolph,311 CAMP ROAD,,POCAHONTAS ,AR,72455,8708928556,Eugenia.Franks@sbseniorliving.com,Assisted Living Facility #2,60
32177,MERCY CREST HOUSING INC DBA MERCY CREST RETIREMENT,1300 STROZIER LANE,,BARLING,AR,72923,Sebastian,1300 STROZIER LANE,,BARLING,AR,72923,4794783000,administrator@mercycrest.com,Assisted Living Facility #2,102
32178,PROVIDENCE PCC OF SPRINGDALE LLC,2175 ORCHARD ST,,SPRINGDALE,AR,72764,Washington,2175 ORCHARD ST,,SPRINGDALE,AR,72764,4797501511,ljackson@provmanage.com,Assisted Living Facility #2,90
32219,BENTON SENIOR LIVING LLC dba FOUR SEASON ASSISTED ,2408 MILITARY ROAD,,BENTON,AR,72015,Saline,2408 MILITARY ROAD,,BENTON,AR,72015,5017782838,kwilkey@shepardgroup.net,Assisted Living Facility #2,50
32232,HIGHTOWER & SHEPARD GROUP LLC DBA DALTONS PLACE AT,520 WEST SECOND STREET,,WALDRON,AR,72958,Scott,520 WEST SECOND STREET,,WALDRON,AR,72958,4796370061,morena@daltonsplace.com,Assisted Living Facility #2,58
32235,BUTTERFIELD TRAIL VILLAGE INC,2073 EAST FARGO ROAD,,FAYETTEVILLE,AR,72703,Washington,2073 EAST FARGO ROAD,,FAYETTEVILLE,AR,72703,4796958057,jgreen@btvillage.org,Assisted Living Facility #2,32
32236,VAN BUREN LEGACY LLC,1012 FAYETTEVILLE ROAD,,VAN BUREN,AR,72956,Crawford,1012 FAYETTEVILLE ROAD,,VAN BUREN,AR,72956,4794747233,ladonna@memorylanevb.com,Assisted Living Facility #2,40
32237,PARKWAY VILLAGE INC DBA PARKWAY HEIGHTS,14328 CHENAL PARKWAY,,LITTLE ROCK,AR,72211,Pulaski,14328 CHENAL PARKWAY,,LITTLE ROCK,AR,72211,5012021669,tina.to@baptist-health.org,Assisted Living Facility #2,64
32263,"INDIAN ROCK VILLAGE, LLC DBA VILLAGE GARDENS",265 DAVE CREEK PARKWAY,,FAIRFIELD BAY,AR,72088,Van Buren,265 DAVE CREEK PARKWAY,,FAIRFIELD BAY,AR,72088,5018843210,kcrabtrey@indianrockvillage.net,Assisted Living Facility #1,46
32277,THE PLAZA AT TWIN RIVERS LLC,3007 TWIN RIVERS DRIVE,,ARKADELPHIA,AR,71923,Clark,3007 TWIN RIVERS DRIVE,,ARKADELPHIA,AR,71923,8704036201,tbell50@live.com,Assisted Living Facility #2,55
32278,PEACHTREE MENA LLC DBA PEACHTREE ASSISTED LIVING,1803 CORDIE DRIVE,,MENA,AR,71953,Polk,1803 CORDIE DRIVE,,MENA,AR,71953,4793942600,ctenbrook@peachtreemena.com,Assisted Living Facility #2,70
32301,ABBY CONWAY SR LLC DBA RIDGEMERE,4550 PRINCE STREET,,CONWAY,AR,72034,Faulkner,3333 WELBORN STREET ,SUITE 300,DALLAS,TX,75219,5012732010,amy.roberts@abbysl.com,Assisted Living Facility #2,76
32302,METHODIST VILLAGE SENIOR LIVING,7811 EUPER LANE,,FORT SMITH,AR,72903,Sebastian,7811 EUPER LANE,,FORT SMITH,AR,72903,4797556405,mwalters@methodistvillage.com,Assisted Living Facility #2,71
32317, OAK PARK VILLAGE,507 MOUNTAIN VIEW ROAD,,GLENWOOD,AR,71943,Pike,507 MOUNTAIN VIEW ROAD,,GLENWOOD,AR,71943,8703564426,oakpark_village@yahoo.com,Assisted Living Facility #2,32
32330,SHN AL AIMO TENANT INC D/B/A MORNINGSIDE OF FAYETT,4461 NORTH CROSSOVER ROAD,,FAYETTEVILLE,AR,72703,Washington,400 CENTRE STREET,ATTENTION LICENSING,NEWTON,MA,2458,4794431908,pmoore@5SSL.com,Assisted Living Facility #2,85
32334,FORDYCE ASSISTED LIVING INC  DBA DALTONS PLACE AT ,1718 INDUSTRIAL DRIVE,,FORDYCE,AR,71742,Dallas,1718 INDUSTRIAL DRIVE,,FORDYCE,AR,71742,4792343759,john@daltonsplaceatfordyce.com,Assisted Living Facility #2,50
32346,EC OPCO MOUNTAIN HOME LLC DBA  ELMCROFT OF MOUNTAI,715 WEST 6TH STREET,,MOUNTAIN HOME,AR,72653,Baxter,5885 MEADOWS ROAD SUITE 500,,LAKE OSWEGO,OR,97035,8704256868,randy.sutterfield@elmcroft.com,Assisted Living Facility #1,64
32371,WINDSOR COTTAGE LTD,4110 JEFFERSON AVENUE,,TEXARKANA,AR,71854,Miller,323 HICKORY,,TEXARKANA,AR,71854,8707730417,business@windsorcottage.org,Assisted Living Facility #2,42
32373,DUDNEYWOOD LLC,2600 NORTH DUDNEY ROAD,,MAGNOLIA,AR,71753,Columbia, PO BOX 652,,MAGNOLIA,AR,71754,8702342800,bonnieriggins@suddenlinkmail.com,Assisted Living Facility #2,80
32386,SNH AL AIMO TENANT INC D/B/A MORNINGSIDE OF SPRING,672 JONES ROAD,,SPRINGDALE,AR,72762,Washington,400 CENTRE STREET,ATTENTION LICENSING,NEWTON,MA,2458,4793064191,Mgross@5ssl.com,Assisted Living Facility #1,113
32426,"ARHC FRLTRAR01 TRS, LLC",23101 Chenal Valley Drive,,Little Rock,AR,72223,Pulaski,23101 Chenal Valley Drive,,Little Rock,AR,72223,5014829200,kpazdera@foxridgeliving.net,Assisted Living Facility #2,130
32435,HOLIDAY ISLAND OPERATIONS LLC DBA PRESTIGE ASSISTE,89 HILLSIDE DRIVE,,HOLIDAY ISLAND,AR,72631,Carroll,89 HILLSIDE DRIVE,,HOLIDAY ISLAND,AR,72631,4792536553,executivedirector@prestigeassistedliving.com,Assisted Living Facility #2,60
32437,SNH AL AIMO TENANT INC DBA MORNINGSIDE OF JONESBOR,4210 SOUTH CARAWAY ROAD,,JONESBORO,AR,72404,Craighead,400 CENTRE STREET,ATTN: LICENSING,NEWTON,MA,2485,8709749700,sadams1@5ssl.com,Assisted Living Facility #1,81
32461,MEMORY CARE AT GOOD SHEPARD,2501 ALDERSGATE ROAD,,LITTLE ROCK,AR,72205,Pulaski,2501 ALDERSGATE ROAD,,LITTLE ROCK,AR,72205,5012607407,mmanning@memorycarelittlerock.com,Assisted Living Facility #2,74
32462,LINCOLN COUNTY ASSISTED LIVING LLC DBA DALTONS PLA,142 TEVA STREET,,STAR CITY,AR,71667,Lincoln,142 TEVA STREET,,STAR CITY,AR,71667,8706283033,gena@daltonsplaceatstarcity.com,Assisted Living Facility #2,53
32475,MAGNOLIA MANOR,1200 GORDON DUCKWORTH DRIVE,,PIGGOTT,AR,72454,Clay,1200 GORDON DUCKWORTH DRIVE,,PIGGOTT,AR,72454,8705982190,jcole@gb-healthcare.com,Assisted Living Facility #2,36
32476,ELDERCARE OF ARKANSAS III INC DBA STONEBRIDGE OF C,1306 SOUTH DONAGHEY,,CONWAY,AR,72034,Faulkner,1306 SOUTH DONAGHEY,,CONWAY,AR,72034,5013273030,duchess.esser@sbseniorliving.com,Assisted Living Facility #2,80
32488,ST FRANCIS ASSISTED LIVING COMMUNITY,1800 STEPHENS DRIVE,,FORREST CITY,AR,72335,Saint Francis,1800 STEPHENS DRIVE,,FORREST CITY,AR,72335,8706336390,astephensdev@gmail.com,Assisted Living Facility #2,55
32490,WEST DIXON  ALF OPERATING LLC,2821 WEST DIXON ROAD,,LITTLE ROCK,AR,72206,Pulaski,2821 WEST DIXON ROAD,,LITTLE ROCK,AR,72206,5018884080,administrator@blossomsatwestdixonalf.com,Assisted Living Facility #2,32
32508,COUNTRYSIDE ASSISTED LIVING,722 PHILLIPS PLACE,, HUNTSVILLE,AR,72740,Madison,722 PHILLIPS PLACE,, HUNTSVILLE,AR,72740,4797381500,tara@countrysideassistedliving.com,Assisted Living Facility #2,106
32508,COUNTRYSIDE ASSISTED LIVING,722 PHILLIPS PLACE,, HUNTSVILLE,AR,72740,Madison,722 PHILLIPS PLACE,, HUNTSVILLE,AR,72740,4797381500,tara@countrysideassistedliving.com,Assisted Living Facility #2,106
32511,ARHC FRBRYAR01 TRS LLC,4216 FOX RIDGE DRIVE,,BRYANT,AR,72022,Saline,4216 FOX RIDGE DRIVE,,BRYANT,AR,72022,5018473400,jrodgers@foxridgeliving.net,Assisted Living Facility #2,130
32529,S-H OPCO PLEASANT HILLS LLC DBA VITALITY LIVING PL,800 NAPA VALLEY DRIVE,,LITTLE ROCK,AR,72211,Pulaski,800 NAPA VALLEY DRIVE,,LITTLE ROCK,AR,72211,5012259405,sblack@myvitalityliving.com,Assisted Living Facility #1,70
32531,"PROVIDENCE PCC OF SEARCY, LLC",3014 E MOORE AVE,,SEARCY,AR,72143,White,3014 E MOORE AVE,,SEARCY,AR,72143,5012684169,jfoster@provmanage.com,Assisted Living Facility #2,58
32538,MASSEY AVENUE ALF OPERATING LLC,414 MASSEY AVENUE,,MOUNTAIN VIEW,AR,72560,Stone,414 MASSEY AVENUE,,MOUNTAIN VIEW,AR,72560,8702695845,administrator@blossomsatmountainviewalf.com,Assisted Living Facility #2,32
32539,EMERITUS PROPERTIES ARK WILLOW BROOK LLC D/B/A BRO,5501 DUNCAN ROAD,,FORT SMITH,AR,72903,Sebastian,5501 DUNCAN ROAD,,FORT SMITH,AR,72903,4794845558,jennifer.thomas3@Brookdale.com,Assisted Living Facility #1,100
32544,GREEN ACRE EASY LIVING INC.,2407 WEST OAK STREET,,ROGERS,AR,72758,Benton,2407 WEST OAK STREET,,ROGERS,AR,72758,4796311552,missyalsip@yahoo.com,Assisted Living Facility #2,30
32578,WOODLAND HEIGHTS OPCO LLC DBA WOODLAND HEIGHTS,8700 RILEY DRIVE,,LITTLE ROCK,AR,72205,Pulaski,8700 RILEY DRIVE,,LITTLE ROCK,AR,72205,5012244242,executivedirector@woodlandheightsllc.com,Assisted Living Facility #2,75
32592,THE MANOR AT BENTON LLC,4727 BOONE ROAD,,BRYANT,AR,72022,Saline,4727 BOONE ROAD,,BRYANT,AR,72022,5013164100,tthompson@arkansasmanor.com,Assisted Living Facility #2,90
32604,GRAND MANOR LLC,1960 HIGHWAY 425 NORTH,,MONTICELLO,AR,71655,Drew,1960 HIGHWAY 425 NORTH,,MONTICELLO,AR,71655,8704124400,ann@grandmanormonticello.com,Assisted Living Facility #2,55
32605,ARKANSAS METHODIST RETIREMENT CENTER DBA CHATEAU O,2308 Chateau Blvd,,Paragould,AR,72450,Greene,2308 Chateau Blvd,,Paragould,AR,72450,8702156300,deborah.farrell@mychateau.org,Assisted Living Facility #2,91
32606,NORTHWEST REGIONAL SUPPORTIVE LIVING LLC DBA MAPLE,1400 OLD BERGMAN ROAD,,HARRISON,AR,72601,Boone,1400 OLD BERGMAN ROAD,,HARRISON,AR,72601,8702045226,melody@caresuitesofharrison.com,Assisted Living Facility #2,78
32621,HOT SPRINGS OPERATING LLC DBA THE ATRIUM AT SERENI,2803 ALBERT PIKE ROAD,,HOT SPRINGS,AR,71913,Garland,2803 ALBERT PIKE ROAD,,HOT SPRINGS,AR,71913,5017601140,ExecutiveDirector@atriumatserenitypointe.com,Assisted Living Facility #2,150
32637,CHG SENIOR LIVING STONEHAVEN LLC dba STONEHAVEN  A,101 OLYMPIA DRIVE,,MAUMELLE,AR,72113,Pulaski,2200 ROSS AVENUE SUITE 5400,,DALLAS,TX,75201,5018033335,lisa.wallace@chgcares.com,Assisted Living Facility #2,80
32650,EC OPCO OF SHERWOOD LLC DBA ELMCROFT OF SHERWOOD,9880 BROCKINGTON ROAD,,SHERWOOD,AR,72120,Pulaski,ECLIPSE SENIOR LIVING ATTENTON LICENSING ,5885 MEADOWS ROAD # 500,LAKE OSWEGO,OR,97035,5018356000,bunderwood@elmcroft.com,Assisted Living Facility #1,60
32653,ELDERCARE OF ARKANSAS INC DBA STONEBRIDGE OF BLYTH,1401 EAST MOULTRIE DRIVE,,BLYTHEVILLE,AR,72315,Mississippi,1401 EAST MOULTRIE DRIVE,,BLYTHEVILLE,AR,72315,8708380033,Lea.Franks@sbseniorliving.com,Assisted Living Facility #2,60
32657,"EC OPCO MAUMELLE, LLC, DBA ELMCROFT OF MAUMELLE",100 BRINGLER DRIVE,,MAUMELLE,AR,72113,Pulaski,"c/o Eclipse Senior Living, ATTN: Licensing","5885 Meadows Road, # 500",Lake Oswego,OR,97035,5014835761,awiley@Elmcroft.com,Assisted Living Facility #2,60
32663,GARRETT WOODS ASSISTED LIVING AND INDEPENDENT LIVI,142 BRIGHTON TERRACE,,HOT SPRINGS,AR,71913,Garland,142 BRIGHTON TERRACE,,HOT SPRINGS,AR,71913,5015251725,ALFacility@garrettwoodsal.com,Assisted Living Facility #2,61
