State Facility Type 1 Literal,Facility ID,Zip Code,Facility Name,Address,License Number,City,State,County,Phone Number,Capacity,Date Accessed
ASSISTED LIVING CENTER-DIRECTED,AL8176,85050,Acacia Health Center,4555 EAST MAYO BOULEVARD,AL8176C,Phoenix,AZ,Maricopa,(480)384-5600,88,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11212,85205,Acoya Mesa,6502 EAST BROWN ROAD,AL11212C,Mesa,AZ,Maricopa,(480)275-8300,188,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11651,85755,"All Seasons Of Oro Valley, Llc",1734 EAST INNOVATION PARK DRIVE,AL11651C,Oro Valley,AZ,Pima,(520)808-0006,75,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10047,85234,Almond Care Concepts At American Orchard,"765 NORTH LINDSAY, SAPWOOD BUILDING 2",AL10047C,Gilbert,AZ,Maricopa,(480)887-0599,45,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8370,86301,Alta Vista,918 CANTERBURY LANE,AL8370C,Prescott,AZ,Yavapai,(928)772-6000,59,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11230,85301,Amarsi Assisted Living,5125 NORTH 58TH AVENUE,AL11230C,Glendale,AZ,Maricopa,(623)915-5720,103,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9784,85260,Amber Creek Memory Care Community,11250 NORTH 92ND STREET,AL9784C,Scottsdale,AZ,Maricopa,(480)471-8265,65,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9378,85704,Amber Lights,6231 NORTH MONTEBELLA ROAD,AL9378C,Tucson,AZ,Pima,(520)498-0668,120,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11476,85382,Arbor Ridge,9257 WEST UNION HILLS DRIVE,AL11476C,Peoria,AZ,Maricopa,(952)361-8935,130,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL2589,85206,Arbor Rose Senior Care,6063 EAST ARBOR AVE,AL2589C,Mesa,AZ,Maricopa,(480)654-8200,89,7/13/21
