State Facility Type 1 Literal,Facility ID,Zip Code,Facility Name,Address,License Number,City,State,County,Phone Number,Capacity
ADULT DAY HEALTH CARE,AL0159,85020,ADULT DAY HEALTH CARE,303 EAST EVA STREET,AL0159D,PHOENIX,AZ,MARICOPA,(602)870-6374,60
ADULT DAY HEALTH CARE,AL10705,85296,ANGEL ADULT DAY CENTER,500 SOUTH GILBERT ROAD,AL10705D,GILBERT,AZ,MARICOPA,(480)630-6211,110
ADULT DAY HEALTH CARE,AL5180,85206,ARBOR ROSE ADULT DAY CLUB,6063 EAST ARBOR AVENUE,AL5180D,MESA,AZ,MARICOPA,(480)654-8200,90
ADULT DAY HEALTH CARE,AL7567,85374,"BENEVILLA, LUCY ANNE'S PLACE",16752 NORTH GREASEWOOD STREET,AL7567D,SURPRISE,AZ,MARICOPA,(623)584-4999,35
ADULT DAY HEALTH CARE,AL2905,85351,"BENEVILLA, MARY'S PLACE ADULT DAY PROGRAM",14601 NORTH DEL WEBB  BOULEVARD,AL2905D,SUN CITY,AZ,MARICOPA,(623)815-1031,40
ADULT DAY HEALTH CARE,AL1083,85381,"BENEVILLA, PEORIA ADULT DAY PROGRAM",8133 WEST CACTUS ROAD,AL1083D,PEORIA,AZ,MARICOPA,(623)979-7126,45
ADULT DAY HEALTH CARE,AL11005,85122,CALICHE SENIOR LIVING,1640 NORTH PEART ROAD,AL11005D,CASA GRANDE,AZ,PINAL,(520)316-8041,60
ADULT DAY HEALTH CARE,AL8551,85614,CASA COMMUNITY SERVICES,780 SOUTH PARK CENTRE AVENUE,AL8551D,GREEN VALLEY,AZ,PIMA,(520)625-2273,30
ADULT DAY HEALTH CARE,AL3382,85364,DAYBREAK ADULT DAY HEALTH CARE,321 SOUTH 15TH AVENUE,AL3382D,YUMA,AZ,YUMA,(928)783-8316,51
ADULT DAY HEALTH CARE,AL11767,85306,FSL ADULT DAY HEALTH SERVICES,16209 NORTH 67TH AVENUE,AL11767D,GLENDALE,AZ,MARICOPA,(602)285-1800,99
ADULT DAY HEALTH CARE,AL0165,85311,GLENDALE ADULT DAY HEALTH CARE CENTER,6010 WEST NORTHERN AVENUE,AL0165D,GLENDALE,AZ,MARICOPA,(602)285-1800,99
ADULT DAY HEALTH CARE,AL0164,85201,OAKWOOD CREATIVE CARE INC,247 NORTH MAC DONALD STREET,AL0164D,MESA,AZ,MARICOPA,(480)464-1061,50
ADULT DAY HEALTH CARE,AL2340,85207,OAKWOOD CREATIVE CARE INC,7550 EAST ADOBE,AL2340D,MESA,AZ,MARICOPA,(480)641-7644,40
ADULT DAY HEALTH CARE,AL6920,85013,PHOENIX ADULT DAY SERVICES,3620 NORTH 4TH AVENUE,AL6920D,PHOENIX,AZ,MARICOPA,(602)285-1800,99
ADULT DAY HEALTH CARE,AL9919,85712,SANDRUBY COMMUNITY PROGRAMS,5101 EAST FARNESS DRIVE,AL9919D,TUCSON,AZ,PIMA,(520)881-2323,96
ADULT DAY HEALTH CARE,AL5716,85053,SUNFLOWER ADULT DAY CARE CENTER,"2814 WEST BELL ROAD, SUITE 1415",AL5716D,PHOENIX,AZ,MARICOPA,(602)843-8711,45
ADULT DAY HEALTH CARE,AL11855,85016,SUNTREE ADULT DAY HEALTH,4120 NORTH 20TH STREET,AL11855D,PHOENIX,AZ,MARICOPA,(602)441-4900,40
ADULT DAY HEALTH CARE,AL0168,85281,TEMPE ADULT DAY HEALTH CARE CENTER,2234 EAST  MARYLAND DRIVE,AL0168D,TEMPE,AZ,MARICOPA,(480)285-1800,49
