rundate,subtype,FACID,FACTYPE,ZIP,LEGALNAME,ADDRESS,LICENSE,LICENSE_EFFECTIVE,LICENSE_EXPIRATION,CITY,state,COUNTY,TELEPHONE,FAXPHONE,CAPACITY,MCAID_CERT,Supp_Service_Provided,N_LON,N_LAT,N_MCODE,N_LCODE,N_BLOCK
44348,ADULT DAY HEALTH CARE,AL0159,1D1,85020,ADULT DAY HEALTH CARE,303 EAST EVA STREET,AL0159D,44105,44469,PHOENIX,AZ,MARICOPA,(602)870-6374,(602)331-5750,60,T,,-112.069321,33.568989,,,
44348,ADULT DAY HEALTH CARE,AL10705,1D1,85296,ANGEL ADULT DAY CENTER,500 SOUTH GILBERT ROAD,AL10705D,44044,44408,GILBERT,AZ,MARICOPA,(480)630-6211,(480)630-6213,110,,,,,,,
44348,ADULT DAY HEALTH CARE,AL5180,1D1,85206,ARBOR ROSE ADULT DAY CLUB,6063 EAST ARBOR AVENUE,AL5180D,43983,44712,MESA,AZ,MARICOPA,(480)654-8200,(480)981-9379,90,T,,-111.699871,33.413594,,,
44348,ADULT DAY HEALTH CARE,AL7567,1D1,85374,"BENEVILLA, LUCY ANNE'S PLACE",16752 NORTH GREASEWOOD STREET,AL7567D,44044,44408,SURPRISE,AZ,MARICOPA,(623)584-4999,(623)546-1589,35,,,-112.329307,33.636609,,,
44348,ADULT DAY HEALTH CARE,AL2905,1D1,85351,"BENEVILLA, MARY'S PLACE ADULT DAY PROGRAM",14601 NORTH DEL WEBB  BOULEVARD,AL2905D,44105,44469,SUN CITY,AZ,MARICOPA,(623)815-1031,(623)815-3690,40,,,-112.291012,33.616703,,,
44348,ADULT DAY HEALTH CARE,AL1083,1D1,85381,"BENEVILLA, PEORIA ADULT DAY PROGRAM",8133 WEST CACTUS ROAD,AL1083D,44166,44530,PEORIA,AZ,MARICOPA,(623)979-7126,(623)979-5249,45,,,-112.234193,33.595414,,,
44348,ADULT DAY HEALTH CARE,AL11005,1D1,85122,CALICHE SENIOR LIVING,1640 NORTH PEART ROAD,AL11005D,43862,44592,CASA GRANDE,AZ,PINAL,(520)316-8041,(520)797-7757,60,,,,,,,
44348,ADULT DAY HEALTH CARE,AL8551,1D1,85614,CASA COMMUNITY SERVICES,780 SOUTH PARK CENTRE AVENUE,AL8551D,44105,44469,GREEN VALLEY,AZ,PIMA,(520)625-2273,(520)625-1598,30,,,-110.977091,31.858816,,,
44348,ADULT DAY HEALTH CARE,AL3382,1D1,85364,DAYBREAK ADULT DAY HEALTH CARE,321 SOUTH 15TH AVENUE,AL3382D,44044,44408,YUMA,AZ,YUMA,(928)783-8316,(928)783-8317,51,,,-114.637981,32.721237,,,
44348,ADULT DAY HEALTH CARE,AL11767,1D1,85306,FSL ADULT DAY HEALTH SERVICES,16209 NORTH 67TH AVENUE,AL11767D,44327,44681,GLENDALE,AZ,MARICOPA,(602)285-1800,(   )   -,99,,,,,,,
44348,ADULT DAY HEALTH CARE,AL0165,1D1,85311,GLENDALE ADULT DAY HEALTH CARE CENTER,6010 WEST NORTHERN AVENUE,AL0165D,44105,44469,GLENDALE,AZ,MARICOPA,(602)285-1800,(602)285-1838,99,,,-112.189172,33.553177,,,
44348,ADULT DAY HEALTH CARE,AL0164,1D1,85201,OAKWOOD CREATIVE CARE INC,247 NORTH MAC DONALD STREET,AL0164D,43983,44712,MESA,AZ,MARICOPA,(480)464-1061,(480)464-1166,50,,,-111.833785,33.42034,,,
44348,ADULT DAY HEALTH CARE,AL2340,1D1,85207,OAKWOOD CREATIVE CARE INC,7550 EAST ADOBE,AL2340D,43862,44592,MESA,AZ,MARICOPA,(480)641-7644,(480)924-6189,40,,,-111.668648,33.429836,,,
44348,ADULT DAY HEALTH CARE,AL6920,1D1,85013,PHOENIX ADULT DAY SERVICES,3620 NORTH 4TH AVENUE,AL6920D,44013,44377,PHOENIX,AZ,MARICOPA,(602)285-1800,(602)285-1838,99,,,-112.079123,33.489702,,,
44348,ADULT DAY HEALTH CARE,AL9919,1D1,85712,SANDRUBY COMMUNITY PROGRAMS,5101 EAST FARNESS DRIVE,AL9919D,43952,44681,TUCSON,AZ,PIMA,(520)881-2323,(520)322-3620,96,,,,,,,
44348,ADULT DAY HEALTH CARE,AL5716,1D1,85053,SUNFLOWER ADULT DAY CARE CENTER,"2814 WEST BELL ROAD, SUITE 1415",AL5716D,43952,44316,PHOENIX,AZ,MARICOPA,(602)843-8711,(602)843-8964,45,,,-112.120257,33.640038,,,
44348,ADULT DAY HEALTH CARE,AL11855,1D1,85016,SUNTREE ADULT DAY HEALTH,4120 NORTH 20TH STREET,AL11855D,44330,44681,PHOENIX,AZ,MARICOPA,(602)441-4900,(602)441-4900,40,,,,,,,
44348,ADULT DAY HEALTH CARE,AL0168,1D1,85281,TEMPE ADULT DAY HEALTH CARE CENTER,2234 EAST  MARYLAND DRIVE,AL0168D,44013,44377,TEMPE,AZ,MARICOPA,(480)285-1800,(602)285-1838,49,,,-111.889528,33.420401,,,
44348,ADULT DAY HEALTH CARE,AL4502,1D1,85281,TEMPE ADULT DAY HEALTH CARE CENTER,2303 EAST MARYLAND DRIVE,AL4502D,43831,44561,TEMPE,AZ,MARICOPA,(602)532-2982,(602)297-1847,24,,,-111.888713,33.420134,,,
44348,ADULT DAY HEALTH CARE,AL4439,1D1,86314,THE SUSAN J. RHEEM ADULT DAY CENTER,3407 NORTH WINDSONG DRIVE,AL4439D,44044,44408,PRESCOTT VALLEY,AZ,YAVAPAI,(928)775-3563,(928)775-3591,65,,,-112.326469,34.591284,,,
44348,ADULT FOSTER CARE,AL5570,1C1,85303,ADELA LUPEA,7321 NORTH 82ND DRIVE,AL5570F,44105,44469,GLENDALE,AZ,MARICOPA,(623)842-5765,(623)842-5765,4,T,,-112.236011,33.538095,,,
44348,ADULT FOSTER CARE,AL5626,1C1,85306,ADULT CARE BY DAN OLNEY,4547 WEST HEARN ROAD,AL5626F,44105,44469,GLENDALE,AZ,MARICOPA,(602)938-9473,(602)938-9473,4,T,,-112.156895,33.614195,,,
44348,ADULT FOSTER CARE,AL6015,1C1,85041,ADULT FOSTER CARE HOME,3135 WEST ALTA VISTA ROAD,AL6015F,44013,44742,PHOENIX,AZ,MARICOPA,(602)283-1062,(602)283-1062,4,,,-112.126398,33.388498,,,
44348,ADULT FOSTER CARE,AL5504,1C1,85051,ADULT FOSTER CARE HOME (ED'S),4130 WEST IRONWOOD DRIVE,AL5504F,44105,44469,PHOENIX,AZ,MARICOPA,(623)842-3215,(623)842-3215,4,,,-112.147324,33.575301,,,
44348,ADULT FOSTER CARE,AL10228,1C1,86301,AMERICAN HERITAGE SENIOR LIVING,4872 EAST RAMADA DRIVE,AL10228F,43862,44592,PRESCOTT,AZ,YAVAPAI,(928)710-7106,(928)710-7106,4,,,,,,,
44348,ADULT FOSTER CARE,AL11772,1C1,85746,AMOR DE MADRE ADULT CARE HOME LLC,7515 SOUTH GILA AVENUE,AL11772F,44229,44592,TUCSON,AZ,PIMA,(520)883-2248,(520)812-7248,4,,,,,,,
44348,ADULT FOSTER CARE,AL5472,1C1,85022,ANGELICA PAUL,15820 NORTH 20TH STREET,AL5472F,44105,44469,PHOENIX,AZ,MARICOPA,(602)493-4966,(602)493-4966,4,T,,-112.039619,33.630508,,,
44348,ADULT FOSTER CARE,AL5462,1C1,85210,ANNE ASHWORTH,835 WEST PERALTA AVENUE,AL5462F,44105,44469,MESA,AZ,MARICOPA,(480)820-0620,(480)718-5624,4,T,,-111.852666,33.357334,,,
44348,ADULT FOSTER CARE,AL7919,1C1,85711,ARACELI CORNIDEZ ADULT FOSTER CARE,5972 EAST 28TH STREET,AL7919F,43862,44592,TUCSON,AZ,PIMA,(520)790-5816,(520)207-1739,4,,,-110.863545,32.200349,,,
44348,ADULT FOSTER CARE,AL10914,1C1,85381,ASTER MANOR ADULT FOSTER CARE,6940 WEST ASTER DRIVE,AL10914F,44166,44530,PEORIA,AZ,MARICOPA,(623)231-6395,(623)433-2775,4,,,,,,,
44348,ADULT FOSTER CARE,AL11408,1C1,85396,AT HOME AT SIENNA HILLS,21210 WEST HOLLY STREET,AL11408F,43922,44651,BUCKEYE,AZ,MARICOPA,(206)383-3905,(   )   -,4,,,,,,,
44348,ADULT FOSTER CARE,AL11071,1C1,85713,BEATRICE C. TORRES ADULT FOSTER CARE HOME,2709 EAST PINAL VISTA,AL11071F,43922,44651,TUCSON,AZ,PIMA,(520)332-2109,(520)332-2110,4,,,,,,,
44348,ADULT FOSTER CARE,AL9459,1C1,85032,CARING HEARTS ASSISTED CARE HOME,4029 EAST PERSHING AVENUE,AL9459F,44044,44408,PHOENIX,AZ,MARICOPA,(602)487-5699,(602)507-7500,4,,,,,,,
44348,ADULT FOSTER CARE,AL5517,1C1,85382,CAROLINE BAYLON,15607 NORTH 91ST DRIVE,AL5517F,44105,44469,PEORIA,AZ,MARICOPA,(623)583-7815,(623)933-1061,4,T,,-112.25416,33.626196,,,
44348,ADULT FOSTER CARE,AL5505,1C1,85302,DAISY MILLER,8116 NORTH 59TH DRIVE,AL5505F,44105,44469,GLENDALE,AZ,MARICOPA,(623)915-9309,(623)915-9309,4,,,-112.186883,33.554571,,,
44348,ADULT FOSTER CARE,AL6922,1C1,85308,DANIELA BOHA,4825 WEST CHARLESTON AVENUE,AL6922F,43831,44561,GLENDALE,AZ,MARICOPA,(602)439-2124,(602)439-2122,3,T,,-112.163631,33.649203,,,
44348,ADULT FOSTER CARE,AL5513,1C1,85051,EVA FUGATT,3145 WEST BUTLER,AL5513F,44105,44469,PHOENIX,AZ,MARICOPA,(602)995-5313,(602)995-5313,4,,,-112.127363,33.560192,,,
44348,ADULT FOSTER CARE,AL9966,1C1,85716,FAMILY LOVING KARE CENTRAL,2711 NORTH HASKELL DRIVE,AL9966F,43891,44620,TUCSON,AZ,PIMA,(520)730-7575,(520)407-6214,4,,,,,,,
44348,ADULT FOSTER CARE,AL9399,1C1,85718,FAMILY LOVING KARE FOOTHILLS,4505 NORTH FLECHA DRIVE,AL9399F,43922,44651,TUCSON,AZ,PIMA,(520)730-7575,(520)407-6214,4,,,,,,,
44348,ADULT FOSTER CARE,AL6436,1C1,85355,HEAVEN ON EARTH,18640 WEST ONYX AVENUE,AL6436F,43831,44561,WADDELL,AZ,MARICOPA,(623)848-9834,(623)691-0911,4,T,,-112.460058,33.575215,,,
44348,ADULT FOSTER CARE,AL5583,1C1,85050,HELENA BARTOSZEK,3031 EAST TOPEKA DRIVE,AL5583F,44105,44469,PHOENIX,AZ,MARICOPA,(602)765-9576,(623)444-6818,4,T,,-112.017333,33.660791,,,
