State Facility Type 1 Literal,Facility ID,Facility Name,Licensee,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity,Date Accessed
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601302,Acacia Creek - Union City,"MASONIC HOMES CAL & ACACIA CREEK, MASONIC SEN LIV",mherter@acaciacreek.org,(510) 441-3700,34400 MISSION BLVD.,Union City,CA,94587,Alameda,376,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,216801686,Aldersly,"ALDERSLY/LIFE CARE SERVICES,LLC",gilbertcarrasco@aldersly.com,(415) 453-7425,326 MISSION AVENUE,San Rafael,CA,94901,Marin,122,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191222081,Ararat Home Of Los Angeles,"ARARAT HOME OF LOS ANGELES, INC.",ritan@ararathome.org,(818) 365-3000,15105 MISSION HILLS RD.,Mission Hills,CA,91345,Los Angeles,186,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803905,Arbol Residences Of Santa Rosa,LCS SANTA ROSA LLC; LIFE CARE SERVICES LLC,sorianomariele@lcsnet.com,(707) 566-8600,300 FOUNTAINGROVE PARKWAY,Santa Rosa,CA,95403,Sonoma,158,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500146,Artesia Christian Home,"ARTESIA CHRISTIAN HOME, INC.",micheller@achome.org,(562) 865-5218,11614 EAST 183RD STREET,Artesia,CA,90701,Los Angeles,143,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197802543,Atherton Baptist Homes,ATHERTON BAPTIST HOMES,alee@abh.org,(626) 289-4178,214 SOUTH ATLANTIC BLVD.,Alhambra,CA,91801,Los Angeles,518,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700369,Atterdag Village Of Solvang,"SOLVANG LUTHERAN HOME, INC.",chris@peoplewhocare.com,(805) 688-3263,636 N ATTERDAG ROAD,Solvang,CA,93463,Santa Barbara,188,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374604407,Bayshire Carlsbad,CAMINO REAL CARE LLC,scott@bayshirellc.com,(760) 720-9898,3140 EL CAMINO REAL,Carlsbad,CA,92008,San Diego,125,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,331881086,Bayshire Rancho Mirage,MIRAGE CARE LLC,scott@bayshirellc.com,(760) 340-5999,72201 COUNTRY CLUB DRIVE,Rancho Mirage,CA,92270,Riverside,135,7/13/21
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501662,Brethren Hillcrest Homes,BRETHREN HILLCREST HOMES,info@livingathillcrest.org,(909) 593-4917,2705 MOUNTAIN VIEW DRIVE,La Verne,CA,91750,Los Angeles,574,7/13/21
