State Facility Type 1 Literal,Facility ID,Facility Name,Licensee,Email Address,Phone Number,Address,City,State,Zip Code,County,Capacity,Facility Status
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601302,ACACIA CREEK - UNION CITY,"MASONIC HOMES CAL & ACACIA CREEK, MASONIC SEN LIV",MHERTER@ACACIACREEK.ORG,(510) 441-3700,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,376,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,216801686,ALDERSLY,"ALDERSLY/LIFE CARE SERVICES,LLC",GILBERTCARRASCO@ALDERSLY.COM,(415) 453-7425,326 MISSION AVENUE,SAN RAFAEL,CA,94901,MARIN,122,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,330907913,ALTAVITA VILLAGE,AIRFORCE VILLAGE WEST INC; ESKATON PROPERTIES INC,jmelin@afvw.com,(951) 697-2000,17050 ARNOLD DR,RIVERSIDE,CA,92518,RIVERSIDE,770,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191222081,ARARAT HOME OF LOS ANGELES,"ARARAT HOME OF LOS ANGELES, INC.",RITAN@ARARATHOME.ORG,(818) 365-3000,15105 MISSION HILLS RD.,MISSION HILLS,CA,91345,LOS ANGELES,186,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803785,ARBOL RESIDENCES OF SANTA ROSA,HCP SANTA ROSA CA OPCO LLC; LIFE CARE SERVICES LLC,SORIANOMARIELE@ARBOLSANTAROSA.COM,(707) 566-8600,300 FOUNTAINGROVE PKWY,SANTA ROSA,CA,95403,SONOMA,158,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803905,ARBOL RESIDENCES OF SANTA ROSA,LCS SANTA ROSA LLC; LIFE CARE SERVICES LLC,SORIANOMARIELE@LCSNET.COM,(707) 566-8600,300 FOUNTAINGROVE PARKWAY,SANTA ROSA,CA,95403,SONOMA,158,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500146,ARTESIA CHRISTIAN HOME,"ARTESIA CHRISTIAN HOME, INC.",MICHELLER@ACHOME.ORG,(562) 865-5218,11614 EAST 183RD STREET,ARTESIA,CA,90701,LOS ANGELES,143,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197802543,ATHERTON BAPTIST HOMES,ATHERTON BAPTIST HOMES,ALEE@ABH.ORG,(626) 289-4178,214 SOUTH ATLANTIC BLVD.,ALHAMBRA,CA,91801,LOS ANGELES,518,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700369,ATTERDAG VILLAGE OF SOLVANG,"SOLVANG LUTHERAN HOME, INC.",CHRIS@PEOPLEWHOCARE.COM,(805) 688-3263,636 N ATTERDAG ROAD,SOLVANG,CA,93463,SANTA BARBARA,188,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603618,BAYSHIRE CARLSBAD,S-H OPCO CARLSBAD; CAMINO REAL CARE LLC,SASHA@BAYSHIRE.COM,(760) 720-9898,3140 EL CAMINO REAL,CARLSBAD,CA,92008,SAN DIEGO,125,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374604407,BAYSHIRE CARLSBAD,CAMINO REAL CARE LLC,SCOTT@BAYSHIRELLC.COM,(760) 720-9898,3140 EL CAMINO REAL,CARLSBAD,CA,92008,SAN DIEGO,125,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426512,BAYSHIRE RANCHO MIRAGE,S-H OPCO RANCHO MIRAGE; MIRAGE CARE LLC,DWAYNE.D@BAYSHIRE.COM,(760) 340-5999,72201 COUNTRY CLUB DR,RANCHO MIRAGE,CA,92270,RIVERSIDE,135,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,331881086,BAYSHIRE RANCHO MIRAGE,MIRAGE CARE LLC,SCOTT@BAYSHIRELLC.COM,(760) 340-5999,72201 COUNTRY CLUB DRIVE,RANCHO MIRAGE,CA,92270,RIVERSIDE,135,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501662,BRETHREN HILLCREST HOMES,BRETHREN HILLCREST HOMES,INFO@LIVINGATHILLCREST.ORG,(909) 593-4917,2705 MOUNTAIN VIEW DRIVE,LA VERNE,CA,91750,LOS ANGELES,574,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501668,"BRITISH HOME IN CALIFORNIA LTD, THE","BRITISH HOME IN CALIFORNIA, LTD THE",marlene@britishhome-ca.us,(626) 355-7240,647 MANZANITA AVE,SIERRA MADRE,CA,91024,LOS ANGELES,41,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803519,BROOKDALE FOUNTAINGROVE,EMERITUS CORPORATION,FERDINANDAUGUSTUS.BUOT@BROOKDALE.COM,(707) 566-8600,300 FOUNTAINGROVE PKWY,SANTA ROSA,CA,95403,SONOMA,158,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608720,BROOKDALE NORTHRIDGE,EMERITUS CORPORATION,VKESHISHYAN@BROOKDALE.COM,(818) 886-1616,17650 W DEVONSHIRE ST,NORTHRIDGE,CA,91325,LOS ANGELES,135,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197610016,BROOKDALE NORTHRIDGE,SH NORTHRIDGE CA OPCO LLC; HBC MANAGER LLC,VKESHISHYAN@BROOKDALE.COM,(818) 886-1616,17650 WEST DEVONSHIRE STREET,NORTHRIDGE,CA,91325,LOS ANGELES,135,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,157203395,BROOKDALE RIVERWALK,BLC GLENWOOD-GARDENS AL-LH; BROOKDALE LIVING COMMS,RWEBSTER5@BROOKDALE.COM,(661) 587-0221,350 CALLOWAY DR,BAKERSFIELD,CA,93312,KERN,376,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198601907,BROOKDALE SAN DIMAS,EMERITUS CORPORATION,,(909) 394-0304,1740 SAN DIMAS AVE,SAN DIMAS,CA,91773,LOS ANGELES,131,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004693,BROOKDALE YORBA LINDA,EMERITUS CORPORATION,YORBALINDA-ED@EMERITUS.COM,(714) 777-9666,17803 IMPERIAL HWY,YORBA LINDA,CA,92886,ORANGE,135,CLOSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100400070,CALIFORNIA ARMENIAN HOME,CALIFORNIA HOME FOR THE AGED INC,georgej@armenianhome.net,(559) 251-8414,6720 E KINGS CANYON RD,FRESNO,CA,93727,FRESNO,356,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565850142,CAMARILLO SENIOR LIVING,ACSR LLC,JBRADSHAW@ASPENHEALTH.COM,(805) 348-2214,6000 SANTA ROSA ROAD,CAMARILLO,CA,93012,VENTURA,140,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565801963,CAMARILLO SENIOR LIVING,S-H OPCO CAMARILLO LLC; ACSR LLC,VINCENTG@ASPENHEALTH.COM,(805) 388-8086,6000 SANTA ROSA RD,CAMARILLO,CA,93012,VENTURA,140,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270708224,CANTERBURY WOODS,COVIA COMMUNITIES,EABARE@COVINA.ORG,(831) 373-3111,651 SINEX AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,190,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191603774,"CANTERBURY, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,DHONE@THECANTERBURY.ORG,(310) 541-2410,5801 WEST CRESTRIDGE ROAD,RANCHO PALOS VERDES,CA,90274,LOS ANGELES,187,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005949,CAPISTRANO SENIOR LIVING,ASRV LLC,JBRADSHAW@ASPENHEALTH.COM,(844) 375-0029,31741 RANCHO VIEJO ROAD,SAN JUAN CAPISTRANO,CA,92675,ORANGE,125,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004555,CAPRIANA,CAPRIANA OPERATIONS; OAKMONT SR LVG; OAKMONT MGT G,TONYA.REYNOLDS@OAKMONTMG.COM,(714) 589-2866,460 LA FLORESTA DR,BREA,CA,92821,ORANGE,200,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601222,CARDINAL POINT AT MARINER SQUARE,"CARDINAL PT MARINER, OAKMONT SR LVG; OAKMONT MGT G",GERRY.VADNAIS@OAKMONTMG.COM,(510) 337-1033,2431 MARINER SQUARE DR,ALAMEDA,CA,94501,ALAMEDA,153,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600799,CARLSBAD BY THE SEA,FRONT PORCH COMMUNITIES AND SERVICES,JOJOHNSON@FRONTPORCH.NET,(760) 729-2377,2855 CARLSBAD BLVD.,CARLSBAD,CA,92008,SAN DIEGO,224,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700110,CARMEL VALLEY MANOR,NORTHERN CALIFORNIA CONGREGATIONAL RETIREMENT HOME,JZIMMER@CVMANOR.COM,(831) 624-1281,8545 CARMEL VALLEY ROAD,CARMEL,CA,93923,MONTEREY,258,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405800142,CASA DE FLORES,"COMPASS HEALTH, INC., DBA",CORINA@COMPASS-HEALTH.COM,(805) 772-7372,1405 TERESA DRIVE,MORRO BAY,CA,93442,SAN LUIS OBISPO,120,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600488,CASA DE LAS CAMPANAS,"CASA DE LAS CAMPANAS/LIFE CARE SERVICE, LLC",dominy@casadlc.com,(858) 451-9152,18655 WEST BERNARDO DRIVE,SAN DIEGO,CA,92127,SAN DIEGO,582,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700160,CASA DORINDA,MONTECITO RETIREMENT ASSOCIATION,BMCCAGUE@CASADORINDA.ORG,(805) 969-8011,300 HOT SPRINGS RD.,SANTA BARBARA,CA,93108,SANTA BARBARA,325,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700136,CHANNING HOUSE,CHANNING HOUSE,RBEKKEDAHL@CHANNINGHOUSE.ORG,(650) 327-0950,850 WEBSTER STREET,PALO ALTO,CA,94301,SANTA CLARA,264,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,370800394,COVENANT LIVING AT MOUNT MIGUEL,COVENANT LIVING WEST,CPMILLER@COVENANTRETIREMENT.ORG,(619) 479-4790,325 KEMPTON STREET,SPRING VALLEY,CA,91977,SAN DIEGO,434,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421702848,COVENANT LIVING AT THE SAMARKAND,COVENANT LIVING WEST,LSMALL@COVLIVING.ORG,(805) 687-0701,2550 TREASURE DRIVE,SANTA BARBARA,CA,93105,SANTA BARBARA,379,LICENSED
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,500301453,COVENANT LIVING OF TURLOCK,COVENANT LIVING WEST,RSHUST@COVLIVING.ORG,(209) 632-9976,2125 N OLIVE AVENUE,TURLOCK,CA,95382,STANISLAUS,377,LICENSED
