Facility ID,Facility Name,Phone Number,State Facility Type 1 Literal,County,Address,City,State,Zip Code,Email Address,Ownership Type,Licensee,Capacity,Date Accessed
23039K,Shawnee Gardens,3034941123,ASSISTED LIVING RESIDENCE,Boulder,4755 SHAWNEE PLACE,Boulder,CO,80303,shawneegardens@comcast.net, PROFIT-CORPORA,"SOMETHING MORE, INC.",7,7/6/21
2303A1,"Joneses Assisted Living, The",9706632226,ASSISTED LIVING RESIDENCE,Larimer,2127 EAGLE DR,Loveland,CO,80537,theneergaards@yahoo.com, PROFIT-CORPORA,"JONESES, THE",8,7/6/21
2303H2,Balfour Retirement Community,3039261000,ASSISTED LIVING RESIDENCE,Boulder,1855 PLAZA DR,Louisville,CO,80027,jallen@balfourcare.com, LIMITED LIABIL,WELL BALFOUR TENANT LLC,65,7/6/21
2303KO,Bridge Assisted Lvg At Life Care Ctr-Longmont,3037748255,ASSISTED LIVING RESIDENCE,Boulder,2444 PRATT ST,Longmont,CO,80501,, LIMITED LIABIL,"LONGMONT ASSISTED LIVING, LLC",70,7/6/21
2303OR,"Academy, The",3039381920,ASSISTED LIVING RESIDENCE,Boulder,970 AURORA AVENUE,Boulder,CO,80302,shirley@theacademyboulder.com,PARTNERSHIP,"ACADEMY GROUP LP, THE",32,7/6/21
2303QF,Brookdale Boulder Creek,3034730333,ASSISTED LIVING RESIDENCE,Boulder,3375 34TH ST,Boulder,CO,80301,, PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,90,7/6/21
2303VR,Ashley Manor - Ft Lupton 2,3038570116,ASSISTED LIVING RESIDENCE,Weld,1150 4TH ST,Fort Lupton,CO,80621,, PROFIT-CORPORA,ASHLEY MANOR LLC,14,7/6/21
2303YC,"Peaks Assisted Living Center, The",3037762814,ASSISTED LIVING RESIDENCE,Boulder,1440 COFFMAN STREET,Longmont,CO,80501,, LIMITED LIABIL,HEIGHTS HEALTHCARE CO LLC,16,7/6/21
2303Z4,Balfour Cherrywood Village,3036042700,ASSISTED LIVING RESIDENCE,Boulder,282 MCCASLIN BLVD,Louisville,CO,80027,, LIMITED LIABIL,WELL BALFOUR TENANT LLC,52,7/6/21
230435,"Lit'L Patch Of Heaven, Inc",3032882539,ASSISTED LIVING RESIDENCE,Adams,8330 CLARKSON ST,Denver,CO,80229,litpatchofheaven@aol.com, PROFIT-CORPORA,"LIT'L PATCH OF HEAVEN, INC.",15,7/6/21
23046M,Brookdale Arvada,3034238100,ASSISTED LIVING RESIDENCE,Jefferson,7720 ALLISON STREET,Arvada,CO,80005,calvarez17@brookdale.com, PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,92,7/6/21
230487,Caley Ridge Assisted Living Community,3037218900,ASSISTED LIVING RESIDENCE,Arapahoe,9350 E CALEY AVE,Englewood,CO,80111,admin@caleyridgealf.com, LIMITED LIABIL,"CALEY RIDGE OPERATIONS, LLC",106,7/6/21
2304B1,Frontier Valley Independent And Assisted Living,3033411412,ASSISTED LIVING RESIDENCE,Arapahoe,11265 EAST MISSISSIPPI AVE,Aurora,CO,80012,dvanvliet@ensignservices.net, PROFIT-CORPORA,WINDSOR LAKE HEALTHCARE INC,120,7/6/21
2304C3,Aspen Cares 2 Llc,3038345646,ASSISTED LIVING RESIDENCE,Jefferson,1398 ZEPHYR ST,Lakewood,CO,80214,, LIMITED LIABIL,ASPEN CARES 2 LLC,14,7/6/21
2304C8,"Manor On Marion Circle, The",3038345646,ASSISTED LIVING RESIDENCE,Arapahoe,8089 S MARION CIRCLE,Centennial,CO,80122,, LIMITED LIABIL,SOUTH MARION MANOR CARES LLC,8,7/6/21
2304D3,Five Star Residences Of Dayton Place,3037515150,ASSISTED LIVING RESIDENCE,Arapahoe,2000 S DAYTON STREET,Denver,CO,80247,bertollt_ncmt@yahoo.com, PROFIT-CORPORA,SNH AL TRS INC,122,7/6/21
2304DB,Brookdale Highlands Ranch,3036832555,ASSISTED LIVING RESIDENCE,Douglas,9160 S UNIVERSITY BLVD,Highlands Ranch,CO,80126,chendrick@brookdaleliving.com, PROFIT-CORPORA,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",81,7/6/21
2.30E+10,Porter Place Inc,3037656800,ASSISTED LIVING RESIDENCE,Denver,1001 E YALE AVENUE,Denver,CO,80210,susano'dell@centura.org, CORPORATE NON-,PORTERCARE ADVENTIST HEALTH SYSTEM,175,7/6/21
2304F3,"Gardens Care Homes Llc, The - Indian Tree",3034316027,ASSISTED LIVING RESIDENCE,Jefferson,7319 CARR STREET,Arvada,CO,80005,, LIMITED LIABIL,"GARDENS CARE HOMES LLC, THE",16,7/6/21
2304GF,Libby Bortz Assisted Living Center,3033479755,ASSISTED LIVING RESIDENCE,Arapahoe,5844 S CURTICE,Littleton,CO,80120,ed@lbalc.org, CORPORATE NON-,SOUTH METRO HOUSING OPTIONS,115,7/6/21
2304GP,Park Hill Residence,3033889437,ASSISTED LIVING RESIDENCE,Denver,1901 EUDORA STREET,Denver,CO,80220,vjenkins@seniorhousingoptions.org, CORPORATE NON-,PARK HILL RESIDENCE INC,36,7/6/21
