Facility ID,Facility Name,Phone Number,State Facility Type 1 Literal,County,Address,City,State,Zip Code,Email Address,Ownership Type,Licensee,Capacity
23039K,SHAWNEE GARDENS,3034941123,ASSISTED LIVING RESIDENCE,BOULDER,4755 SHAWNEE PLACE,BOULDER,CO,80303,shawneegardens@comcast.net, PROFIT-CORPORA,"SOMETHING MORE, INC.",7
2303A1,"JONESES ASSISTED LIVING, THE",9706632226,ASSISTED LIVING RESIDENCE,LARIMER,2127 EAGLE DR,LOVELAND,CO,80537,theneergaards@yahoo.com, PROFIT-CORPORA,"JONESES, THE",8
2303H2,BALFOUR RETIREMENT COMMUNITY,3039261000,ASSISTED LIVING RESIDENCE,BOULDER,1855 PLAZA DR,LOUISVILLE,CO,80027,jallen@balfourcare.com, LIMITED LIABIL,WELL BALFOUR TENANT LLC,65
2303KO,BRIDGE ASSISTED LVG AT LIFE CARE CTR-LONGMONT,3037748255,ASSISTED LIVING RESIDENCE,BOULDER,2444 PRATT ST,LONGMONT,CO,80501,, LIMITED LIABIL,"LONGMONT ASSISTED LIVING, LLC",70
2303OR,"ACADEMY, THE",3039381920,ASSISTED LIVING RESIDENCE,BOULDER,970 AURORA AVENUE,BOULDER,CO,80302,shirley@theacademyboulder.com,PARTNERSHIP,"ACADEMY GROUP LP, THE",32
2303QF,BROOKDALE BOULDER CREEK,3034730333,ASSISTED LIVING RESIDENCE,BOULDER,3375 34TH ST,BOULDER,CO,80301,, PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,90
2303VR,ASHLEY MANOR - FT LUPTON 2,3038570116,ASSISTED LIVING RESIDENCE,WELD,1150 4TH ST,FORT LUPTON,CO,80621,, PROFIT-CORPORA,ASHLEY MANOR LLC,14
2303YC,"PEAKS ASSISTED LIVING CENTER, THE",3037762814,ASSISTED LIVING RESIDENCE,BOULDER,1440 COFFMAN STREET,LONGMONT,CO,80501,, LIMITED LIABIL,HEIGHTS HEALTHCARE CO LLC,16
2303Z4,BALFOUR CHERRYWOOD VILLAGE,3036042700,ASSISTED LIVING RESIDENCE,BOULDER,282 MCCASLIN BLVD,LOUISVILLE,CO,80027,, LIMITED LIABIL,WELL BALFOUR TENANT LLC,52
230435,"LIT'L PATCH OF HEAVEN, INC",3032882539,ASSISTED LIVING RESIDENCE,ADAMS,8330 CLARKSON ST,DENVER,CO,80229,litpatchofheaven@aol.com, PROFIT-CORPORA,"LIT'L PATCH OF HEAVEN, INC.",15
23046M,BROOKDALE ARVADA,3034238100,ASSISTED LIVING RESIDENCE,JEFFERSON,7720 ALLISON STREET,ARVADA,CO,80005,calvarez17@brookdale.com, PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,92
230487,CALEY RIDGE ASSISTED LIVING COMMUNITY,3037218900,ASSISTED LIVING RESIDENCE,ARAPAHOE,9350 E CALEY AVE,ENGLEWOOD,CO,80111,admin@caleyridgealf.com, LIMITED LIABIL,"CALEY RIDGE OPERATIONS, LLC",106
2304B1,FRONTIER VALLEY INDEPENDENT AND ASSISTED LIVING,3033411412,ASSISTED LIVING RESIDENCE,ARAPAHOE,11265 EAST MISSISSIPPI AVE,AURORA,CO,80012,dvanvliet@ensignservices.net, PROFIT-CORPORA,WINDSOR LAKE HEALTHCARE INC,120
2304C3,ASPEN CARES 2 LLC,3038345646,ASSISTED LIVING RESIDENCE,JEFFERSON,1398 ZEPHYR ST,LAKEWOOD,CO,80214,, LIMITED LIABIL,ASPEN CARES 2 LLC,14
2304C8,"MANOR ON MARION CIRCLE, THE",3038345646,ASSISTED LIVING RESIDENCE,ARAPAHOE,8089 S MARION CIRCLE,CENTENNIAL,CO,80122,, LIMITED LIABIL,SOUTH MARION MANOR CARES LLC,8
2304D3,FIVE STAR RESIDENCES OF DAYTON PLACE,3037515150,ASSISTED LIVING RESIDENCE,ARAPAHOE,2000 S DAYTON STREET,DENVER,CO,80247,bertollt_ncmt@yahoo.com, PROFIT-CORPORA,SNH AL TRS INC,122
2304DB,BROOKDALE HIGHLANDS RANCH,3036832555,ASSISTED LIVING RESIDENCE,DOUGLAS,9160 S UNIVERSITY BLVD,HIGHLANDS RANCH,CO,80126,chendrick@brookdaleliving.com, PROFIT-CORPORA,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",81
2.30E+10,PORTER PLACE INC,3037656800,ASSISTED LIVING RESIDENCE,DENVER,1001 E YALE AVENUE,DENVER,CO,80210,susano'dell@centura.org, CORPORATE NON-,PORTERCARE ADVENTIST HEALTH SYSTEM,175
2304F3,"GARDENS CARE HOMES LLC, THE - INDIAN TREE",3034316027,ASSISTED LIVING RESIDENCE,JEFFERSON,7319 CARR STREET,ARVADA,CO,80005,, LIMITED LIABIL,"GARDENS CARE HOMES LLC, THE",16
2304GF,LIBBY BORTZ ASSISTED LIVING CENTER,3033479755,ASSISTED LIVING RESIDENCE,ARAPAHOE,5844 S CURTICE,LITTLETON,CO,80120,ed@lbalc.org, CORPORATE NON-,SOUTH METRO HOUSING OPTIONS,115
2304GP,PARK HILL RESIDENCE,3033889437,ASSISTED LIVING RESIDENCE,DENVER,1901 EUDORA STREET,DENVER,CO,80220,vjenkins@seniorhousingoptions.org, CORPORATE NON-,PARK HILL RESIDENCE INC,36
2304H0,CRESTONE PLACE ASSISTED LIVING,3034271386,ASSISTED LIVING RESIDENCE,ADAMS,621 W 96TH AVE,THORNTON,CO,80260,, CORPORATE NON-,ADAMS COMMUNITY MENTAL HEALTH CTR,12
2304J2,MILLBROOK HOMES-PORTLAND,3039321004,ASSISTED LIVING RESIDENCE,JEFFERSON,6731 W PORTLAND PLACE,LITTLETON,CO,80123,, LIMITED LIABIL,"MILLBROOK HOMES, LLC",8
2304LF,"RETREAT AT CHURCH RANCH, THE",3034697178,ASSISTED LIVING RESIDENCE,JEFFERSON,10190 WADSWORTH BLVD,WESTMINSTER,CO,80021,cynavery@msn.com, LIMITED LIABIL,"SIGNATURE - THE RETREAT, LLC",55
2304MO,ARBORS OF SAN MARINO,3034269090,ASSISTED LIVING RESIDENCE,ADAMS,7425 XAVIER ST,WESTMINSTER,CO,80030,mtavenner@leisurecare.com, LIMITED LIABIL,FFI SAN MARINO TENANT LLC,111
2304NE,JUST FOR SENIORS LIVING CENTER II,3032386722,ASSISTED LIVING RESIDENCE,JEFFERSON,1170-1180 BRENTWOOD STREET,LAKEWOOD,CO,80214,, PROFIT-CORPORA,"JUST FOR SENIORS, INC.",24
2304O7,SERENITY HOUSE ASSISTED LIVING I,3035848926,ASSISTED LIVING RESIDENCE,DENVER,3075 CARTER CIRCLE,DENVER,CO,80222,michael.zislis@serenityhouse.net, PROFIT-CORPORA,"SERENITY HOUSE ASSISTED LIVING, INC.",8
2304QB,ASHLEY MANOR AT DUDLEY,3034670210,ASSISTED LIVING RESIDENCE,JEFFERSON,3555 DUDLEY STREET,WHEAT RIDGE,CO,80033,, LIMITED LIABIL,ASHLEY MANOR LLC,16
2304QP,"GARDENS AT COLUMBINE, THE",3039735115,ASSISTED LIVING RESIDENCE,ARAPAHOE,5130 W KEN CARYL AVE,LITTLETON,CO,80128,jklassen@gardensatcolumbine.com, PARTNERSHIP,"SIGNATURE ASSISTED LIVING, L.P.",147
2304S6,MILLER HOUSE RTF,3035047700,ASSISTED LIVING RESIDENCE,DENVER,1920 E 13TH AVENUE,DENVER,CO,80206,joann.toney@mhcd.org, CORPORATE NON-,MENTAL HEALTH CENTER OF DENVER,8
2304SF,BROOKDALE LITTLETON,3039480900,ASSISTED LIVING RESIDENCE,JEFFERSON,8271 S CONTINENTAL DIVIDE RD,LITTLETON,CO,80127,, PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,60
2304SS,ABBY'S ASSISTED LIVING,3033040448,ASSISTED LIVING RESIDENCE,ARAPAHOE,2607 S EUDORA PLACE,DENVER,CO,80222,, LIMITED LIABIL,ASSISTED LIVING LLC,8
2304TZ,SUN VALLEY ASSISTED LIVING,3039326187,ASSISTED LIVING RESIDENCE,JEFFERSON,7631 S DEPEW WAY,LITTLETON,CO,80128,soekarsos@yahoo.com, LIMITED LIABIL,SUN VALLEY ASSISTED LIVING LLC,5
2304U9,GOLDEN ORCHARD II,3037977312,ASSISTED LIVING RESIDENCE,ARAPAHOE,890 E ORCHARD RD,CENTENNIAL,CO,80121,, LIMITED LIABIL,890 ORCHARD MANAGEMENT LLC,12
2304W2,GRANT HOUSE RTF,3037339348,ASSISTED LIVING RESIDENCE,DENVER,2600 S GRANT,DENVER,CO,80210,ann.selling@mhcd.org, CORPORATE NON-,MENTAL HEALTH CENTER OF DENVER,10
2304WE,SERENITY HOUSE ASSISTED LIVING III,3037581932,ASSISTED LIVING RESIDENCE,ARAPAHOE,2480 S HOLLY STREET,DENVER,CO,80222,michael.zislis@serenityhouse.net, PROFIT-CORPORA,"SERENITY HOUSE ASSISTED LIVING, INC.",8
2304X1,MONTAGE HILLS,3036712500,ASSISTED LIVING RESIDENCE,ARAPAHOE,2500 S ROSLYN ST,DENVER,CO,80231,, LIMITED LIABIL,GENDENVER LLC,135
2304XE,ASHLEY MANOR AT PARFET,3034327893,ASSISTED LIVING RESIDENCE,JEFFERSON,3802 N PARFET ST,WHEAT RIDGE,CO,80033,mhager@ashleycares.com, PROFIT-CORPORA,ASHLEY MANOR LLC,16
2304Y5,LINCOLN HOUSE RTF,3032967759,ASSISTED LIVING RESIDENCE,DENVER,5201 SHERMAN STREET,DENVER,CO,80216,, CORPORATE NON-,MENTAL HEALTH CENTER OF DENVER,11
