Facility Address,Facility ID,Facility Name,Administrator,Telephone,Type,County Name,Facility has Secured Bed?,address,fac_city,fac_st,fac_zip,Facility Email,Open Date,Owner Address,Owner Category,Owner Company,Owner Phone,Cert Beds,Licensed Beds,securebeds
"4755 SHAWNEE PLACE BOULDER, CO 80303",23039K,SHAWNEE GARDENS,Ms CONSTANCE KEOGH-DWYER,3034941123,ASSISTED LIVING RESIDENCE,BOULDER,No,4755 SHAWNEE PLACE,BOULDER,CO,80303,shawneegardens@comcast.net,7/25/00,"4755 SHAWNEE PLACE BOULDER, CO 80303", PROFIT-CORPORA,"SOMETHING MORE, INC.",303-494-1123,0,7,0
"2127 EAGLE DR LOVELAND, CO 80537",2303A1,"JONESES ASSISTED LIVING, THE",Ms ROBIN NEERGAARD,9706632226,ASSISTED LIVING RESIDENCE,LARIMER,No,2127 EAGLE DR,LOVELAND,CO,80537,theneergaards@yahoo.com,3/23/96,"2127 EAGLE DRIVE LOVELAND, CO 80537", PROFIT-CORPORA,"JONESES, THE",970-663-2226,8,8,0
"1855 PLAZA DR LOUISVILLE, CO 80027",2303H2,BALFOUR RETIREMENT COMMUNITY,Ms DESIRAE GONZALES,3039261000,ASSISTED LIVING RESIDENCE,BOULDER,No,1855 PLAZA DR,LOUISVILLE,CO,80027,jallen@balfourcare.com,5/4/99,"C/O WELLTOWER INC., 4500 DORR ST TOLEDO, OH 43615", LIMITED LIABIL,WELL BALFOUR TENANT LLC,419-247-2800,0,65,0
"2444 PRATT ST LONGMONT, CO 80501",2303KO,BRIDGE ASSISTED LVG AT LIFE CARE CTR-LONGMONT,Ms SHIRLEY MCNEFF,3037748255,ASSISTED LIVING RESIDENCE,BOULDER,No,2444 PRATT ST,LONGMONT,CO,80501,,1/8/98,"3750 KEITH STREET NW CLEVELAND, TN 37312", LIMITED LIABIL,"LONGMONT ASSISTED LIVING, LLC",423-473-5867,0,70,0
"970 AURORA AVENUE BOULDER, CO 80302",2303OR,"ACADEMY, THE",Ms NANCY XIONG,3039381920,ASSISTED LIVING RESIDENCE,BOULDER,No,970 AURORA AVENUE,BOULDER,CO,80302,shirley@theacademyboulder.com,8/19/98,"970 AURORA AVENUE BOULDER, CO 80302",PARTNERSHIP,"ACADEMY GROUP LP, THE",303-938-1920,0,32,0
"3375 34TH ST BOULDER, CO 80301",2303QF,BROOKDALE BOULDER CREEK,Mr TOM WELBORN,3034730333,ASSISTED LIVING RESIDENCE,BOULDER,No,3375 34TH ST,BOULDER,CO,80301,,7/25/94,"6111 WESTWOOD PLACE BRENTWOOD, TN 37027", PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,615-221-2250,11,90,0
"1150 4TH ST FORT LUPTON, CO 80621",2303VR,ASHLEY MANOR - FT LUPTON 2,Ms DEBBY CDEBACA,3038570116,ASSISTED LIVING RESIDENCE,WELD,No,1150 4TH ST,FORT LUPTON,CO,80621,,6/5/98,"4334 NORTH BRIGHT ANGEL AVENUE MERIDIAN, ID 83646", PROFIT-CORPORA,ASHLEY MANOR LLC,208-376-7298,10,14,0
"1440 COFFMAN STREET LONGMONT, CO 80501",2303YC,"PEAKS ASSISTED LIVING CENTER, THE",Mr JULIAN TRUJILLO,3037762814,ASSISTED LIVING RESIDENCE,BOULDER,No,1440 COFFMAN STREET,LONGMONT,CO,80501,,8/16/96,"PO BOX 195 LONGMONT, CO 80502", LIMITED LIABIL,HEIGHTS HEALTHCARE CO LLC,303-675-6784,16,16,0
"282 MCCASLIN BLVD LOUISVILLE, CO 80027",2303Z4,BALFOUR CHERRYWOOD VILLAGE,Ms KATHLEEN MIRACLE,3036042700,ASSISTED LIVING RESIDENCE,BOULDER,Yes,282 MCCASLIN BLVD,LOUISVILLE,CO,80027,,2/9/99,"C/O WELLTOWER INC., 4500 DORR ST TOLEDO, OH 43615", LIMITED LIABIL,WELL BALFOUR TENANT LLC,419-247-2800,0,52,52
"8330 CLARKSON ST DENVER, CO 80229",230435,"LIT'L PATCH OF HEAVEN, INC",Mr JEFF KRAFT,3032882539,ASSISTED LIVING RESIDENCE,ADAMS,No,8330 CLARKSON ST,DENVER,CO,80229,litpatchofheaven@aol.com,8/1/05,"8330 CLARKSON STREET DENVER, CO 80229", PROFIT-CORPORA,"LIT'L PATCH OF HEAVEN, INC.",303-288-2539,12,15,
"7720 ALLISON STREET ARVADA, CO 80005",23046M,BROOKDALE ARVADA,Ms SARA MITCHELL,3034238100,ASSISTED LIVING RESIDENCE,JEFFERSON,Yes,7720 ALLISON STREET,ARVADA,CO,80005,calvarez17@brookdale.com,8/26/97,"6111 WESTWOOD PLACE BRENTWOOD, TN 37027", PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,615-221-2250,0,92,37
"9350 E CALEY AVE ENGLEWOOD, CO 80111",230487,CALEY RIDGE ASSISTED LIVING COMMUNITY,Ms DONNA AXMACHER,3037218900,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,9350 E CALEY AVE,ENGLEWOOD,CO,80111,admin@caleyridgealf.com,4/30/99,"201 NE PARK PLAZA DRIVE SUITE 105 VANCOUVER, WA 98684", LIMITED LIABIL,"CALEY RIDGE OPERATIONS, LLC",360-882-4500,106,106,0
"11265 EAST MISSISSIPPI AVE AURORA, CO 80012",2304B1,FRONTIER VALLEY INDEPENDENT AND ASSISTED LIVING,Ms DIANNE VAN VLIET,3033411412,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,11265 EAST MISSISSIPPI AVE,AURORA,CO,80012,dvanvliet@ensignservices.net,2/14/96,"29222 RANCHO VIEJO RD.#127 SAN JUAN CAPISTRANO, CA 92675", PROFIT-CORPORA,WINDSOR LAKE HEALTHCARE INC,949-487-9500,120,120,0
"1398 ZEPHYR ST LAKEWOOD, CO 80214",2304C3,ASPEN CARES 2 LLC,Mr CHIRAG SHAH,3038345646,ASSISTED LIVING RESIDENCE,JEFFERSON,No,1398 ZEPHYR ST,LAKEWOOD,CO,80214,,10/25/89,"16767 FOXWOOD LANE MORRISON, CO 80465", LIMITED LIABIL,ASPEN CARES 2 LLC,303-834-5646,14,14,0
"8089 S MARION CIRCLE CENTENNIAL, CO 80122",2304C8,"MANOR ON MARION CIRCLE, THE",Mr CHIRAG SHAH,3038345646,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,8089 S MARION CIRCLE,CENTENNIAL,CO,80122,,11/10/87,"16767 FOXWOOD LANE MORRISTOWN, CO 80465", LIMITED LIABIL,SOUTH MARION MANOR CARES LLC,303-834-5456,8,8,0
