Facility Name,Address,City,State,Zip Code,License Number
"COTTAGE AT LITCHFIELD HILLS, THE",376 GOSHEN ROAD,TORRINGTON,CT,6790,224
WATERMARK AT HOME,3030 PARK AVE,BRIDGEPORT,CT,06604-1138,180
COMMONS OF NEWTOWN THE,139 TODDY HILL ROAD,NEWTOWN,CT,6470,197
CHURCH HILL  VILLAGE,2 BOULEVARD,NEWTOWN,CT,06470-1621,219
ATRIA RIDGEFIELD,55 OLD QUARRY ROAD,RIDGEFIELD,CT,6877,221
MONARCH AT SPRING MEADOWS,6949 MAIN ST,TRUMBULL,CT,06611-6304,227
"CASCADES, THE",13 PARK LAWN DR,BETHEL,CT,06801-1043,97
SACRED HEART MANOR,261 BENHAM ST,HAMDEN,CT,06514-2801,98
ARDEN COURTS OF AVON,100 FISHER DIRVE,AVON,CT,6001,124
BROOKDALE WILTON,96 DANBURY RD,WILTON,CT,06897-4409,149
BROOKDALE WEST HARTFORD,22 SIMSBURY RD,WEST HARTFORD,CT,06117-1444,150
ARDEN COURTS OF FARMINGTON,45 SOUTH RD,FARMINGTON,CT,06032-2022,123
"WATERMARK AT EAST HILL WOODS, THE",611 EAST HILL ROAD,SOUTHBURY,CT,6488,181
"RESIDENCE AT WESTPORT, THE",1141 POST ROAD EAST,WESTPORT,CT,6880,223
LIVEWELL CONNECTICUT,1261 S MAIN ST,PLANTSVILLE,CT,06479-1750,48
HEBREW HEALTH CARE ASSISTED LIVING SERVICE AGENCY,1 ABRAHMS BLVD,WEST HARTFORD,CT,06117-1508,AL0052
ASSISTED LIVING SERVICE AGENCY OF NEW CANAAN,3 FARM RD,NEW CANAAN,CT,06840-6626,71
"HEARTH MANAGEMENT, LLC",100 BRADLEY RD,MADISON,CT,06443-2688,72
"GREENS AT GREENWICH, THE",1155 KING ST,GREENWICH,CT,06831-3246,73
"LUTHER RIDGE AT MIDDLETOWN, INC.",628 CONGDON ST W,MIDDLETOWN,CT,06457-7939,113
"WHITNEY CENTER, INC",200 LEEDER HILL DR,HAMDEN,CT,06517-2749,AL0001
SHADY OAKS ASSISTED LIVING LLC,344 STEVENS ST,BRISTOL,CT,06010-2769,AL0002
SEABURY,200 SEABURY DR,BLOOMFIELD,CT,06002-2650,AL0003
ELIM PARK BAPTIST HOME,140 COOK HILL RD,CHESHIRE,CT,06410-3736,76
BRIGHTON GARDENS OF STAMFORD,59 ROXBURY RD,STAMFORD,CT,06902-1283,22
