Facility Name,Address,City,State,Zip Code,License Number,State Facility Type 1 Literal,Date Accessed
"Cottage At Litchfield Hills, The",376 GOSHEN ROAD,Torrington,CT,6790,224,ASSISTED LIVING SERVICE AGENCY,7/13/21
Watermark At Home,3030 PARK AVE,Bridgeport,CT,06604-1138,180,ASSISTED LIVING SERVICE AGENCY,7/13/21
Commons Of Newtown The,139 TODDY HILL ROAD,Newtown,CT,6470,197,ASSISTED LIVING SERVICE AGENCY,7/13/21
Church Hill  Village,2 BOULEVARD,Newtown,CT,06470-1621,219,ASSISTED LIVING SERVICE AGENCY,7/13/21
Atria Ridgefield,55 OLD QUARRY ROAD,Ridgefield,CT,6877,221,ASSISTED LIVING SERVICE AGENCY,7/13/21
Monarch At Spring Meadows,6949 MAIN ST,Trumbull,CT,06611-6304,227,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Cascades, The",13 PARK LAWN DR,Bethel,CT,06801-1043,97,ASSISTED LIVING SERVICE AGENCY,7/13/21
Sacred Heart Manor,261 BENHAM ST,Hamden,CT,06514-2801,98,ASSISTED LIVING SERVICE AGENCY,7/13/21
Arden Courts Of Avon,100 FISHER DIRVE,Avon,CT,6001,124,ASSISTED LIVING SERVICE AGENCY,7/13/21
Brookdale Wilton,96 DANBURY RD,Wilton,CT,06897-4409,149,ASSISTED LIVING SERVICE AGENCY,7/13/21
Brookdale West Hartford,22 SIMSBURY RD,West Hartford,CT,06117-1444,150,ASSISTED LIVING SERVICE AGENCY,7/13/21
Arden Courts Of Farmington,45 SOUTH RD,Farmington,CT,06032-2022,123,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Watermark At East Hill Woods, The",611 EAST HILL ROAD,Southbury,CT,6488,181,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Residence At Westport, The",1141 POST ROAD EAST,Westport,CT,6880,223,ASSISTED LIVING SERVICE AGENCY,7/13/21
Livewell Connecticut,1261 S MAIN ST,Plantsville,CT,06479-1750,48,ASSISTED LIVING SERVICE AGENCY,7/13/21
Hebrew Health Care Assisted Living Service Agency,1 ABRAHMS BLVD,West Hartford,CT,06117-1508,AL0052,ASSISTED LIVING SERVICE AGENCY,7/13/21
Assisted Living Service Agency Of New Canaan,3 FARM RD,New Canaan,CT,06840-6626,71,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Hearth Management, Llc",100 BRADLEY RD,Madison,CT,06443-2688,72,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Greens At Greenwich, The",1155 KING ST,Greenwich,CT,06831-3246,73,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Luther Ridge At Middletown, Inc.",628 CONGDON ST W,Middletown,CT,06457-7939,113,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Whitney Center, Inc",200 LEEDER HILL DR,Hamden,CT,06517-2749,AL0001,ASSISTED LIVING SERVICE AGENCY,7/13/21
Shady Oaks Assisted Living Llc,344 STEVENS ST,Bristol,CT,06010-2769,AL0002,ASSISTED LIVING SERVICE AGENCY,7/13/21
Seabury,200 SEABURY DR,Bloomfield,CT,06002-2650,AL0003,ASSISTED LIVING SERVICE AGENCY,7/13/21
Elim Park Baptist Home,140 COOK HILL RD,Cheshire,CT,06410-3736,76,ASSISTED LIVING SERVICE AGENCY,7/13/21
Brighton Gardens Of Stamford,59 ROXBURY RD,Stamford,CT,06902-1283,22,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Greens At Cannondale, The",435 DANBURY RD,Wilton,CT,06897-2031,AL0025,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Maplewood At Newtown Alsa, Llc",166 MOUNT PLEASANT RD,Newtown,CT,06470-1456,152,ASSISTED LIVING SERVICE AGENCY,7/13/21
Pomperaug Woods,80 HERITAGE RD,Southbury,CT,06488-1882,151,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Bal Edgehill, Llc",122 PALMERS HILL RD,Stamford,CT,06902-2134,165,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bridges By Epoch At Trumbull,2415 RESERVOIR AVE,Trumbull,CT,06611-4752,175,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Ridgefield Llc,640 DANBURY RD,Ridgefield,CT,06877-2740,129,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Waterbury Llc,180 SCOTT RD,Waterbury,CT,06705-3284,130,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Windsor Llc,432 BUCKLAND RD,South Windsor,CT,06074-3741,131,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Hamden Llc,35 HAMDEN HILLS DR,Hamden,CT,06518-5322,133,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Meriden Llc,511 KENSINGTON AVE,Meriden,CT,06451-2062,134,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Avon Llc,101 BICKFORD EXT,Avon,CT,06001-3741,135,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal East Haven Llc,111 S SHORE DR,East Haven,CT,06512-4661,136,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Middletown Llc,645 SAYBROOK RD,Middletown,CT,06457-4746,137,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Woodbridge Llc,21 BRADLEY RD,Woodbridge,CT,06525-2294,144,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Brookfield Llc,246A FEDERAL RD,Brookfield,CT,06804-2652,138,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Trumbull Llc,2750 RESERVOIR AVE,Trumbull,CT,06611-5715,143,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Rocky Hill Llc,1160 ELM STREET EXT,Rocky Hill,CT,06067-1812,142,ASSISTED LIVING SERVICE AGENCY,7/13/21
Brightview On New Canaan,162 NEW CANAAN AVE,Norwalk,CT,06850-1916,177,ASSISTED LIVING SERVICE AGENCY,7/13/21
Meadow Mills Assisted Living & Memory Care,153 LEEDER HILL DR,Hamden,CT,06517-2731,178,ASSISTED LIVING SERVICE AGENCY,7/13/21
Avalon Health Care Center At Stoneridge,186 JERRY BROWNE RD,Mystic,CT,06355-4004,179,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bridges By Epoch At Norwalk,123 RICHARDS AVE,Norwalk,CT,06854-1611,190,ASSISTED LIVING SERVICE AGENCY,7/13/21
Fairfield County House,1 DEN RD,Stamford,CT,06902-1113,191,ASSISTED LIVING SERVICE AGENCY,7/13/21
Colebrook Village At Hebron,55 JOHN E HORTON BLVD,Hebron,CT,06248-1564,196,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Ellington Assisted Living Services, Llc",123 WEST RD,Ellington,CT,06029-5729,199,ASSISTED LIVING SERVICE AGENCY,7/13/21
Brandywine Living At Litchfield,19 CONSTITUTION WAY,Litchfield,CT,06759-3428,207,ASSISTED LIVING SERVICE AGENCY,7/13/21
Spring Village At Danbury,8 GLEN HILL RD,Danbury,CT,06811-4985,208,ASSISTED LIVING SERVICE AGENCY,7/13/21
The Residence At Ferry Park,60 COLD SPRING RD,Rocky Hill,CT,06067-3175,214,ASSISTED LIVING SERVICE AGENCY,7/13/21
Anthology Of Simsbury,142 COOPER AVE,Weatogue,CT,06089-7949,215,ASSISTED LIVING SERVICE AGENCY,7/13/21
Anthology Of Farmington,1 BRIDGEWATER RD,Farmington,CT,06032-2256,216,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Landing Of North Haven, The",201 CLINTONVILLE RD,North Haven,CT,06473-2451,217,ASSISTED LIVING SERVICE AGENCY,7/13/21
Spring Village At Stratford,6911 MAIN ST,Stratford,CT,06614-1360,218,ASSISTED LIVING SERVICE AGENCY,7/13/21
Farmington Station A Senior Living Residence,111 SCOTT SWAMP RD,Farmington,CT,06032-2861,220,ASSISTED LIVING SERVICE AGENCY,7/13/21
Addison Place At Glastonbury,1177 HEBRON AVENUE,Glastonbury,CT,6033,225,ASSISTED LIVING SERVICE AGENCY,7/13/21
Assisted Living Services Agency At Creamery Brook,36 VINA LANE,Brooklyn,CT,6234,226,ASSISTED LIVING SERVICE AGENCY,7/13/21
Harborchase Of Evergreen Walk,1000 EVERGREEN WAY,South Windsor,CT,06074-5571,228,ASSISTED LIVING SERVICE AGENCY,7/13/21
Westview Assisted Living Services Agency,150 WARE RD,Dayville,CT,06241-1126,229,ASSISTED LIVING SERVICE AGENCY,7/13/21
Sunrise Of Stamford,251 TURN OF RIVER RD,Stamford,CT,06905-1320,68,ASSISTED LIVING SERVICE AGENCY,7/13/21
Covenant Living Of Cromwell Assisted Living Services Agency,52 MISSIONARY RD,Cromwell,CT,06416-2170,63,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Duncaster, Inc.",40 LOEFFLER RD,Bloomfield,CT,06002-2262,80,ASSISTED LIVING SERVICE AGENCY,7/13/21
Masonicare At Ashlar Village/Pond Ridge,CHESHIRE RD,Wallingford,CT,06492-3065,87,ASSISTED LIVING SERVICE AGENCY,7/13/21
Meadow Ridge,100 REDDING RD,Redding,CT,06896-3236,88,ASSISTED LIVING SERVICE AGENCY,7/13/21
Geer Village,77 S CANAAN RD,Canaan,CT,06018-2517,93,ASSISTED LIVING SERVICE AGENCY,7/13/21
Eagle Pointe,1 CANAL RD,Suffield,CT,06078-1921,104,ASSISTED LIVING SERVICE AGENCY,7/13/21
"Maplewood At Danbury Alsa, Llc",1 GORHAM IS,Westport,CT,06880-3217,114,ASSISTED LIVING SERVICE AGENCY,7/13/21
Mclean Health Center,75 GREAT POND RD,Simsbury,CT,06070-1980,119,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Milford Llc,77 PLAINS RD,Milford,CT,06461-2564,141,ASSISTED LIVING SERVICE AGENCY,7/13/21
Bal Mystic Llc,20 ACADEMY LN,Mystic,CT,06355-2557,139,ASSISTED LIVING SERVICE AGENCY,7/13/21
