Facility Name,Address,City,State,Zip Code,License Number
WESTPORT REHABILITATION COMPLEX,1 BURR RD,WESTPORT,CT,06880-4220,1904
"SHAILERVILLE MANOR, LLC",1179 SAYBROOK RD,HADDAM,CT,06438-1312,1882
"SOUTHMAYD HOME, INC",250 COLUMBIA BLVD,WATERBURY,CT,06710-1401,1262RC
FOUNDERS RESIDENTIAL CARE HOME,84 N MAIN ST,BRANFORD,CT,06405-3061,1900
"CHANGE MEADOWBROOK MANOR, INCORPORATED",63 WESTBROOK RD,CENTERBROOK,CT,06409-1050,1902
PARK CITY RESIDENTIAL CARE HOME,752 PARK AVE,BRIDGEPORT,CT,06604-4613,1903
"APRIL TIME RESIDENTIAL CARE HOME, LLC",91 CHESTNUT ST,MANCHESTER,CT,06040-5145,1885
"PREMIER CARE OF WOODBURY, LLC",280 MIDDLE ROAD TPKE,WOODBURY,CT,06798-3002,1883
"HANNAH GRAY HOME, INC.",235 DIXWELL AVE,NEW HAVEN,CT,06511-3415,1888
"ESSEX VILLAGE MANOR, LLC",59 S MAIN ST,ESSEX,CT,06426-1147,1881
"FITCHVILLE RESIDENTIAL CARE HOME, LLC",187 FITCHVILLE RD,BOZRAH,CT,06334-1110,1872
MORNING STAR RESIDENTIAL CARE HOME LLC,38 ELIZABETH ST,KENT,CT,06757-1325,1884
BROOKWOOD MANOR,470 STRAITS TPKE,WATERTOWN,CT,06795-3323,1886
BY THE RIVER RESIDENTIAL CARE HOME,370 JONES HOLLOW RD,MARLBOROUGH,CT,6447,1901
"ALBERTA MANOR, INC",21 VICTORIA RD,HARTFORD,CT,06114-2652,1731RC
BRIARCLIFF MANOR,179 COLMAN ST,NEW LONDON,CT,06320-3534,1773RC
CRESTWOOD MANOR LLC,90 BROAD ST,NORWICH,CT,06360-3634,1723RC
FOREST HILLS GUEST HOME,462 DERBY AVE,WEST HAVEN,CT,06516-1007,1752RC
"FOUR CORNERS REST HOME, INC",306 NAUGATUCK AVE,MILFORD,CT,06460-5542,1635RC
HIGHVUE MANOR,2730 STATE ST,HAMDEN,CT,06517-2226,1770RC
MASSACK MEMORIAL HOME,30 DAVIS AVE,VERNON ROCKVILLE,CT,06066-3102,1413RC
PARK HILL MANOR,105 VINE ST,NEW BRITAIN,CT,06052-1432,1720RC
MARY WADE HOME,118 CLINTON AVE,NEW HAVEN,CT,06513-3100,1665RC
"WESTWAY MANOR, INC.",38 GIRARD AVE,HARTFORD,CT,06105-2229,1796RC
SUNNY LODGE GUEST HOME,47 CEDAR GROVE AVE,NEW LONDON,CT,06320-3732,1804RC
BRADLEY HOME & PAVILION,320 COLONY ST,MERIDEN,CT,06451-2053,1377RC
"EAST RIDGE MANOR, INC",43 PRESTON AVE,MERIDEN,CT,06450-4813,1689RC
EAGLE LANDING RESIDENTIAL CARE HOME LLC,268 MIDDLESEX AVE,CHESTER,CT,06412-1226,1864
APPLE REHAB SHELTON LAKES,5 LAKE RD,SHELTON,CT,06484-2967,1870
FREELOVE MANOR LLC,246 QUINN ST,NAUGATUCK,CT,06770-2649,1879
CARLSON PLACE,17 NELSON AVE,NORWALK,CT,06851-3910,1878
PLEASANT VIEW MANOR,225 BUNKER HILL RD,WATERTOWN,CT,06795-3354,1859
