FACILITY NAME,ADDRESS,CITY,STATE,ZIP,LICENSE NO.,STATUS,EFFECTIVE DATE,EXPIRATION DATE
WESTPORT REHABILITATION COMPLEX,1 BURR RD,WESTPORT,CT,06880-4220,1904,ACTIVE,7/12/21,6/30/24
"SHAILERVILLE MANOR, LLC",1179 SAYBROOK RD,HADDAM,CT,06438-1312,1882,ACTIVE,1/1/10,12/31/21
"SOUTHMAYD HOME, INC",250 COLUMBIA BLVD,WATERBURY,CT,06710-1401,1262RC,ACTIVE,10/1/07,9/30/22
FOUNDERS RESIDENTIAL CARE HOME,84 N MAIN ST,BRANFORD,CT,06405-3061,1900,ACTIVE,7/11/19,6/30/22
"CHANGE MEADOWBROOK MANOR, INCORPORATED",63 WESTBROOK RD,CENTERBROOK,CT,06409-1050,1902,ACTIVE,12/1/20,9/30/23
PARK CITY RESIDENTIAL CARE HOME,752 PARK AVE,BRIDGEPORT,CT,06604-4613,1903,ACTIVE,4/30/21,3/31/24
"APRIL TIME RESIDENTIAL CARE HOME, LLC",91 CHESTNUT ST,MANCHESTER,CT,06040-5145,1885,ACTIVE,10/5/07,9/30/22
"PREMIER CARE OF WOODBURY, LLC",280 MIDDLE ROAD TPKE,WOODBURY,CT,06798-3002,1883,ACTIVE,1/1/10,12/31/21
"HANNAH GRAY HOME, INC.",235 DIXWELL AVE,NEW HAVEN,CT,06511-3415,1888,ACTIVE,12/28/09,9/30/21
"ESSEX VILLAGE MANOR, LLC",59 S MAIN ST,ESSEX,CT,06426-1147,1881,ACTIVE,10/1/09,9/30/21
"FITCHVILLE RESIDENTIAL CARE HOME, LLC",187 FITCHVILLE RD,BOZRAH,CT,06334-1110,1872,ACTIVE,4/1/08,3/31/23
MORNING STAR RESIDENTIAL CARE HOME LLC,38 ELIZABETH ST,KENT,CT,06757-1325,1884,ACTIVE,8/1/07,6/30/22
BROOKWOOD MANOR,470 STRAITS TPKE,WATERTOWN,CT,06795-3323,1886,ACTIVE,10/19/07,9/30/22
BY THE RIVER RESIDENTIAL CARE HOME,370 JONES HOLLOW RD,MARLBOROUGH,CT,6447,1901,ACTIVE,11/5/19,9/30/22
"ALBERTA MANOR, INC",21 VICTORIA RD,HARTFORD,CT,06114-2652,1731RC,ACTIVE,1/1/08,12/31/22
BRIARCLIFF MANOR,179 COLMAN ST,NEW LONDON,CT,06320-3534,1773RC,ACTIVE,10/1/07,9/30/22
CRESTWOOD MANOR LLC,90 BROAD ST,NORWICH,CT,06360-3634,1723RC,ACTIVE,1/1/08,12/31/22
FOREST HILLS GUEST HOME,462 DERBY AVE,WEST HAVEN,CT,06516-1007,1752RC,ACTIVE,10/1/07,9/30/22
"FOUR CORNERS REST HOME, INC",306 NAUGATUCK AVE,MILFORD,CT,06460-5542,1635RC,ACTIVE,1/1/08,12/31/22
HIGHVUE MANOR,2730 STATE ST,HAMDEN,CT,06517-2226,1770RC,ACTIVE,4/1/08,3/31/23
MASSACK MEMORIAL HOME,30 DAVIS AVE,VERNON ROCKVILLE,CT,06066-3102,1413RC,ACTIVE,10/1/07,9/30/22
PARK HILL MANOR,105 VINE ST,NEW BRITAIN,CT,06052-1432,1720RC,ACTIVE,10/1/07,9/30/22
MARY WADE HOME,118 CLINTON AVE,NEW HAVEN,CT,06513-3100,1665RC,ACTIVE,7/1/07,6/30/22
"WESTWAY MANOR, INC.",38 GIRARD AVE,HARTFORD,CT,06105-2229,1796RC,ACTIVE,10/1/07,9/30/22
SUNNY LODGE GUEST HOME,47 CEDAR GROVE AVE,NEW LONDON,CT,06320-3732,1804RC,ACTIVE,10/1/07,9/30/22
BRADLEY HOME & PAVILION,320 COLONY ST,MERIDEN,CT,06451-2053,1377RC,ACTIVE,1/1/08,12/31/22
"EAST RIDGE MANOR, INC",43 PRESTON AVE,MERIDEN,CT,06450-4813,1689RC,ACTIVE,4/1/08,3/31/23
EAGLE LANDING RESIDENTIAL CARE HOME LLC,268 MIDDLESEX AVE,CHESTER,CT,06412-1226,1864,ACTIVE,4/1/10,3/31/22
APPLE REHAB SHELTON LAKES,5 LAKE RD,SHELTON,CT,06484-2967,1870,ACTIVE,1/1/08,12/31/22
FREELOVE MANOR LLC,246 QUINN ST,NAUGATUCK,CT,06770-2649,1879,ACTIVE,10/1/09,9/30/21
CARLSON PLACE,17 NELSON AVE,NORWALK,CT,06851-3910,1878,ACTIVE,7/1/09,6/30/21
PLEASANT VIEW MANOR,225 BUNKER HILL RD,WATERTOWN,CT,06795-3354,1859,ACTIVE,10/1/08,9/30/20
MYSTIC RIVER RESIDENTIAL CARE,14 GODFREY ST,MYSTIC,CT,06355-1702,1865,ACTIVE,7/1/08,6/30/20
ST. JOSEPH'S RESIDENCE,1365 ENFIELD ST,ENFIELD,CT,06082-4925,1678RC,ACTIVE,7/1/10,6/30/22
"SILVER MANOR RESIDENTIAL CARE HOME, LLC",128 CURTIS ST,MERIDEN,CT,06450-5911,1873,ACTIVE,4/1/08,3/31/20
WESTSIDE MANOR,9 W HIGH ST,EAST HAMPTON,CT,06424-1024,1866,ACTIVE,7/1/08,6/30/20
JULIE HOUSE,425 POQUONOCK AVE,WINDSOR,CT,06095-2465,1858,ACTIVE,4/1/08,3/31/20
CASCADES,13 PARK LAWN DR,BETHEL,CT,06801-1043,1868,ACTIVE,1/1/09,12/31/20
"GREEN GROVE, INC.",148 WHITFIELD ST,GUILFORD,CT,06437-3480,1887,ACTIVE,12/29/08,9/30/20
EVANGELICAL BAPTIST HOME,574 ASHFORD CENTER RD,ASHFORD,CT,06278-1721,1569RC,ACTIVE,10/1/07,9/30/22
GROTON REGENCY CENTER,1145 POQUONNOCK RD,GROTON,CT,06340-4620,1889,ACTIVE,4/1/11,3/31/23
"UNIVERSITY PLACE RESIDENTIAL CARE, LLC",5 UNIVERSITY PL,NEW HAVEN,CT,06511-3224,1877,ACTIVE,7/1/09,6/30/21
"HOLIDAY MANOR, INC.",29 COTTAGE ST,MANCHESTER,CT,06040-5415,1843RC,ACTIVE,10/1/07,9/30/22
"LUTHERAN HOME OF SOUTHBURY, INC.",990 MAIN ST N,SOUTHBURY,CT,06488-1267,1360RC,ACTIVE,7/1/07,6/30/22
MARBRIDGE RETIREMENT AND ASSISTED LIVING CENTER,665 W MAIN ST,CHESHIRE,CT,06410-3924,1692RC,ACTIVE,7/1/07,6/30/22
"MANOR ON PINE STREET, LLC",53 PINE ST,WATERBURY,CT,06710-2131,1869,ACTIVE,4/1/09,3/31/21
FRANCES WARDE TOWERS,2021 ALBANY AVE,WEST HARTFORD,CT,06117-2789,1289RC,ACTIVE,10/1/07,9/30/22
