Facility Name,Licensee,Address,City,State,Zip Code,Email Address,Phone Number,Capacity,Date Accessed,State Facility Type 1 Literal
The Marigold At 11Th Street,"2905 ALF, LLC",,Washington,DC,,marigoldadmin@comcase.net,(202) 671-6553,8,8/5/21,ASSISTED LIVING RESIDENCE
Knollwood,"THE ARMY DISTAFF FOUNDATION, INC. ","6200 OREGON AVENUE, NW",Washington,DC,20015,depps@knollwoodcommunity.org,(202) 541-0499,45,8/5/21,ASSISTED LIVING RESIDENCE
"Bvm Chevy Chase, Tenant, Llc",CHEVY CHASE HOUSE,"5420 CONNECTICUT AVENUE, NW",Washington,DC,20015,ccho.adm@merdiansenior.com,(202) 686-5504,131,8/5/21,ASSISTED LIVING RESIDENCE
Forest Hills Of Dc,,"4901 CONNECTICUT AVENUE, NW",Washington,DC,20008,cscott@foresthillsdc.life,(202) 966-7623,65,8/5/21,ASSISTED LIVING RESIDENCE
Forest Side Memory Care 2 Nd Location,,"2701 MILITARY RD, NW",Washington,DC,20015,cscott@foresthillsdc.life,(202) 696-1908,33,8/5/21,ASSISTED LIVING RESIDENCE
Ingleside At Rock Creek,,"3050 MILITARY ROAD, NW",Washington,DC,20015,kwilson@inglesideonline.org,(202) 363-8310,53,8/5/21,ASSISTED LIVING RESIDENCE
Joye Assisted Living Services,,,Washington,DC,,gloria.richardson@joyeassistedliving.com,(301)728-5788 ,8,8/5/21,ASSISTED LIVING RESIDENCE
Lisner Louise Dickson Hurt Home,,"5425 WESTERN AVENUE, NW",Washington,DC,20015,shargreaves@lldhhome.org,(202) 966-6667,25,8/5/21,ASSISTED LIVING RESIDENCE
Grand Oaks Assisted Living,LUCY WEBB HAYES NTFDM,"5901 MACARTHUR BLVD, NW",Washington,DC,20016,lhenley3@jhmi.edu,(202) 349-3400,200,8/5/21,ASSISTED LIVING RESIDENCE
"Massachusetts Senior Care, Llc",THE RESIDENCES AT THOMAS CIRCLE,"1330 MASSACHUSETTS AVENUE, NW",Washington,DC,20005,squist@seniorlifestyle.com,(202) 628-3844,55,8/5/21,ASSISTED LIVING RESIDENCE
Maple Heights Senior Living,PARADISE AT GEORGIA AVENUE,"5100 GEORGIA AVENUE, NW",Washington,DC,20011,carla@psliving.com,(202) 774-8553,55,8/5/21,ASSISTED LIVING RESIDENCE
Livingston Place At Southern Ave.,"SOUTHERN AVE SP, LLC","4656 LIVINGSTON PLACE, SE",Washington,DC,20032,gjernigan@prioritylc.com,(202) 519-0982,152,8/5/21,ASSISTED LIVING RESIDENCE
Sunrise On Connecticut Avenue ,,"5111 CONNECTICUT AVENUE, NW ",Washington,DC,20008,connecticutave.ed@sunriseseniorliving.com,(202) 966-8020,120,8/5/21,ASSISTED LIVING RESIDENCE
Banks Place Community Facility,ALVETTA HOSE,,Washington,DC,,vidahose@aol.com,(202) 396-1019,8,8/5/21,COMMUNITY RESIDENTIAL FACILITIES FOR THE ELDERLY AND PHYSICALLY DISABLED
Abraham & Laura Lisner Home For Aged Women Aka Lisnerlouise-Dickerson-Hurt Home,,"5425 WESTERN AVE., N.W.",Washington,DC,20005,shargreaves@lldhhome.org,(202) 966-6667 ,45,8/5/21,COMMUNITY RESIDENTIAL FACILITIES FOR THE ELDERLY AND PHYSICALLY DISABLED
Seabury Resources For Aging ,,,Washington,DC,,vgrayton@seaburyresources.org,(202) 635-9384,8,8/5/21,COMMUNITY RESIDENTIAL FACILITIES FOR THE ELDERLY AND PHYSICALLY DISABLED
