Facility ID,License Number,State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Phone Number,Licensee,Capacity,Ownership Type,Date Accessed
11969202.0,13025.0,ASSISTED LIVING FACILITY,1 Aaa Assisted Living At Wellington,1337 PINETTA CIR,Wellington,FL,33414,Palm Beach,(561) 422-7059,THE LEXINGTON MANOR ADULT FAMILY HOMECARE INC.,6.0,FOR-PROFIT,6/24/21
11968002.0,11973.0,ASSISTED LIVING FACILITY,1 Kind Home Inc,911 SW 12TH AVE # 913,Miami,FL,33130-3627,Miami-Dade,(305) 285-1012,1 KIND HOME  LLC,12.0,FOR-PROFIT,6/24/21
11965870.0,10183.0,ASSISTED LIVING FACILITY,1 Zource Living Care,1401 NE 176TH ST,N Miami Beach,FL,33162-1363,Miami-Dade,(954) 826-7813,1ZOURCE CORPORATION,6.0,FOR-PROFIT,6/24/21
11969585.0,13404.0,ASSISTED LIVING FACILITY,3411 Ave Cambridge Llc,3411 AVE H EAST,Riviera Beach,FL,33404,Palm Beach,(561) 990-8089,3411 CAMBRIDGE LLC,6.0,FOR-PROFIT,6/24/21
11969753.0,13517.0,ASSISTED LIVING FACILITY,A & B Blessed Assisted Living Facility,730 FRISCO ST SE,Palm Bay,FL,32909,Brevard,(321) 289-3082,PD & SR LLC,8.0,FOR-PROFIT,6/24/21
11968637.0,12495.0,ASSISTED LIVING FACILITY,A & C God Bless Assisted Living Facility,235 GASPAR ST SW,Palm Bay,FL,32908,Brevard,(321) 557-7219,A&C GODBLESS ASSISTED LIVING FACILITY  LLC,5.0,NOT-FOR-PROFIT,6/24/21
11968530.0,12391.0,ASSISTED LIVING FACILITY,A & J Alf Of Florida Inc  Ii,808 GILLEN AVE NW,Palm Bay,FL,32907,Brevard,(321) 802-3279,A & J ALF OF FLORIDA  INC. II,6.0,FOR-PROFIT,6/24/21
11966997.0,11141.0,ASSISTED LIVING FACILITY,A & L Health Care Corp No. 2,8208 NW 14TH STREET,Coral Springs,FL,33071,Broward,(954) 345-7481,A & L HEALTHCARE CORP,6.0,FOR-PROFIT,6/24/21
11965541.0,9959.0,ASSISTED LIVING FACILITY,A & L Healthcare Corp.,11764 NW 30TH STREET,Coral Springs,FL,33065,Broward,(954) 213-7039,A & L HEALTHCARE CORP,6.0,FOR-PROFIT,6/24/21
11967196.0,11235.0,ASSISTED LIVING FACILITY,A & M Assisted Living Facility,1581 ZAFFER ST NW,Palm Bay,FL,32907,Brevard,(321) 604-8853,A & M ASSISTED LVING FACILITY  INC.,6.0,FOR-PROFIT,6/24/21
11967516.0,11516.0,ASSISTED LIVING FACILITY,A & M Assisted Living Facility Ii,2180 STRATFORD POINTE DR,West Melbourne,FL,32904-8008,Brevard,(321) 327-7209,A & M ASSISTED LVING FACILITY  INC.,6.0,FOR-PROFIT,6/24/21
11967791.0,11794.0,ASSISTED LIVING FACILITY,A Banyan Residence,100 BASE AVENUE EAST,Venice,FL,34285,Sarasota,(941) 412-4748,A BANYAN RESIDENCE ASSISTED LIVING  LLC,71.0,FOR-PROFIT,6/24/21
11969813.0,13557.0,ASSISTED LIVING FACILITY,A Banyan Residence At Wildwood Llc,12427 COUNTY ROAD 101,Oxford,FL,34484,Sumter,(941) 249-0456,A BANYAN RESIDENCE AT WILDWOOD LLC,100.0,FOR-PROFIT,6/24/21
11968721.0,12591.0,ASSISTED LIVING FACILITY,A Bella Vita Place Assisted Living  Llc,2143 DORSON WAY,Delray Beach,FL,33445,Palm Beach,(561) 371-4146,A BELLA VITA PLACE ASSISTED LIVING  LLC,10.0,FOR-PROFIT,6/24/21
11968042.0,12011.0,ASSISTED LIVING FACILITY,A Comfort Living Inc,1660 NW 135TH ST,North Miami,FL,33167-1608,Miami-Dade,(786) 534-8708,A COMFORT LIVING INC.,14.0,FOR-PROFIT,6/24/21
11969280.0,13080.0,ASSISTED LIVING FACILITY,A Compassionate Care Assisted Living Residence Llc,2646 YARMOUTH,Wellington,FL,33414,Palm Beach,(561) 422-8120,A COMPASSIONATE CARE ASSISTED LIVING RESIDENCE LLC,6.0,FOR-PROFIT,6/24/21
11966113.0,10368.0,ASSISTED LIVING FACILITY,A Country Place Assisted Living Facility,10515 MEMORIAL HIGHWAY,Tampa,FL,33615,Hillsborough,(813) 891-0549,VILLAS OF TAMPA  LLC (THE),24.0,FOR-PROFIT,6/24/21
11968858.0,12699.0,ASSISTED LIVING FACILITY,A Gentle Hand Alf At Lantana,808 S BROADWAY,Lantana,FL,33462,Palm Beach,(561) 508-7994,A GENTLE HAND RESIDENTIAL CARE LLC,10.0,FOR-PROFIT,6/24/21
11964920.0,9562.0,ASSISTED LIVING FACILITY,A Home Away From Home Alf Inc,1851 SW 142ND AVE,Miami,FL,33175-7034,Miami-Dade,(305) 229-1315,A HOME AWAY FROM HOME ALF  INC.,6.0,FOR-PROFIT,6/24/21
11969537.0,13400.0,ASSISTED LIVING FACILITY,A Home With Heart Llc,806 CALVIN AVE,Lehigh Acres,FL,33972,Lee,(239) 313-7490,A HOME WITH HEART LLC,6.0,FOR-PROFIT,6/24/21
11969804.0,13567.0,ASSISTED LIVING FACILITY,A Kee To Paradise,5579 NW COMMODORE TERR,Port Saint Lucie,FL,34983,St. Lucie,(772) 631-4518,A KEE TO PARADISE LLC,6.0,FOR-PROFIT,6/24/21
11968427.0,12340.0,ASSISTED LIVING FACILITY,A La My Love Alf,6821 DOVER CT,Tampa,FL,33634-4708,Hillsborough,(813) 574-7493,A LA MY LOVE ALF INC,6.0,FOR-PROFIT,6/24/21
11969769.0,13577.0,ASSISTED LIVING FACILITY,A Life Of Love Alf  Inc,10930 SW 143 CT,Miami,FL,33186,Miami-Dade,(305) 515-0225,A LIFE OF LOVE ALF  INC,6.0,FOR-PROFIT,6/24/21
11910938.0,7174.0,ASSISTED LIVING FACILITY,A Lovely Home Care By Og Inc,7935 SW 146TH CT,Miami,FL,33183-2942,Miami-Dade,(786) 715-9738,A LOVELY HOME CARE BY OG INC,6.0,FOR-PROFIT,6/24/21
11969816.0,13564.0,ASSISTED LIVING FACILITY,A Loving Family Alf Llc,106 16TH AVE,Vero Beach,FL,32962,Indian River,(772) 696-3070,A LOVING FAMILY ALF LLC,6.0,FOR-PROFIT,6/24/21
11953636.0,8675.0,ASSISTED LIVING FACILITY,A Loving Home Enterprises  Inc.,3640 SW 91ST AVE # 42,Miami,FL,33165-4361,Miami-Dade,(305) 554-4432,A LOVING HOME ENT INC.,6.0,FOR-PROFIT,6/24/21
