Facility ID,License Number,State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Phone Number,Licensee,Capacity,Ownership Type
11969202,13025,Assisted Living Facility,1 AAA ASSISTED LIVING AT WELLINGTON,1337 PINETTA CIR,WELLINGTON,FL,33414,Palm Beach,(561) 422-7059,THE LEXINGTON MANOR ADULT FAMILY HOMECARE INC.,6,For-Profit
11968002,11973,Assisted Living Facility,1 KIND HOME INC,911 SW 12TH AVE # 913,MIAMI,FL,33130-3627,Miami-Dade,(305) 285-1012,1 KIND HOME  LLC,12,For-Profit
11965870,10183,Assisted Living Facility,1 ZOURCE LIVING CARE,1401 NE 176TH ST,N MIAMI BEACH,FL,33162-1363,Miami-Dade,(954) 826-7813,1ZOURCE CORPORATION,6,For-Profit
11969585,13404,Assisted Living Facility,3411 AVE CAMBRIDGE LLC,3411 AVE H EAST,RIVIERA BEACH,FL,33404,Palm Beach,(561) 990-8089,3411 CAMBRIDGE LLC,6,For-Profit
11969753,13517,Assisted Living Facility,A & B BLESSED ASSISTED LIVING FACILITY,730 FRISCO ST SE,PALM BAY,FL,32909,Brevard,(321) 289-3082,PD & SR LLC,8,For-Profit
11968637,12495,Assisted Living Facility,A & C GOD BLESS ASSISTED LIVING FACILITY,235 GASPAR ST SW,PALM BAY,FL,32908,Brevard,(321) 557-7219,A&C GODBLESS ASSISTED LIVING FACILITY  LLC,5,Not-For-Profit
11968530,12391,Assisted Living Facility,A & J ALF OF FLORIDA INC  II,808 GILLEN AVE NW,PALM BAY,FL,32907,Brevard,(321) 802-3279,A & J ALF OF FLORIDA  INC. II,6,For-Profit
11966997,11141,Assisted Living Facility,A & L HEALTH CARE CORP NO. 2,8208 NW 14TH STREET,CORAL SPRINGS,FL,33071,Broward,(954) 345-7481,A & L HEALTHCARE CORP,6,For-Profit
11965541,9959,Assisted Living Facility,A & L HEALTHCARE CORP.,11764 NW 30TH STREET,CORAL SPRINGS,FL,33065,Broward,(954) 213-7039,A & L HEALTHCARE CORP,6,For-Profit
11967196,11235,Assisted Living Facility,A & M ASSISTED LIVING FACILITY,1581 ZAFFER ST NW,PALM BAY,FL,32907,Brevard,(321) 604-8853,A & M ASSISTED LVING FACILITY  INC.,6,For-Profit
