AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
11969202,13025,6/19/19,9/16/21,Assisted Living Facility,1 AAA ASSISTED LIVING AT WELLINGTON,1337 PINETTA CIR,,WELLINGTON,FL,33414,Palm Beach,(561) 422-7059,1337 PINETTA CIR,,WELLINGTON,FL,33414,Palm Beach,LICENSED,THE LEXINGTON MANOR ADULT FAMILY HOMECARE INC.,4/10/17,JONAS AUGUSTE,6,For-Profit,www.thelexingtonmanor.com
11968002,11973,3/17/19,6/14/21,Assisted Living Facility,1 KIND HOME INC,911 SW 12TH AVE # 913,,MIAMI,FL,33130-3627,Miami-Dade,(305) 285-1012,911-913 SW 12TH AVE,,MIAMI,FL,33130-3627,Miami-Dade,IN REVIEW,1 KIND HOME  LLC,12/15/10,DANIELA URRA,12,For-Profit,
11965870,10183,2/12/18,2/11/20,Assisted Living Facility,1 ZOURCE LIVING CARE,1401 NE 176TH ST,,N MIAMI BEACH,FL,33162-1363,Miami-Dade,(954) 826-7813,16808 SW 39 STREET,,MIRAMAR,FL,33027,Broward,IN REVIEW,1ZOURCE CORPORATION,12/10/07,ROGELIO MALUBAY,6,For-Profit,1zource.com
11969585,13404,1/22/20,4/21/22,Assisted Living Facility,3411 AVE CAMBRIDGE LLC,3411 AVE H EAST,,RIVIERA BEACH,FL,33404,Palm Beach,(561) 990-8089,4285 NW 66TH PLACE,,BOCA RATON,FL,33496,Palm Beach,LICENSED,3411 CAMBRIDGE LLC,8/21/19,MS CLAUDIA MARINOFF,6,For-Profit,
11969753,13517,9/21/20,9/22/22,Assisted Living Facility,A & B BLESSED ASSISTED LIVING FACILITY,730 FRISCO ST SE,,PALM BAY,FL,32909,Brevard,(321) 289-3082,730 FRISCO ST SE,,PALM BAY,FL,32909,Brevard,LICENSED,PD & SR LLC,1/1/20,PAMELA D PATTON,8,For-Profit,
11968637,12495,4/22/20,4/21/22,Assisted Living Facility,A & C GOD BLESS ASSISTED LIVING FACILITY,235 GASPAR ST SW,,PALM BAY,FL,32908,Brevard,(321) 557-7219,235 GASPAR ST SW,,PALM BAY,FL,32908,Brevard,LICENSED,A&C GODBLESS ASSISTED LIVING FACILITY  LLC,4/22/14,CARLINE JEAN LOUIS,5,Not-For-Profit,
11968530,12391,4/8/21,4/7/23,Assisted Living Facility,A & J ALF OF FLORIDA INC  II,808 GILLEN AVE NW,,PALM BAY,FL,32907,Brevard,(321) 802-3279,3929 GARDENWOOD CIRCLE,,GRANT,FL,32949,Brevard,LICENSED,A & J ALF OF FLORIDA  INC. II,1/8/17,ANGELLA RUDEEN SPENCE,6,For-Profit,
11966997,11141,10/25/19,1/22/22,Assisted Living Facility,A & L HEALTH CARE CORP NO. 2,8208 NW 14TH STREET,,CORAL SPRINGS,FL,33071,Broward,(954) 345-7481,11764 NW 30TH STREET,,CORAL SPRINGS,FL,33065,Broward,LICENSED,A & L HEALTHCARE CORP,6/20/07,SANDRA PATRICIA RILEY,6,For-Profit,
11965541,9959,5/5/21,12/17/22,Assisted Living Facility,A & L HEALTHCARE CORP.,11764 NW 30TH STREET,,CORAL SPRINGS,FL,33065,Broward,(954) 213-7039,11764 NW 30TH STREET,,CORAL SPRINGS,FL,33065,Broward,LICENSED,A & L HEALTHCARE CORP,10/15/15,SANDRA PATRICIA RILEY,6,For-Profit,
11967196,11235,2/12/20,2/11/22,Assisted Living Facility,A & M ASSISTED LIVING FACILITY,1581 ZAFFER ST NW,,PALM BAY,FL,32907,Brevard,(321) 604-8853,1581 ZAFFER ST NW,,PALM BAY,FL,32907,Brevard,LICENSED,A & M ASSISTED LVING FACILITY  INC.,1/3/08,MARLENE GILLIARD,6,For-Profit,
11967516,11516,4/8/21,4/7/23,Assisted Living Facility,A & M ASSISTED LIVING FACILITY II,2180 STRATFORD POINTE DR,,WEST MELBOURNE,FL,32904-8008,Brevard,(321) 327-7209,2180 STRATFORD PT DR,,WEST MELBOURNE,FL,32904,Brevard,LICENSED,A & M ASSISTED LVING FACILITY  INC.,12/3/12,MARLENE GILLIARD,6,For-Profit,
11967791,11794,7/29/20,7/28/22,Assisted Living Facility,A BANYAN RESIDENCE,100 BASE AVENUE EAST,,VENICE,FL,34285,Sarasota,(941) 412-4748,3107 NE 40 COURT,,FORT LAUDERDALE,FL,33308,Broward,LICENSED,A BANYAN RESIDENCE ASSISTED LIVING  LLC,1/25/10,BLAKE ANDERSON,71,For-Profit,abanyanresidence.com
11969813,13557,2/6/21,2/5/23,Assisted Living Facility,A BANYAN RESIDENCE AT WILDWOOD LLC,12427 COUNTY ROAD 101,,OXFORD,FL,34484,Sumter,(941) 249-0456,2515 SHERMAN OAK DRIVE,,NORTH PORT,FL,34289,Sarasota,LICENSED,A BANYAN RESIDENCE AT WILDWOOD LLC,1/27/21,BRANDON ANDERSON,100,For-Profit,http://www.abanyanresidencevillages.com
