Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Capacity,Phone Number,Email Address,Date Accessed
1804 Independent Adult Care,PERSONAL CARE HOME,1541 GUNSTOCK COURT,Hampton,GA,30228,Clayton,2,6786734808,kemhilz@yahoo.com; 1804independentcare@gmail.com,6/24/21
2 Pine Knoll,PERSONAL CARE HOME,2 PINE KNOLL,Milledgeville,GA,31061,Baldwin,10,4784451792,kmorgan@oconeecenter.com,6/24/21
4 Peace Love & Care,PERSONAL CARE HOME,10647 SANDPIPER ROAD,Jonesboro,GA,30236,Clayton,3,6784893720,loveandcare17@yahoo.com,6/24/21
A  & C Personal Care Home,PERSONAL CARE HOME,7390 ASBURY DRIVE,Lithonia,GA,30058,Dekalb,3,7707283595,andriathomas@att.net,6/24/21
A & R Personal Care Home,PERSONAL CARE HOME,3721 RAINBOW CIRCLE,Snellville,GA,30039,Gwinnett,6,6783440715,anrpch@gmail.com,6/24/21
A & U Personal Care Home,PERSONAL CARE HOME,11003 SHANNON CIRCLE,Hampton,GA,30228,Clayton,3,4046677811,a.upcare@gmail.com,6/24/21
Aaa Holly House,PERSONAL CARE HOME,1680 NORTHWOODS DRIVE,Marietta,GA,30066,Cobb,6,7703211611,hollyhousepch@yahoo.com,6/24/21
Aan Center,PERSONAL CARE HOME,414 RIGBY STREET,Marietta,GA,30060,Cobb,3,7704275111,kbennett@aancenter.com,6/24/21
Abba Care Home,PERSONAL CARE HOME,1363 VALMONT TRACE NORTH EAST,Marietta,GA,30066,Cobb,3,6788857229,abbacarehome@gmail.com,6/24/21
Abundance Of Love #1 Personal Care Home,PERSONAL CARE HOME,223 SOUTH MADISON AVENUE,Monroe,GA,30655,Walton,6,7702667489,jonathanlewis70@yahoo.com,6/24/21
Abundant Living Personal Care,PERSONAL CARE HOME,883 ROY WOOD ROAD,Comer,GA,30629,Madison,6,7067833542,,6/24/21
Abundant Living Personal Care Home,PERSONAL CARE HOME,511 NORTH MONROE STREET,Albany,GA,31701,Dougherty,8,2294969224,akbyrden@yahoo.com,6/24/21
"Active Living At Kelly Lake, Llc",PERSONAL CARE HOME,2724 KELLY LAKE ROAD,Decatur,GA,30032,Dekalb,6,4042415346,aa@mararigroup.com,6/24/21
Adam & Eve Pch 1,PERSONAL CARE HOME,5169 COVINGTON HIGHWAY,Decatur,GA,30035,Dekalb,6,7709870390,,6/24/21
Adam And Eve Pch 2,PERSONAL CARE HOME,5181 COVINGTON HWY,Decatur,GA,30035,Dekalb,2,7709870390,,6/24/21
Addington Place At The Mills,PERSONAL CARE HOME,550 BARRINGTON DRIVE,Roswell,GA,30075,Fulton,75,7709938040,khill@cedarhurstliving.com,6/24/21
Addington Place Of Alpharetta,ASSISTED LIVING COMMUNITY,762 NORTH MAIN STREET,Alpharetta,GA,30009,Fulton,105,6783193000,shidalgo@cedarhurstliving.com,6/24/21
Addington Place Of Brunswick,ASSISTED LIVING COMMUNITY,890 SCRANTON ROAD,Brunswick,GA,31525,Glynn,65,9122650225,,6/24/21
Addington Place Of Dublin,ASSISTED LIVING COMMUNITY,212 FAIRVIEW PARK DRIVE,Dublin,GA,31021,Laurens,72,4782759888,eddublin@symphonyseniorliving.com,6/24/21
Addington Place Of Johns Creek,ASSISTED LIVING COMMUNITY,5050 KIMBALL BRIDGE ROAD,Johns Creek,GA,30005,Fulton,72,7707545446,yolanda.hunter@phoenixsrliving.com,6/24/21
Adell'S Place,PERSONAL CARE HOME,527 RAILROAD STREET,Fort Valley,GA,31030,Peach,6,4782241963,doriselliskelley1950@yahoo.com,6/24/21
Adom Homecare Services Llc,PERSONAL CARE HOME,4370 HIGHWAY 92,Douglasville,GA,30135,Douglas,5,6786747216,nagifty@gmail.com,6/24/21
Adonis Personal Care Home #2,PERSONAL CARE HOME,1409 GREENVIEW WAY,Lawrenceville,GA,30044,Gwinnett,12,7707172751,adonispch@gmail.com,6/24/21
Agape Living,PERSONAL CARE HOME,1840 PHINIZY ROAD,Augusta,GA,30906,Richmond,16,7069932188,,6/24/21
Agape Love Personal Care Home 2,PERSONAL CARE HOME,2713 NEPTUNE PLACE,Decatur,GA,30034,Dekalb,6,6787057986,agapelovepch@gmail.com,6/24/21
Agape Love Personal Care Home Llc,PERSONAL CARE HOME,2258 CRESTKNOLL CIRCLE,Decatur,GA,30032,Dekalb,6,6789279948,agapelovepch@gmail.com,6/24/21
Agape Personal Care Home Of Macon,PERSONAL CARE HOME,4732 SGODA ROAD,Macon,GA,31217,Twiggs,10,4787426934,agape pch3@yahoo.com,6/24/21
Agard Personal Care Home,PERSONAL CARE HOME,5828 HWY 82 SPUR,Commerce,GA,30529,Jackson,6,7063670091,gwensmate@yahoo.com,6/24/21
Albert'S House,PERSONAL CARE HOME,2471 KINGSCLIFF DRIVE,Atlanta,GA,30345,Dekalb,3,6785454222,albertshouseinc@gmail.com,6/24/21
Albert'S House Talisman,PERSONAL CARE HOME,2830 TALISMAN COURT NE,Atlanta,GA,30345,Dekalb,3,6784281061,jeremy@albertshouseinc.com,6/24/21
Alfreda Personal Care Home,PERSONAL CARE HOME,6463 HERITAGE RUN,Morrow,GA,30260,Clayton,5,4046459062,natbchea@yahoo.com,6/24/21
All About Tender Care Snellville,PERSONAL CARE HOME,3922 CENTERVILLE HIGHWAY 124,Snellville,GA,30039,Gwinnett,6,7709825482,,6/24/21
All In One Personal Care Home,PERSONAL CARE HOME,1260 HAMBRICK COURT,Stone Mountain,GA,30083,Dekalb,3,6787933644,bulmer1260@yahoo.com,6/24/21
All Partners In Care Services Pch,PERSONAL CARE HOME,2266 STONE DRIVE,Lilburn,GA,30047,Gwinnett,6,6783441104,allpartnersincare@yahoo.com,6/24/21
All Season Pch Ii,PERSONAL CARE HOME,2400 ELKS CLUB ROAD,Covington,GA,30014,Newton,6,6783429189,ad403tb@yahoo.com,6/24/21
All Season Pch Iii,PERSONAL CARE HOME,1647 DAISY COVE CIRCLE,Lawrenceville,GA,30045,Gwinnett,5,7708641055,ad403tb@yahoo.com,6/24/21
All Star Personal Service,PERSONAL CARE HOME,7125 PUCKETT STREET,Covington,GA,30014,Newton,4,6786873567,allstarpersonalservice@gmail.com,6/24/21
All Starr Personal Care Home,PERSONAL CARE HOME,5393 ROCKMOOR DRIVE,Stone Mountain,GA,30088,Dekalb,4,6783957570,mledgister@comcast.net,6/24/21
Allgood Manor Assistant Home 4,PERSONAL CARE HOME,4151 NORTH GODDARD ROAD,Lithonia,GA,30038,Dekalb,3,6787720671,,6/24/21
Allgood Personal Care Home,PERSONAL CARE HOME,1158 ALLGOOD ROAD,Stone Mountain,GA,30083,Dekalb,6,4042924696,,6/24/21
Alliance Pch,PERSONAL CARE HOME,4328 CLEVEMONT ROAD,Ellenwood,GA,30294,Dekalb,3,4043003572,yolandaalexis@yahoo.com,6/24/21
Almeda'S Springhill Manor,PERSONAL CARE HOME,600 SPRINGHILL DRIVE,Covington,GA,30014,Newton,6,7707289992,aspringhill@yahoo.com,6/24/21
Alta Vista Personal Care Home,PERSONAL CARE HOME,2027 ALTA VISTA DRIVE,Columbus,GA,31907,Muscogee,22,7062218578,patbmanuel@yahoo.com,6/24/21
Alton Personal Care Home,PERSONAL CARE HOME,4150 ALTON STREET,Columbus,GA,31903,Muscogee,3,7063157723,patbmanuel@yahoo.com,6/24/21
Alzheimer'S Services Center,PERSONAL CARE HOME,7251 MT ZION CIRCLE,Morrow,GA,30260,Clayton,5,7706034090,info@asc-ga.org,6/24/21
Amazing Comfort Personal Care Home,PERSONAL CARE HOME,1695 EAST LAKE DRIVE,Marietta,GA,30062,Cobb,3,7703693420,reritae@gmail.com,6/24/21
Amazing Love Residential Care Home,PERSONAL CARE HOME,305 QUEENSBURY WALK,Acworth,GA,30102,Cherokee,3,4049311382,amazinglovepch@gmail.com,6/24/21
Amelia Gardens,PERSONAL CARE HOME,576 NICKAJACK ROAD,Mableton,GA,30126,Cobb,8,7709448121,woghis@aol.com,6/24/21
Amelia Gardens Ii,PERSONAL CARE HOME,2030 BASCOMB CARMEL ROAD,Woodstock,GA,30189,Cherokee,3,6784016109,woghis@aol.com,6/24/21
Amelia Gardens Pch Of Marietta,PERSONAL CARE HOME,4561 CANTON ROAD,Marietta,GA,30066,Cobb,22,6783880088,woghis@aol.com,6/24/21
Amelia Gardens Pch Of Marietta Ii,PERSONAL CARE HOME,4561 CANTON ROAD BLDG 200,Marietta,GA,30066,Cobb,24,7707124903,woghis@aol.com,6/24/21
Amelia'S Place Pch,PERSONAL CARE HOME,2053 SOUTH STONE MOUNTAIN LITHONIA RD,Lithonia,GA,30058,Dekalb,6,6785583106,marlyn_wallace@yahoo.com,6/24/21
Americanwork Adaptive Gp Res,PERSONAL CARE HOME,124-D WINDING WAY,Leesburg,GA,31763,Lee,6,2294203991,jcurles@americanwork.org,6/24/21
Americanwork Itr,PERSONAL CARE HOME,124-A WINDING WAY,Leesburg,GA,31763,Lee,6,2294203978,jcurles@americanwork.org,6/24/21
Amicasa Personal Care Home Community,PERSONAL CARE HOME,3482 FLAT SHOALS ROAD,Decatur,GA,30034,Dekalb,24,4045371960,amicasahomecare@ymail.com,6/24/21
Ana'S Phc #2 Pch,PERSONAL CARE HOME,730 TAB ROBERTS ROAD,Lawrenceville,GA,30043,Gwinnett,6,7708076989,anaspch@gmail.com,6/24/21
"Anchor Holds Pch, The",PERSONAL CARE HOME,478 PATTERSON ROAD,Lawrenceville,GA,30044,Gwinnett,3,7702369329,aalvg10@aol.com,6/24/21
Anchor Personal Care Home,PERSONAL CARE HOME,2865 CENTERVILLE HIGHWAY,Snellville,GA,30078,Gwinnett,4,7703097669,anchorpch@gmail.com,6/24/21
Andrews Terrace,PERSONAL CARE HOME,1009 BONNER DRIVE,Perry,GA,31069,Houston,15,4789873251,cbaxter@cmm-summerhill.com,6/24/21
Angel'S Care Personal Care Home,PERSONAL CARE HOME,2620 RICHMOND HILL ROAD,Augusta,GA,30906,Richmond,11,7067552200,angelscare25@yahoo.com,6/24/21
Angels Divine Pch,PERSONAL CARE HOME,3065 JEFFERSONVILLE ROAD,Macon,GA,31217,Bibb,14,4782577136,angelsdivine@ymail.com,6/24/21
Angels Garden Senior Community Bldg #1,PERSONAL CARE HOME,3093 HOG MOUNTAIN ROAD,Dacula,GA,30019,Gwinnett,14,6788892040,administrator@agsc.us,6/24/21
Angels Garden Senior Community Bldg #2,PERSONAL CARE HOME,3103 HOG MOUNTAIN RD,Dacula,GA,30019,Gwinnett,14,6788892733,administrator@agsc.us,6/24/21
Angels Of Mercy,PERSONAL CARE HOME,2296 SARATOGA DR,Decatur,GA,30032,Dekalb,3,6786225943,lillian7hudson@yahoo.com,6/24/21
Angels Pch,PERSONAL CARE HOME,390 EMERALD GREEN COURT,College Park,GA,30349,Clayton,4,4703175852,ivinia.lucas@gmail.com,6/24/21
Angels Pch,PERSONAL CARE HOME,6290 WEST FAYETTEVILLE,Riverdale,GA,30296,Clayton,6,7709960632,winia.lucas@gmail.com,6/24/21
Angels Royal Gardens Ii,PERSONAL CARE HOME,5913 HOMESTEAD COURT,Rex,GA,30273,Clayton,3,7705734939,angelsroyalgardens@aol.com,6/24/21
Anita Personal Care Home,PERSONAL CARE HOME,4411 EWING ROAD,Austell,GA,30106,Cobb,3,4045100648,voltaire_a1@bellsouth.net,6/24/21
Annandale Village,PERSONAL CARE HOME,3500 ANNANDALE LANE,Suwanee,GA,30024,Gwinnett,102,7709458381,laura.gourleyr@annandale.org,6/24/21
Annandale Village Center For Continued Care,ASSISTED LIVING COMMUNITY,3500 ANNANDALE LANE,Suwanee,GA,30024,Gwinnett,36,7709458381,dottie.fenn@annandale.org,6/24/21
Annie'S Place,PERSONAL CARE HOME,4811 JACKSON-WILLIAMS ROAD,Garfield,GA,30425,Emanuel,4,4789825587,latesa72006@hotmail.com,6/24/21
Annointing Books,PERSONAL CARE HOME,3335 FLAT SHOALS ROAD,College Park,GA,30349,Fulton,5,4044512343,mjenkin8@bellsouth.net,6/24/21
Antebellum Arlington Place,PERSONAL CARE HOME,684 ARLINGTON PLACE,Macon,GA,31201,Bibb,120,4787457971,azussman@ssmgrp.com,6/24/21
Antebellum Grove Senior Living,PERSONAL CARE HOME,1010 KATHRYN RYALS ROAD,Warner Robins,GA,31088,Houston,69,4789530706,mosgood@ssmgrp.com,6/24/21
Antebellum James Burgess Senior Living,ASSISTED LIVING COMMUNITY,1520 JAMES BURGESS ROAD,Suwanee,GA,30024,Forsyth,74,6788077350,shanah@ssmgrp.com,6/24/21
Anthony'S Personal Care,PERSONAL CARE HOME,2329 CADDEN ROAD,Augusta,GA,30906,Richmond,3,7067909227,gashepard@bellsouth.net,6/24/21
Apache Personal Care Home,PERSONAL CARE HOME,3135 APACHE DRIVE,Columbus,GA,31909,Muscogee,6,7065075438,benitak27@gmail.com,6/24/21
Appalachee Home,PERSONAL CARE HOME,4600 MONROE HIGHWAY,Statham,GA,30666,Oconee,4,7707255919,,6/24/21
"Arbor Bridgemill, The",ASSISTED LIVING COMMUNITY,700 FREEDOM BLVD,Canton,GA,30114,Cherokee,125,7706910022,david.hink@aspire-development.com,6/24/21
"Arbor House, Llc",PERSONAL CARE HOME,212 SOUTH COLLEGE AVENUE,Douglas,GA,31533,Coffee,4,9123840478,jlewis@tendercare-inc.com,6/24/21
Arbor Manor 1900,PERSONAL CARE HOME,1900 MACON ROAD,Perry,GA,31069,Houston,15,4782242948,fawadkhan1947@hotmail.com,6/24/21
Arbor Manor 1902,PERSONAL CARE HOME,1902 MACON ROAD,Perry,GA,31069,Houston,15,4782244545,fawadkhan1947@hotmail.com,6/24/21
Arbor Terrace At Cascade,ASSISTED LIVING COMMUNITY,1001 RESEARCH CENTER ATLANTA DRIVE,Atlanta,GA,30331,Fulton,92,4046910304,sreasonover@arborcomany.com,6/24/21
Arbor Terrace At Crabapple,ASSISTED LIVING COMMUNITY,12200 CRABAPPLE ROAD,Alpharetta,GA,30004,Fulton,125,7706491009,tricia.holloway@arborcompany.com,6/24/21
Arbor Terrace At Hamilton Mill,ASSISTED LIVING COMMUNITY,3581 BRASELTON HIGHWAY,Dacula,GA,30019,Gwinnett,125,7709990421,tjohnson@arborcompany.com,6/24/21
Arbor Terrace Decatur,ASSISTED LIVING COMMUNITY,425 WINN WAY,Decatur,GA,30030,Dekalb,90,4042925910,fwoodward@arborcompany.com,6/24/21
Arbor Terrace Of Athens,ASSISTED LIVING COMMUNITY,170 MARILYN FARMER WAY,Athens,GA,30606,Clarke,75,7063530400,pszucs@arborcompany.com,6/24/21
Arbor Terrace Of Burnt Hickory,ASSISTED LIVING COMMUNITY,920 BURNT HICKORY ROAD,Marietta,GA,30064,Cobb,112,7706910050,steve.blazejewski@pgim.com,6/24/21
Arbor Terrace Of East Cobb,ASSISTED LIVING COMMUNITY,886 JOHNSON FERRY ROAD,Marietta,GA,30068,Cobb,99,7709774420,cweldon@arborcompany.com,6/24/21
Arbor Terrace Of Johns Creek,ASSISTED LIVING COMMUNITY,3180 KAREN WHITE DR,Suwanee,GA,30024,Forsyth,125,7709999577,lmueller@arborcompany.com,6/24/21
Arbor Terrace Peachtree City,PERSONAL CARE HOME,201 CROSSTOWN DRIVE,Peachtree City,GA,30269,Fayette,75,7706325823,ssanders@arborcompany.com,6/24/21
Arborwood Personal Care Home,PERSONAL CARE HOME,342 ROCKBRIDGE ROAD SW,Lilburn,GA,30047,Gwinnett,6,7705640754,arborwoodpch@yahoo.com,6/24/21
Ariell'S Personal Care Home,PERSONAL CARE HOME,3275 CREEKWAY LANE,Decatur,GA,30034,Dekalb,3,4042128117,,6/24/21
Around The Clock Care Pch,PERSONAL CARE HOME,5337 JEROME ROAD,College Park,GA,30349,Fulton,4,4046004287,aroundtheclockcare2012@gmail.com,6/24/21
"Artistry Care, Llc",PERSONAL CARE HOME,1120 WILEY BRIDGE ROAD,Woodstock,GA,30188,Cherokee,5,4704120727,artistrycarellc@gmail.com,6/24/21
