Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Capacity,Phone Number,Email Address
1804 INDEPENDENT ADULT CARE,PERSONAL CARE HOME,1541 GUNSTOCK COURT,HAMPTON,GA,30228,CLAYTON,2,6786734808,kemhilz@yahoo.com; 1804INDEPENDENTCARE@GMAIL.COM
2 PINE KNOLL,PERSONAL CARE HOME,2 PINE KNOLL,MILLEDGEVILLE,GA,31061,BALDWIN,10,4784451792,kmorgan@oconeecenter.com
4 PEACE LOVE & CARE,PERSONAL CARE HOME,10647 SANDPIPER ROAD,JONESBORO,GA,30236,CLAYTON,3,6784893720,loveandcare17@yahoo.com
A  & C PERSONAL CARE HOME,PERSONAL CARE HOME,7390 ASBURY DRIVE,LITHONIA,GA,30058,DEKALB,3,7707283595,ANDRIATHOMAS@ATT.NET
A & R PERSONAL CARE HOME,PERSONAL CARE HOME,3721 RAINBOW CIRCLE,SNELLVILLE,GA,30039,GWINNETT,6,6783440715,anrpch@gmail.com
A & U PERSONAL CARE HOME,PERSONAL CARE HOME,11003 SHANNON CIRCLE,HAMPTON,GA,30228,CLAYTON,3,4046677811,a.upcare@gmail.com
AAA HOLLY HOUSE,PERSONAL CARE HOME,1680 NORTHWOODS DRIVE,MARIETTA,GA,30066,COBB,6,7703211611,hollyhousepch@yahoo.com
AAN CENTER,PERSONAL CARE HOME,414 RIGBY STREET,MARIETTA,GA,30060,COBB,3,7704275111,kbennett@aancenter.com
ABBA CARE HOME,PERSONAL CARE HOME,1363 VALMONT TRACE NORTH EAST,MARIETTA,GA,30066,COBB,3,6788857229,abbacarehome@gmail.com
ABUNDANCE OF LOVE #1 PERSONAL CARE HOME,PERSONAL CARE HOME,223 SOUTH MADISON AVENUE,MONROE,GA,30655,WALTON,6,7702667489,jonathanlewis70@yahoo.com
ABUNDANT LIVING PERSONAL CARE,PERSONAL CARE HOME,883 ROY WOOD ROAD,COMER,GA,30629,MADISON,6,7067833542,
ABUNDANT LIVING PERSONAL CARE HOME,PERSONAL CARE HOME,511 NORTH MONROE STREET,ALBANY,GA,31701,DOUGHERTY,8,2294969224,akbyrden@yahoo.com
"ACTIVE LIVING AT KELLY LAKE, LLC",PERSONAL CARE HOME,2724 KELLY LAKE ROAD,DECATUR,GA,30032,DEKALB,6,4042415346,aa@mararigroup.com
ADAM & EVE PCH 1,PERSONAL CARE HOME,5169 COVINGTON HIGHWAY,DECATUR,GA,30035,DEKALB,6,7709870390,
ADAM AND EVE PCH 2,PERSONAL CARE HOME,5181 COVINGTON HWY,DECATUR,GA,30035,DEKALB,2,7709870390,
ADDINGTON PLACE AT THE MILLS,PERSONAL CARE HOME,550 BARRINGTON DRIVE,ROSWELL,GA,30075,FULTON,75,7709938040,khill@cedarhurstliving.com
ADDINGTON PLACE OF ALPHARETTA,ASSISTED LIVING COMMUNITY,762 NORTH MAIN STREET,ALPHARETTA,GA,30009,FULTON,105,6783193000,shidalgo@cedarhurstliving.com
ADDINGTON PLACE OF BRUNSWICK,ASSISTED LIVING COMMUNITY,890 SCRANTON ROAD,BRUNSWICK,GA,31525,GLYNN,65,9122650225,
ADDINGTON PLACE OF DUBLIN,ASSISTED LIVING COMMUNITY,212 FAIRVIEW PARK DRIVE,DUBLIN,GA,31021,LAURENS,72,4782759888,eddublin@symphonyseniorliving.com
ADDINGTON PLACE OF JOHNS CREEK,ASSISTED LIVING COMMUNITY,5050 KIMBALL BRIDGE ROAD,JOHNS CREEK,GA,30005,FULTON,72,7707545446,yolanda.hunter@phoenixsrliving.com
ADELL'S PLACE,PERSONAL CARE HOME,527 RAILROAD STREET,FORT VALLEY,GA,31030,PEACH,6,4782241963,doriselliskelley1950@yahoo.com
ADOM HOMECARE SERVICES LLC,PERSONAL CARE HOME,4370 HIGHWAY 92,DOUGLASVILLE,GA,30135,DOUGLAS,5,6786747216,nagifty@gmail.com
ADONIS PERSONAL CARE HOME #2,PERSONAL CARE HOME,1409 GREENVIEW WAY,LAWRENCEVILLE,GA,30044,GWINNETT,12,7707172751,adonispch@gmail.com
AGAPE LIVING,PERSONAL CARE HOME,1840 PHINIZY ROAD,AUGUSTA,GA,30906,RICHMOND,16,7069932188,
AGAPE LOVE PERSONAL CARE HOME 2,PERSONAL CARE HOME,2713 NEPTUNE PLACE,DECATUR,GA,30034,DEKALB,6,6787057986,agapelovepch@gmail.com
AGAPE LOVE PERSONAL CARE HOME LLC,PERSONAL CARE HOME,2258 CRESTKNOLL CIRCLE,DECATUR,GA,30032,DEKALB,6,6789279948,agapelovepch@gmail.com
AGAPE PERSONAL CARE HOME OF MACON,PERSONAL CARE HOME,4732 SGODA ROAD,MACON,GA,31217,TWIGGS,10,4787426934,agape pch3@yahoo.com
AGARD PERSONAL CARE HOME,PERSONAL CARE HOME,5828 HWY 82 SPUR,COMMERCE,GA,30529,JACKSON,6,7063670091,gwensmate@yahoo.com
ALBERT'S HOUSE,PERSONAL CARE HOME,2471 KINGSCLIFF DRIVE,ATLANTA,GA,30345,DEKALB,3,6785454222,albertshouseinc@gmail.com
ALBERT'S HOUSE TALISMAN,PERSONAL CARE HOME,2830 TALISMAN COURT NE,ATLANTA,GA,30345,DEKALB,3,6784281061,JEREMY@ALBERTSHOUSEINC.COM
ALFREDA PERSONAL CARE HOME,PERSONAL CARE HOME,6463 HERITAGE RUN,MORROW,GA,30260,CLAYTON,5,4046459062,natbchea@yahoo.com
ALL ABOUT TENDER CARE SNELLVILLE,PERSONAL CARE HOME,3922 CENTERVILLE HIGHWAY 124,SNELLVILLE,GA,30039,GWINNETT,6,7709825482,
ALL IN ONE PERSONAL CARE HOME,PERSONAL CARE HOME,1260 HAMBRICK COURT,STONE MOUNTAIN,GA,30083,DEKALB,3,6787933644,bulmer1260@yahoo.com
ALL PARTNERS IN CARE SERVICES PCH,PERSONAL CARE HOME,2266 STONE DRIVE,LILBURN,GA,30047,GWINNETT,6,6783441104,allpartnersincare@yahoo.com
ALL SEASON PCH II,PERSONAL CARE HOME,2400 ELKS CLUB ROAD,COVINGTON,GA,30014,NEWTON,6,6783429189,AD403TB@YAHOO.COM
ALL SEASON PCH III,PERSONAL CARE HOME,1647 DAISY COVE CIRCLE,LAWRENCEVILLE,GA,30045,GWINNETT,5,7708641055,ad403tb@yahoo.com
ALL STAR PERSONAL SERVICE,PERSONAL CARE HOME,7125 PUCKETT STREET,COVINGTON,GA,30014,NEWTON,4,6786873567,allstarpersonalservice@gmail.com
ALL STARR PERSONAL CARE HOME,PERSONAL CARE HOME,5393 ROCKMOOR DRIVE,STONE MOUNTAIN,GA,30088,DEKALB,4,6783957570,MLEDGISTER@COMCAST.NET
ALLGOOD MANOR ASSISTANT HOME 4,PERSONAL CARE HOME,4151 NORTH GODDARD ROAD,LITHONIA,GA,30038,DEKALB,3,6787720671,
ALLGOOD PERSONAL CARE HOME,PERSONAL CARE HOME,1158 ALLGOOD ROAD,STONE MOUNTAIN,GA,30083,DEKALB,6,4042924696,
ALLIANCE PCH,PERSONAL CARE HOME,4328 CLEVEMONT ROAD,ELLENWOOD,GA,30294,DEKALB,3,4043003572,yolandaalexis@yahoo.com
ALMEDA'S SPRINGHILL MANOR,PERSONAL CARE HOME,600 SPRINGHILL DRIVE,COVINGTON,GA,30014,NEWTON,6,7707289992,aspringhill@yahoo.com
ALTA VISTA PERSONAL CARE HOME,PERSONAL CARE HOME,2027 ALTA VISTA DRIVE,COLUMBUS,GA,31907,MUSCOGEE,22,7062218578,patbmanuel@yahoo.com
ALTON PERSONAL CARE HOME,PERSONAL CARE HOME,4150 ALTON STREET,COLUMBUS,GA,31903,MUSCOGEE,3,7063157723,patbmanuel@yahoo.com
ALZHEIMER'S SERVICES CENTER,PERSONAL CARE HOME,7251 MT ZION CIRCLE,MORROW,GA,30260,CLAYTON,5,7706034090,info@asc-ga.org
