HFR Facility Finder,,,,,,,,,,,,
 ,Name,Facility Type,Address,City,State,Zip,County,Bed Capacity,Telephone,Effective Date of License,Administrator,Email
,1804 INDEPENDENT ADULT CARE,PERSONAL CARE HOME,1541 GUNSTOCK COURT,HAMPTON,GA,30228,CLAYTON,2,6786734808,01/04/2019,Ms NATACHA PIERRE,kemhilz@yahoo.com; 1804INDEPENDENTCARE@GMAIL.COM
,2 PINE KNOLL,PERSONAL CARE HOME,2 PINE KNOLL,MILLEDGEVILLE,GA,31061,BALDWIN,10,4784451792,06/22/2004,Mr TYRONE EVANS,kmorgan@oconeecenter.com
,4 PEACE LOVE & CARE,PERSONAL CARE HOME,10647 SANDPIPER ROAD,JONESBORO,GA,30236,CLAYTON,3,6784893720,11/18/2019,Mrs TORONDO VAUGHN,loveandcare17@yahoo.com
,A  & C PERSONAL CARE HOME,PERSONAL CARE HOME,7390 ASBURY DRIVE,LITHONIA,GA,30058,DEKALB,3,7707283595,06/27/2013,Ms ANDRIA THOMAS,ANDRIATHOMAS@ATT.NET
,A & R PERSONAL CARE HOME,PERSONAL CARE HOME,3721 RAINBOW CIRCLE,SNELLVILLE,GA,30039,GWINNETT,6,6783440715,06/25/2007,Ms BEVERLY VANN,anrpch@gmail.com
,A & U PERSONAL CARE HOME,PERSONAL CARE HOME,11003 SHANNON CIRCLE,HAMPTON,GA,30228,CLAYTON,3,4046677811,05/07/2019,Ms ARNESHA MARIE,a.upcare@gmail.com
,AAA HOLLY HOUSE,PERSONAL CARE HOME,1680 NORTHWOODS DRIVE,MARIETTA,GA,30066,COBB,6,7703211611,04/25/2008,Ms MARY OKUSHI,hollyhousepch@yahoo.com
,AAN CENTER,PERSONAL CARE HOME,414 RIGBY STREET,MARIETTA,GA,30060,COBB,3,7704275111,10/23/2007,Ms KAREN CASIMIR - BENNETT,kbennett@aancenter.com
,ABBA CARE HOME,PERSONAL CARE HOME,1363 VALMONT TRACE NORTH EAST,MARIETTA,GA,30066,COBB,3,6788857229,04/25/2018,Ms VIVIAN NWANERI,abbacarehome@gmail.com
,ABUNDANCE OF LOVE #1 PERSONAL CARE HOME,PERSONAL CARE HOME,223 SOUTH MADISON AVENUE,MONROE,GA,30655,WALTON,6,7702667489,03/08/2018,Mr JONATHAN LEWIS,jonathanlewis70@yahoo.com
,ABUNDANT LIVING PERSONAL CARE,PERSONAL CARE HOME,883 ROY WOOD ROAD,COMER,GA,30629,MADISON,6,7067833542,08/20/2003,Mr DENNIS WESTER,
,ABUNDANT LIVING PERSONAL CARE HOME,PERSONAL CARE HOME,511 NORTH MONROE STREET,ALBANY,GA,31701,DOUGHERTY,8,2294969224,06/21/2013,Ms ALICIA BYRDEN,akbyrden@yahoo.com
,"ACTIVE LIVING AT KELLY LAKE, LLC",PERSONAL CARE HOME,2724 KELLY LAKE ROAD,DECATUR,GA,30032,DEKALB,6,4042415346,10/02/2020,Ms ANASTASIYA ARINA,aa@mararigroup.com
,ADAM & EVE PCH 1,PERSONAL CARE HOME,5169 COVINGTON HIGHWAY,DECATUR,GA,30035,DEKALB,6,7709870390,05/02/2013,Ms EVELYN JOHNSON,
,ADAM AND EVE PCH 2,PERSONAL CARE HOME,5181 COVINGTON HWY,DECATUR,GA,30035,DEKALB,2,7709870390,05/02/2013,Ms EVELYN JOHNSON,
,ADDINGTON PLACE AT THE MILLS,PERSONAL CARE HOME,550 BARRINGTON DRIVE,ROSWELL,GA,30075,FULTON,75,7709938040,06/25/2018,,khill@cedarhurstliving.com
,ADDINGTON PLACE OF ALPHARETTA,ASSISTED LIVING COMMUNITY,762 NORTH MAIN STREET,ALPHARETTA,GA,30009,FULTON,105,6783193000,07/12/2017,,shidalgo@cedarhurstliving.com
,ADDINGTON PLACE OF BRUNSWICK,ASSISTED LIVING COMMUNITY,890 SCRANTON ROAD,BRUNSWICK,GA,31525,GLYNN,65,9122650225,02/14/2017,Ms JANE OLMSTEAD,
,ADDINGTON PLACE OF DUBLIN,ASSISTED LIVING COMMUNITY,212 FAIRVIEW PARK DRIVE,DUBLIN,GA,31021,LAURENS,72,4782759888,07/10/2017,Ms SHANNA HARPE,eddublin@symphonyseniorliving.com
