Facility Name,Address,City,Zip Code,Island,License Number,Phone Number
15 Craigside,15 Craigside Place,Honolulu,96817,Oahu,16-ALF,8085237000
Arcadia Retirement Residence,1434 Punahou Street,Honolulu,96822,Oahu,1-ALF,8089410941
Hawaii Kai Retirement Comm Phase I and II,428 Kawaihae Street,Honolulu,96825,Oahu,12-ALF,8083959599
Hi'olani Assisted Living Center at Kahala Nui,4389 Malia Street,Honolulu,96821,Oahu,10-ALF,8082187000
Ilima at Leihano,739 Leihano Street,Kapolei,96707,Oahu,20-ALF,8086748022
Kalakaua Gardens,1723 Kalakaua Avenue,Honolulu,96826,Oahu,21-ALF,8085182273
One Kalakaua Senior Living,1314 Kalakaua Avenue,Honolulu,96826,Oahu,4-ALF,8089834400
Pohai Nani Good Samaritan,45-090 Namoku Street,Kaneohe,96744,Oahu,7-ALF,8082476211
"Regency at Puakea, L.L.C.",2130 Kaneka Street,Lihue,96766,Kauai,9-ALF,8082464449
Regency Hualalai,75-181 Hualalai Road,Kailua-Kona,96740,Big Island,22-ALF,8083297878
Roselani Place Assisted Living Facility,88 South Papa Avenue,Kahului,96732,Maui,6-ALF,8088717720
The Plaza at Kaneohe,46-068 Alaloa Street,Kaneohe,96744,Oahu,23-ALF,8086287604
The Plaza at Mililani,95-1050 Ukuwai Street,Mililani,96789,Oahu,14-ALF,8086268807
The Plaza at Moanalua,1280 Moanalualani Place,Honolulu,96818,Oahu,15-ALF,8088338880
The Plaza at Pearl City,1048 Kuala Street,Pearl City,96782,Oahu,18-ALF,8084558808
The Plaza at Punchbowl,918 Lunalilo Street,Honolulu,96825,Oahu,8-ALF,8087928800
The Plaza at Waikiki,1812 Kalakaua Avenue,Honolulu,96813,Oahu,19-ALF,8089550800
