Facility Name,Licensee,State Facility Type 1 Literal,Address,City,Island,Phone Number,License Number,Capacity,State Facility Type 2 Literal
3 J's,Geronimo Castillo,Type I Expanded Adult Residential Care Home,1624 Perry Street,Honolulu,Oahu,8088486592,1334-C,5,Ambulatory
808 Adult Residential Care Home/Expanded Care LLC,Novelyn Llarenas,Type I Expanded Adult Residential Care Home,98-209 Kanuku Street,Aiea,Oahu,8086999865,1344-C,5,Ambulatory
A & C Care Home,Armando Tabile,Type I Expanded Adult Residential Care Home,2294 Awapuhi Street,Hilo,Big Island,8082098308,1554-C,5,Ambulatory
A Better Living,Mary Ann McMurray,Type I Expanded Adult Residential Care Home,83 Kilani Avenue,Wahiawa,Oahu,8086218635,1244-C,5,Ambulatory
A.C.T.G. Gallegos IV,Teofista Gallegos,Type I Expanded Adult Residential Care Home,1530 Piikea Street,Honolulu,Oahu,8084238808,1341-C,5,Ambulatory
A.M.A. Care Home LLC,Abigail Aganon,Type I Expanded Adult Residential Care Home,94-392 Kahuanani Street,Waipahu,Oahu,8086765473,1611-C,5,Ambulatory
AAA Care Home,Melita Manalang,Type I  Adult Residential Care Home,4368 Laakea Street,Honolulu,Oahu,8082057131,1606-C,5,Fully Ambulatory
"Abad, Edna",Edna Abad,Type I  Adult Residential Care Home,98-312 Kaluamoi Drive,Pearl City,Oahu,8084871080,1135-C,4,Fully Ambulatory
Abbie's,Florecita Peralta,Type I Expanded Adult Residential Care Home,94-579 Apii Place,Waipahu,Oahu,8086769349,479-C,5,Ambulatory
"Acedo, Melba",Melba Daak,Type I  Adult Residential Care Home,2501-A Kinoole Street,Hilo,Big Island,8089812909,714-C,4,Ambulatory
"Acnam's Care Home, LLC",Castora Acnam,Type I Expanded Adult Residential Care Home,2467 North School Street,Honolulu,Oahu,8088453589,1041-C,5,Ambulatory
ACT Care Services LLC,Antonette Sarmiento,Type I Expanded Adult Residential Care Home,1453 Uila Street,Honolulu,Oahu,8085948177,1624-C,5,Ambulatory
ACTG ARCH #2,Teofista Gallegos,Type II Expanded Adult Residential Care Home,1447 Uila Street,Honolulu,Oahu,8084225888,1205-C,8,Ambulatory
Adult Res Care Home,Delia Laurena,Type I Expanded Adult Residential Care Home,1654 Hauiki Street,Honolulu,Oahu,8088459373,1428-C,5,Ambulatory
"Agraan, Gliseria",Gliseria Agraan,Type I Expanded Adult Residential Care Home,94-1266 Hiapo Street,Waipahu,Oahu,8086761567,1200-C,5,Ambulatory
"Aguinaldo, Evangeline",Evangeline Aguinaldo,Type I  Adult Residential Care Home,3787 Mamaki Street,Koloa,Kauai,8087422044,984-C,3,Ambulatory
Aguinaldo's,Serafina Aguinaldo,Type I Expanded Adult Residential Care Home,4406 Likini Street,Honolulu,Oahu,8084232196,1175-C,5,Ambulatory
Ai ARCH,Josephine Harris,Type I Expanded Adult Residential Care Home,1329 Ala Aolani Street,Honolulu,Oahu,8084896453,1369-C,5,Ambulatory
Aida's,Zenaida Bautista,Type I Expanded Adult Residential Care Home,45-552 Liula Street,Kaneohe,Oahu,8082351637,640-C,5,Ambulatory
Aiea Heights Senior Living,Satoru Izatsu,Type II Expanded Adult Residential Care Home,99-1657 Aiea Heights Drive,Aiea,Oahu,8084885521,112-C,22,Fully Ambulatory
Aina Haina ARCH,Lan Chen,Type I Expanded Adult Residential Care Home,237 East Hind Drive,Honolulu,Oahu,8083583354,1456-C,5,Ambulatory
Aina Haina Quality Living,Jabs Ryan,Type II Expanded Adult Residential Care Home,5304 Limu Place,Honolulu,Oahu,8083734141,1458-C,8,Ambulatory
Akalei Hale,Elisa Villanueva,Type I  Adult Residential Care Home,61 Hoauna Street,Wailuku,Maui,8082441381,645-C,5,Ambulatory
"Alaag, L.L.C. ARCH",Linda Guting,Type I  Adult Residential Care Home,94-1032 A Lumikula Street,Waipahu,Oahu,8086778669,481-C,5,Ambulatory
Alde Care Home,Delia Lampitoc,Type I  Adult Residential Care Home,94-1475 Hiapo Street,Waipahu,Oahu,8086710531,1065-C,5,Ambulatory
Aletha's Expanded ARCH,Florence Fayloga,Type I Expanded Adult Residential Care Home,99-631 Ulune Street,Aiea,Oahu,8084871706,1400-C,5,Ambulatory
Alfe,Virginia Baptista,Type I Expanded Adult Residential Care Home,1464 Puanakau Street,Honolulu,Oahu,8084228157,1353-C,5,Ambulatory
Alfe II,Bernadette Heafner,Type I Expanded Adult Residential Care Home,1464 Puanakau Street,Honolulu,Oahu,8084228568,1425-C,5,Ambulatory
"Aliga, Nelly",Nelly Aliga,Type I Expanded Adult Residential Care Home,174 Lukia Street,Hilo,Big Island,8089356208,1069-C,5,Ambulatory
"All Hearts ARCH, L.L.C.",Lalaine Rabaino,Type I  Adult Residential Care Home,328 Hie Street,Kapaa,Kauai,8088227907,1392-C,4,Ambulatory
"Allcare Senior Services, Inc.",Christie Garcia,Type I Expanded Adult Residential Care Home,94-920 Kumuao Street,Waipahu,Oahu,8083124791,1602-C,4,Fully Ambulatory
Aloha ARCH,Marlyn Acuram,Type I Expanded Adult Residential Care Home,86-107 Hoaha Street,Waianae,Oahu,8086962430,1287-C,5,Ambulatory
"Aloha Lifeline ARCH/E-ARCH, LLC",Romera Jornacion,Type I Expanded Adult Residential Care Home,91-983 Ikulani Street,Ewa Beach,Oahu,8086895031,1418-C,5,Ambulatory
Aloha Nui Care Home LLC,Min Hye Takamatsu,Type I  Adult Residential Care Home,1662 Hookani Street,Pearl City,Oahu,8082847978,1585-C,5,Ambulatory
"Amodo, Gloria",Gloria Amodo,Type I  Adult Residential Care Home,1437 Ala Leleu Street,Honolulu,Oahu,8088394107,955-C,4,Fully Ambulatory
"Analani ARCH, L.L.C.",Corazon Saludares,Type I  Adult Residential Care Home,98-137 Kaluamoi Place,Pearl City,Oahu,8087411770,1533-C,5,Ambulatory
"Anastacio, Faye V.",Faye Anastacio,Type I  Adult Residential Care Home,45-507 Kahili Street,Honokaa,Big Island,8087757324,859-C,3,Fully Ambulatory
"Ancheta, Imelda",Imelda Ancheta,Type I Expanded Adult Residential Care Home,94-854 Awanei Street,Waipahu,Oahu,8086777486,1239-C,5,Ambulatory
Angel Home For Seniors,Arcelie Cabel,Type I Expanded Adult Residential Care Home,1315 Kupau Street,Kailua,Oahu,8082217766,1395-C,5,Ambulatory
Anne-Drew's Gentle,Mary Jeanne Onato,Type I Expanded Adult Residential Care Home,94-921 Kahuailani Street,Waipahu,Oahu,8086783936,1367-C,5,Ambulatory
Annelyn Raval,Annelyn Raval,Type I Expanded Adult Residential Care Home,94-362 Apowale Street,Waipahu,Oahu,8084977103,844-C,5,Ambulatory
"Ano Ano, L.L.C.",Melton Marc,Type I  Adult Residential Care Home,"54-2489 Kynnersley Road, Lot C",Kapaau,Big Island,8088845265,1507-C,5,Ambulatory
Apostol Care Home ARCH,Edwin Apostol,Type I Expanded Adult Residential Care Home,94-1244 Hinaea Street,Waipahu,Oahu,8086715217,1466-C,5,Ambulatory
"Apuya, Roger",Roger Apuya,Type I  Adult Residential Care Home,2517 Hoenui Street,Honolulu,Oahu,8088455472,1362-C,5,Ambulatory
Arzaga's Adult Residential Care LLC,Noemi Arzaga,Type I Expanded Adult Residential Care Home,57 Maikai Street,Hilo,Big Island,8089357680,1623-C,5,Ambulatory
"Atanes, Remedios",Remedios Atanes,Type I  Adult Residential Care Home,87-542 Manuu Street,Waianae,Oahu,8086684214,589-C,4,Ambulatory
Aumoa Care Home LLC,Maria Ross,Type I  Adult Residential Care Home,98-562 Kaimu Loop,Aiea,Oahu,8084254962,1598-C,5,Ambulatory
"Aupuni Hale Hoolu, LLC",Vilma Yun,Type I Expanded Adult Residential Care Home,1805 Aupuni Street,Honolulu,Oahu,8088412202,1490-C,5,Ambulatory
Aurora Patao ARCH,Aurora Patao,Type I Expanded Adult Residential Care Home,15-1395 29th Avenue,Keaau,Big Island,8089666881,1057-C,5,Ambulatory
Aurora's,Aurora Alejandro,Type I Expanded Adult Residential Care Home,91-1112 Kiwi Street,Ewa Beach,Oahu,8086895936,1111-C,5,Ambulatory
"Badua, Lily",Lily Badua,Type I Expanded Adult Residential Care Home,260 Ala Malama Avenue,Kaunakakai,Molokai,8085535581,874-C,5,Fully Ambulatory
"Bala, Leticia",Leticia Bala,Type I Expanded Adult Residential Care Home,1617 Machado Street,Honolulu,Oahu,8088430113,731-C,5,Ambulatory
Balico's,Leticia Balico,Type I Expanded Adult Residential Care Home,91-1204 Kauiki Street,Ewa Beach,Oahu,8086897494,1388-C,5,Ambulatory
"Baptista, Myrna",Myrna Baptista,Type I  Adult Residential Care Home,28-2845 Makahana Street,Pepeekeo,Big Island,8089873287,576-C,3,Ambulatory
"Bautista, Dolores",Dolores Bautista,Type I  Adult Residential Care Home,1939 Waikahe Place,Honolulu,Oahu,8088471610,979-C,4,Ambulatory
"Baybayan, Rosita",Rosita Baybayan,Type I  Adult Residential Care Home,91-810 Haiamu Street,Ewa Beach,Oahu,8086898662,658-C,5,Ambulatory
Beckwith Manoa Senior Care,Beverley Young,Type I  Adult Residential Care Home,2375 Beckwith Street,Honolulu,Oahu,8084978489,1548-C,5,Fully Ambulatory
"Beltran, Milagros",Milagros Beltran,Type I Expanded Adult Residential Care Home,94-1382 Henokea Street,Waipahu,Oahu,8086710354,590-C,5,Ambulatory
"Billena, Mathilda",Mathilda Billena,Type I  Adult Residential Care Home,94-1169 Limahana Street,Waipahu,Oahu,8086710670,569-C,5,Ambulatory
Birds of Paradise Home Corp.,Mely Co,Type I  Adult Residential Care Home,50 Hialoa Street,Honolulu,Oahu,8082254182,1616-C,3,Fully Ambulatory
Blandina S. Retuta LLC,Blandina Retuta,Type I Expanded Adult Residential Care Home,94-1116 Kahuailani Street,Waipahu,Oahu,8086764419,1019-C,5,Ambulatory
Blue Ocean Care Home,Sook Yang Lee Kimoto,Type I  Adult Residential Care Home,91-1030 Keoneae Place,Ewa Beach,Oahu,8087836340,1498-C,3,Ambulatory
"Bolosan, Carmelita",Carmelita Bolosan,Type I  Adult Residential Care Home,94-087 Waikele Loop,Waipahu,Oahu,8086712983,845-C,5,Ambulatory
"Bolosan, Domie",Domie Bolosan,Type I  Adult Residential Care Home,94-039 Waikele Loop,Waipahu,Oahu,8086773743,785-C,5,Fully Ambulatory
Buenavista Adult Residential Care Home,Sandy Buenavista,Type I Expanded Adult Residential Care Home,81-2010 Haku Nui Road,Captain Cook,Big Island,8083232281,1320-C,4,Ambulatory
Bueno #2,Felicitas Caballero,Type I Expanded Adult Residential Care Home,94-916 Kumuao Street,Waipahu,Oahu,8086789514,1240-C,5,Ambulatory
"Bumanglag, Violeta",Violeta Bumanglag,Type I  Adult Residential Care Home,2152 North School Street,Honolulu,Oahu,8088451397,732-C,5,Ambulatory
"Cabatu, Robert",Robert Cabatu,Type I  Adult Residential Care Home,3258-A Hinano Street,Honolulu,Oahu,8087399543,1382-C,5,Ambulatory
"Cabico, Aurora",Aurora Cabico,Type I  Adult Residential Care Home,1721 Merkle Street,Honolulu,Oahu,8088450113,966-C,5,Ambulatory
"Cabico, Milagros",Milagros Cabico,Type I  Adult Residential Care Home,94-418 Pilimai Street,Waipahu,Oahu,8086712656,832-C,5,Ambulatory
"Cabico-Perez, Loraine",Loraine Cabico-Perez,Type I  Adult Residential Care Home,1318 Alani Street,Honolulu,Oahu,8088416584,1079-C,5,Ambulatory
Cabingabang Care Home,Delia Cabingabang,Type I Expanded Adult Residential Care Home,94-1121 Waipahu Street,Waipahu,Oahu,8086717379,543-C,5,Ambulatory
Cabo Care Home,Jaimie Cabo,Type I Expanded Adult Residential Care Home,114 Kaniahe Place,Wahiawa,,8086216896,1626-C,,
"Cacal, Evelyn",Evelyn Cacal,Type I Expanded Adult Residential Care Home,94-1161 Hinaea Street,Waipahu,Oahu,8086765756,678-C,5,Ambulatory
Cachola Adult Residential Care Home,Madelaine Cachola,Type I Expanded Adult Residential Care Home,98-314 Ponokaulike Street,Aiea,Oahu,8087840242,1576-C,5,Ambulatory
Callo Care Home,Teresita Callo,Type I Expanded Adult Residential Care Home,1027 A Lowell Place,Honolulu,Oahu,8088431240,1289-C,5,Ambulatory
Calucag ARCH-I,"Calucag Care Home, Inc.",Type I Expanded Adult Residential Care Home,99-042 Ieie Place,Aiea,Oahu,8084841335,1280-C,5,Ambulatory
Calucag III,"Kaimuki Care Home, L.L.C.",Type I Expanded Adult Residential Care Home,1050 18th Avenue,Honolulu,Oahu,8082278985,1423-C,5,Ambulatory
Captain Cook Care Home,Daniel Higuchi,Type I  Adult Residential Care Home,81-1993 Haku Nui Road,Captain Cook,Big Island,8082380494,1514-C,5,Ambulatory
Care Homes By Hale Makua,Trisha Akahi,Type II Adult Residential Care Home,472 Kaulana Street,Kahului,Maui,8082431700,1509-C,22,Ambulatory
"Caring Manoa, L.L.C.",Todd Pang,Type II Expanded Adult Residential Care Home,2383 Beckwith Street,Honolulu,Oahu,8087798871,1488-C,8,Ambulatory
Caring Touch ARCH/Expanded ARCH,Leslie Ann Ballesteros,Type I Expanded Adult Residential Care Home,98-131 Kaluamoi Street,Pearl City,Oahu,,1631-C,,
Carmelita's,Carmelita Casil,Type I Expanded Adult Residential Care Home,94-1020 Hapapa Street,Waipahu,Oahu,8086710756,615-C,5,Ambulatory
"Castanaga, Imelda",Imelda Castanaga,Type I Expanded Adult Residential Care Home,94-972 Lumimoe Street,Waipahu,Oahu,8086712551,549-C,5,Ambulatory
Castro's,Julie Castro,Type I  Adult Residential Care Home,3354 Eono Street,Lihue,Kauai,8082454890,1298-C,5,Fully Ambulatory
"CEJ Charity ARCH-EC, L.L.C.",Carolyn Lazo,Type I Expanded Adult Residential Care Home,45-415 Kulauli Street,Kaneohe,Oahu,8082002109,1260-C,5,Ambulatory
