Facility Name,Address,City,Zip Code,License Number,Phone Number,State Facility Type 1 Literal,Licensee,Capacity,State Facility Type 2 Literal,Date Accessed,State
15 Craigside,15 CRAIGSIDE PLACE,Honolulu,96817.0,16-ALF,8085237000.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Arcadia Retirement Residence,1434 PUNAHOU STREET,Honolulu,96822.0,1-ALF,8089410941.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Hawaii Kai Retirement Comm Phase I And Ii,428 KAWAIHAE STREET,Honolulu,96825.0,12-ALF,8083959599.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Hi'Olani Assisted Living Center At Kahala Nui,4389 MALIA STREET,Honolulu,96821.0,10-ALF,8082187000.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Ilima At Leihano,739 LEIHANO STREET,Kapolei,96707.0,20-ALF,8086748022.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Kalakaua Gardens,1723 KALAKAUA AVENUE,Honolulu,96826.0,21-ALF,8085182273.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
One Kalakaua Senior Living,1314 KALAKAUA AVENUE,Honolulu,96826.0,4-ALF,8089834400.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Pohai Nani Good Samaritan,45-090 NAMOKU STREET,Kaneohe,96744.0,7-ALF,8082476211.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
"Regency At Puakea, L.L.C.",2130 KANEKA STREET,Lihue,96766.0,9-ALF,8082464449.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Regency Hualalai,75-181 HUALALAI ROAD,Kailua-Kona,96740.0,22-ALF,8083297878.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
Roselani Place Assisted Living Facility,88 SOUTH PAPA AVENUE,Kahului,96732.0,6-ALF,8088717720.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Kaneohe,46-068 ALALOA STREET,Kaneohe,96744.0,23-ALF,8086287604.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Mililani,95-1050 UKUWAI STREET,Mililani,96789.0,14-ALF,8086268807.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Moanalua,1280 MOANALUALANI PLACE,Honolulu,96818.0,15-ALF,8088338880.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Pearl City,1048 KUALA STREET,Pearl City,96782.0,18-ALF,8084558808.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Punchbowl,918 LUNALILO STREET,Honolulu,96825.0,8-ALF,8087928800.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
The Plaza At Waikiki,1812 KALAKAUA AVENUE,Honolulu,96813.0,19-ALF,8089550800.0,ASSISTED LIVING FACILITY,,,,6/24/21,HI
3 J'S,1624 PERRY STREET,Honolulu,,1334-C,8088486592.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,GERONIMO CASTILLO,5.0,AMBULATORY,6/24/21,HI
808 Adult Residential Care Home/Expanded Care Llc,98-209 KANUKU STREET,Aiea,,1344-C,8086999865.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,NOVELYN LLARENAS,5.0,AMBULATORY,6/24/21,HI
A & C Care Home,2294 AWAPUHI STREET,Hilo,,1554-C,8082098308.0,TYPE I EXPANDED ADULT RESIDENTIAL CARE HOME,ARMANDO TABILE,5.0,AMBULATORY,6/24/21,HI
