Facility Name,State Facility Type 1 Literal,City,Address,Email Address,Facility ID,Capacity,County,Zip Code,Phone Number,Date Accessed,State
Aase Haugen Assisted Living,ASSISTED LIVING PROGRAMS,Decorah,8 OHIO STREET,,S0133,40,Winneshiek,52101-1563,(563) 382-3603,6/24/21,IA
Accura Healthcare Of Pomeroy,ASSISTED LIVING PROGRAMS,Pomeroy,713 SCUYLER STREET,,S0161,18,Calhoun,50575-1195,(712) 468-2241,6/24/21,IA
Afton Oaks Al,ASSISTED LIVING PROGRAMS,Elma,405 9TH ST,,S0094,20,Howard,50628-8376,(641) 393-2134,6/24/21,IA
Allen Place,ASSISTED LIVING PROGRAMS,Atlantic,1406 EAST 19TH STREET,,S0347,78,Cass,50022,(712) 243-3820,6/24/21,IA
Apple Valley Al,ASSISTED LIVING PROGRAMS,Clear Lake,405 27TH AVENUE SOUTH,,S0166,118,Cerro Gordo,50428-4012,(641) 357-7083,6/24/21,IA
Apple Valley Assisted Living Charles City,ASSISTED LIVING PROGRAMS,Charles City,801 BLUNT PKWY #39,,S0083,42,Floyd,50616-2207,(641) 257-3003,6/24/21,IA
Apple Valley Hampton,ASSISTED LIVING PROGRAMS,Hampton,1724 CENTRAL AVENUE EAST,,S0126,42,Franklin,50441-1865,(641) 456-4692,6/24/21,IA
Apple Valley Osage Llc,ASSISTED LIVING PROGRAMS,Osage,300 LYNDALE STREET,,S0283,78,Mitchell,50461,(641) 357-7083,6/24/21,IA
Arbor Heights At University,ASSISTED LIVING PROGRAMS,Des Moines,233 UNIVERSITY AVE,,S0072,25,Polk,50314-3124,(515) 284-1280,6/24/21,IA
Arlin Falck Al,ASSISTED LIVING PROGRAMS,Decorah,911 RIDGEWOOD DR,,S0081,64,Winneshiek,52101-2354,(563) 387-3777,6/24/21,IA
Ashbrook Assisted Living,ASSISTED LIVING PROGRAMS,Iowa Falls,1121 FREMONT STREET,,S0143,82,Hardin,50126-1389,(641) 648-8080,6/24/21,IA
Aspen Heights Assisted Living,ASSISTED LIVING PROGRAMS,Hull,1410 ASPEN STREET,,S0320,48,Sioux,51239,(712) 439-6715,6/24/21,IA
Assisi Village Assisted Living,ASSISTED LIVING PROGRAMS,Dubuque,1001 ASSISI DRIVE,,S0301,68,Dubuque,52001-1312,(563) 583-8234,6/24/21,IA
Assisted Living At Northcrest Community,ASSISTED LIVING PROGRAMS,Ames,2310 NORTHCREST PARKWAY,bbrouwer@northcrestcommunity.org,S0437,64,Story,50010,(515) 232-6760,6/24/21,IA
Avoca Lodge Al,ASSISTED LIVING PROGRAMS,Avoca,612 EAST YORK ROAD,,S0138,40,Pottawattamie,51521-4504,(712) 343-2400,6/24/21,IA
Azria Health - Rose Vista Assisted Living,ASSISTED LIVING PROGRAMS,Woodbine,"1108 PARK STREET, PO BOX 6",,S0156,15,Harrison,51579-0006,(712) 647-2010,6/24/21,IA
Azria Health Longview Al,ASSISTED LIVING PROGRAMS,Missouri Valley,1010 LONGVIEW RD,,S0001,36,Harrison,51555-1227,(712) 642-2264,6/24/21,IA
Ballard Creek Community,ASSISTED LIVING PROGRAMS,Huxley,908 N HWY 69,,S0007,80,Story,50124-9764,(515) 597-2555,6/24/21,IA
Bavarian Meadows,ASSISTED LIVING PROGRAMS,Remsen,632 - L14; PO BOX 265,,S0293,44,Plymouth,51050,(712) 786-1660,6/24/21,IA
Belle Haven Independent And Assisted Living,ASSISTED LIVING PROGRAMS,Belmond,815 LUICKS LANE NORTH,,S0291,32,Wright,50421-7664,(641) 444-3915,6/24/21,IA
Bickford Cottage Cedar Falls,ASSISTED LIVING PROGRAMS,Cedar Falls,5101 UNIVERSITY,,S0028,74,Black Hawk,50613-6246,(319) 266-6800,6/24/21,IA
Bickford Cottage I Sioux City,ASSISTED LIVING PROGRAMS,Sioux City,4020 INDIAN HILLS DR,,S0006,44,Woodbury,51108-1418,(712) 239-2065,6/24/21,IA
Boyson Heights Senior Living Community,ASSISTED LIVING PROGRAMS,Cedar Rapids,765 BOYSON ROAD NE,,S0439,132,Linn,52402,(319) 775-4524,6/24/21,IA
Brio Of Johnston Assisted Living,ASSISTED LIVING PROGRAMS,Johnston,6901 PECKHAM STREET,,S0395,68,Polk,50131,(515) 350-7781,6/24/21,IA
Bryhl Assisted Living,ASSISTED LIVING PROGRAMS,Cedar Falls,7511 UNIVERSITY AVENUE,,S0251,68,Black Hawk,50613-5027,(319) 268-0401,6/24/21,IA
Calvin Community Al,ASSISTED LIVING PROGRAMS,Des Moines,4210 HICKMAN ROAD,,S0412,162,Polk,50310,(515) 633-2657,6/24/21,IA
Cardinal Grove,ASSISTED LIVING PROGRAMS,Garner,1355 DIVISION STREET,,S0119,28,Hancock,50438-1968,(641) 923-2677,6/24/21,IA
Carlisle Center For Al,ASSISTED LIVING PROGRAMS,Carlisle,685 COLE STREET,,S0309,44,Warren,50047,(515) 989-7022,6/24/21,IA
Cedar Place Assisted Living,ASSISTED LIVING PROGRAMS,Story City,812 CEDAR STREET,,S0207,44,Story,50248-1472,(515) 733-9092,6/24/21,IA
Cedar Ridge Village,ASSISTED LIVING PROGRAMS,West Des Moines,8950 COACHLIGHT DRIVE,,S0447,68,Dallas,50266,(515) 369-2100,6/24/21,IA
Cedar Vale,ASSISTED LIVING PROGRAMS,Nashua,100 POPPE LANE,tonia7585@hotmail.com,S0211,40,Chickasaw,50658-9704,(641) 435-4040,6/24/21,IA
Cedars Of Madrid Homes,ASSISTED LIVING PROGRAMS,Madrid,600 NORTH KENNEDY AVENUE,,S0176,94,Boone,50156-7608,(515) 795-4097,6/24/21,IA
Cherry Ridge,ASSISTED LIVING PROGRAMS,Mt Vernon,217 BUSINESS 30 SW,,S0124,24,Linn,52314-1597,(319) 895-8249,6/24/21,IA
Circle Terrace Lodge,ASSISTED LIVING PROGRAMS,Manly,155 CIRCLE TERRACE,,S0234,8,Worth,50456-5073,(641) 454-3329,6/24/21,IA
Clarence Assisted Living,ASSISTED LIVING PROGRAMS,Clarence,408 2ND AVENUE,,S0329,36,Cedar,52216,(563) 452-3266,6/24/21,IA
Clearview Estates Al,ASSISTED LIVING PROGRAMS,Mt Ayr,500 W COLUMBUS,,S0100,24,Ringgold,50854-1100,(641) 464-0651,6/24/21,IA
Cobble Creek Al Of Sheldon,ASSISTED LIVING PROGRAMS,Sheldon,980 OAK STREET,,S0106,12,O'Brien,51201-1221,(712) 324-7404,6/24/21,IA
Cobble Creek Al Of Spencer,ASSISTED LIVING PROGRAMS,Spencer,2116 1ST AVE E,,S0091,12,Clay,51301-2313,(712) 262-1430,6/24/21,IA
Cobblestone Court Assisted Living,ASSISTED LIVING PROGRAMS,Sumner,3187 140TH STREET,,S0361,60,Bremer,50674,(563) 578-9001,6/24/21,IA
Colonial Estates,ASSISTED LIVING PROGRAMS,Columbus Junction,815 COLONIAL LANE,,S0311,18,Louisa,52738,(319) 728-2276,6/24/21,IA
Community Memorial Al,ASSISTED LIVING PROGRAMS,Hartley,233 NORTH 8TH AVENUE WEST,,S0150,32,O'Brien,51346-1077,(712) 728-2524,6/24/21,IA
Copper Creek,ASSISTED LIVING PROGRAMS,West Union,609 HWY 150 NORTH,,S0424,48,Fayette,52175,(563) 422-9200,6/24/21,IA
Cornerstone Al,ASSISTED LIVING PROGRAMS,Mason City,302 2ND STREET NE,,S0120,90,Cerro Gordo,50401-3412,(641) 424-1740,6/24/21,IA
Cottage Grove Place,ASSISTED LIVING PROGRAMS,Cedar Rapids,2115 1ST AVE SE,,S0035,82,Linn,52402-6358,(319) 297-5600,6/24/21,IA
Courtyard Estates Of Walcott,ASSISTED LIVING PROGRAMS,Walcott,510 NORTH MAIN STREET,,S0263,47,Scott,52773-7827,(563) 284-4211,6/24/21,IA
Courtyard Independent And Assisted Living,ASSISTED LIVING PROGRAMS,Clear Lake,401 W. 10TH AVENUE NORTH,,S0128,18,Cerro Gordo,50428-4202,(641) 357-1648,6/24/21,IA
Courtyard Terrace,ASSISTED LIVING PROGRAMS,Boone,717 W 3RD ST,,S0177,50,Boone,50036-8217,(515) 433-4406,6/24/21,IA
Cresco Assisted Living,ASSISTED LIVING PROGRAMS,Cresco,1004 NORTH ELM STREET,,S0210,54,Howard,52136-1097,(563) 547-2364,6/24/21,IA
Crown Pointe,ASSISTED LIVING PROGRAMS,Sioux Center,1400 7TH AVE. SE,,S0125,44,Sioux,51250-1199,(712) 722-8260,6/24/21,IA
Custom Care,ASSISTED LIVING PROGRAMS,Cedar Rapids,1224 13TH ST NW,,S0108,48,Linn,52405-2404,(319) 365-9171,6/24/21,IA
Davenport Lutheran Al,ASSISTED LIVING PROGRAMS,Davenport,1128 W 53RD ST,,S0033,34,Scott,52806-2435,(563) 386-6933,6/24/21,IA
Deer View Manor,ASSISTED LIVING PROGRAMS,Sigourney,1212 SOUTH STUART STREET,,S0325,50,Keokuk,52591,(641) 622-2142,6/24/21,IA
Deerfield Place,ASSISTED LIVING PROGRAMS,Sheffield,505 EAST GILMAN ST,,S0304,32,Franklin,50475,(641) 892-8080,6/24/21,IA
"Deerfield Retirement Community, Inc.",ASSISTED LIVING PROGRAMS,Urbandale,13731 HICKMAN ROAD,,S0362,40,Polk,50323,(515) 331-6903,6/24/21,IA
Dunlap Assisted Living,ASSISTED LIVING PROGRAMS,Dunlap,1405 HARRISON ROAD,,S0249,12,Harrison,51529-1565,(712) 643-2121,6/24/21,IA
Dutchman'S Oaks Assisted Living,ASSISTED LIVING PROGRAMS,Dumont,921 3RD ST. P.O. BOX 347,,S0178,12,Butler,50625-1034,(641) 857-3401,6/24/21,IA
Eagle Pointe Place,ASSISTED LIVING PROGRAMS,Dubuque,2700 MATTHEW JOHN DRIVE,sroth@enlivant.com,S0348,138,Dubuque,52002,(563) 690-1900,6/24/21,IA
Eagle Ridge Independent And Assisted Living,ASSISTED LIVING PROGRAMS,Guttenberg,1329 ACRE STREET,,S0354,36,Clayton,52052,(563) 252-2288,6/24/21,IA
Edgewater Assisted Living - Brookside,ASSISTED LIVING PROGRAMS,West Des Moines,9225 CASCADE AVENUE,,S0414,62,Dallas,50266,(515) 978-2610,6/24/21,IA
Ellen Kennedy Living Center,ASSISTED LIVING PROGRAMS,Dyersville,1177 7TH STREET SW,,S0155,64,Dubuque,52040-2513,(563) 875-6323,6/24/21,IA
Elm Crest Retirement Comm,ASSISTED LIVING PROGRAMS,Harlan,2108 12TH STREET,,S0059,64,Shelby,51537-2023,(712) 755-5174,6/24/21,IA
