Facility Name,State Facility Type 1 Literal,Status,City,Address,Email Address,Facility ID,Capacity,County,Zip Code,Phone Number
3801 Grand,Residential Care Facilities,Closed,Des Moines,3801 Grand Avenue,,770830,0,Polk,50312-2807,(515) 255-3499
Aase Haugen Assisted Living,Assisted Living Programs,Active,Decorah,8 Ohio Street,,S0133,40,Winneshiek,52101-1563,(563) 382-3603
Aase Haugen Home,Residential Care Facilities,Closed,Decorah,Four Ohio Street,aase@rconnect.com,960338,12,Winneshiek,52101-0512,(563) 382-3603
Abbe Center For Community Care,Residential Care Facilities,Closed,Marion,1860 County Home Road,cbradke@abbe.org,570444,216,Linn,52302-9753,(319) 398-3534
Accura Healthcare Of Pomeroy,Assisted Living Programs,Active,Pomeroy,713 Scuyler Street,,S0161,18,Calhoun,50575-1195,(712) 468-2241
Adel Assisted Living Apartments,Assisted Living Programs,Closed,Adel,504 Van Fossen,lcrawford@wesleyservices.org,S0219,28,Dallas,50003-1689,(515) 993-5176
Afton Oaks AL,Assisted Living Programs,Active,Elma,405 9th St,,S0094,20,Howard,50628-8376,(641) 393-2134
Allen House,Assisted Living Programs,Closed,Atlantic,1406 E 19th,allenhouse@alcco.com; jwatson@alcco.com,S0019,78,Cass,50022-2897,(712) 243-3820
Allen Place,Assisted Living Programs,Active,Atlantic,1406 East 19th Street,,S0347,78,Cass,50022,(712) 243-3820
Amelia House,Assisted Living Programs,Closed,Council Bluffs,57 W Ferndale Dr,scomer@alcco.com,S0046,62,Pottawattamie,51503-4283,(712) 325-4400
Andrew Jackson Care,Residential Care Facilities,Closed,Bellevue,18720 250th Avenue,ajcare@netins.net,490107,40,Jackson,52031-3514,(563) 672-3371
Apple Valley Al,Assisted Living Programs,Active,Clear Lake,405 27th Avenue South,,S0166,118,Cerro Gordo,50428-4012,(641) 357-7083
Apple Valley Assisted Living Charles City,Assisted Living Programs,Active,Charles City,801 Blunt Pkwy #39,,S0083,42,Floyd,50616-2207,(641) 257-3003
Apple Valley Hampton,Assisted Living Programs,Active,Hampton,1724 Central Avenue East,,S0126,42,Franklin,50441-1865,(641) 456-4692
Apple Valley Osage LLC,Assisted Living Programs,Active,Osage,300 Lyndale Street,,S0283,78,Mitchell,50461,(641) 357-7083
Arbor Heights At University,Assisted Living Programs,Active,Des Moines,233 University Ave,,S0072,25,Polk,50314-3124,(515) 284-1280
Arlin Falck Al,Assisted Living Programs,Active,Decorah,911 Ridgewood Dr,,S0081,64,Winneshiek,52101-2354,(563) 387-3777
Ashbrook Assisted Living,Assisted Living Programs,Active,Iowa Falls,1121 Fremont Street,,S0143,82,Hardin,50126-1389,(641) 648-8080
Aspen Heights Assisted Living,Assisted Living Programs,Active,Hull,1410 Aspen Street,,S0320,48,Sioux,51239,(712) 439-6715
Assisi Village Assisted Living,Assisted Living Programs,Active,Dubuque,1001 Assisi Drive,,S0301,68,Dubuque,52001-1312,(563) 583-8234
Assisted Living At Northcrest Community,Assisted Living Programs,Active,Ames,2310 Northcrest Parkway,bbrouwer@northcrestcommunity.org,S0437,64,Story,50010,(515) 232-6760
Avoca Lodge AL,Assisted Living Programs,Active,Avoca,612 East York Road,,S0138,40,Pottawattamie,51521-4504,(712) 343-2400
Azria Health - Rose Vista Assisted Living,Assisted Living Programs,Active,Woodbine,"1108 Park Street, PO Box 6",,S0156,15,Harrison,51579-0006,(712) 647-2010
Azria Health Longview AL,Assisted Living Programs,Active,Missouri Valley,1010 Longview Rd,,S0001,36,Harrison,51555-1227,(712) 642-2264
Azria Health Winterset,Residential Care Facilities,Active,Winterset,1015 West Summit,dlehman@azriahealth.com,610812,18,Madison,50273-2209,(515) 462-1711
Ballard Creek Community,Assisted Living Programs,Active,Huxley,908 N Hwy 69,,S0007,80,Story,50124-9764,(515) 597-2555
Bavarian Meadows,Assisted Living Programs,Active,Remsen,632 - L14; PO Box 265,,S0293,44,Plymouth,51050,(712) 786-1660
Belle Haven Independent and Assisted Living,Assisted Living Programs,Active,Belmond,815 Luicks Lane North,,S0291,32,Wright,50421-7664,(641) 444-3915
Bickford Cottage Cedar Falls,Assisted Living Programs,Active,Cedar Falls,5101 University,,S0028,74,Black Hawk,50613-6246,(319) 266-6800
Bickford Cottage I Sioux City,Assisted Living Programs,Active,Sioux City,4020 Indian Hills Dr,,S0006,44,Woodbury,51108-1418,(712) 239-2065
Bonnett Family Care Home,Residential Care Facilities,Closed,Knoxville,"617 East Marion, Po Box 267",,630793,14,Marion,50138-0267,(641) 828-7318
Boulevard Place,Assisted Living Programs,Closed,Des Moines,900 Polk Blvd,,S0044,16,Polk,50312-0000,(515) 255-5433
Boyson Heights Senior Living Community,Assisted Living Programs,Active,Cedar Rapids,765 Boyson Road Ne,,S0439,132,Linn,52402,(319) 775-4524
Brees Rest Home,Residential Care Facilities,Active,Albia,210 Washington Avenue East,breesresthome@yahoo.com,680656,9,Monroe,52531-2029,(641) 932-5517
Briarcliff Retirement Ctr,Assisted Living Programs,Closed,Altoona,3734 8th St Sw,,S0016,42,Polk,50009-0000,(515) 967-4511
Briarwood Care Center,Residential Care Facilities,Closed,Maquoketa,416 South Clark Street,ginabramer@hotmail.com,490571,15,Jackson,52060-3226,(563) 652-5354
Brio of Johnston Assisted Living,Assisted Living Programs,Active,Johnston,6901 Peckham Street,,S0395,68,Polk,50131,(515) 350-7781
Bryhl Assisted Living,Assisted Living Programs,Active,Cedar Falls,7511 University Avenue,,S0251,68,Black Hawk,50613-5027,(319) 268-0401
Calhoun House,Residential Care Facilities,Active,Ames,3911 Calhoun Avenue,"mlenning@optimaelifeservices.com; 
 mfoster@optimaelifeservices.com",850671,8,Story,50010-5952,(515) 956-2600
Calvin Community AL,Assisted Living Programs,Active,Des Moines,4210 Hickman Road,,S0412,162,Polk,50310,(515) 633-2657
Camelot Square Group Home,Residential Care Facilities,Active,Denison,1011 Fifth Avenue North,dbrown@wescoind.org,240025,13,Crawford,51442-0000,(712) 263-4073
Cardinal Grove,Assisted Living Programs,Active,Garner,1355 Division Street,,S0119,28,Hancock,50438-1968,(641) 923-2677
Care Unit A,Residential Care Facilities,Active,Afton,500 Opal Street,jana.dailey@innovative-industries.org,880682,15,Union,50830-1079,(641) 347-5611
Care Unit B,Residential Care Facilities,Active,Afton,500 Opal Street,jana.dailey@innovative-industries.org,880683,15,Union,50830-1079,(641) 347-5611
Carlisle Center For AL,Assisted Living Programs,Active,Carlisle,685 Cole Street,,S0309,44,Warren,50047,(515) 989-7022
Cedar Creek Rescare,Residential Care Facilities,Closed,Fairfield,1930 250th Street,jkirby@iowarescare.com,510365,45,Jefferson,52556-8865,(641) 693-4541
Cedar Falls Lutheran Home,Residential Care Facilities,Closed,Cedar Falls,7511 University Avenue,wager@cflh.org; bhilmer@cflh.org,70154,50,Black Hawk,50613-5009,(319) 268-0401
Cedar Health Rcf,Residential Care Facilities,Closed,Charles City,807 Fifth Street,admin@cedarhealth.net,340469,15,Floyd,50616-3397,(641) 228-1612
Cedar Lane Estates,Residential Care Facilities,Closed,Jefferson,1114 J Avenue,clestate@netins.net,370317,40,Greene,50129-7022,(515) 386-2387
Cedar Place Assisted Living,Assisted Living Programs,Active,Story City,812 Cedar Street,,S0207,44,Story,50248-1472,(515) 733-9092
Cedar Ridge Village,Assisted Living Programs,Active,West Des Moines,8950 Coachlight Drive,,S0447,68,Dallas,50266,(515) 369-2100
Cedar Vale,Assisted Living Programs,Active,Nashua,100 Poppe Lane,tonia7585@Hotmail.com,S0211,40,Chickasaw,50658-9704,(641) 435-4040
Cedar Valley Ranch,Residential Care Facilities,Active,Vinton,2591 61st Street Lane,cedarvalleyranch@hotmail.com,60691,48,Benton,52349-9212,(319) 472-2671
Cedars of Madrid Homes,Assisted Living Programs,Active,Madrid,600 North Kennedy Avenue,,S0176,94,Boone,50156-7608,(515) 795-4097
"Chariton Residential, Llc",Residential Care Facilities,Closed,Chariton,815 Auburn Avenue,,590011,31,Lucas,50049-0839,(641) 774-2315
Charter Senior Living of Northpark Place,Residential Care Facilities,Active,Sioux City,2562 Pierce Street,,970058,60,Woodbury,51104-3706,(712) 255-1200
Chatham Oaks,Residential Care Facilities,Active,Iowa City,4515 Melrose Avenue,apauls@abbehealth.org; dbrecht@abbehealth.org,520457,16,Johnson,52246,(319) 887-2701
Cherry Ridge,Assisted Living Programs,Active,Mt Vernon,217 Business 30 Sw,,S0124,24,Linn,52314-1597,(319) 895-8249
Circle Terrace Lodge,Assisted Living Programs,Active,Manly,155 Circle Terrace,,S0234,8,Worth,50456-5073,(641) 454-3329
Clarence Assisted Living,Assisted Living Programs,Active,Clarence,408 2nd Avenue,,S0329,36,Cedar,52216,(563) 452-3266
Clarksville Nursing Home,Residential Care Facilities,Closed,Clarksville,115 North Hilton Street,,120205,9,Butler,50619-0159,(319) 278-4900
Clearview Estates AL,Assisted Living Programs,Active,Mt Ayr,500 W Columbus,,S0100,24,Ringgold,50854-1100,(641) 464-0651
Cobble Creek AL of Sheldon,Assisted Living Programs,Active,Sheldon,980 Oak Street,,S0106,12,O'Brien,51201-1221,(712) 324-7404
Cobble Creek AL of Spencer,Assisted Living Programs,Active,Spencer,2116 1st Ave E,,S0091,12,Clay,51301-2313,(712) 262-1430
Cobblestone Court Assisted Living,Assisted Living Programs,Active,Sumner,3187 140th Street,,S0361,60,Bremer,50674,(563) 578-9001
Colonial Estates,Assisted Living Programs,Active,Columbus Junction,815 Colonial Lane,,S0311,18,Louisa,52738,(319) 728-2276
Community Care Inc,Residential Care Facilities,Closed,Charlotte,1611 330th Avenue,a_ganzerbovitz@communitycareinc.net,230904,58,Clinton,52731-9682,(563) 659-4100
"Community Care Of Knoxville, LLC",Residential Care Facilities,Active,Knoxville,205 North Iowa Street,,630299,29,Marion,50138-0287,(641) 842-4618
Community Memorial AL,Assisted Living Programs,Active,Hartley,233 North 8th Avenue West,,S0150,32,O'Brien,51346-1077,(712) 728-2524
Cookson Memorial Home,Residential Care Facilities,Closed,West Branch,204 Cookson Drive,,160500,20,Cedar,52358-0000,(319) 643-2325
Copper Creek,Assisted Living Programs,Active,West Union,609 Hwy 150 North,,S0424,48,Fayette,52175,(563) 422-9200
Cornerstone AL,Assisted Living Programs,Active,Mason City,302 2nd Street Ne,,S0120,90,Cerro Gordo,50401-3412,(641) 424-1740
Corridor Crossing Place,Residential Care Facilities,Active,Cedar Rapids,136 36th Avenue Sw,nurse@corridorcrossingplace.com; bbarclay@jaybirdsl.com; nlensch@jaybirdsl.com,570617,61,Linn,52404-4638,(319) 362-6868
Cottage Grove Place,Assisted Living Programs,Active,Cedar Rapids,2115 1st Ave Se,,S0035,82,Linn,52402-6358,(319) 297-5600
Cottonwood Residential Care Facility,Residential Care Facilities,Active,Burlington,"910 Cottonwood, Suite 1002",dina.garrison@hopehavencorp.com,290970,15,Des Moines,52601,(319) 237-1072
Country Care Center,Residential Care Facilities,Active,Harlan,725 Highway 59    Po Box 351,cccc@fmctc.com,830390,40,Shelby,51537-0351,(712) 744-3453
Country Haven,Residential Care Facilities,Closed,Corning,"2168 Us Highway 34, Po Box 409",libbiew@hotmail.com,20050,31,Adams,50841-0409,(641) 322-3291
"Country Haven Guest Homes, Ltd",Assisted Living Programs,Closed,Winterset,2490 Prairieview Avenue,countryhavenwinterset@gmail.com,S0146,15,Madison,50273-8115,(515) 462-3701
Country Life Health Care,Residential Care Facilities,Closed,Oskaloosa,2554 Ford Avenue,countrylifehealthcare@wildblue.net,620603,25,Mahaska,52577-8850,(641) 673-4447
Country View Estates,Residential Care Facilities,Closed,Guthrie Center,2345 Redwood Avenue,grandel_cve@netins.net,390695,16,Guthrie,50115-8888,(641) 755-2125
Countryside Health Care Center,Residential Care Facilities,Closed,Sioux City,6120 Morningside Avenue,Countryside.Admin@imgcares.com,970370,10,Woodbury,51106-3943,(712) 276-3000
Courtyard Estates Of Walcott,Assisted Living Programs,Active,Walcott,510 North Main Street,,S0263,47,Scott,52773-7827,(563) 284-4211
Courtyard Independent And Assisted Living,Assisted Living Programs,Active,Clear Lake,401 W. 10th Avenue North,,S0128,18,Cerro Gordo,50428-4202,(641) 357-1648
Courtyard Terrace,Assisted Living Programs,Active,Boone,717 W 3rd St,,S0177,50,Boone,50036-8217,(515) 433-4406
Cresco Assisted Living,Assisted Living Programs,Active,Cresco,1004 North Elm Street,,S0210,54,Howard,52136-1097,(563) 547-2364
Crown Pointe,Assisted Living Programs,Active,Sioux Center,1400 7th Ave. SE,,S0125,44,Sioux,51250-1199,(712) 722-8260
Custom Care,Assisted Living Programs,Active,Cedar Rapids,1224 13th St NW,,S0108,48,Linn,52405-2404,(319) 365-9171
