Entity Name,Entity Type,Status,City,Address,Email,Renewal Cycle,Entity Type Renewal Cycle(months),Initial License Date,Expiration Date,Current License Date,Entity Type Survey Cycle(months),Medicaid #,CNN #,Classification #,Occupancy Type,Max Occupancy,County,State,Zip,Administrator / License,Phone,Fax,Url,Closed Date,Months since last survey,Accreditation,Accredited / Deemed,LSC Waiver,Licensure Rule Variance
3801 Grand,Residential Care Facilities,Closed,Des Moines,3801 Grand Avenue,,365,12,,,,30,,,770830,Beds,0,Polk,Iowa,50312-2807,Mary  Larsen /,(515) 255-3499,() -,,9/1/98,,FALSE,FALSE,FALSE,FALSE
Aase Haugen Assisted Living,Assisted Living Programs,Active,Decorah,8 Ohio Street,,730,24,11/30/01,11/29/21,11/30/19,24,,,S0133,Units,40,Winneshiek,Iowa,52101-1563,Brianna Everts /,(563) 382-3603,(563) 382-3606,,,17,FALSE,FALSE,FALSE,FALSE
Aase Haugen Home,Residential Care Facilities,Closed,Decorah,Four Ohio Street,aase@rconnect.com,365,12,,11/7/11,11/7/10,30,892315,,960338,Beds,12,Winneshiek,Iowa,52101-0512,SUSAN  BJELLAND / 1323,(563) 382-3603,(563) 382-3606,,12/3/10,145,FALSE,FALSE,FALSE,FALSE
Abbe Center For Community Care,Residential Care Facilities,Closed,Marion,1860 County Home Road,cbradke@abbe.org,365,12,9/1/88,9/1/14,9/1/13,30,893917,,570444,Beds,216,Linn,Iowa,52302-9753,CRAIG  BRADKE /,(319) 398-3534,(319) 286-1917,,9/30/13,96,FALSE,FALSE,FALSE,FALSE
Accura Healthcare Of Pomeroy,Assisted Living Programs,Active,Pomeroy,713 Scuyler Street,,730,24,10/29/04,10/28/22,10/28/20,24,,,S0161,Units,18,Calhoun,Iowa,50575-1195,Taesa Bailey / 2237,(712) 468-2241,(712) 468-2524,,,22,FALSE,FALSE,FALSE,FALSE
Adel Assisted Living Apartments,Assisted Living Programs,Closed,Adel,504 Van Fossen,lcrawford@wesleyservices.org,720,24,12/14/05,12/13/19,12/23/17,24,,,S0219,Units,28,Dallas,Iowa,50003-1689,Linda Crawford / Program Director,(515) 993-5176,(515) 993-5177,,7/30/18,42,FALSE,FALSE,FALSE,FALSE
Afton Oaks AL,Assisted Living Programs,Active,Elma,405 9th St,,730,24,9/13/00,9/12/22,9/12/20,24,,,S0094,Beds,20,Howard,Iowa,50628-8376,Jennifer Johnson / Administrator,(641) 393-2134,(641) 393-2004,,,33,FALSE,FALSE,FALSE,FALSE
Allen House,Assisted Living Programs,Closed,Atlantic,1406 E 19th,allenhouse@alcco.com; jwatson@alcco.com,365,24,9/3/98,9/2/10,9/2/09,24,,,S0019,Beds,78,Cass,Iowa,50022-2897,Jason Watson /,(712) 243-3820,(712) 243-6707,,7/6/10,,FALSE,FALSE,FALSE,FALSE
Allen Place,Assisted Living Programs,Active,Atlantic,1406 East 19th Street,,730,24,3/16/15,3/15/23,3/15/21,24,,,S0347,Units,78,Cass,Iowa,50022,Danyel Foreman /,(712) 243-3820,(712) 273-6707,,,26,FALSE,FALSE,FALSE,FALSE
Amelia House,Assisted Living Programs,Closed,Council Bluffs,57 W Ferndale Dr,scomer@alcco.com,365,24,6/10/99,6/9/11,6/9/10,24,,,S0046,Beds,62,Pottawattamie,Iowa,51503-4283,Shane Comer /,(712) 325-4400,(712) 323-1436,,7/6/10,,FALSE,FALSE,FALSE,FALSE
Andrew Jackson Care,Residential Care Facilities,Closed,Bellevue,18720 250th Avenue,ajcare@netins.net,365,12,7/3/86,7/3/06,7/3/05,30,893719,,490107,Beds,40,Jackson,Iowa,52031-3514,ANN  HOFF /,(563) 672-3371,(563) 672-3514,,12/1/04,198,FALSE,FALSE,FALSE,FALSE
Apple Valley Al,Assisted Living Programs,Active,Clear Lake,405 27th Avenue South,,730,24,12/23/02,12/22/22,12/22/20,24,,,S0166,Units,118,Cerro Gordo,Iowa,50428-4012,Terri Cosselman / Administrator,(641) 357-7083,(641) 257-3038,,,3,FALSE,FALSE,FALSE,FALSE
Apple Valley Assisted Living Charles City,Assisted Living Programs,Active,Charles City,801 Blunt Pkwy #39,,730,24,6/21/00,6/20/22,6/20/20,24,,,S0083,Units,42,Floyd,Iowa,50616-2207,Terri Cosselman /,(641) 257-3003,(641) 257-3038,,,8,FALSE,FALSE,FALSE,FALSE
Apple Valley Hampton,Assisted Living Programs,Active,Hampton,1724 Central Avenue East,,730,24,10/1/01,9/30/21,10/1/19,24,,,S0126,Units,42,Franklin,Iowa,50441-1865,Terri Cosselman / Manager,(641) 456-4692,(641) 456-4854,,,20,FALSE,FALSE,FALSE,FALSE
Apple Valley Osage LLC,Assisted Living Programs,Active,Osage,300 Lyndale Street,,730,24,9/4/08,9/3/22,9/3/20,24,,,S0283,Units,78,Mitchell,Iowa,50461,Terri Cosselman / Director,(641) 357-7083,(641) 357-1512,,,32,FALSE,FALSE,FALSE,FALSE
Arbor Heights At University,Assisted Living Programs,Active,Des Moines,233 University Ave,,730,24,3/31/00,3/30/22,3/30/20,24,,,S0072,Units,25,Polk,Iowa,50314-3124,Terry Cooper /,(515) 284-1280,(515) 284-0127,,,38,FALSE,FALSE,FALSE,FALSE
Arlin Falck Al,Assisted Living Programs,Active,Decorah,911 Ridgewood Dr,,730,24,,6/21/22,6/21/20,24,,,S0081,Units,64,Winneshiek,Iowa,52101-2354,Mandy Baker / provisional,(563) 387-3777,(563) 387-3777,,,34,FALSE,FALSE,FALSE,FALSE
