Facility Name,Address,City,Phone Number,Capacity,Date Accessed,State Facility Type 1 Literal,State
Aarenbrooke Place - Cory Lane,9327 CORY LANE,Boise,208-376-1300,70,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Alpine Manor Ii,100 POLK STREET EAST,Kimberly,208-423-5417,10,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Alpine Meadows Assisted Living, Llc",1695 SOUTH LOCUST GROVE ROAD,Meridian,208-888-0090,36,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
"Amber Lane Residence - Amber Lane, Inc",1819 WEST BANNOCK STREET,Boise,208-336-5004,8,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Antelope Creek Living Center,3668 WEST 3700 NORTH,Darlington,208-588-2700,35,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Apple Valley Residence,715 NORTH BUTTE AVENUE,Emmett,208 365 1497,46,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Applegate Assisted Living,1541 EAST 4250 NORTH,Buhl,208-543-4020,11,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Applewood Assisted Living,779 TENNYSON WAY,Boise,208-377-1656,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Arbor Village At Hillcrest,1093 SOUTH HILTON STREET,Boise,208-345-4460,152,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Arlington,3123 SOUTH ARLINGTON AVENUE,Caldwell,208-459-9009,12,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Beverly Hills,861 BEVERLY HILLS DRIVE,Payette,208-642-1711,9,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Buttercup Trail,1210 BUTTERCUP TRAIL,Kimberly,208-423-5971,16,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
Ashley Manor - Cedar,1525 EAST CEDAR STREET,Pocatello,208-478-2094,15,6/24/21,RESIDENTIALCARE/ASSISTED LIVING FACILITY,ID
