Facility Name,Address,City,State,Zip Code,Phone Number,License Number,Capacity,County,Date Accessed,State Facility Type 1 Literal
Adams Pointe Assisted Living,213 NORTH 48TH STREET,Quincy,IL,62305,2172286484,5104747,28,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
Addolorata Villa,553 MCHENRY RD,Wheeling,IL,60090,8472155854,5100562,61,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Admiral At The Lake,933 W. FOSTER AVE,Chicago,IL,60640,7734331800,5104192,56,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Amber Glen Alzheimer'S Scc,1704 EAST AMBER LANE,Urbana,IL,61802,2173840100,5104101,38,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Amber Ridge Assisted Living,900 43RD AVENUE,Moline,IL,61265,3097978181,5105066,46,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
Amber Ridge Memory Care,221 11TH AVENUE,Moline,IL,61265,3097577744,5105090,41,Rock Island,6/24/21,ASSISTED LIVING/SHARED HOUSING
American House Cedarlake,14800 SOUTH VAN DYKE ROAD,Plainfield,IL,60544,8152543564,5105041,41,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
American House Orland Park,8021 151ST STREET,Orland Park,IL,60462,7084032400,5103293,36,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Anam Care Inc.,8104 SAYER RD,Rockford,IL,61108,8153325566,5103590,20,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Anam Glen,7978 NEWBURG ROAD,Rockford,IL,61108,8153321919,5106965,13,Winnebago,6/24/21,ASSISTED LIVING/SHARED HOUSING
Anchor Of Marion (The),1501 SANDBAR DRIVE,Marion,IL,62959,6189641205,5105181,39,Williamson,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Angel Acres, Inc.",8380 WORLEYS MILL RD,Marion,IL,62959,6189988570,5200453,14,Williamson,6/24/21,ASSISTED LIVING/SHARED HOUSING
Apostolic Christian Skylines,7023 N. E. SKYLINE DR,Peoria,IL,61614,3096918091,5104499,37,Peoria,6/24/21,ASSISTED LIVING/SHARED HOUSING
Arbor Rose Of Arcola,106 EAST 2ND SOUTH STREET,Arcola,IL,61910,2175181105,5201519,8,Douglas,6/24/21,ASSISTED LIVING/SHARED HOUSING
Arbor Rose Of Charleston,1911 18TH STREET,Charleston,IL,61920,2175122814,5107013,12,Coles,6/24/21,ASSISTED LIVING/SHARED HOUSING
Arbor Rose Of Monticello,1009 SOUTH IRVING,Monticello,IL,61856,2176006101,5201626,8,Piatt,6/24/21,ASSISTED LIVING/SHARED HOUSING
Arbor Rose Of Robinson,500 S. REED STREET,Robinson,IL,62454,6184691244,5107039,13,Crawford,6/24/21,ASSISTED LIVING/SHARED HOUSING
Arbor Rose Of Tolono,503 S. BOURNE ST,Tolono,IL,61880,2174853030,5107021,13,Champaign,6/24/21,ASSISTED LIVING/SHARED HOUSING
Arbor Terrace Naperville,2920 LEVERNEZ,Naperville,IL,60564,6308350030,5106395,95,Will,6/24/21,ASSISTED LIVING/SHARED HOUSING
Arboria Of Long Grove Llc,2300 IL ROUTE 53,Long Grove,IL,60047,8473836737,5105835,104,Lake,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Arbors At Adams Pointe, The",201 NORTH 48TH STREET,Quincy,IL,62305,2172286494,5104754,16,Adams,6/24/21,ASSISTED LIVING/SHARED HOUSING
"Arbors At Centennial Pointe, The",3430 HEDLEY ROAD,Springfield,IL,62712,2175469016,5105132,16,Sangamon,6/24/21,ASSISTED LIVING/SHARED HOUSING
Arbors At Parkway Gardens (The),375 FOUNTAINS PARKWAY,Fairview Heights,IL,62208,6186221988,5106221,16,St Clair,6/24/21,ASSISTED LIVING/SHARED HOUSING
Artis Senior Living Of Bartlett,1035 SOUTH ROUTE 59,Bartlett,IL,60103,6308555939,5106437,64,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Artis Senior Living Of Elmhurst,123 WEST BRUSH HILL ROAD,Elmhurst,IL,60126,6303593113,5106155,72,Dupage,6/24/21,ASSISTED LIVING/SHARED HOUSING
Artis Senior Living Of Lakeview,3535 NORTH ASHLAND AVENUE,Chicago,IL,60657,7736979003,5106866,136,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Asbury Court,1750 ELMHURST ROAD,Des Plaines,IL,60018,8472281500,5105058,162,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
Aspen Creek Of Sullivan,411 N. WEST STREET,Sullivan,IL,61951,2177282092,5106999,18,Moultrie,6/24/21,ASSISTED LIVING/SHARED HOUSING
Aspen Creek Of Troy,1924 SRA BRADLEY SMITH DR.,Troy,IL,62264,6186672003,5201238,12,Madison,6/24/21,ASSISTED LIVING/SHARED HOUSING
Aspired Living Of Prospect Heights,708 N. ELMHURST RD,Prospect Heights,IL,60070,8478181808,5106700,101,Cook,6/24/21,ASSISTED LIVING/SHARED HOUSING
