Facility Name,Address,City,State,Zip Code,Phone Number,License Number,Capacity,County
Adams Pointe Assisted Living,213 North 48th Street,Quincy,IL,62305,2172286484,5104747,28,Adams
Addolorata Villa,553 McHenry Rd,Wheeling,IL,60090,8472155854,5100562,61,Cook
Admiral at the Lake,933 W. Foster Ave,Chicago,IL,60640,7734331800,5104192,56,Cook
Amber Glen Alzheimer's SCC,1704 East Amber Lane,Urbana,IL,61802,2173840100,5104101,38,Champaign
Amber Ridge Assisted Living,900 43rd Avenue,Moline,IL,61265,3097978181,5105066,46,Rock Island
Amber Ridge Memory Care,221 11th Avenue,Moline,IL,61265,3097577744,5105090,41,Rock Island
American House Cedarlake,14800 South Van Dyke Road,Plainfield,IL,60544,8152543564,5105041,41,Will
American House Orland Park,8021 151st Street,Orland Park,IL,60462,7084032400,5103293,36,Cook
Anam Care Inc.,8104 Sayer Rd,Rockford,IL,61108,8153325566,5103590,20,Winnebago
Anam Glen,7978 Newburg Road,Rockford,IL,61108,8153321919,5106965,13,Winnebago
Anchor of Marion (The),1501 Sandbar Drive,Marion,IL,62959,6189641205,5105181,39,Williamson
"Angel Acres, Inc.",8380 Worleys Mill Rd,Marion,IL,62959,6189988570,5200453,14,Williamson
Apostolic Christian Skylines,7023 N. E. Skyline Dr,Peoria,IL,61614,3096918091,5104499,37,Peoria
Arbor Rose of Arcola,106 East 2nd South Street,Arcola,IL,61910,2175181105,5201519,8,Douglas
Arbor Rose of Charleston,1911 18th Street,Charleston,IL,61920,2175122814,5107013,12,Coles
Arbor Rose of Monticello,1009 South Irving,Monticello,IL,61856,2176006101,5201626,8,Piatt
Arbor Rose of Robinson,500 S. Reed Street,Robinson,IL,62454,6184691244,5107039,13,Crawford
Arbor Rose of Tolono,503 S. Bourne St,Tolono,IL,61880,2174853030,5107021,13,Champaign
Arbor Terrace Naperville,2920 Levernez,Naperville,IL,60564,6308350030,5106395,95,Will
Arboria of Long Grove LLC,2300 IL Route 53,Long Grove,IL,60047,8473836737,5105835,104,Lake
"Arbors at Adams Pointe, The",201 North 48th Street,Quincy,IL,62305,2172286494,5104754,16,Adams
"Arbors at Centennial Pointe, The",3430 Hedley Road,Springfield,IL,62712,2175469016,5105132,16,Sangamon
Arbors at Parkway Gardens (The),375 Fountains Parkway,Fairview Heights,IL,62208,6186221988,5106221,16,St Clair
Artis Senior Living of Bartlett,1035 South Route 59,Bartlett,IL,60103,6308555939,5106437,64,DuPage
Artis Senior Living of Elmhurst,123 West Brush Hill Road,Elmhurst,IL,60126,6303593113,5106155,72,DuPage
Artis Senior Living of Lakeview,3535 North Ashland Avenue,Chicago,IL,60657,7736979003,5106866,136,Cook
Asbury Court,1750 Elmhurst Road,Des Plaines,IL,60018,8472281500,5105058,162,Cook
Aspen Creek of Sullivan,411 N. West Street,Sullivan,IL,61951,2177282092,5106999,18,Moultrie
Aspen Creek of Troy,1924 SRA Bradley Smith Dr.,Troy,IL,62264,6186672003,5201238,12,Madison
Aspired Living of Prospect Heights,708 N. Elmhurst Rd,Prospect Heights,IL,60070,8478181808,5106700,101,Cook
Aspired Living of Westmont,407 West 63rd Street,Westmont,IL,60559,6309604400,5105850,107,DuPage
Assisi HC Center at Clare Oaks,829 Carillon Dr.,Bartlett,IL,60103,6304834742,5102816,33,Cook
