Est Name,Address,City,State,Zip,Phone,License Number,Issued,Expires,AZ,Reg,FL,Total,Alzheimer,Adult Day,County
Adams Pointe Assisted Living,213 North 48th Street,Quincy,,62305,2172286484,5104747,12/20/18,12/20/19,,28,,28,No,Yes,Adams
Addolorata Villa,553 McHenry Rd,Wheeling,IL,60090,8472155854,5100562,01/29/19,01/29/20,22,39,,61,Yes,No,Cook
Admiral at the Lake,933 W. Foster Ave,Chicago,,60640,7734331800,5104192,05/08/18,05/08/19,17,39,,56,Yes,No,Cook
Amber Glen Alzheimer's SCC,1704 East Amber Lane,Urbana,IL,61802,2173840100,5104101,08/31/18,08/31/20,38,,,38,Yes,No,Champaign
Amber Ridge Assisted Living,900 43rd Avenue,Moline,,61265,3097978181,5105066,05/01/19,05/01/20,,46,,46,No,No,Rock Island
Amber Ridge Memory Care,221 11th Avenue,Moline,IL,61265,3097577744,5105090,05/01/19,05/01/20,41,,,41,Yes,No,Rock Island
American House Cedarlake,14800 South Van Dyke Road,Plainfield,,60544,8152543564,5105041,12/05/18,12/05/19,,41,,41,No,No,Will
American House Orland Park,8021 151st Street,Orland Park,IL,60462,7084032400,5103293,10/24/18,10/24/19,36,,,36,Yes,No,Cook
Anam Care Inc.,8104 Sayer Rd,Rockford,IL,61108,8153325566,5103590,10/20/18,10/20/19,20,,,20,Yes,Yes,Winnebago
Anam Glen,7978 Newburg Road,Rockford,IL,61108,8153321919,5106965,03/08/19,08/07/19,13,,,13,Yes,Yes,Winnebago
Anchor of Marion (The),1501 Sandbar Drive,Marion,,62959,6189641205,5105181,01/04/19,12/28/19,26,13,,39,Yes,No,Williamson
"Angel Acres, Inc.",8380 Worleys Mill Rd,Marion,IL,62959,6189988570,5200453,02/16/19,02/16/20,,14,,14,No,No,Williamson
Apostolic Christian Skylines,7023 N. E. Skyline Dr,Peoria,IL,61614,3096918091,5104499,05/25/18,08/16/19,,21,16,37,No,No,Peoria
Arbor Rose of Arcola,106 East 2nd South Street,Arcola,,61910,2175181105,5201519,08/07/18,08/07/20,8,,,8,Yes,Yes,Douglas
Arbor Rose of Charleston,1911 18th Street,Charleston,IL,61920,2175122814,5107013,04/30/19,11/19/20,12,,,12,Yes,Yes,Coles
Arbor Rose of Monticello,1009 South Irving,Monticello,IL,61856,2176006101,5201626,11/30/18,11/30/20,8,,,8,Yes,Yes,Piatt
Arbor Rose of Robinson,500 S. Reed Street,Robinson,,62454,6184691244,5107039,05/01/19,11/26/19,13,,,13,Yes,Yes,Crawford
Arbor Rose of Tolono,503 S. Bourne St,Tolono,IL,61880,2174853030,5107021,05/01/19,11/18/20,13,,,13,Yes,Yes,Champaign
Arbor Terrace Naperville,2920 Levernez,Naperville,IL,60564,6308350030,5106395,07/30/18,07/30/19,47,37,11,95,Yes,No,Will
Arboria of Long Grove LLC,2300 IL Route 53,Long Grove,IL,60047,8473836737,5105835,01/16/19,08/27/19,44,60,,104,Yes,No,Lake
"Arbors at Adams Pointe, The",201 North 48th Street,Quincy,,62305,2172286494,5104754,12/20/18,12/20/19,16,,,16,Yes,Yes,Adams
"Arbors at Centennial Pointe, The",3430 Hedley Road,Springfield,,62712,2175469016,5105132,11/14/18,11/14/19,16,,,16,Yes,Yes,Sangamon
Arbors at Parkway Gardens (The),375 Fountains Parkway,Fairview Heights,IL,62208,6186221988,5106221,01/27/19,01/27/20,16,,,16,Yes,Yes,St Clair
Artis Senior Living of Bartlett,1035 South Route 59,Bartlett,IL,60103,6308555939,5106437,12/01/18,12/01/19,64,,,64,No,No,DuPage
Artis Senior Living of Elmhurst,123 West Brush Hill Road,Elmhurst,IL,60126,6303593113,5106155,05/11/18,05/11/19,72,,,72,Yes,No,DuPage
Artis Senior Living of Lakeview,3535 North Ashland Avenue,Chicago,IL,60657,7736979003,5106866,03/20/19,07/20/19,96,40,,136,Yes,No,Cook
Asbury Court,1750 Elmhurst Road,Des Plaines,,60018,8472281500,5105058,09/12/18,09/12/19,,1,161,162,No,No,Cook
Aspen Creek of Sullivan,411 N. West Street,Sullivan,IL,61951,2177282092,5106999,12/02/17,12/02/19,18,,,18,Yes,No,Moultrie
Aspen Creek of Troy,1924 SRA Bradley Smith Dr.,Troy,,62264,6186672003,5201238,10/08/18,10/08/19,12,,,12,Yes,No,Madison
Aspired Living of Prospect Heights,708 N. Elmhurst Rd,Prospect Heights,IL,60070,8478181808,5106700,01/13/19,01/13/20,32,69,,101,No,No,Cook
Aspired Living of Westmont,407 West 63rd Street,Westmont,IL,60559,6309604400,5105850,01/14/19,01/14/20,34,73,,107,Yes,No,DuPage
Assisi HC Center at Clare Oaks,829 Carillon Dr.,Bartlett,IL,60103,6304834742,5102816,07/04/18,07/04/19,16,17,,33,Yes,Yes,Cook
Assisted Living at Franciscan Village,11400 Theresa Drive,Lemont,,60439,6302433500,5104622,01/14/19,01/14/21,,34,,34,No,No,Cook
Assisted Living at Silver Creek,1227 Winding Oaks Ln,Mascoutah,IL,62258,6185664100,5102634,02/28/19,02/28/20,,33,,33,No,No,St. Clair
Assisted Living at Victory Lakes,1065 Victory Dr,Lindenhurst,IL,60046,8473564800,5102980,11/12/18,11/12/19,15,45,,60,Yes,No,Lake
Atria at River Trail,370 N. Weber Road,Bolingbrook,IL,60440,3312536511,5106544,01/12/19,01/12/20,42,86,,128,Yes,No,Will
Atria Park of Glen Ellyn,95 Carleton Avenue,Glen Ellyn,IL,60137,6304695555,5101248,08/21/18,08/21/19,20,65,,85,Yes,No,DuPage
Atrium (The),2885 McFarland Road,Rockford,,61107,8152823340,5106460,10/11/18,10/11/19,40,,,40,Yes,No,Winnebago
"Autumn Accolade, Inc.",13516 Townline Rd,Green Valley,IL,61534,3093481548,5100125,01/12/19,01/12/21,,40,,40,No,No,Tazewell
Autumn Fields Adult Community,325 E. Orange St.,Hoopeston,,60942,2172832120,5103897,01/20/19,01/30/21,,51,,51,No,No,Vermilion
Autumn Fields of Savoy,65 East Airport Road,Savoy,,61874,2173551990,5104820,03/19/19,03/19/20,,46,,46,No,No,Champaign
Autumn Fields of Tilton,316 E 14th St,Tilton,IL,61833,2176552255,5106668,01/18/19,01/18/20,,48,,48,No,No,Vermilion
Autumn Green at Midway Village,6700 S. Keating,Chicago,,60629,7735822888,5103996,09/11/18,09/11/19,,24,20,44,No,No,Cook
Autumn Green at Wright Campus,4239 N. Oak Park Ave.,Chicago,,60634,7732023388,5103988,09/11/18,09/11/19,,25,20,45,No,No,Cook
Autumn Leaves of Arlington Heights,1625 S. Arlington Heights Rd,Arlington Heights,,60005,8477256700,5105165,09/08/18,09/08/19,42,,,42,Yes,No,Cook
Autumn Leaves of Bolingbrook,351 Lily Cache Lane,Bolingbrook,IL,60440,6307590797,5104283,02/20/19,02/20/20,36,,,36,Yes,No,DuPage
Autumn Leaves of Crystal Lake,495 Alexandra Blvd,Crystal Lake,IL,60014,8154597800,5102865,09/12/18,09/12/19,36,,,36,Yes,No,McHenry
Autumn Leaves of Gurnee,505 N. Hunt Club Road,Gurnee,,60031,8886628886,5105363,07/17/18,07/17/19,42,,,42,Yes,No,Lake
Autumn Leaves of Oswego,900 Douglas Rd.,Oswego,,60543,3314547540,5103962,06/07/18,06/07/19,40,,,40,Yes,Yes,Kendall
Autumn Leaves of South Barrington,215 Bartlett Road,South Barrington,,60010,8478441205,5104762,11/18/18,11/18/19,38,,,38,Yes,No,Cook
Autumn Leaves of St. Charles,10 N. Peck St.,St. Charles,IL,60174,6304854510,5103970,06/07/18,06/07/19,40,,,40,Yes,Yes,Kane
Autumn Leaves of Vernon Hills,500 Atrium Dr,Vernon Hills,IL,60061,8479961000,5102949,12/24/18,12/24/19,36,,,36,Yes,No,Lake
Avonlea Cottage #1/Quad Cities,2021 E. 1st St,Milan,IL,61264,3097560755,5100133,04/10/19,04/10/20,30,,,30,Yes,No,Rock Island
Avonlea Cottage #2/Quad Cities,2025 E. 1st St,Milan,IL,61264,3097562257,5100141,04/10/19,04/10/20,,16,,16,No,No,Rock Island
Avonlea Cottage of Dixon,503 Countryside Lane,Dixon,,61021,8152886044,5104838,07/09/18,07/19/19,16,,,16,Yes,No,Lee
Avonlea Cottage/Sterling,2201 E. LeFevre Rd,Sterling,IL,61081,8156265439,5100158,08/09/18,08/09/19,,30,,30,No,No,Whiteside
Axelson Assisted Living,2195 Foxglove Dr,Northbrook,IL,60062,8474806350,5102881,07/03/18,07/03/19,,58,,58,No,No,Cook
