Facility ID,Facility Name,Address,State,City,County,Zip Code,Phone Number,State Facility Type 1 Literal,State Facility Type 2 Literal,Date Accessed
000001NFS,Hooverwood,7001 HOOVER RD,IN,Indianapolis,Marion,46260,3172512261,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000009NFS,Heritage House Of Shelbyville,2309 S MILLER ST,IN,Shelbyville,Shelby,46176,3173989781,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000010NFS,Greenwood Village South,295 VILLAGE LANE,IN,Greenwood,Johnson,46143,3178594444,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000018NFS,Miller'S Merry Manor,612 E 11TH ST,IN,Rushville,Rush,46173,7659324127,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000029NFS,Beech Grove Meadows,2002 ALBANY ST,IN,Beech Grove,Marion,46107,3177832911,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000041NFS,Miller'S Merry Manor,635 OAKHILL AVE,IN,Plymouth,Marshall,46563,5749369981,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000084NFS,Westminster Village North,11050 PRESBYTERIAN DR,IN,Indianapolis,Marion,46236,3178236841,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000086NFS,Westminster Village Muncie Inc,5801 W BETHEL AVE,IN,Muncie,Delaware,47304,7652882155,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000089NFS,Miller'S Merry Manor,505 N BRADNER AVE,IN,Marion,Grant,46952,7656623981,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000093NFS,Westminster Village - West Lafayette,2741 N SALISBURY ST,IN,West Lafayette,Tippecanoe,47906,7654637546,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000100NFS,Westminster Health Care Center,2210 GREENTREE N,IN,Clarksville,Clark,47129,8122825911,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000103NFS,Altenheim Health & Living Community,3525 E HANNA AVE,IN,Indianapolis,Marion,46237,3177884261,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000105NFS,Marquette,8140 TOWNSHIP LINE RD,IN,Indianapolis,Marion,46260,3178759700,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000115NFS,Hanover Nursing Center,410 W LAGRANGE RD,IN,Hanover,Jefferson,47243,8128662625,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000125NFS,Dyer Nursing And Rehabilitation Center,601 SHEFFIELD AVE,IN,Dyer,Lake,46311,2193222273,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000126NFS,Westminster Village Health & Rehab,1120 E DAVIS DR,IN,Terre Haute,Vigo,47802,8122327533,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000141NFS,Avon Health & Rehabilitation Center,4171 FOREST POINTE CIRCLE,IN,Avon,Hendricks,46123,3177455184,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000180NFS,Good Samaritan Society Northwood Retirement Comm,2515 NEWTON ST,IN,Jasper,Dubois,47547,8124821722,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000187NFS,St Elizabeth Healthcare Center,701 ARMORY RD,IN,Delphi,Carroll,46923,7655646380,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000189NFS,American Village,2026 EAST 54TH ST,IN,Indianapolis,Marion,46220,3172536950,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000191NFS,Forum At The Crossing,8505 WOODFIELD CROSSING BLVD,IN,Indianapolis,Marion,46240,3174662020,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000228NFS,Ossian Health Care And Rehabilitation Center,215 DAVIS RD,IN,Ossian,Wells,46777,2606227821,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000240NFS,Saint Anne Home,1900 RANDALLIA DR,IN,Fort Wayne,Allen,46805,2604845555,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
000248NFS,Rawlins House Health & Living Community,300 J H WALKER DR,IN,Pendleton,Madison,46064,7657787501,RESIDENTIAL CARE FACILITIES,"RESIDENTIAL NFS, NON-FREE STANDING RESIDENTIAL CARE FACILITIES",7/7/21
