Facility ID,Facility Name,Address,State,City,County,Zip Code,Phone Number,State Facility Type 1 Literal,Type 2,Type 3
000001NFS,HOOVERWOOD,7001 HOOVER RD,IN,INDIANAPOLIS,MARION,46260,3172512261,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000009NFS,HERITAGE HOUSE OF SHELBYVILLE,2309 S MILLER ST,IN,SHELBYVILLE,SHELBY,46176,3173989781,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000010NFS,GREENWOOD VILLAGE SOUTH,295 VILLAGE LANE,IN,GREENWOOD,JOHNSON,46143,3178594444,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000018NFS,MILLER'S MERRY MANOR,612 E 11TH ST,IN,RUSHVILLE,RUSH,46173,7659324127,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000029NFS,BEECH GROVE MEADOWS,2002 ALBANY ST,IN,BEECH GROVE,MARION,46107,3177832911,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000041NFS,MILLER'S MERRY MANOR,635 OAKHILL AVE,IN,PLYMOUTH,MARSHALL,46563,5749369981,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000084NFS,WESTMINSTER VILLAGE NORTH,11050 PRESBYTERIAN DR,IN,INDIANAPOLIS,MARION,46236,3178236841,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000086NFS,WESTMINSTER VILLAGE MUNCIE INC,5801 W BETHEL AVE,IN,MUNCIE,DELAWARE,47304,7652882155,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000089NFS,MILLER'S MERRY MANOR,505 N BRADNER AVE,IN,MARION,GRANT,46952,7656623981,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000093NFS,WESTMINSTER VILLAGE - WEST LAFAYETTE,2741 N SALISBURY ST,IN,WEST LAFAYETTE,TIPPECANOE,47906,7654637546,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000100NFS,WESTMINSTER HEALTH CARE CENTER,2210 GREENTREE N,IN,CLARKSVILLE,CLARK,47129,8122825911,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000103NFS,ALTENHEIM HEALTH & LIVING COMMUNITY,3525 E HANNA AVE,IN,INDIANAPOLIS,MARION,46237,3177884261,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
000105NFS,MARQUETTE,8140 TOWNSHIP LINE RD,IN,INDIANAPOLIS,MARION,46260,3178759700,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,RESIDENTIAL NFS
