REPORT LINK,FACILITY_ID,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_STATE,FACILITY_CITY,FACILITY_COUNTY,FACILITY_ZIP,FACILITY_PHONE,FACILITY_WOUND,FACILITY_INFECT,FACILITY_ALZ,FACILITY_VENT,FACILITY_TYPE,FACILITY_SUBTYPE,FACTYPE,FACILITY_TYPE_PROMPT,FACILITY_BURNUNIT,FACILITY_EMERGENCYDEPT,FACILITY_TRAUMA,GEOTYPE,Map Accuracy,x,y
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000001.htm"">View</a>",000001NFS,HOOVERWOOD,7001 HOOVER RD,IN,INDIANAPOLIS,MARION,46260,3172512261,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9592736.261,4848809.483
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000009.htm"">View</a>",000009NFS,HERITAGE HOUSE OF SHELBYVILLE,2309 S MILLER ST,IN,SHELBYVILLE,SHELBY,46176,3173989781,Y,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9549828.164,4794047.499
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000010.htm"">View</a>",000010NFS,GREENWOOD VILLAGE SOUTH,295 VILLAGE LANE,IN,GREENWOOD,JOHNSON,46143,3178594444,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9584901.373,4808273.88
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000018.htm"">View</a>",000018NFS,MILLER'S MERRY MANOR,612 E 11TH ST,IN,RUSHVILLE,RUSH,46173,7659324127,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9510681.329,4810860.815
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000029.htm"">View</a>",000029NFS,BEECH GROVE MEADOWS,2002 ALBANY ST,IN,BEECH GROVE,MARION,46107,3177832911,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9585194.588,4825865.175
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000041.htm"">View</a>",000041NFS,MILLER'S MERRY MANOR,635 OAKHILL AVE,IN,PLYMOUTH,MARSHALL,46563,5749369981,N,Y,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9608555.317,5061197.675
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000084.htm"">View</a>",000084NFS,WESTMINSTER VILLAGE NORTH,11050 PRESBYTERIAN DR,IN,INDIANAPOLIS,MARION,46236,3178236841,Y,Y,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9570295.699,4847452.04
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000086.htm"">View</a>",000086NFS,WESTMINSTER VILLAGE MUNCIE INC,5801 W BETHEL AVE,IN,MUNCIE,DELAWARE,47304,7652882155,N,N,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9512687.306,4898793.632
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000089.htm"">View</a>",000089NFS,MILLER'S MERRY MANOR,505 N BRADNER AVE,IN,MARION,GRANT,46952,7656623981,N,Y,Y,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9538498.734,4948530.13
"<a target=""_blank"" href=""http://www.in.gov/isdh/reports/QAMIS/ltccr/cr000093.htm"">View</a>",000093NFS,WESTMINSTER VILLAGE - WEST LAFAYETTE,2741 N SALISBURY ST,IN,WEST LAFAYETTE,TIPPECANOE,47906,7654637546,N,N,N,N,RESIDENTIAL CARE FACILITIES,NON-FREE STANDING RESIDENTIAL CARE FACILITIES,NFS,RESIDENTIAL NFS,N,N,0,9,On or Near Building,-9675472.914,4932766.993
