Licensee,Facility Name 2,Facility ID,State Facility Type 1 Literal,Address,City,County,State,Zipcode,Phone Number
ABILENE PLACE NORTH,-,N021007,Assisted Living Facility,1100 N VINE STREET,ABILENE,DICKINSON,KS,67410-4009,785-263-7400
ABILENE PLACE SOUTH,-,N021008,Assisted Living Facility,1102 N VINE STREET,ABILENE,DICKINSON,KS,67410-4015,785-263-7800
ADDINGTON PLACE OF PRAIRIE VILLAGE,-,N046086,Assisted Living Facility Residential Health Care Facility,2700 SOMERSET DRIVE,PRAIRIE VILLAGE,JOHNSON,KS,66206,913-648-3333
ALDERBROOK VILLAGE LLC,-,N018010,Assisted Living Facility,402 E WINDSOR ROAD,ARKANSAS CITY,COWLEY,KS,67005-3866,620-442-4400
ALDERSGATE VILLAGE,-,N089021,Nursing Facility Assisted Living Facility,3220 SW ALBRIGHT DRIVE,TOPEKA,SHAWNEE,KS,66614-4707,785-478-9440
ANDOVER COURT ASSISTED LIVING,-,N008010,Assisted Living Facility,721 W. 21ST STREET,ANDOVER,BUTLER,KS,67002-8491,316-733-2662
ANEW HEALTHCARE OPERATIONS LLC,ANEW HEALTHCARE ESTATES,N044004,Assisted Living Facility,415 E WALNUT ST,NORTONVILLE,JEFFERSON,KS,66060,913-886-6400
APOSTOLIC CHRISTIAN HOME,-,N066001,Nursing Facility Assisted Living Facility,511 PARAMOUNT,SABETHA,NEMAHA,KS,66534,785-284-3471
ASSISTED LIVING AT WINDSOR PLACE,-,N063016,Assisted Living Facility,2904 W 8TH,COFFEYVILLE,MONTGOMERY,KS,67337-,620-251-0214
ASSISTED LIVING AT WINDSOR PLACE LLC,-,N063015,Assisted Living Facility,106 TYLER,COFFEYVILLE,MONTGOMERY,KS,67337-2441,620-251-0214
ATRIA HEARTHSTONE EAST,-,N089063,Assisted Living Facility,3415 SW 6TH AVENUE,TOPEKA,SHAWNEE,KS,66606-1900,785-234-6806
ATRIA HEARTHSTONE WEST,-,N089030,Assisted Living Facility,3515 SW 6TH AVE,TOPEKA,SHAWNEE,KS,66606-1900,785-234-6225
AVENUE 81 IAOP LLC,AVENUE 81,N046107,Assisted Living Facility,8055 METCALF AVE,OVERLAND PARK,JOHNSON,KS,66204,913-246-3690
BENTON HOUSE OF LENEXA,-,N046098,Assisted Living Facility,22000 PRAIRIE STAR PARKWAY,LENEXA,JOHNSON,KS,66220,678-297-0388
BENTON HOUSE OF OLATHE,-,N046104,Assisted Living Facility,15700 W 151ST STREET,OLATHE,JOHNSON,KS,66062,678-297-0388
