Licensee,Facility ID,State Facility Type 1 Literal,Address,City,County,State,Zip Code,Phone Number,Date Accessed,Facility Name
ABILENE PLACE NORTH,N021007,ASSISTED LIVING FACILITY,1100 N VINE STREET,Abilene,Dickinson,KS,67410-4009,785-263-7400,6/25/21,Abilene Place North
ABILENE PLACE SOUTH,N021008,ASSISTED LIVING FACILITY,1102 N VINE STREET,Abilene,Dickinson,KS,67410-4015,785-263-7800,6/25/21,Abilene Place South
ADDINGTON PLACE OF PRAIRIE VILLAGE,N046086,ASSISTED LIVING FACILITY RESIDENTIAL HEALTH CARE FACILITY,2700 SOMERSET DRIVE,Prairie Village,Johnson,KS,66206,913-648-3333,6/25/21,Addington Place Of Prairie Village
ALDERBROOK VILLAGE LLC,N018010,ASSISTED LIVING FACILITY,402 E WINDSOR ROAD,Arkansas City,Cowley,KS,67005-3866,620-442-4400,6/25/21,Alderbrook Village Llc
ALDERSGATE VILLAGE,N089021,NURSING FACILITY ASSISTED LIVING FACILITY,3220 SW ALBRIGHT DRIVE,Topeka,Shawnee,KS,66614-4707,785-478-9440,6/25/21,Aldersgate Village
ANDOVER COURT ASSISTED LIVING,N008010,ASSISTED LIVING FACILITY,721 W. 21ST STREET,Andover,Butler,KS,67002-8491,316-733-2662,6/25/21,Andover Court Assisted Living
ANEW HEALTHCARE OPERATIONS LLC,N044004,ASSISTED LIVING FACILITY,415 E WALNUT ST,Nortonville,Jefferson,KS,66060,913-886-6400,6/25/21,Anew Healthcare Estates
APOSTOLIC CHRISTIAN HOME,N066001,NURSING FACILITY ASSISTED LIVING FACILITY,511 PARAMOUNT,Sabetha,Nemaha,KS,66534,785-284-3471,6/25/21,Apostolic Christian Home
ASSISTED LIVING AT WINDSOR PLACE,N063016,ASSISTED LIVING FACILITY,2904 W 8TH,Coffeyville,Montgomery,KS,67337-,620-251-0214,6/25/21,Assisted Living At Windsor Place
ASSISTED LIVING AT WINDSOR PLACE LLC,N063015,ASSISTED LIVING FACILITY,106 TYLER,Coffeyville,Montgomery,KS,67337-2441,620-251-0214,6/25/21,Assisted Living At Windsor Place Llc
ATRIA HEARTHSTONE EAST,N089063,ASSISTED LIVING FACILITY,3415 SW 6TH AVENUE,Topeka,Shawnee,KS,66606-1900,785-234-6806,6/25/21,Atria Hearthstone East
ATRIA HEARTHSTONE WEST,N089030,ASSISTED LIVING FACILITY,3515 SW 6TH AVE,Topeka,Shawnee,KS,66606-1900,785-234-6225,6/25/21,Atria Hearthstone West
AVENUE 81 IAOP LLC,N046107,ASSISTED LIVING FACILITY,8055 METCALF AVE,Overland Park,Johnson,KS,66204,913-246-3690,6/25/21,Avenue 81
BENTON HOUSE OF LENEXA,N046098,ASSISTED LIVING FACILITY,22000 PRAIRIE STAR PARKWAY,Lenexa,Johnson,KS,66220,678-297-0388,6/25/21,Benton House Of Lenexa
BENTON HOUSE OF OLATHE,N046104,ASSISTED LIVING FACILITY,15700 W 151ST STREET,Olathe,Johnson,KS,66062,678-297-0388,6/25/21,Benton House Of Olathe
BETHANY HOME ASSOCIATION DBA VARDSHUS,N059018,ASSISTED LIVING FACILITY,821 E. SWENSSON DRIVE,Lindsborg,Mcpherson,KS,67456,785-227-8331,6/25/21,Bethany Home Association Dba Vardshus
