Facility Name,DBA,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Inspection Results and Facility Details,Phone
ACCORD SENIOR CARE INC ROCKWOOD,-,B087153,Home Plus,6807 E ROCKWOOD ROAD,WICHITA,SEDGWICK,KS,67206,SHERI BAKER-BRUSTER,Inspection Results and Facility Details,316-927-2725
ADVANCED CARE HOME PLUS,-,B087221,Home Plus,5501 POLO DRIVE,WICHITA,SEDGWICK,KS,67208-2753,MAHMUD ILAHE,Inspection Results and Facility Details,316-777-6477
AGAPE HOME PLUS LLC,-,B087245,Home Plus,6322 E PEACH TREE LANE,WICHITA,SEDGWICK,KS,67218,SARA RODRIGUEZ,Inspection Results and Facility Details,316-339-0076
ALMOST HOME INC,-,B005003,Home Plus,1919 VAN BUREN,GREAT BEND,BARTON,KS,67530,LEILANI SCHENKEL,Inspection Results and Facility Details,620-617-1634
AMANI HOME PLUS,-,B087231,Home Plus,1201 N PINECREST ST,WICHITA,SEDGWICK,KS,67208,ESTHER KARIOKI,Inspection Results and Facility Details,316-305-4142
AUTUMN HOME PLUS 2,-,B089087,Home Plus,720 NW WALNUT LANE,TOPEKA,SHAWNEE,KS,66617,MELANI CREOLLO,Inspection Results and Facility Details,785-232-0730
AUTUMN HOME PLUS 3,-,B089095,Home Plus,750 NW WALNUT LN,TOPEKA,SHAWNEE,KS,66617,MELANI CREOLLO,Inspection Results and Facility Details,785-232-0730
AUTUMN HOME PLUS INC,-,B089068,Home Plus,747 NW WALNUT LANE,TOPEKA,SHAWNEE,KS,66617,MELANI CREOLLO,Inspection Results and Facility Details,785-232-0730
BETHEL HOUSE,-,B087145,Home Plus,1316 CHARLOTTE ST,WICHITA,SEDGWICK,KS,67208-2659,BRANDI BUNYAN,Inspection Results and Facility Details,316-440-4406
BRIDGE HAVEN ON ALVAMAR,-,B023017,Home Plus,2147 QUAIL CREEK DRIVE,LAWRENCE,DOUGLAS,KS,66047,ROBERT WILSON,Inspection Results and Facility Details,785-371-1106
BRIDGE HAVEN THREE,MADEL'S HOUSE,B023021,Home Plus,1701 RESEARCH PARK BLDG #3,LAWRENCE,DOUGLAS,KS,66044,ROBERT WILSON,Inspection Results and Facility Details,785-550-6162
BRIDGE HAVEN VILLAGE,-,B023016,Home Plus,1701 RESEARCH PARK DRIVE,LAWRENCE,DOUGLAS,KS,66047,SARAH RANDOLPH,Inspection Results and Facility Details,785-371-1106
BRIDGE HAVEN VILLAGE TWO,-,B023019,Home Plus,1701 RESEARCH PARK DRIVE,LAWRENCE,DOUGLAS,KS,66047,SARAH RANDOLPH,Inspection Results and Facility Details,785-550-6168
CARE HAVEN HOMES  BROADMOOR,-,B046050,Home Plus,7001 W 69TH STREET,OVERLAND PARK,JOHNSON,KS,66204,NEIL BARNETT,Inspection Results and Facility Details,913-643-0111
CARE HAVEN HOMES  FONTANA,-,B046039,Home Plus,10001 FONTANA,OVERLAND PARK,JOHNSON,KS,66207,COURTNEY MAUREEN GOIN,Inspection Results and Facility Details,913-643-0111
CARE HAVEN HOMES OVERBROOK,-,B046033,Home Plus,9833 OVERBROOK CT,LEAWOOD,JOHNSON,KS,66207,COURTNEY MAUREEN GOIN,Inspection Results and Facility Details,913-643-0111
CARE HAVEN HOMES SOUTHMOOR,-,B046030,Home Plus,7010 W 69TH TERR,OVERLAND PARK,JOHNSON,KS,66204,NEIL BARNETT,Inspection Results and Facility Details,913-643-0111
CARE HAVEN HOMES SUNFLOWER,-,B046052,Home Plus,9218 LEE BOULEVARD,LEAWOOD,JOHNSON,KS,662061822,NEIL BARNETT,Inspection Results and Facility Details,913-643-0111
CARE HAVEN HOMES WYCKLOW,-,B046061,Home Plus,3 WYCKLOW STREET,OVERLAND PARK,JOHNSON,KS,66207-4005,NEIL BARNETT,Inspection Results and Facility Details,913-643-0111
CARE TOUCH HOMES PLUS LLC,-,B046060,Home Plus,11206 W 72ND TERRACE,SHAWNEE,JOHNSON,KS,66203,LEONARD NDEI,Inspection Results and Facility Details,913-850-3139
CHENEY GOLDEN AGE HOME PLUS,-,B087183,Home Plus,802 NORTH MAIN STREET,CHENEY,SEDGWICK,KS,67025-0370,JESSICA MARTIN,Inspection Results and Facility Details,316-540-3691
CHRIST CARE HOME PLUS LLC,-,B087215,Home Plus,7901 W JENNIE STREET,WICHITA,SEDGWICK,KS,67212-3072,RUBINA ANWAR,Inspection Results and Facility Details,316-308-6488
