Facility Name,DBA,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Inspection Results and Facility Details,Phone
ADDINGTON PLACE OF PRAIRIE VILLAGE,-,N046086,Assisted Living Facility Residential Health Care Facility,2700 SOMERSET DRIVE,PRAIRIE VILLAGE,JOHNSON,KS,66206,DARIN CIZERLE,Inspection Results and Facility Details,913-648-3333
ALMA MANOR,-,N099001,Nursing Facility Residential Health Care Facility,234 MANOR CIRCLE,ALMA,WABAUNSEE,KS,66401-127,ZACHARY EATON,Inspection Results and Facility Details,785-765-3318
ANGEL ARMS,-,N059017,Residential Health Care Facility,1318 OAKLANE,MCPHERSON,MCPHERSON,KS,67460-2522,SABRINA BADGETT,Inspection Results and Facility Details,620-245-0848
AP HOMES OPERATIONS HIAWATHA KS LLC,MAPLE HEIGHTS NURSING AND REHABILITATIVE CENTER,N007005,Nursing Facility Residential Health Care Facility,302 E IOWA STREET,HIAWATHA,BROWN,KS,66434-9802,DENISE WOLNEY,Inspection Results and Facility Details,785-742-7465
ARROWOOD LANE,-,N001007,Residential Health Care Facility,615 E. FRANKLIN,HUMBOLDT,ALLEN,KS,66748,PEGGY STRONG,Inspection Results and Facility Details,620-473-3456
ASBURY VILLAGE,-,N063012,Residential Health Care Facility,3800 ASBURY DR,COFFEYVILLE,MONTGOMERY,KS,67337-337,AMANDA AUGUSTINE,Inspection Results and Facility Details,620-251-6270
BICKFORD AT MISSION SPRINGS I OPCO LLC,BICKFORD AT MISSION SPRINGS I,N046042,Assisted Living Facility Residential Health Care Facility,5300 W 61ST PLACE,MISSION,JOHNSON,KS,66205-,DEBBIE BECKFORD,Inspection Results and Facility Details,913-831-7700
BICKFORD AT MISSION SPRINGS II OPCO LLC,BICKFORD AT MISSION SPRINGS II,N046044,Assisted Living Facility Residential Health Care Facility,5350 WEST 61ST PLACE,MISSION,JOHNSON,KS,66205-,-,Inspection Results and Facility Details,913-831-7700
BICKFORD OF OVERLAND PARK OPCO LLC,BICKFORD OF OVERLAND PARK,N046050,Residential Health Care Facility,10665 BARKLEY,OVERLAND PARK,JOHNSON,KS,66212-,MICHELLE L WATSON,Inspection Results and Facility Details,913-642-5400
BKD CLARE BRIDGE OF WICHITA LLC,BROOKDALE EAST WICHITA,N087054,Residential Health Care Facility,9191 E 21ST STREET NORTH,WICHITA,SEDGWICK,KS,67206-2923,PAMELA DARNALL,Inspection Results and Facility Details,316-630-0788
BREWSTER HEALTH CENTER,-,N089001,Nursing Facility Residential Health Care Facility,1001 SW 29TH ST,TOPEKA,SHAWNEE,KS,66611-1299,LEANNA E. CHAFFEE,Inspection Results and Facility Details,785-267-1666
BROOKDALE COLLEGE SQUARE,-,N046047,Residential Health Care Facility,11000 OAKMONT ST,OVERLAND PARK,JOHNSON,KS,66210,JESSICA LETELLIER,Inspection Results and Facility Details,913-491-1144
BROOKDALE LEAWOOD STATE LINE,-,N046052,Residential Health Care Facility,12724 STATELINE ROAD,LEAWOOD,JOHNSON,KS,66209,KIVA DENNIS,Inspection Results and Facility Details,913-345-8808
BROOKDALE OVERLAND PARK,-,N046079,Nursing Facility Assisted Living Facility Residential Health Care Facility,12000 LAMAR,OVERLAND PARK,JOHNSON,KS,66209,KIM ELLIS,Inspection Results and Facility Details,913-663-2888
BROOKDALE SHAWNEE,-,N046053,Residential Health Care Facility,11400 W 65TH ST,SHAWNEE,JOHNSON,KS,66203-5555,MARY BAAR,Inspection Results and Facility Details,913-248-1500
BROOKDALE TOPEKA,-,N089040,Residential Health Care Facility,5800 SW DRURY LANE,TOPEKA,SHAWNEE,KS,66604-2262,KATHY PETTY,Inspection Results and Facility Details,785-271-5100
CA SENIOR OLATHE OPERATOR LLC,ANTHOLOGY OF OLATHE,N046090,Residential Health Care Facility,101 W 151ST STREET,OLATHE,JOHNSON,KS,66061,AMIEE SECK,Inspection Results and Facility Details,913-791-0020
CAMBRIDGE PLACE,-,N058003,Nursing Facility Residential Health Care Facility,1100 N. 16TH STREET,MARYSVILLE,MARSHALL,KS,66508,ARLENE WESSEL,Inspection Results and Facility Details,785-562-5321
CARRINGTON HOUSE CENTRAL,-,N087058,Residential Health Care Facility,1432 N WACO ST,WICHITA,SEDGWICK,KS,67230-,ANGELA MARIE HOFFMAN,Inspection Results and Facility Details,316-262-5516
CARRINGTON RETIREMENT COMMUNITY,-,N019010,Residential Health Care Facility,1909 E. 4TH STREET,PITTSBURG,CRAWFORD,KS,66762-9100,HILLARY SMALL,Inspection Results and Facility Details,620-235-1212
CATHOLIC CARE CENTER INC,-,N087001,Nursing Facility Assisted Living Facility Residential Health Care Facility,6700 E 45TH ST N,BELAIRE,SEDGWICK,KS,67226-9970,LARRY F NANNY JR,Inspection Results and Facility Details,316-744-2020
CHISHOLM PLACE,-,N087071,Residential Health Care Facility,1859 N. WEBB ROAD,WICHITA,SEDGWICK,KS,67206,LANA POHLMAN,Inspection Results and Facility Details,316-558-5775
COUNTRY CLUB ESTATES LP,-,N061007,Residential Health Care Facility,2 LEWIS DRIVE,PAOLA,MIAMI,KS,66071-1126,DAVID ACHEY,Inspection Results and Facility Details,913-294-4531
COUNTRYSIDE HEALTH CENTER,-,N089008,Mental Health Nursing Facility Residential Health Care Facility,440 SE WOODLAND AVENUE,TOPEKA,SHAWNEE,KS,66607-2172,GARY  BURKDOLL,Inspection Results and Facility Details,785-234-6147
CRESTVIEW NURSING & RESIDENTIAL LIVING,-,N066003,Nursing Facility Residential Health Care Facility,808 N. 8TH STREET,SENECA,NEMAHA,KS,66538,SARA SOURK,Inspection Results and Facility Details,785-336-2156
CUMBERNAULD VILLAGE,-,N018009,Nursing Facility Residential Health Care Facility,716 TWEED STREET,WINFIELD,COWLEY,KS,67156-1595,LINDA VOTH,Inspection Results and Facility Details,620-221-4141
DIGNITY CARE HOME,-,N085008,Residential Health Care Facility,745 FAITH DR,SALINA,SALINE,KS,67401-5269,PAUL MYERS ACHO,Inspection Results and Facility Details,785-823-3434
DIVERSICARE OF LARNED,-,N073001,Nursing Facility Residential Health Care Facility,1114 W 11TH STREET,LARNED,PAWNEE,KS,67550-1941,BRYAN STACEY,Inspection Results and Facility Details,620-285-6914
EAGLE ESTATES INC,-,N063011,Residential Health Care Facility,1354 TAYLOR ROAD,INDEPENDENCE,MONTGOMERY,KS,67301,JENNIFER TUCKER,Inspection Results and Facility Details,620-331-1662
FOREST CREEK MEMORY CARE AT OVERLAND PARK,-,N046095,Residential Health Care Facility,12701 PFLUMM ROAD,OVERLAND PARK,JOHNSON,KS,66213,ANNETTE KIMBALL,Inspection Results and Facility Details,913-490-5035
FOUNDERS CREST LLC,-,N087083,Residential Health Care Facility,6887 E ROCKHILL STREET,WICHITA,SEDGWICK,KS,67206,SANDI KEELER,Inspection Results and Facility Details,316-685-3322
FSL KANSAS CITY TENANT LLC,THE PIPER ALF,N105018,Assisted Living Facility Residential Health Care Facility,2300 N 113TH TERRACE,KANSAS CITY,WYANDOTTE,KS,66109,MICHAEL MAYBERRY,Inspection Results and Facility Details,913-400-7006
GARTEN COUNTRYSIDE HOME INC,-,N021006,Residential Health Care Facility,2454 HWY 15 NORTH,ABILENE,DICKINSON,KS,67410-6077,JAMIE GARTEN,Inspection Results and Facility Details,785-263-7197
GLEN CARR HOUSE,-,N087073,Residential Health Care Facility,1433 N. HAMILTON DRIVE,DERBY,SEDGWICK,KS,67037,KEITH FRYMIRE,Inspection Results and Facility Details,316-788-9999
GOOD SAMARITAN SOCIETY - ELLIS,-,N026002,Nursing Facility Residential Health Care Facility,1101 SPRUCE STREET,ELLIS,ELLIS,KS,67637-1799,SHARON LEUENBERGER,Inspection Results and Facility Details,785-726-3101
GRAN VILLAS INDEPENDENCE,-,N063005,Residential Health Care Facility,621 S. 2ND STREET,INDEPENDENCE,MONTGOMERY,KS,67301-4311,AMBER KNISLEY,Inspection Results and Facility Details,620-331-2260
GRAYSTONE RESIDENTIAL CARE,-,N001006,Residential Health Care Facility,2620 N. KENTUCKY STREET,IOLA,ALLEN,KS,66749,PEGGY STRONG,Inspection Results and Facility Details,620-365-6002
GUEST HOME ESTATES,-,N063013,Residential Health Care Facility,400 S. MCGEE STREET,CANEY,MONTGOMERY,KS,67333-2157,MICHELLE GARNER,Inspection Results and Facility Details,620-879-5199
GUEST HOME ESTATES II,-,N067009,Residential Health Care Facility,1202 S. PLUMMER,CHANUTE,NEOSHO,KS,66720,MANDY HILLMON,Inspection Results and Facility Details,620-431-9509
GUEST HOME ESTATES III,-,N067008,Residential Health Care Facility,7440 220TH ROAD,CHANUTE,NEOSHO,KS,66720,TONYA WHITTLEY,Inspection Results and Facility Details,620-431-7115
GUEST HOME ESTATES IV,-,N019012,Residential Health Care Facility,1910 E. CENTENNIAL,PITTSBURG,CRAWFORD,KS,66762,ASHLEY SISSECK,Inspection Results and Facility Details,620-235-0522
