Facility Name,Phone Number,Address,City,State,Zip Code,County
"Summer Breeze Homes, LLC",270-422-2279,160 Lawrence St.,Brandenburg,KY,40108,Meade
Amber Oaks,502-647-4546,156 Haven Hill Road,Shelbyville,KY,40065,Shelby
Arcadia of Benton ,270-527-1700,971 Birch St.,Benton,KY,42025,Marshall
"Lakes of Paducah, LLC",270-448-7777,2265 Olivet Church Rd.,Paducah,KY,42001,McCracken
Arcadia of Bowling Green,270-495-4504,618 Lovers Lane,Bowling Green,KY,42103,Warren
"Arcadian Assisted Living, LLC",859-624-0022,532 Cady Drive,Richmond,KY,40475,Madison
Ashtongrove,502-570-9222,115 Ashton Grove lane,Georgetown,KY,40324,Scott
Atria Elizabethtown,270-360-8001,133 Heartland Drive,Elizabethtown,KY,42701,Hardin
Atria Highland Crossing,859-341-0777,400 Farrell Dr.,Ft. Wright,KY,41011,Kenton
                                                                                                                                                                                                 Atria Springdale,502-412-0222,4501 Springdale Road,Louisville,KY,40241,Jefferson
Atria St. Matthews,502-896-1767,120 S. Hubbards Ln.,Louisville,KY,40207,Jefferson
Atria Stony Brook,502-499-1393,3451 S. Hurstbourne Parkway,Louisville,KY,40299,Jefferson
Atria Summit Hills,859-331-5951,2625 Legends Way,Crestview Hills,KY,41017,Kenton
Barkley Plantation,270-522-0018,640 Bypass Rd.,Cadiz,KY,42211,Trigg
Barrington at Ft. Thomas,859-572-0667,940 Highland Ave.,Ft. Thomas,KY,41075,Campbell
Bee Hive Home of Brandenburg,502-345-1468,103 Commerce Drive,Brandenburg,KY,40108,Meade
Bee Hive Home of Goshen,502-292-3200,12336 US HWY 42,Goshen,KY,40026,Oldham
Bee Hive Home of Grayson County,270-681-6760,1417 Brandenburg Rd.,Leitchfield,KY,42754,Grayson
Bee Hive Home of Lyndon,502-423-0103,8401 LaGrange Rd.,Louisville,KY,40222,Jefferson
Bee Hive Home of Smyrna,502-345-1468,8800 Smyrna Parkway,Louisville,KY,40228,Jefferson
Bee Hive Home of Smyrna - Memory Care,502-345-1468,8802 Smyrna Parkway,Louisville,KY,40228,Jefferson
Bluegrass Assisted Living,270-234-9440,1108 Regency Way,Elizabethtown,KY,42701,Hardin
