License Number,Facility Name,Address,City,Zip Code,County,Licensee,Phone Number,Capacity,State Facility Type 1 Literal,State Facility Type 2 Literal,State,Date Accessed
101314.0,Anthology Of Louisville,1105 DORSEY LANE,Louisville,40223,Jefferson,"CA SENIOR LOUISVILLE OPERATOR, LLC",(502) 792-7922,101.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100030.0,Artrips Personal Care Home,3000 CENTRAL AVENUE,Ashland,41101,Boyd,"ARTRIP HEALTH CARE, INC.",(606) 325-3244,22.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100932.0,Barton House Of Louisville #1,6830 OVERLOOK DRIVE,Louisville,40241,Jefferson,"ST. MATTHEWS SENIOR LIVING, LLC",(502) 423-7177,20.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100891.0,Belmont Village,4600 BOWLING BOULEVARD,Louisville,40207,Jefferson,BELMONT VILLAGE LIMITED PARTNERSHIP,(502) 721-7500,128.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100398.0,"Better Senior Living, Llc",66 SHELBY STREET,Cadiz,42211,Trigg,"OHANA HEALTHCARE, LLC",(270) 522-3711,68.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101338.0,"Bluegrass Senior Living Somerset, Llc",145 TOWER CIRCLE,Somerset,42503,Pulaski,"BLUEGRASS SENIOR LIVING SOMERSET, LLC",(606) 679-4578,72.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101294.0,Bluegrass Way,100 GARDEN WAY,Campbellsville,42718,Taylor,"BLUEGRASS VILLAGE OF CAMPBELLSVILLE, LLC",(270) 789-1200,24.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101367.0,Boonesboro Trail Senior Living,2101 BOONESBORO ROAD,Winchester,40391,Clark,"WINCHESTER SENIOR PARTNERS, LLC",(859) 236-9466,83.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101175.0,Bridgepointe At Ashgrove Woods,5220 GREY OAK LANE,Nicholasville,40356,Jessamine,"CHRISTIAN CARE SERVICES, INC.",(859) 971-4902,78.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101104.0,Brookdale Stonestreet,9251 STONESTREET ROAD,Louisville,40272,Jefferson,EMERITUS CORPORATION,(502) 935-5884,20.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100432.0,Carrollton Manor,205 FIFTH STREET,Carrollton,41008,Carroll,"CARROLLTON MANOR, INC.",(502) 732-5528,32.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101271.0,Cedarhurst Of Beaumont,1165 MONARCH STREET,Lexington,40513,Fayette,"CH BEAUMONT CENTER MANAGEMENT KY, LLC",(859) 687-6587,130.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101354.0,Cedarhurst Of Owensboro,1900 PLEASANT VALLEY ROAD,Owensboro,42302,Daviess,"CEDARHURST OF OWENSBORO REAL ESTATE, LLC",(270) 276-1601,90.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101181.0,"Central Kentucky Recovery Center, Unit 1",1358 BULL LEA ROAD,Lexington,40511,Fayette,CABINET FOR HEALTH AND FAMILY SERVICES,(859) 246-8620,16.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101182.0,"Central Ky Recovery Center, Unit 2",1366 BULL LEA ROAD,Lexington,40511,Fayette,CABINET FOR HEALTH AND FAMILY SERVICES,(859) 246-8610,16.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100903.0,Charter Senior Living Of Edgewood,2950 TURKEYFOOT ROAD,Edgewood,41017,Kenton,"S-H OPCO EDGEWOOD, LLC",(859) 426-1888,113.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100064.0,"Christian County Manor, Llc",2820 RICHARD STREET,Hopkinsville,42240,Christian,"OHANA HEALTHCARE, LLC",(270) 886-9900,78.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100945.0,Colonial Gardens,6910 HOPEFUL ROAD,Florence,41042,Boone,"BLUEGRASS RHF HOUSING, INC.",(859) 525-6900,80.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100382.0,Colonial Hall Manor,920 HENRY CLAY STREET,Shelbyville,40065,Shelby,"COLONIAL HALL MANOR, INC.",(502) 633-4762,57.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100044.0,Colonial House Of Shepherdsville,1516 HIGHWAY 44E,Shepherdsville,40165,Bullitt,"RANSDALL & ROYALTY, INC.",(502) 543-7042,62.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101366.0,Cooper Trail Senior Living,325 LINCOLN WAY,Bardstown,40004,Nelson,"BARDSTOWN SENIOR PARTNERS, LLC",(502) 572-4329,83.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100007.0,"Cornerstone Manor, Llc",515 WATER STREET ,Scottsville,42164,Allen,"CORNERSTONE MANOR, LLC",(270) 237-3485,36.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100267.0,Covington Ladies Home,702 GARRARD STREET,Covington,41011,Kenton,"COVINGTON LADIES HOME, INC.",(859) 431-6913,32.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100370.0,Crestview Personal Care Home,235 SOUTH RICHARDSON DRIVE,Somerset,42502,Pulaski,"THE PATARY, INC.",(606) 678-8927,30.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100314.0,Cumberland Manor Rest Home,1930 HIGHWAY 90,Parkers Lake,42634,Mccreary,"CUMBERLAND MANOR REST HOME, INC.",(606) 376-5951,49.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101340.0,Daisy Hill Senior Living,1001 CROSSFIELD DRIVE,Versailles,40383,Woodford,"VERSAILLES SENIOR LIVING, LLC",(615) 790-7041,24.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100084.0,"Davco Rest Home, Llc",2526 WEST 10TH STREET,Owensboro,42301,Daviess,"DAVCO REST HOME, LLC.",(270) 684-1705,92.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100413.0,Dishman Personal Care Home,220 WORSHAM LANE,Monticello,42633,Wayne,CHRISTINE GOFF,(606) 348-6201,49.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101318.0,Dominion Senior Living Of Florence,4009 SELIGMAN DRIVE,Florence,41042,Boone,"DOMINION FLORENCE, LLC",(859) 594-9970,84.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101301.0,Dominion Senior Living Of Frankfort,122 LEONARDWOOD DR,Frankfort,40601,Franklin,"DOMINION FRANKFORT, LLC",(502) 892-0819,84.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101353.0,Dominion Senior Living Of Louisville,6000 HUNTING ROAD,Louisville,40222,Jefferson,"DOMINION AND EVERLAN OF LOUISVILLE OPCO, LLC",(502) 812-1556,80.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101283.0,Dominion Senior Living Of Richmond,200 MERIDIAN WAY,Richmond,40475,Madison,"DOMINION RICHMOND, LLC",(859) 353-6777,84.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100361.0,"Falmouth Personal Care Home, Llc",406 BARKLEY STREET,Falmouth,41040,Pendleton,"FALMOUTH PERSONAL CARE HOME, LLC",(859) 654-4341,27.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100403.0,"Fern Terrace Of Bowling Green, Llc",1030 SHIVE LANE,Bowling Green,42101,Warren,"DAVCO HOMES, INC.",(270) 781-6784,114.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100148.0,"Fern Terrace Of Mayfield, Llc",1227 STATE ROUTE 45 NORTH,Mayfield,42066,Graves,"DAVCO HOMES, INC.",(270) 247-3259,140.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100052.0,"Fern Terrace Of Murray, Llc",1505 STADIUM VIEW DRIVE,Murray,42071,Calloway,"DAVCO HOMES, INC.",(270) 753-7109,103.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100096.0,"Fern Terrace Of Owensboro, Llc",45 WOODFORD AVENUE,Owensboro,42301,Daviess,"DAVCO HOMES, INC.",(270) 684-7171,68.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101270.0,Forest Hills Commons,9107 TAYLORSVILLE ROAD,Louisville,40299,Jefferson,RESIDENTIAL CARE XII LLC,(502) 499-5533,144.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100155.0,"Frasure'S Personal Care Home, Inc",1308 RIVERVIEW ROAD,Ashland,41101,Boyd,"FRASURE'S PERSONAL CARE HOME, INC.",(606) 836-7095,61.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100887.0,Gaither Suites At West Park,4960 VILLAGE SQUARE DRIVE,Paducah,42001,Mccracken,"PADUCAH OP, LLC",(270) 442-3999,29.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101231.0,Gardens At Hickory Woods,84 UTTERBACK ROAD,Murray,42071,Calloway,"MURRAY SENIOR LIVING, LLC",(270) 759-8700,22.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100021.0,Generations Center Of Middlesboro,504 SOUTH 24TH STREET,Middlesboro,40965,Bell,"GENERATIONS HEALTH ASSOCIATION, INC.",(606) 248-1540,64.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100274.0,Golden Years Rest Home,14684 EAST HIGHWAY 550 PO BOX 157,Lackey,41643,Floyd,"GOLDEN YEARS HEALTHCARE, LLC",(606) 946-2220,84.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101321.0,Hallmark House Louisville Ii,10301 CONEFLOWER LN,Prospect,40059,Jefferson,HALLMARK HOUSE LOUISVILLE II LLC,(502) 290-6706,32.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100033.0,Hamilton'S Personal Care Home,250 WEST CENTRAL AVENUE,Ashland,41101,Boyd,"HAMILTON'S PERSONAL CARE HOME, INC.",(606) 324-3252,22.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100336.0,Harper'S Home For The Aged,2905 COLUMBIA ROAD,Edmonton,42129,Metcalfe,"HARPER'S HOME FOR THE AGED, INC.",(270) 432-5202,27.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100172.0,Hart County Manor,205 BRIDGE STREET,Munfordville,42765,Hart,"HART COUNTY MANOR, LLC",(270) 524-7327,54.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101164.0,Heartsong Memory Care,9260 STONESTREET ROAD,Louisville,40272,Jefferson,"TIGER LILY, LLC",(502) 935-3300,36.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100174.0,Henderson Manor,201 WATSON LANE,Henderson,42420,Henderson,"MDH MANAGEMENT GROUP, INC.",(270) 826-2394,64.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100050.0,Highland Homes,219 STEVENS AVENUE,Princeton,42445,Caldwell,"HIGHLAND HOMES, INC.",(270) 365-3254,100.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100935.0,Ivy Knoll,800 HIGHLAND AVENUE,Covington,41011,Kenton,"NORTHERN KENTUCKY ASSISTED LIVING, LLC",(859) 491-3800,45.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100140.0,Jonesville Rest Home,230 SCHOOL ROAD,Jonesville,41052,Grant,"MATRIARCH PROPERTIES, INC",(859) 824-4610,26.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100032.0,Kings Daughters And Sons Home,1100 BATH AVENUE,Ashland,41101,Boyd,KINGS' DAUGHTERS' & SONS' HOME FOR AGED MEN & WOME,(606) 324-0343,36.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101330.0,Legacy Reserve At Fritz Farm,2700 MAN O WAR BLVD,Lexington,40515,Fayette,"1818 LEXINGTONSLINVESTORS, LLC",(859) 286-5111,53.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100390.0,Lewis Memorial Methodist Home,2905 BOWLING GREEN ROAD,Franklin,42134,Simpson,"LEWIS MEMORIAL, INC.",(270) 586-3461,23.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100653.0,Mayfair Village Retirement Center,3310 TATES CREEK ROAD,Lexington,40502,Fayette,"MAYFAIR VILLAGE RETIREMENT CENTER, INC.",(859) 266-2129,24.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
