License Number,Facility Name,Address,City,Zip Code,County,Licensee,Phone Number,Capacity,State Facility Type 1 Literal,State Facility Type 2 Literal,State,Date Accessed
,"Summer Breeze Homes, Llc",160 LAWRENCE ST.,Brandenburg,40108,Meade,,270-422-2279,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Amber Oaks,156 HAVEN HILL ROAD,Shelbyville,40065,Shelby,,502-647-4546,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Arcadia Of Benton ,971 BIRCH ST.,Benton,42025,Marshall,,270-527-1700,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Lakes Of Paducah, Llc",2265 OLIVET CHURCH RD.,Paducah,42001,Mccracken,,270-448-7777,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Arcadia Of Bowling Green,618 LOVERS LANE,Bowling Green,42103,Warren,,270-495-4504,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Arcadian Assisted Living, Llc",532 CADY DRIVE,Richmond,40475,Madison,,859-624-0022,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Ashtongrove,115 ASHTON GROVE LANE,Georgetown,40324,Scott,,502-570-9222,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Elizabethtown,133 HEARTLAND DRIVE,Elizabethtown,42701,Hardin,,270-360-8001,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Highland Crossing,400 FARRELL DR.,Ft. Wright,41011,Kenton,,859-341-0777,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,                                                                                                                                                                                                 Atria Springdale,4501 SPRINGDALE ROAD,Louisville,40241,Jefferson,,502-412-0222,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria St. Matthews,120 S. HUBBARDS LN.,Louisville,40207,Jefferson,,502-896-1767,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Stony Brook,3451 S. HURSTBOURNE PARKWAY,Louisville,40299,Jefferson,,502-499-1393,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Summit Hills,2625 LEGENDS WAY,Crestview Hills,41017,Kenton,,859-331-5951,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Barkley Plantation,640 BYPASS RD.,Cadiz,42211,Trigg,,270-522-0018,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Barrington At Ft. Thomas,940 HIGHLAND AVE.,Ft. Thomas,41075,Campbell,,859-572-0667,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Brandenburg,103 COMMERCE DRIVE,Brandenburg,40108,Meade,,502-345-1468,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Goshen,12336 US HWY 42,Goshen,40026,Oldham,,502-292-3200,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Grayson County,1417 BRANDENBURG RD.,Leitchfield,42754,Grayson,,270-681-6760,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Lyndon,8401 LAGRANGE RD.,Louisville,40222,Jefferson,,502-423-0103,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Smyrna,8800 SMYRNA PARKWAY,Louisville,40228,Jefferson,,502-345-1468,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Smyrna - Memory Care,8802 SMYRNA PARKWAY,Louisville,40228,Jefferson,,502-345-1468,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bluegrass Assisted Living,1108 REGENCY WAY,Elizabethtown,42701,Hardin,,270-234-9440,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Bluegrass Assisted Living Properties Iii, Llc",107 THRUWAY DR,Bardstown,40004,Nelson,,502-349-2026,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bluegrass Way Senior Living,100 GARDEN WAY,Campbellsville,42718,Taylor,,270-789-1200,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Breckinridge Services, Inc.",170 SYKES BLVD,Morganfield,42437,Union,,270-389-1133,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Christian Care Services, Inc",5220 GREY OAK LANE,Nicholasville,40356,Jessamine,,859-971-4910,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Brookdale Murray,905 GLENDALE RD.,Murray,42071,Calloway,,270-759-1555,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Brookdale Stonestreet,9251 STONESTREET RD.,Louisville,40272,Jefferson,,502-935-5884,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Carriage Hall Assisted Living,313 COOL WATER CT.,Hopkinsville,42240,Christian,,(270) 707-3400,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Cave Run Manor, Inc.",1100 KY HWY 801 SOUTH,Morehead,40351,Rowan,,606-780-1119,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Cedar Creek Assisted Living,156 WINSTON DR.,Pikeville,41501,Pike,,606-432-8243,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Family Care Services, Llc",2643 CHANDLER DR.,Bowling Green,42104,Warren,,270-842-2626,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Chandler Park Memory Care,1310 CAMPBELL LN.,Bowling Green,42104,Warren,,270-599-0360,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Charter Senior Living Of Bowling Green,445 MIDDLE BRIDGE ROAD,Bowling Green,42103,Warren,,(270) 842-5433,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Chevy Chase Gardens,319 DUKE ROAD ,Lexington,40502,Fayette,,859-266-0043,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Colonial Assisted Living, Inc.",2637 STADIUM DR.,Henderson,42420,Henderson,,270-826-2493,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Colonial Senior Living,6575 ADAMS LN.,Henderson,42420,Henderson,,270-844-4918,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Countryside Meadows, Llc",640 JERICHO RD.,Lagrange,40031,Oldham,,(502) 225-6810,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
